gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	900	17.5624	1.6725
ENSG00000000460	577	6.8097	0.6485
ENSG00000000938	11820	251.5570	23.9563
ENSG00000000971	98	0.9023	0.0859
ENSG00000001460	360	3.1682	0.3017
ENSG00000001461	1704	13.5892	1.2941
ENSG00000004455	7362	97.1531	9.2521
ENSG00000004487	12214	268.1650	25.5379
ENSG00000006555	6	0.0743	0.0071
ENSG00000007341	1993	18.4276	1.7549
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1181	17.2077	1.6387
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	3466	47.6405	4.5369
ENSG00000008118	2	0.0643	0.0061
ENSG00000008128	5167	82.1431	7.8227
ENSG00000008130	11411	149.1250	14.2015
ENSG00000009307	98133	1278.8800	121.7905
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	977	17.2430	1.6421
ENSG00000009780	2603	67.8887	6.4652
ENSG00000009790	3868	37.4174	3.5633
ENSG00000010072	3596	45.6609	4.3484
ENSG00000010165	1420	27.7065	2.6385
ENSG00000010803	6226	105.0100	10.0003
ENSG00000010932	14	0.2890	0.0275
ENSG00000011007	10210	142.0400	13.5267
ENSG00000011009	4116	140.5830	13.3881
ENSG00000011021	11844	129.0370	12.2885
ENSG00000014914	7863	128.4510	12.2327
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	1	0.0129	0.0012
ENSG00000020129	581	8.8668	0.8444
ENSG00000020633	1434	23.3559	2.2242
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	473	27.2887	2.5988
ENSG00000023902	40479	486.6790	46.3475
ENSG00000023909	534	7.4486	0.7094
ENSG00000024526	95	1.2127	0.1155
ENSG00000025800	21502	209.7870	19.9785
ENSG00000026751	418	6.8134	0.6489
ENSG00000027644	11	0.1657	0.0158
ENSG00000027869	622	18.5589	1.7674
ENSG00000028137	70623	1406.4600	133.9401
ENSG00000031698	7330	143.3190	13.6486
ENSG00000033122	91	0.5706	0.0543
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	2778	56.8385	5.4129
ENSG00000036549	2980	24.8128	2.3630
ENSG00000037637	10485	87.5307	8.3357
ENSG00000040487	1677	46.8146	4.4583
ENSG00000041988	2039	37.5599	3.5769
ENSG00000042781	5	0.0182	0.0017
ENSG00000043514	1101	26.9000	2.5618
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	5768	42.4953	4.0469
ENSG00000048707	7362	27.1387	2.5845
ENSG00000049089	2882	52.0778	4.9595
ENSG00000049239	4700	38.6664	3.6823
ENSG00000049245	16066	436.5710	41.5756
ENSG00000049246	394	4.1617	0.3963
ENSG00000049247	92	3.8817	0.3697
ENSG00000049249	156	5.1108	0.4867
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	4766	60.6476	5.7756
ENSG00000053371	4276	180.0490	17.1465
ENSG00000053372	1878	49.9139	4.7534
ENSG00000054116	4136	93.6299	8.9166
ENSG00000054118	21297	337.2660	32.1186
ENSG00000054267	10996	74.4781	7.0927
ENSG00000054277	1899	40.9293	3.8978
ENSG00000054282	1658	23.6951	2.2565
ENSG00000054392	230	4.0217	0.3830
ENSG00000054523	9723	41.2135	3.9248
ENSG00000055070	29274	462.5180	44.0466
ENSG00000055732	2	0.0226	0.0022
ENSG00000057252	7349	78.3663	7.4630
ENSG00000057468	65	1.4832	0.1413
ENSG00000057757	8264	283.5350	27.0017
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	591	3.6126	0.3440
ENSG00000058668	3772	29.1027	2.7715
ENSG00000058673	21335	164.9630	15.7098
ENSG00000058799	2239	74.2839	7.0742
ENSG00000058804	1417	20.6917	1.9705
ENSG00000059588	4367	42.3000	4.0283
ENSG00000060642	755	16.7371	1.5939
ENSG00000060656	117	1.3076	0.1245
ENSG00000060688	3942	73.7008	7.0187
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	3030	37.7616	3.5961
ENSG00000064886	88	2.0024	0.1907
ENSG00000065135	5752	134.5550	12.8139
ENSG00000065183	439	7.9120	0.7535
ENSG00000065243	4635	49.5652	4.7202
ENSG00000065526	72462	408.8040	38.9313
ENSG00000065600	4043	104.0590	9.9097
ENSG00000065978	125517	4877.5900	464.5035
ENSG00000066027	12394	240.6280	22.9155
ENSG00000066056	2712	30.3823	2.8934
ENSG00000066135	7089	102.7980	9.7897
ENSG00000066136	3632	45.4947	4.3326
ENSG00000066185	47	1.6055	0.1529
ENSG00000066279	506	3.4887	0.3322
ENSG00000066294	8519	69.0344	6.5743
ENSG00000066322	8546	260.6660	24.8238
ENSG00000066557	1677	43.6082	4.1529
ENSG00000067208	769	6.9723	0.6640
ENSG00000067334	3443	43.0042	4.0954
ENSG00000067533	601	5.7137	0.5441
ENSG00000067606	234	2.2984	0.2189
ENSG00000067704	6494	117.0190	11.1440
ENSG00000069248	3207	47.5652	4.5297
ENSG00000069275	22358	256.1660	24.3952
ENSG00000069424	30887	285.0750	27.1483
ENSG00000069702	249	2.1557	0.2053
ENSG00000069712	39	0.6254	0.0596
ENSG00000069812	38	0.5271	0.0502
ENSG00000070759	4297	93.1503	8.8709
ENSG00000070785	378	9.3155	0.8871
ENSG00000070831	46488	1004.7800	95.6878
ENSG00000070886	2	0.0280	0.0027
ENSG00000072694	2646	28.3665	2.7014
ENSG00000073754	0	0.0000	0.0000
ENSG00000073756	3242	46.1458	4.3946
ENSG00000074800	220136	4029.8300	383.7693
ENSG00000074964	2102	20.0867	1.9129
ENSG00000075151	7630	67.8937	6.4657
ENSG00000075391	24	0.1523	0.0145
ENSG00000075945	1463	21.8789	2.0836
ENSG00000076258	80	2.3854	0.2272
ENSG00000076321	3281	57.8404	5.5083
ENSG00000076356	266	1.4456	0.1377
ENSG00000076864	228	2.6975	0.2569
ENSG00000077152	704	49.5831	4.7219
ENSG00000077157	2314	12.0510	1.1476
ENSG00000077254	3691	40.0202	3.8112
ENSG00000077522	3	0.0415	0.0040
ENSG00000077549	25554	550.7360	52.4478
ENSG00000077585	717	23.5884	2.2464
ENSG00000078369	78095	954.5530	90.9042
ENSG00000078618	13534	153.3570	14.6045
ENSG00000078808	14354	229.1960	21.8269
ENSG00000078900	79	1.0668	0.1016
ENSG00000079277	5498	51.1566	4.8718
ENSG00000079335	4060	53.1566	5.0622
ENSG00000079739	663	11.9407	1.1371
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	883	9.7202	0.9257
ENSG00000081019	7509	82.5939	7.8656
ENSG00000081026	35	0.3181	0.0303
ENSG00000081237	47765	421.1120	40.1035
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	831	14.4380	1.3750
ENSG00000081721	4772	203.1010	19.3418
ENSG00000081870	1744	47.4197	4.5159
ENSG00000081985	67	1.1857	0.1129
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	6200	51.5372	4.9080
ENSG00000083444	3762	52.9660	5.0441
ENSG00000084070	26883	611.1710	58.2032
ENSG00000084072	2968	27.5806	2.6266
ENSG00000084073	1845	38.7478	3.6900
ENSG00000084623	35626	1548.9700	147.5117
ENSG00000084628	8	0.2009	0.0191
ENSG00000084636	18	0.1447	0.0138
ENSG00000084652	8218	120.7870	11.5028
ENSG00000085433	5421	89.6376	8.5364
ENSG00000085465	496	12.4622	1.1868
ENSG00000085491	6156	70.5147	6.7153
ENSG00000085552	489	5.5362	0.5272
ENSG00000085831	219	1.7509	0.1667
ENSG00000085832	9710	96.4454	9.1847
ENSG00000085840	3950	93.8350	8.9361
ENSG00000085998	1429	16.8319	1.6029
ENSG00000085999	1062	24.7861	2.3604
ENSG00000086015	3574	30.1977	2.8758
ENSG00000086619	3758	49.5549	4.7192
ENSG00000088035	174	2.6393	0.2513
ENSG00000088280	29	0.4497	0.0428
ENSG00000090020	5768	72.4065	6.8954
ENSG00000090104	5307	96.6782	9.2069
ENSG00000090273	10136	266.0960	25.3409
ENSG00000090432	6759	208.1050	19.8183
ENSG00000090621	53394	590.4630	56.2311
ENSG00000090686	4170	32.9303	3.1360
ENSG00000091483	5560	194.6820	18.5400
ENSG00000092607	4	0.0788	0.0075
ENSG00000092621	1063	14.1848	1.3508
ENSG00000092847	21802	126.8920	12.0842
ENSG00000092850	137	5.2123	0.4964
ENSG00000092853	975	13.5176	1.2873
ENSG00000092969	1	0.0200	0.0019
ENSG00000092978	1232	10.4542	0.9956
ENSG00000094963	0	0.0000	0.0000
ENSG00000094975	4353	50.4877	4.8081
ENSG00000097021	4011	61.5364	5.8602
ENSG00000097033	22925	257.5100	24.5232
ENSG00000097046	698	14.5532	1.3859
ENSG00000097096	4	0.0463	0.0044
ENSG00000099260	0	0.0000	0.0000
ENSG00000107404	2609	56.1368	5.3460
ENSG00000116128	1941	22.6752	2.1594
ENSG00000116132	0	0.0000	0.0000
ENSG00000116133	224	3.7879	0.3607
ENSG00000116138	1962	17.1874	1.6368
ENSG00000116141	2	0.0210	0.0020
ENSG00000116147	0	0.0000	0.0000
ENSG00000116151	185	2.6545	0.2528
ENSG00000116157	6788	301.0500	28.6696
ENSG00000116161	5767	95.8991	9.1327
ENSG00000116171	4962	44.8134	4.2677
ENSG00000116183	3	0.0206	0.0020
ENSG00000116191	283	2.8588	0.2723
ENSG00000116194	6	0.1415	0.0135
ENSG00000116198	1115	10.6157	1.0110
ENSG00000116199	4737	58.8359	5.6031
ENSG00000116205	784	10.0910	0.9610
ENSG00000116209	18997	342.8310	32.6485
ENSG00000116212	1887	58.6906	5.5892
ENSG00000116213	1808	17.8305	1.6980
ENSG00000116218	0	0.0000	0.0000
ENSG00000116219	21	0.7806	0.0743
ENSG00000116221	11513	391.7770	37.3098
ENSG00000116237	1648	25.1605	2.3961
ENSG00000116251	46780	716.0180	68.1880
ENSG00000116254	92	0.6960	0.0663
ENSG00000116260	32652	263.0090	25.0469
