gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	2270	44.2882	3.6519
ENSG00000000460	1871	22.0903	1.8215
ENSG00000000938	486	10.3496	0.8534
ENSG00000000971	18	0.1658	0.0137
ENSG00000001460	920	8.1037	0.6682
ENSG00000001461	2571	20.5019	1.6905
ENSG00000004455	5068	66.8814	5.5148
ENSG00000004487	14264	313.1650	25.8227
ENSG00000006555	87	1.0768	0.0888
ENSG00000007341	1474	13.6335	1.1242
ENSG00000007908	17	0.2939	0.0242
ENSG00000007923	3938	57.3787	4.7313
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	169	2.3172	0.1911
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	9998	158.9370	13.1055
ENSG00000008130	3677	48.0592	3.9628
ENSG00000009307	120500	1570.3800	129.4886
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	2100	37.0527	3.0553
ENSG00000009780	1990	51.8821	4.2781
ENSG00000009790	4513	43.6529	3.5995
ENSG00000010072	4730	60.0626	4.9526
ENSG00000010165	1810	35.3229	2.9126
ENSG00000010803	6124	103.2750	8.5158
ENSG00000010932	40	0.8419	0.0694
ENSG00000011007	13082	181.9940	15.0067
ENSG00000011009	4124	140.8620	11.6151
ENSG00000011021	10272	111.9160	9.2283
ENSG00000014914	197	3.2119	0.2648
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	1	0.0290	0.0024
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	841	12.8355	1.0584
ENSG00000020633	19643	319.9110	26.3789
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	1277	73.7529	6.0814
ENSG00000023902	41135	494.5730	40.7811
ENSG00000023909	707	9.8736	0.8142
ENSG00000024526	86	1.0935	0.0902
ENSG00000025800	31067	303.1100	24.9936
ENSG00000026751	774	12.6114	1.0399
ENSG00000027644	50	0.7391	0.0609
ENSG00000027869	4891	146.0190	12.0403
ENSG00000028137	10031	199.7650	16.4720
ENSG00000031698	15855	309.9890	25.5608
ENSG00000033122	176	1.0977	0.0905
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	5326	108.9660	8.9850
ENSG00000036549	6116	50.9231	4.1990
ENSG00000037637	14128	117.9400	9.7250
ENSG00000040487	1351	37.7171	3.1100
ENSG00000041988	2988	55.0322	4.5378
ENSG00000042781	24	0.0874	0.0072
ENSG00000043514	2868	70.0326	5.7747
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	18735	138.0280	11.3814
ENSG00000048707	17107	63.0586	5.1996
ENSG00000049089	2616	47.2676	3.8976
ENSG00000049239	3221	26.4963	2.1848
ENSG00000049245	25891	703.5570	58.0133
ENSG00000049246	336	3.5515	0.2928
ENSG00000049247	54	2.2675	0.1870
ENSG00000049249	64	2.0911	0.1724
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	11342	144.3230	11.9004
ENSG00000053371	939	39.5564	3.2617
