gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1840	35.9032	2.9367
ENSG00000000460	3605	42.5494	3.4803
ENSG00000000938	1547	32.9143	2.6922
ENSG00000000971	284	2.6160	0.2140
ENSG00000001460	446	3.9315	0.3216
ENSG00000001461	2839	22.6393	1.8518
ENSG00000004455	7007	92.4735	7.5638
ENSG00000004487	22897	502.7100	41.1187
ENSG00000006555	94	1.1625	0.0951
ENSG00000007341	3305	30.5647	2.5000
ENSG00000007908	208	3.6964	0.3023
ENSG00000007923	3169	46.1737	3.7767
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	291	3.9960	0.3269
ENSG00000008118	5	0.1323	0.0108
ENSG00000008128	12458	198.0360	16.1982
ENSG00000008130	7808	102.0350	8.3459
ENSG00000009307	145487	1896.0100	155.0827
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	1417	24.9962	2.0446
ENSG00000009780	1513	39.4451	3.2264
ENSG00000009790	4692	45.3845	3.7122
ENSG00000010072	9508	120.7380	9.8757
ENSG00000010165	1146	22.3557	1.8286
ENSG00000010803	17014	286.9500	23.4708
ENSG00000010932	38	0.8058	0.0659
ENSG00000011007	22374	311.2650	25.4596
ENSG00000011009	4309	147.1530	12.0363
ENSG00000011021	8841	96.3241	7.8787
ENSG00000014914	315	5.1394	0.4204
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	3	0.0669	0.0055
ENSG00000018625	4	0.0476	0.0039
ENSG00000020129	2333	35.5837	2.9105
ENSG00000020633	11702	190.5890	15.5890
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	630	36.4018	2.9775
ENSG00000023902	28280	340.0170	27.8114
ENSG00000023909	749	10.4565	0.8553
ENSG00000024526	23	0.2942	0.0241
ENSG00000025800	35423	345.6160	28.2694
ENSG00000026751	1557	25.3610	2.0744
ENSG00000027644	90	1.3170	0.1077
ENSG00000027869	1706	50.9494	4.1674
ENSG00000028137	5046	100.4850	8.2191
ENSG00000031698	8931	174.6250	14.2833
ENSG00000033122	185	1.1538	0.0944
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	4776	97.7103	7.9921
ENSG00000036549	5110	42.5424	3.4797
ENSG00000037637	15360	128.2290	10.4883
ENSG00000040487	982	27.4252	2.2432
ENSG00000041988	3020	55.6240	4.5497
ENSG00000042781	6	0.0236	0.0019
ENSG00000043514	2244	54.8027	4.4825
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	25477	187.7020	15.3529
ENSG00000048707	14253	52.5407	4.2975
ENSG00000049089	5377	97.1467	7.9460
ENSG00000049239	7203	59.2516	4.8464
ENSG00000049245	19854	539.5000	44.1279
ENSG00000049246	322	3.4033	0.2784
ENSG00000049247	48	2.0112	0.1645
ENSG00000049249	839	27.5359	2.2523
ENSG00000050628	65	0.5049	0.0413
ENSG00000052723	5278	67.1625	5.4935
ENSG00000053371	2533	106.6520	8.7235
ENSG00000053372	3252	86.4341	7.0698
ENSG00000054116	3822	86.5255	7.0773
ENSG00000054118	16888	267.4460	21.8755
ENSG00000054267	51592	349.4460	28.5827
ENSG00000054277	727	15.6718	1.2819
ENSG00000054282	5398	77.1523	6.3106
ENSG00000054392	1255	21.9057	1.7918
ENSG00000054523	16710	70.8321	5.7936
ENSG00000055070	44924	709.7710	58.0551
ENSG00000055732	17	0.1884	0.0154
ENSG00000057252	8895	94.8597	7.7590
ENSG00000057468	54	1.2348	0.1010
