gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	206	4.0125	1.1663
ENSG00000000460	622	7.3411	2.1339
ENSG00000000938	1032	21.9628	6.3841
ENSG00000000971	166	1.5286	0.4443
ENSG00000001460	126	1.1096	0.3225
ENSG00000001461	559	4.4607	1.2966
ENSG00000004455	6845	90.3315	26.2574
ENSG00000004487	3575	78.4988	22.8179
ENSG00000006555	6	0.0743	0.0216
ENSG00000007341	867	8.0211	2.3315
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1210	17.6369	5.1267
ENSG00000007933	2	0.0433	0.0126
ENSG00000007968	1569	21.5637	6.2681
ENSG00000008118	2	0.0561	0.0163
ENSG00000008128	2146	34.1098	9.9150
ENSG00000008130	1484	19.3957	5.6379
ENSG00000009307	34477	449.3080	130.6040
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	12	0.2117	0.0615
ENSG00000009780	413	10.7656	3.1294
ENSG00000009790	2257	21.8337	6.3466
ENSG00000010072	698	8.8627	2.5762
ENSG00000010165	664	12.9545	3.7656
ENSG00000010803	2575	43.4345	12.6254
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	2826	39.3163	11.4284
ENSG00000011009	1045	35.7054	10.3787
ENSG00000011021	1061	11.5622	3.3609
ENSG00000014914	740	12.0906	3.5145
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	9	0.1072	0.0312
ENSG00000020129	907	13.8298	4.0200
ENSG00000020633	1855	30.2046	8.7798
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	137	7.9353	2.3066
ENSG00000023902	3429	41.2326	11.9854
ENSG00000023909	823	11.4795	3.3369
ENSG00000024526	367	4.6594	1.3544
ENSG00000025800	3348	32.6675	9.4957
ENSG00000026751	722	11.7648	3.4198
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	40	1.1939	0.3471
ENSG00000028137	1071	21.3324	6.2009
ENSG00000031698	2262	44.2226	12.8546
ENSG00000033122	2	0.0125	0.0036
ENSG00000034971	10	0.3601	0.1047
ENSG00000035687	1536	31.4165	9.1321
ENSG00000036549	1466	12.2042	3.5475
ENSG00000037637	1149	9.5891	2.7873
ENSG00000040487	306	8.5380	2.4818
ENSG00000041988	329	6.0670	1.7636
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	352	8.5861	2.4958
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	5352	39.4305	11.4616
ENSG00000048707	1795	6.6161	1.9232
ENSG00000049089	212	3.8215	1.1108
ENSG00000049239	1585	13.0410	3.7908
ENSG00000049245	3590	97.5594	28.3584
ENSG00000049246	56	0.5916	0.1720
ENSG00000049247	5	0.2103	0.0611
ENSG00000049249	22	0.7299	0.2122
ENSG00000050628	2	0.0155	0.0045
ENSG00000052723	1775	22.5853	6.5651
ENSG00000053371	1843	77.6266	22.5643
ENSG00000053372	1228	32.6311	9.4852
ENSG00000054116	872	19.7341	5.7363
ENSG00000054118	2689	42.5870	12.3791
ENSG00000054267	6057	41.0288	11.9262
ENSG00000054277	1241	26.7457	7.7744
ENSG00000054282	1441	20.5956	5.9867
ENSG00000054392	226	3.9455	1.1469
ENSG00000054523	501	2.1219	0.6168
ENSG00000055070	4860	76.7841	22.3195
ENSG00000055732	0	0.0000	0.0000
