gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	479	9.3379	1.5698
ENSG00000000460	413	4.8730	0.8192
ENSG00000000938	322	6.8632	1.1538
ENSG00000000971	68	0.6260	0.1052
ENSG00000001460	250	2.2064	0.3709
ENSG00000001461	1476	11.7740	1.9794
ENSG00000004455	3945	52.0570	8.7515
ENSG00000004487	11018	241.9160	40.6696
ENSG00000006555	6	0.0743	0.0125
ENSG00000007341	718	6.6354	1.1155
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1573	22.9157	3.8525
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	2714	37.2980	6.2703
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	6526	103.7470	17.4414
ENSG00000008130	2748	35.9117	6.0373
ENSG00000009307	53650	699.1750	117.5415
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	1457	25.7024	4.3209
ENSG00000009780	408	10.6349	1.7879
ENSG00000009790	1374	13.2900	2.2342
ENSG00000010072	2701	34.2980	5.7660
ENSG00000010165	862	16.8228	2.8282
ENSG00000010803	6413	108.1540	18.1822
ENSG00000010932	22	0.4647	0.0781
ENSG00000011007	8717	121.2750	20.3882
ENSG00000011009	2967	101.3430	17.0372
ENSG00000011021	5252	57.2191	9.6194
ENSG00000014914	24	0.3916	0.0658
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	1138	17.3512	2.9170
ENSG00000020633	17821	290.2510	48.7955
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	355	20.5073	3.4476
ENSG00000023902	13377	160.8380	27.0392
ENSG00000023909	760	10.6128	1.7842
ENSG00000024526	97	1.2368	0.2079
ENSG00000025800	13295	129.7190	21.8076
ENSG00000026751	64	1.0419	0.1752
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	233	6.9431	1.1672
ENSG00000028137	1742	34.6853	5.8311
ENSG00000031698	2418	47.2808	7.9486
ENSG00000033122	103	0.6425	0.1080
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1935	39.5884	6.6554
ENSG00000036549	3455	28.7671	4.8362
ENSG00000037637	8555	71.4159	12.0061
ENSG00000040487	560	15.6415	2.6295
ENSG00000041988	1655	30.4833	5.1247
ENSG00000042781	4	0.0146	0.0025
ENSG00000043514	1904	46.5011	7.8175
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	9839	72.4887	12.1864
ENSG00000048707	5494	20.2531	3.4048
ENSG00000049089	870	15.7246	2.6436
ENSG00000049239	8074	66.4234	11.1668
ENSG00000049245	8816	239.5750	40.2761
ENSG00000049246	38	0.4012	0.0674
ENSG00000049247	16	0.6781	0.1140
ENSG00000049249	27	0.8822	0.1483
ENSG00000050628	2	0.0155	0.0026
ENSG00000052723	4639	59.0243	9.9228
ENSG00000053371	1984	83.5373	14.0438
ENSG00000053372	1303	34.6343	5.8225
ENSG00000054116	2001	45.3030	7.6161
ENSG00000054118	10272	162.6670	27.3466
ENSG00000054267	11932	80.8187	13.5868
ENSG00000054277	342	7.3664	1.2384
ENSG00000054282	1144	16.3526	2.7491
ENSG00000054392	1285	22.4423	3.7729
ENSG00000054523	3135	13.2907	2.2344
ENSG00000055070	20223	319.5050	53.7134
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	3278	34.9561	5.8766
ENSG00000057468	29	0.6598	0.1109
ENSG00000057757	5807	199.2180	33.4915
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	1601	9.7895	1.6458
ENSG00000058668	10960	84.5558	14.2151
ENSG00000058673	16824	130.0820	21.8688
ENSG00000058799	1060	35.1544	5.9100
ENSG00000058804	1766	25.7916	4.3360
ENSG00000059588	12122	117.4150	19.7392
ENSG00000060642	982	21.7765	3.6609
ENSG00000060656	18	0.2015	0.0339
ENSG00000060688	4117	76.9738	12.9404
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	3279	40.8634	6.8698
ENSG00000064886	42	0.9624	0.1618
ENSG00000065135	3541	82.8384	13.9264
ENSG00000065183	920	16.5881	2.7887
ENSG00000065243	7046	75.3427	12.6662
ENSG00000065526	35726	201.5520	33.8839
ENSG00000065600	4368	112.4220	18.8998
ENSG00000065978	55458	2155.0900	362.3029
ENSG00000066027	4726	91.7507	15.4246
ENSG00000066056	2965	33.2157	5.5840
ENSG00000066135	7840	113.6850	19.1122
ENSG00000066136	2082	26.0865	4.3855
ENSG00000066185	34	1.1681	0.1964
ENSG00000066279	858	5.9104	0.9936
ENSG00000066294	11994	97.1996	16.3407
ENSG00000066322	3786	115.4620	19.4108
ENSG00000066557	1808	47.0069	7.9025
ENSG00000067208	198	1.7946	0.3017
ENSG00000067334	4072	50.8596	8.5503
ENSG00000067533	1621	15.4246	2.5931
ENSG00000067606	49	0.4852	0.0816
ENSG00000067704	2069	37.2761	6.2666
ENSG00000069248	3278	48.6142	8.1728
ENSG00000069275	12810	146.7700	24.6741
ENSG00000069424	37354	344.7630	57.9597
ENSG00000069702	122	1.0575	0.1778
ENSG00000069712	12	0.1947	0.0327
ENSG00000069812	4	0.0555	0.0093
