gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	512	9.9935	0.8150
ENSG00000000460	937	11.0551	0.9016
ENSG00000000938	746	15.8785	1.2950
ENSG00000000971	1037	9.5476	0.7787
ENSG00000001460	144	1.2658	0.1032
ENSG00000001461	512	4.0819	0.3329
ENSG00000004455	2422	31.9602	2.6065
ENSG00000004487	15271	335.2750	27.3432
ENSG00000006555	16	0.1982	0.0162
ENSG00000007341	1496	13.8311	1.1280
ENSG00000007908	5	0.0868	0.0071
ENSG00000007923	936	13.6386	1.1123
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	288	3.9549	0.3225
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	10041	159.6120	13.0170
ENSG00000008130	6331	82.7343	6.7473
ENSG00000009307	178169	2321.9200	189.3628
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	1457	25.7055	2.0964
ENSG00000009780	1359	35.4444	2.8906
ENSG00000009790	1020	9.8686	0.8048
ENSG00000010072	4537	57.6114	4.6985
ENSG00000010165	687	13.4062	1.0933
ENSG00000010803	6248	105.3730	8.5936
ENSG00000010932	61	1.2720	0.1037
ENSG00000011007	10515	146.2850	11.9302
ENSG00000011009	2587	88.3370	7.2043
ENSG00000011021	3977	43.3254	3.5334
ENSG00000014914	163	2.6617	0.2171
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	366	5.5751	0.4547
ENSG00000020633	8334	135.7340	11.0697
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	432	24.9453	2.0344
ENSG00000023902	24695	296.9090	24.2142
ENSG00000023909	262	3.6582	0.2983
ENSG00000024526	30	0.3843	0.0313
ENSG00000025800	25261	246.4640	20.1002
ENSG00000026751	123	2.0093	0.1639
ENSG00000027644	31	0.4532	0.0370
ENSG00000027869	1197	35.7297	2.9139
ENSG00000028137	1490	29.6824	2.4207
ENSG00000031698	6742	131.8240	10.7508
ENSG00000033122	192	1.1992	0.0978
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1427	29.1879	2.3804
ENSG00000036549	2909	24.2217	1.9754
ENSG00000037637	11519	96.1589	7.8422
ENSG00000040487	852	23.7919	1.9403
ENSG00000041988	2670	49.1771	4.0106
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	1218	29.7405	2.4255
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	16880	124.3590	10.1420
ENSG00000048707	6273	23.1237	1.8858
ENSG00000049089	3412	61.6553	5.0282
ENSG00000049239	1042	8.5751	0.6993
ENSG00000049245	24657	670.0400	54.6446
ENSG00000049246	164	1.7265	0.1408
ENSG00000049247	23	0.9512	0.0776
ENSG00000049249	572	18.7719	1.5309
ENSG00000050628	32	0.2486	0.0203
ENSG00000052723	5009	63.7435	5.1986
ENSG00000053371	2441	102.7970	8.3836
ENSG00000053372	1691	44.9376	3.6648
ENSG00000054116	3325	75.2738	6.1389
ENSG00000054118	11030	174.6800	14.2459
ENSG00000054267	29770	201.6380	16.4445
ENSG00000054277	508	10.9537	0.8933
ENSG00000054282	2120	30.2960	2.4708
ENSG00000054392	226	3.9390	0.3212
ENSG00000054523	3060	12.9704	1.0578
ENSG00000055070	58483	924.0070	75.3567
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	6787	72.3812	5.9030
ENSG00000057468	59	1.3497	0.1101
ENSG00000057757	9381	321.8410	26.2475
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	1456	8.9019	0.7260
ENSG00000058668	3916	30.2103	2.4638
ENSG00000058673	35299	272.9310	22.2587
ENSG00000058799	1236	40.9947	3.3433
ENSG00000058804	1214	17.7381	1.4466
ENSG00000059588	7732	74.8971	6.1082
ENSG00000060642	628	13.9181	1.1351
ENSG00000060656	63	0.7024	0.0573
ENSG00000060688	4772	89.2281	7.2769
ENSG00000060718	0	0.0042	0.0003
ENSG00000064703	6389	79.6137	6.4928
ENSG00000064886	158	3.5888	0.2927
ENSG00000065135	23335	545.9010	44.5206
ENSG00000065183	509	9.1712	0.7479
ENSG00000065243	6362	68.0331	5.5484
ENSG00000065526	44062	248.5830	20.2730
ENSG00000065600	3380	86.9832	7.0939
ENSG00000065978	123076	4782.7500	390.0539
ENSG00000066027	14376	279.1080	22.7625
