gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	863	16.8358	1.7467
ENSG00000000460	263	3.0987	0.3215
ENSG00000000938	14141	300.9580	31.2250
ENSG00000000971	24	0.2209	0.0229
ENSG00000001460	223	1.9612	0.2035
ENSG00000001461	1216	9.7001	1.0064
ENSG00000004455	1897	25.0287	2.5968
ENSG00000004487	10130	222.4020	23.0746
ENSG00000006555	234	2.8963	0.3005
ENSG00000007341	1286	11.8899	1.2336
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	2904	42.3114	4.3899
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	419	5.7526	0.5968
ENSG00000008118	28	0.7900	0.0820
ENSG00000008128	17123	272.1900	28.2403
ENSG00000008130	9018	117.8490	12.2271
ENSG00000009307	132976	1732.9700	179.7992
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	157	2.7704	0.2874
ENSG00000009780	2208	57.5817	5.9742
ENSG00000009790	15719	152.0560	15.7761
ENSG00000010072	4753	60.3630	6.2628
ENSG00000010165	741	14.4543	1.4997
ENSG00000010803	2189	36.9265	3.8312
ENSG00000010932	4	0.0839	0.0087
ENSG00000011007	12605	175.3580	18.1937
ENSG00000011009	3485	119.0200	12.3486
ENSG00000011021	6818	74.2770	7.7064
ENSG00000014914	1106	18.0599	1.8738
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	389	5.9359	0.6159
ENSG00000020633	57570	937.6220	97.2803
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	295	17.0277	1.7667
ENSG00000023902	21024	252.7750	26.2259
ENSG00000023909	1791	24.9970	2.5935
ENSG00000024526	122	1.5481	0.1606
ENSG00000025800	17381	169.5860	17.5949
ENSG00000026751	1066	17.3586	1.8010
ENSG00000027644	2	0.0222	0.0023
ENSG00000027869	667	19.9252	2.0673
ENSG00000028137	21561	429.3890	44.5501
ENSG00000031698	9557	186.8470	19.3857
ENSG00000033122	261	1.6300	0.1691
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	4257	87.0903	9.0358
ENSG00000036549	8465	70.4827	7.3127
ENSG00000037637	7516	62.7454	6.5100
ENSG00000040487	392	10.9590	1.1370
ENSG00000041988	1249	23.0096	2.3873
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	1373	33.5366	3.4795
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	26310	193.8330	20.1106
ENSG00000048707	8272	30.4911	3.1635
ENSG00000049089	608	10.9831	1.1395
ENSG00000049239	4006	32.9562	3.4193
ENSG00000049245	20764	564.2490	58.5420
ENSG00000049246	1100	11.6126	1.2048
ENSG00000049247	1	0.0527	0.0055
ENSG00000049249	131	4.3179	0.4480
ENSG00000050628	64	0.4972	0.0516
ENSG00000052723	9272	117.9900	12.2418
ENSG00000053371	707	29.7878	3.0905
ENSG00000053372	1488	39.5528	4.1037
ENSG00000054116	2450	55.4651	5.7546
ENSG00000054118	13733	217.4750	22.5635
ENSG00000054267	53631	363.2570	37.6887
ENSG00000054277	1511	32.5626	3.3785
ENSG00000054282	987	14.1107	1.4640
ENSG00000054392	172	3.0026	0.3115
ENSG00000054523	8820	37.3875	3.8790
ENSG00000055070	17256	272.6330	28.2862
ENSG00000055732	8	0.0906	0.0094
ENSG00000057252	14891	158.7960	16.4754
ENSG00000057468	285	6.5493	0.6795
ENSG00000057757	10399	356.7930	37.0180
ENSG00000058085	2	0.0229	0.0024
ENSG00000058453	2514	15.3704	1.5947
ENSG00000058668	2501	19.2945	2.0018
ENSG00000058673	34228	264.6510	27.4580
ENSG00000058799	1516	50.3034	5.2191
ENSG00000058804	3389	49.4993	5.1357
ENSG00000059588	11537	111.7510	11.5944
ENSG00000060642	714	15.8359	1.6430
ENSG00000060656	103	1.1528	0.1196
ENSG00000060688	6685	125.0020	12.9692
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	9767	121.6980	12.6264
ENSG00000064886	1203	27.3927	2.8420
ENSG00000065135	13964	326.6640	33.8921
ENSG00000065183	1429	25.7651	2.6732
ENSG00000065243	12115	129.5450	13.4406
ENSG00000065526	45822	258.5110	26.8211
ENSG00000065600	2321	59.7251	6.1966
ENSG00000065978	76142	2958.8700	306.9891
ENSG00000066027	23163	449.7150	46.6589
ENSG00000066056	482	5.4045	0.5607
ENSG00000066135	1916	27.7794	2.8822
ENSG00000066136	4508	56.4677	5.8586
ENSG00000066185	17	0.5809	0.0603
ENSG00000066279	338	2.3280	0.2415
ENSG00000066294	7386	59.8565	6.2102
ENSG00000066322	5804	177.0370	18.3680
ENSG00000066557	6488	168.7240	17.5055
ENSG00000067208	1745	15.8229	1.6417
ENSG00000067334	24333	303.9150	31.5318
ENSG00000067533	5353	50.9324	5.2843
ENSG00000067606	954	9.3710	0.9723
ENSG00000067704	3739	67.3782	6.9906
ENSG00000069248	10680	158.3950	16.4338
ENSG00000069275	22042	252.5460	26.2022
ENSG00000069424	22166	204.5790	21.2256
ENSG00000069702	2222	19.2554	1.9978
ENSG00000069712	140	2.2743	0.2360
ENSG00000069812	2	0.0277	0.0029
ENSG00000070759	1839	39.8564	4.1352
ENSG00000070785	395	9.7233	1.0088
ENSG00000070831	36828	796.0040	82.5871
ENSG00000070886	16	0.2240	0.0232
ENSG00000072694	296	3.1691	0.3288
ENSG00000073754	0	0.0000	0.0000
ENSG00000073756	5555	79.0748	8.2042
ENSG00000074800	41372	757.3520	78.5768
ENSG00000074964	549	5.2433	0.5440
ENSG00000075151	8938	79.5326	8.2517
ENSG00000075391	80	0.5077	0.0527
ENSG00000075945	3140	46.9639	4.8726
ENSG00000076258	79	2.3603	0.2449
ENSG00000076321	3518	62.0317	6.4359
ENSG00000076356	484	2.6336	0.2732
ENSG00000076864	640	7.5617	0.7845
ENSG00000077152	61	4.2629	0.4423
ENSG00000077157	3015	15.7019	1.6291
ENSG00000077254	7486	81.1632	8.4208
ENSG00000077522	3	0.0465	0.0048
ENSG00000077549	11799	254.2870	26.3828
ENSG00000077585	2338	76.9394	7.9826
ENSG00000078369	20374	249.0250	25.8369
ENSG00000078618	5723	64.8450	6.7278
ENSG00000078808	8506	135.8190	14.0915
ENSG00000078900	15	0.1960	0.0203
ENSG00000079277	6441	59.9325	6.2181
ENSG00000079335	14467	189.3870	19.6493
ENSG00000079739	1552	27.9577	2.9007
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	291	3.2055	0.3326
ENSG00000081019	13838	152.1970	15.7908
