gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	2784	54.3161	5.1224
ENSG00000000460	1801	21.2636	2.0053
ENSG00000000938	22230	473.1140	44.6184
ENSG00000000971	1455	13.3991	1.2636
ENSG00000001460	639	5.6263	0.5306
ENSG00000001461	4181	33.3430	3.1445
ENSG00000004455	32275	425.9400	40.1695
ENSG00000004487	12654	277.8170	26.2003
ENSG00000006555	250	3.0953	0.2919
ENSG00000007341	3189	29.4877	2.7809
ENSG00000007908	93	1.6525	0.1558
ENSG00000007923	4629	67.4504	6.3611
ENSG00000007933	355	7.6855	0.7248
ENSG00000007968	2271	31.2151	2.9438
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	4354	69.2156	6.5276
ENSG00000008130	12775	166.9530	15.7450
ENSG00000009307	88073	1147.7800	108.2451
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	16	0.2752	0.0260
ENSG00000009780	1292	33.6836	3.1766
ENSG00000009790	11670	112.8880	10.6462
ENSG00000010072	2083	26.4582	2.4952
ENSG00000010165	2290	44.6992	4.2155
ENSG00000010803	8843	149.1360	14.0647
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	7749	107.8020	10.1666
ENSG00000011009	5392	184.1630	17.3681
ENSG00000011021	4966	54.1053	5.1026
ENSG00000014914	240	3.9153	0.3692
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	8	0.0953	0.0090
ENSG00000020129	4356	66.4415	6.2660
ENSG00000020633	4953	80.6625	7.6071
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	507	29.2479	2.7583
ENSG00000023902	10088	121.2870	11.4383
ENSG00000023909	2724	38.0214	3.5857
ENSG00000024526	1091	13.8543	1.3066
ENSG00000025800	13824	134.8760	12.7198
ENSG00000026751	1709	27.8462	2.6261
ENSG00000027644	42	0.6205	0.0585
ENSG00000027869	349	10.4212	0.9828
ENSG00000028137	15036	299.4480	28.2404
ENSG00000031698	9016	176.2870	16.6252
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	16	0.5761	0.0543
ENSG00000035687	11679	238.9420	22.5341
ENSG00000036549	7520	62.6148	5.9051
ENSG00000037637	7836	65.4122	6.1689
ENSG00000040487	1566	43.7193	4.1231
ENSG00000041988	786	14.4772	1.3653
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	2005	48.9707	4.6183
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	27297	201.1070	18.9660
ENSG00000048707	8772	32.3374	3.0497
ENSG00000049089	2336	42.2130	3.9810
ENSG00000049239	19464	160.1210	15.1007
ENSG00000049245	13642	370.7030	34.9602
ENSG00000049246	261	2.7549	0.2598
ENSG00000049247	12	0.5048	0.0476
ENSG00000049249	45	1.4628	0.1380
ENSG00000050628	502	3.8962	0.3674
ENSG00000052723	7323	93.1837	8.7880
ENSG00000053371	7541	317.5420	29.9467
ENSG00000053372	3380	89.8221	8.4709
ENSG00000054116	4327	97.9571	9.2381
ENSG00000054118	11955	189.3160	17.8540
ENSG00000054267	18565	125.7470	11.8589
ENSG00000054277	3081	66.3934	6.2614
ENSG00000054282	5268	75.3051	7.1019
ENSG00000054392	1161	20.2635	1.9110
ENSG00000054523	5563	23.5814	2.2239
ENSG00000055070	13266	209.6000	19.7670
ENSG00000055732	5	0.0519	0.0049
ENSG00000057252	4494	47.9251	4.5197
ENSG00000057468	105	2.4140	0.2277
ENSG00000057757	5345	183.3740	17.2936
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	2095	12.8126	1.2083
ENSG00000058668	35082	270.6660	25.5260
ENSG00000058673	27870	215.4900	20.3224
ENSG00000058799	2745	91.0632	8.5880
ENSG00000058804	5771	84.2847	7.9487
ENSG00000059588	20152	195.1960	18.4086
ENSG00000060642	1635	36.2676	3.4203
ENSG00000060656	230	2.5705	0.2424
ENSG00000060688	3659	68.4251	6.4530
ENSG00000060718	25	0.2269	0.0214
ENSG00000064703	6179	76.9948	7.2612
ENSG00000064886	487	11.0753	1.0445
ENSG00000065135	12161	284.4830	26.8290
ENSG00000065183	2648	47.7471	4.5029
ENSG00000065243	14946	159.8160	15.0719
ENSG00000065526	44419	250.5970	23.6332
ENSG00000065600	1769	45.5371	4.2945
ENSG00000065978	69540	2702.3500	254.8526
ENSG00000066027	15694	304.6890	28.7346
ENSG00000066056	7834	87.7676	8.2772
ENSG00000066135	4164	60.3768	5.6940
ENSG00000066136	7695	96.3944	9.0907
ENSG00000066185	432	14.7494	1.3910
ENSG00000066279	4121	28.3918	2.6776
ENSG00000066294	15683	127.0930	11.9858
ENSG00000066322	8327	253.9770	23.9521
ENSG00000066557	3420	88.9359	8.3874
ENSG00000067208	2661	24.1227	2.2750
ENSG00000067334	19533	243.9600	23.0073
ENSG00000067533	2802	26.6558	2.5139
ENSG00000067606	1881	18.4776	1.7426
ENSG00000067704	10500	189.2190	17.8448
ENSG00000069248	6341	94.0435	8.8690
ENSG00000069275	25579	293.0720	27.6390
ENSG00000069424	65770	607.0300	57.2477
ENSG00000069702	601	5.2083	0.4912
ENSG00000069712	1488	24.1330	2.2759
ENSG00000069812	12	0.1665	0.0157
ENSG00000070759	3092	67.0257	6.3211
ENSG00000070785	2133	52.5610	4.9569
ENSG00000070831	29439	636.2800	60.0062
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	402	4.3056	0.4061
ENSG00000073754	280	8.5603	0.8073
ENSG00000073756	18088	257.4700	24.2814
ENSG00000074800	194531	3561.1100	335.8402
ENSG00000074964	205	1.9623	0.1851
ENSG00000075151	28920	257.3290	24.2682
ENSG00000075391	2554	16.2082	1.5286
ENSG00000075945	2365	35.3753	3.3362
ENSG00000076258	619	18.4462	1.7396
ENSG00000076321	2749	48.4744	4.5715
ENSG00000076356	170	0.9247	0.0872
ENSG00000076864	271	3.2095	0.3027
ENSG00000077152	1337	94.1737	8.8813
ENSG00000077157	6292	32.7683	3.0903
ENSG00000077254	8986	97.4170	9.1872
ENSG00000077522	10	0.1384	0.0131
ENSG00000077549	29815	642.5640	60.5988
ENSG00000077585	458	15.0878	1.4229
ENSG00000078369	46453	567.7890	53.5469
ENSG00000078618	26127	296.0460	27.9194
ENSG00000078808	15331	244.8040	23.0869
ENSG00000078900	1145	15.4619	1.4582
ENSG00000079277	10174	94.6718	8.9283
ENSG00000079335	5623	73.6151	6.9425
ENSG00000079739	6741	121.4200	11.4508
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	428	4.7108	0.4443
ENSG00000081019	10054	110.5820	10.4288
ENSG00000081026	687	6.2974	0.5939
ENSG00000081237	86195	759.9180	71.6663
ENSG00000081248	5	0.0652	0.0061
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	1796	31.2192	2.9442
ENSG00000081721	2015	85.7804	8.0898
ENSG00000081870	2866	77.9007	7.3467
ENSG00000081985	125	2.2235	0.2097
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	123	1.6872	0.1591
ENSG00000082512	3000	24.9426	2.3523
ENSG00000083444	7767	109.3510	10.3127
ENSG00000084070	29659	674.2680	63.5887
ENSG00000084072	4021	37.3690	3.5242
ENSG00000084073	4892	102.7140	9.6867
ENSG00000084623	26054	1132.7700	106.8292
ENSG00000084628	12	0.3013	0.0284
ENSG00000084636	167	1.3110	0.1236
ENSG00000084652	6079	89.3492	8.4263
ENSG00000085433	2682	44.3496	4.1825
ENSG00000085465	202	5.0726	0.4784
ENSG00000085491	5704	65.3282	6.1610
ENSG00000085552	2	0.0227	0.0021
ENSG00000085831	7	0.0561	0.0053
ENSG00000085832	22790	226.3640	21.3479
ENSG00000085840	2352	55.8654	5.2685
ENSG00000085998	3929	46.2870	4.3652
ENSG00000085999	1134	26.4720	2.4965
ENSG00000086015	5959	50.3530	4.7487
ENSG00000086619	2588	34.1181	3.2176
ENSG00000088035	2749	41.6882	3.9315
ENSG00000088280	48	0.7351	0.0693
ENSG00000090020	5353	67.1871	6.3363
ENSG00000090104	16247	295.9740	27.9127
ENSG00000090273	7434	195.1470	18.4039
ENSG00000090432	2925	90.0628	8.4936
ENSG00000090621	35891	396.9090	37.4316
ENSG00000090686	17700	139.7780	13.1821
ENSG00000091483	4230	148.1190	13.9688
ENSG00000092607	42	0.8276	0.0781
ENSG00000092621	1613	21.5238	2.0299
ENSG00000092847	14487	84.3176	7.9518
ENSG00000092850	348	13.1901	1.2439
ENSG00000092853	2088	28.9355	2.7288
ENSG00000092969	6	0.0874	0.0082
ENSG00000092978	2354	19.9802	1.8843
ENSG00000094963	721	8.6684	0.8175
ENSG00000094975	20672	239.7340	22.6089
ENSG00000097021	2240	34.3635	3.2408
ENSG00000097033	20140	226.2190	21.3342
ENSG00000097046	2313	48.1981	4.5455
ENSG00000097096	97	1.1296	0.1065
ENSG00000099260	82	1.0351	0.0976
ENSG00000107404	3248	69.8787	6.5901
ENSG00000116128	4199	49.0540	4.6262
ENSG00000116132	118	1.0731	0.1012
ENSG00000116133	854	14.4299	1.3608
ENSG00000116138	4169	36.5144	3.4436
ENSG00000116141	51	0.5354	0.0505
ENSG00000116147	207	2.9055	0.2740
ENSG00000116151	491	7.0354	0.6635
ENSG00000116157	2399	106.4180	10.0360
ENSG00000116161	5073	84.3543	7.9553
ENSG00000116171	18250	164.8150	15.5433
ENSG00000116183	0	0.0000	0.0000
ENSG00000116191	8803	88.9539	8.3891
ENSG00000116194	12	0.2620	0.0247
ENSG00000116198	5186	49.3865	4.6575
ENSG00000116199	10513	130.5610	12.3129
ENSG00000116205	1951	25.1205	2.3691
ENSG00000116209	36979	667.3300	62.9344
ENSG00000116212	1620	50.3824	4.7515
ENSG00000116213	5103	50.3365	4.7471
ENSG00000116218	0	0.0000	0.0000
ENSG00000116219	9	0.3285	0.0310
ENSG00000116221	7879	268.1120	25.2851
ENSG00000116237	3629	55.4172	5.2263
ENSG00000116251	40030	612.7040	57.7829
ENSG00000116254	632	4.7909	0.4518
ENSG00000116260	31275	251.9230	23.7583
ENSG00000116266	10586	134.6850	12.7018
ENSG00000116273	935	19.0565	1.7972
ENSG00000116285	1606	28.7728	2.7135
ENSG00000116288	14029	438.9590	41.3973
ENSG00000116299	53	0.4278	0.0403
ENSG00000116329	0	0.0000	0.0000
ENSG00000116337	26572	291.8770	27.5263
ENSG00000116350	11389	268.7670	25.3469
ENSG00000116353	1325	25.0628	2.3636
ENSG00000116396	1578	12.6643	1.1943
ENSG00000116406	15381	153.1530	14.4436
ENSG00000116455	4557	121.8380	11.4903
ENSG00000116459	15236	337.7870	31.8559
ENSG00000116473	9844	128.7750	12.1445
ENSG00000116478	14760	276.1290	26.0412
ENSG00000116489	33267	604.1180	56.9731
ENSG00000116497	6983	56.9853	5.3742
ENSG00000116514	9133	262.4470	24.7508
ENSG00000116521	9007	276.6310	26.0884
ENSG00000116525	1659	31.3265	2.9543
ENSG00000116539	19439	109.6490	10.3408
ENSG00000116544	99	1.8647	0.1759
ENSG00000116560	96870	978.3550	92.2666
ENSG00000116574	1279	21.9360	2.0687
ENSG00000116580	10551	65.0877	6.1383
ENSG00000116584	21656	219.0760	20.6606
ENSG00000116586	6096	317.9480	29.9850
ENSG00000116604	29987	351.4130	33.1410
ENSG00000116641	3386	23.3534	2.2024
ENSG00000116649	20593	813.7310	76.7413
ENSG00000116652	39	2.5258	0.2382
ENSG00000116661	42	1.3502	0.1273
ENSG00000116663	1662	68.8437	6.4925
ENSG00000116667	336	2.2980	0.2167
ENSG00000116668	1140	21.0937	1.9893
ENSG00000116670	3594	79.2183	7.4709
ENSG00000116675	730	7.9270	0.7476
ENSG00000116678	8209	53.7347	5.0676
ENSG00000116679	48752	461.1470	43.4898
ENSG00000116685	8238	188.3010	17.7582
ENSG00000116688	11013	165.9300	15.6485
ENSG00000116690	0	0.0000	0.0000
ENSG00000116691	5660	150.4850	14.1919
ENSG00000116698	25697	231.7230	21.8533
ENSG00000116701	9491	243.1080	22.9270
ENSG00000116703	0	0.0000	0.0000
ENSG00000116704	3227	33.8288	3.1903
ENSG00000116711	4128	107.6920	10.1562
ENSG00000116717	3010	109.0980	10.2888
ENSG00000116721	0	0.0000	0.0000
ENSG00000116726	0	0.0000	0.0000
ENSG00000116729	142	2.3583	0.2224
ENSG00000116731	88581	608.9990	57.4334
ENSG00000116741	31183	1121.1400	105.7321
ENSG00000116745	3	0.1004	0.0095
ENSG00000116747	6985	57.5595	5.4283
ENSG00000116748	265	7.9547	0.7502
ENSG00000116750	3684	76.7744	7.2404
ENSG00000116752	4425	255.4970	24.0953
ENSG00000116754	60677	536.8390	50.6281
ENSG00000116761	227	7.0522	0.6651
ENSG00000116771	157	4.7092	0.4441
ENSG00000116774	576	19.0715	1.7986
ENSG00000116783	197	2.5301	0.2386
ENSG00000116785	0	0.0000	0.0000
ENSG00000116786	14659	266.7170	25.1535
ENSG00000116791	1589	29.1977	2.7536
ENSG00000116793	5016	52.4667	4.9480
ENSG00000116809	6543	115.7310	10.9143
ENSG00000116815	4361	183.4300	17.2988
ENSG00000116819	348	11.9360	1.1257
ENSG00000116824	5807	259.4140	24.4648
ENSG00000116830	6752	81.0122	7.6401
