gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1029	20.0851	1.4715
ENSG00000000460	733	8.6531	0.6339
ENSG00000000938	20690	440.3340	32.2599
ENSG00000000971	2	0.0184	0.0013
ENSG00000001460	218	1.9201	0.1407
ENSG00000001461	1709	13.6325	0.9987
ENSG00000004455	2747	36.2516	2.6559
ENSG00000004487	14500	318.3550	23.3235
ENSG00000006555	52	0.6449	0.0473
ENSG00000007341	1987	18.3771	1.3464
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1620	23.6097	1.7297
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	7232	99.3997	7.2823
ENSG00000008118	27	0.7582	0.0555
ENSG00000008128	13012	206.8480	15.1542
ENSG00000008130	8979	117.3470	8.5971
ENSG00000009307	155144	2021.8700	148.1267
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	2374	41.8923	3.0691
ENSG00000009780	1929	50.3046	3.6854
ENSG00000009790	3193	30.8893	2.2630
ENSG00000010072	6438	81.7619	5.9901
ENSG00000010165	1985	38.7468	2.8387
ENSG00000010803	11164	188.2800	13.7938
ENSG00000010932	20	0.4105	0.0301
ENSG00000011007	22558	313.8220	22.9914
ENSG00000011009	4090	139.6960	10.2344
ENSG00000011021	6371	69.4140	5.0854
ENSG00000014914	2895	47.2975	3.4651
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	5	0.0592	0.0043
ENSG00000020129	599	9.1399	0.6696
ENSG00000020633	6908	112.5090	8.2427
ENSG00000021852	0	0.0106	0.0008
ENSG00000023572	844	48.7367	3.5706
ENSG00000023902	56831	683.2870	50.0593
ENSG00000023909	520	7.2626	0.5321
ENSG00000024526	71	0.9072	0.0665
ENSG00000025800	36931	360.3250	26.3983
ENSG00000026751	380	6.1872	0.4533
ENSG00000027644	23	0.3433	0.0252
ENSG00000027869	495	14.7934	1.0838
ENSG00000028137	65403	1302.5100	95.4251
ENSG00000031698	8193	160.1900	11.7359
ENSG00000033122	200	1.2463	0.0913
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	2148	43.9504	3.2199
ENSG00000036549	5193	43.2385	3.1678
ENSG00000037637	13291	110.9530	8.1287
ENSG00000040487	1536	42.8812	3.1416
ENSG00000041988	1877	34.5774	2.5332
ENSG00000042781	4	0.0146	0.0011
ENSG00000043514	1245	30.3940	2.2267
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	16995	125.2100	9.1732
ENSG00000048707	14061	51.8309	3.7973
ENSG00000049089	1998	36.0966	2.6445
ENSG00000049239	2978	24.4993	1.7949
ENSG00000049245	27394	744.3960	54.5362
ENSG00000049246	66	0.6926	0.0507
ENSG00000049247	10	0.4156	0.0304
ENSG00000049249	38	1.2377	0.0907
ENSG00000050628	14	0.1088	0.0080
ENSG00000052723	7880	100.2780	7.3466
