gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	433	8.4532	0.9196
ENSG00000000460	1051	12.4103	1.3501
ENSG00000000938	55481	1180.7700	128.4538
ENSG00000000971	149	1.3722	0.1493
ENSG00000001460	1061	9.3436	1.0165
ENSG00000001461	1264	10.0774	1.0963
ENSG00000004455	32410	427.7270	46.5315
ENSG00000004487	5014	110.0950	11.9770
ENSG00000006555	0	0.0000	0.0000
ENSG00000007341	1087	10.0517	1.0935
ENSG00000007908	12	0.2133	0.0232
ENSG00000007923	6242	90.9503	9.8943
ENSG00000007933	54	1.1695	0.1272
ENSG00000007968	976	13.4108	1.4589
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	3193	50.7616	5.5222
ENSG00000008130	12854	167.9800	18.2742
ENSG00000009307	31663	412.6370	44.8900
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	4	0.0706	0.0077
ENSG00000009780	290	7.5661	0.8231
ENSG00000009790	7469	72.2489	7.8598
ENSG00000010072	421	5.3463	0.5816
ENSG00000010165	3286	64.1272	6.9763
ENSG00000010803	4131	69.6760	7.5799
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	2461	34.2308	3.7239
ENSG00000011009	9560	326.5020	35.5195
ENSG00000011021	3202	34.8873	3.7953
ENSG00000014914	27467	448.7130	48.8146
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	37	0.4457	0.0485
ENSG00000020129	7744	118.1260	12.8507
ENSG00000020633	20256	329.8990	35.8890
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	1271	73.3903	7.9840
ENSG00000023902	8217	98.7908	10.7473
ENSG00000023909	221	3.0828	0.3354
ENSG00000024526	592	7.5191	0.8180
ENSG00000025800	8822	86.0693	9.3633
ENSG00000026751	44	0.7168	0.0780
ENSG00000027644	10	0.1470	0.0160
ENSG00000027869	254	7.5776	0.8244
ENSG00000028137	15909	316.8310	34.4674
ENSG00000031698	10516	205.6050	22.3674
ENSG00000033122	10	0.0624	0.0068
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	3076	62.9261	6.8456
ENSG00000036549	1906	15.8651	1.7259
ENSG00000037637	4501	37.5776	4.0880
ENSG00000040487	13521	377.5400	41.0718
ENSG00000041988	1248	22.9875	2.5008
ENSG00000042781	6	0.0216	0.0023
ENSG00000043514	461	11.2638	1.2254
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	4602	33.9030	3.6882
ENSG00000048707	2912	10.7336	1.1677
ENSG00000049089	7414	133.9610	14.5734
ENSG00000049239	9958	81.9181	8.9117
ENSG00000049245	16163	439.2180	47.7817
ENSG00000049246	3021	31.8912	3.4694
ENSG00000049247	38	1.5934	0.1733
ENSG00000049249	80	2.6279	0.2859
ENSG00000050628	249	1.9360	0.2106
ENSG00000052723	1633	20.7827	2.2609
ENSG00000053371	36872	1552.7300	168.9183
ENSG00000053372	5907	156.9780	17.0773
ENSG00000054116	6369	144.1890	15.6861
ENSG00000054118	8559	135.5370	14.7448
ENSG00000054267	4346	29.4381	3.2025
ENSG00000054277	14613	314.9380	34.2615
ENSG00000054282	3312	47.3402	5.1500
ENSG00000054392	549	9.5796	1.0421
ENSG00000054523	752	3.1896	0.3470
ENSG00000055070	23185	366.3040	39.8495
ENSG00000055732	18	0.2038	0.0222
ENSG00000057252	2853	30.4270	3.3101
ENSG00000057468	91	2.0821	0.2265
ENSG00000057757	5600	192.1200	20.9003
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	1255	7.6773	0.8352
ENSG00000058668	18034	139.1370	15.1365
ENSG00000058673	5728	44.2901	4.8182
ENSG00000058799	3750	124.3780	13.5309
ENSG00000058804	3558	51.9675	5.6534
ENSG00000059588	5908	57.2268	6.2256
ENSG00000060642	2039	45.2138	4.9187
ENSG00000060656	856	9.5873	1.0430
ENSG00000060688	4556	85.1852	9.2671
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	1008	12.5554	1.3659
ENSG00000064886	171	3.8871	0.4229
ENSG00000065135	5841	136.6340	14.8642
ENSG00000065183	980	17.6711	1.9224
ENSG00000065243	1044	11.1682	1.2150
ENSG00000065526	15068	85.0108	9.2482
ENSG00000065600	9147	235.4280	25.6117
ENSG00000065978	100421	3902.3700	424.5315
ENSG00000066027	3121	60.6008	6.5927
ENSG00000066056	94	1.0526	0.1145
ENSG00000066135	4499	65.2456	7.0979
ENSG00000066136	11499	144.0480	15.6707
ENSG00000066185	271	9.2597	1.0073
ENSG00000066279	2412	16.6152	1.8075
ENSG00000066294	4077	33.0398	3.5943
ENSG00000066322	8093	246.8260	26.8517
ENSG00000066557	869	22.5905	2.4576
ENSG00000067208	1378	12.4912	1.3589
ENSG00000067334	2182	27.2511	2.9646
