gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1009	19.6956	1.6803
ENSG00000000460	1261	14.8900	1.2703
ENSG00000000938	4313	91.7948	7.8311
ENSG00000000971	105	0.9661	0.0824
ENSG00000001460	1228	10.8176	0.9229
ENSG00000001461	11926	95.1141	8.1143
ENSG00000004455	15525	204.8870	17.4792
ENSG00000004487	13191	289.6210	24.7080
ENSG00000006555	24	0.2973	0.0254
ENSG00000007341	1658	15.3335	1.3081
ENSG00000007908	8	0.1420	0.0121
ENSG00000007923	6814	99.2924	8.4708
ENSG00000007933	16	0.3555	0.0303
ENSG00000007968	1918	26.3605	2.2488
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	5507	87.5377	7.4680
ENSG00000008130	11489	150.1430	12.8089
ENSG00000009307	52041	678.2120	57.8592
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	422	7.4406	0.6348
ENSG00000009780	676	17.6360	1.5045
ENSG00000009790	10176	98.4428	8.3983
ENSG00000010072	1596	20.2716	1.7294
ENSG00000010165	6494	126.7380	10.8122
ENSG00000010803	17660	297.8490	25.4099
ENSG00000010932	10	0.2152	0.0184
ENSG00000011007	8336	115.9710	9.8936
ENSG00000011009	7608	259.8420	22.1675
ENSG00000011021	4480	48.8043	4.1636
ENSG00000014914	94	1.5306	0.1306
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0066	0.0006
ENSG00000018625	6	0.0715	0.0061
ENSG00000020129	10250	156.3460	13.3381
ENSG00000020633	29362	478.2150	40.7972
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	700	40.4119	3.4476
ENSG00000023902	24298	292.1340	24.9223
ENSG00000023909	647	9.0249	0.7699
ENSG00000024526	80	1.0157	0.0867
ENSG00000025800	13903	135.6480	11.5723
ENSG00000026751	290	4.7291	0.4035
ENSG00000027644	3	0.0449	0.0038
ENSG00000027869	555	16.5800	1.4145
ENSG00000028137	7546	150.2790	12.8205
ENSG00000031698	13334	260.6930	22.2401
ENSG00000033122	26	0.1619	0.0138
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	4151	84.9154	7.2443
ENSG00000036549	2277	18.9606	1.6176
ENSG00000037637	9956	83.1161	7.0907
ENSG00000040487	2161	60.3421	5.1479
ENSG00000041988	5264	96.9462	8.2706
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	977	23.8642	2.0359
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	7556	55.6671	4.7490
ENSG00000048707	7398	27.2716	2.3266
ENSG00000049089	2549	46.0518	3.9287
ENSG00000049239	11803	97.0975	8.2835
ENSG00000049245	10816	293.9040	25.0734
ENSG00000049246	262	2.7645	0.2358
ENSG00000049247	908	38.1935	3.2584
ENSG00000049249	53	1.7255	0.1472
ENSG00000050628	2	0.0155	0.0013
ENSG00000052723	2486	31.6342	2.6988
ENSG00000053371	11825	497.9710	42.4826
ENSG00000053372	6595	175.2700	14.9525
ENSG00000054116	8628	195.3300	16.6638
ENSG00000054118	17460	276.4940	23.5881
ENSG00000054267	6678	45.2302	3.8587
ENSG00000054277	5300	114.2340	9.7454
ENSG00000054282	4269	61.0202	5.2057
ENSG00000054392	5369	93.7405	7.9971
ENSG00000054523	4953	20.9966	1.7912
ENSG00000055070	28122	444.3150	37.9051
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	2392	25.5070	2.1760
ENSG00000057468	19	0.4354	0.0371
ENSG00000057757	8913	305.8140	26.0894
ENSG00000058085	2	0.0229	0.0020
ENSG00000058453	3076	18.8072	1.6045
ENSG00000058668	36255	279.7170	23.8630
ENSG00000058673	14804	114.4680	9.7654
ENSG00000058799	5144	170.6380	14.5573
ENSG00000058804	2203	32.1704	2.7445
ENSG00000059588	13728	132.9700	11.3439
ENSG00000060642	5226	115.8930	9.8870
ENSG00000060656	10	0.1119	0.0095
ENSG00000060688	2713	50.7253	4.3274
ENSG00000060718	12	0.1089	0.0093
ENSG00000064703	1512	18.8372	1.6070
ENSG00000064886	171	3.9023	0.3329
ENSG00000065135	3230	75.5555	6.4458
ENSG00000065183	1446	26.0671	2.2238
ENSG00000065243	2291	24.5027	2.0904
ENSG00000065526	27402	154.5920	13.1885
ENSG00000065600	6241	160.6220	13.7029
ENSG00000065978	86525	3362.3600	286.8471
ENSG00000066027	7975	154.8420	13.2098
ENSG00000066056	10139	113.6030	9.6917
ENSG00000066135	10027	145.4000	12.4043
ENSG00000066136	9027	113.0840	9.6473
ENSG00000066185	467	15.9681	1.3623
ENSG00000066279	408	2.8078	0.2395
ENSG00000066294	17616	142.7520	12.1784
ENSG00000066322	18003	549.0850	46.8432
ENSG00000066557	422	10.9775	0.9365
ENSG00000067208	242	2.1972	0.1874
ENSG00000067334	6398	79.9074	6.8170
ENSG00000067533	753	7.1595	0.6108
ENSG00000067606	835	8.2044	0.6999
ENSG00000067704	5383	96.9993	8.2751
ENSG00000069248	1837	27.2397	2.3239
ENSG00000069275	12168	139.4160	11.8938
ENSG00000069424	119159	1099.7900	93.8246
ENSG00000069702	119	1.0311	0.0880
ENSG00000069712	191	3.0993	0.2644
ENSG00000069812	14	0.1940	0.0166
ENSG00000070759	5120	110.9830	9.4681
ENSG00000070785	1043	25.7065	2.1931
ENSG00000070831	30917	668.2300	57.0076
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	182	1.9511	0.1665
ENSG00000073754	286	8.7248	0.7443
ENSG00000073756	18117	257.8870	22.0007
ENSG00000074800	304488	5573.9800	475.5239
ENSG00000074964	101	0.9690	0.0827
ENSG00000075151	12001	106.7850	9.1100
ENSG00000075391	80	0.5055	0.0431
ENSG00000075945	1850	27.6783	2.3613
ENSG00000076258	517	15.3965	1.3135
ENSG00000076321	1014	17.8855	1.5258
ENSG00000076356	1398	7.6063	0.6489
ENSG00000076864	489	5.7772	0.4929
ENSG00000077152	440	30.9981	2.6445
ENSG00000077157	3108	16.1865	1.3809
