gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	589	11.4857	1.0172
ENSG00000000460	745	8.7929	0.7787
ENSG00000000938	30467	648.4090	57.4258
ENSG00000000971	21	0.1934	0.0171
ENSG00000001460	507	4.4664	0.3956
ENSG00000001461	2394	19.0938	1.6910
ENSG00000004455	27134	358.0890	31.7139
ENSG00000004487	10789	236.8690	20.9781
ENSG00000006555	59	0.7325	0.0649
ENSG00000007341	1228	11.3575	1.0059
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	2311	33.6689	2.9819
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	4051	55.6786	4.9311
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	6250	99.3465	8.7986
ENSG00000008130	9171	119.8450	10.6140
ENSG00000009307	126743	1651.7300	146.2841
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	126	2.2235	0.1969
ENSG00000009780	2060	53.7201	4.7577
ENSG00000009790	6843	66.1985	5.8628
ENSG00000010072	7354	93.3923	8.2712
ENSG00000010165	906	17.6732	1.5652
ENSG00000010803	6293	106.1350	9.3998
ENSG00000010932	5	0.1049	0.0093
ENSG00000011007	20078	279.3230	24.7380
ENSG00000011009	6131	209.4010	18.5454
ENSG00000011021	4631	50.4586	4.4688
ENSG00000014914	3570	58.3176	5.1648
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	2007	30.6122	2.7111
ENSG00000020633	40447	658.7420	58.3411
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	414	23.8915	2.1159
ENSG00000023902	26696	320.9740	28.4268
ENSG00000023909	608	8.4894	0.7519
ENSG00000024526	307	3.9024	0.3456
ENSG00000025800	16626	162.2170	14.3666
ENSG00000026751	424	6.8997	0.6111
ENSG00000027644	4	0.0557	0.0049
ENSG00000027869	203	6.0629	0.5370
ENSG00000028137	12823	255.3800	22.6175
ENSG00000031698	5638	110.2230	9.7618
ENSG00000033122	4	0.0250	0.0022
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	5086	104.0450	9.2147
ENSG00000036549	6696	55.7498	4.9374
ENSG00000037637	3852	32.1602	2.8482
ENSG00000040487	2530	70.6437	6.2565
ENSG00000041988	1282	23.6120	2.0912
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	1106	27.0221	2.3932
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	22626	166.6920	14.7629
ENSG00000048707	7667	28.2614	2.5029
ENSG00000049089	7890	142.5560	12.6254
ENSG00000049239	18556	152.6530	13.5196
ENSG00000049245	34484	937.0610	82.9901
ENSG00000049246	617	6.5124	0.5768
ENSG00000049247	363	15.2765	1.3529
ENSG00000049249	68	2.2290	0.1974
ENSG00000050628	6	0.0471	0.0042
ENSG00000052723	8383	106.6740	9.4475
ENSG00000053371	17794	749.3050	66.3617
ENSG00000053372	2480	65.9185	5.8380
ENSG00000054116	3052	69.1008	6.1199
ENSG00000054118	6376	100.9770	8.9429
ENSG00000054267	21110	142.9830	12.6632
ENSG00000054277	8642	186.2480	16.4949
ENSG00000054282	3711	53.0404	4.6975
ENSG00000054392	1107	19.3254	1.7115
ENSG00000054523	5632	23.8741	2.1144
ENSG00000055070	17885	282.5780	25.0263
ENSG00000055732	8	0.0906	0.0080
ENSG00000057252	7530	80.3007	7.1118
ENSG00000057468	56	1.2829	0.1136
ENSG00000057757	8773	301.0080	26.6585
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	3353	20.5063	1.8161
ENSG00000058668	26119	201.5150	17.8470
ENSG00000058673	28961	223.9250	19.8317
ENSG00000058799	2350	77.9633	6.9048
ENSG00000058804	3982	58.1581	5.1507
ENSG00000059588	13678	132.4830	11.7333
ENSG00000060642	999	22.1546	1.9621
ENSG00000060656	460	5.1516	0.4562
ENSG00000060688	4534	84.7729	7.5078
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	8432	105.0730	9.3057
ENSG00000064886	259	5.8941	0.5220
ENSG00000065135	20262	474.0120	41.9805
ENSG00000065183	1570	28.3044	2.5068
ENSG00000065243	5766	61.6554	5.4605
ENSG00000065526	42086	237.4330	21.0280
ENSG00000065600	7081	182.2510	16.1410
ENSG00000065978	114442	4447.2500	393.8671
ENSG00000066027	24308	471.9430	41.7973
ENSG00000066056	2340	26.2151	2.3217
ENSG00000066135	2166	31.4058	2.7814
ENSG00000066136	4665	58.4423	5.1759
ENSG00000066185	233	7.9585	0.7048
ENSG00000066279	2822	19.4386	1.7216
ENSG00000066294	16045	130.0280	11.5158
ENSG00000066322	8564	261.2020	23.1331
ENSG00000066557	4614	119.9790	10.6258
ENSG00000067208	3426	31.0648	2.7512
ENSG00000067334	31342	391.4470	34.6682
ENSG00000067533	3426	32.5923	2.8865
ENSG00000067606	603	5.9197	0.5243
ENSG00000067704	21931	395.2090	35.0014
ENSG00000069248	4866	72.1714	6.3918
ENSG00000069275	18001	206.2470	18.2661
ENSG00000069424	51660	476.8040	42.2278
ENSG00000069702	1203	10.4243	0.9232
ENSG00000069712	226	3.6608	0.3242
ENSG00000069812	4	0.0555	0.0049
ENSG00000070759	2827	61.2821	5.4274
ENSG00000070785	1309	32.2609	2.8572
ENSG00000070831	54351	1174.7200	104.0386
ENSG00000070886	25	0.3460	0.0306
ENSG00000072694	12751	136.6950	12.1063
ENSG00000073754	4	0.1221	0.0108
ENSG00000073756	5778	82.2426	7.2837
ENSG00000074800	266438	4877.4300	431.9658
ENSG00000074964	7045	67.3358	5.9635
ENSG00000075151	14407	128.1870	11.3528
ENSG00000075391	2066	13.1097	1.1611
ENSG00000075945	1199	17.9384	1.5887
ENSG00000076258	208	6.1919	0.5484
ENSG00000076321	3064	54.0197	4.7842
ENSG00000076356	1296	7.0540	0.6247
ENSG00000076864	81	0.9551	0.0846
ENSG00000077152	871	61.3164	5.4304
ENSG00000077157	6509	33.8994	3.0023
ENSG00000077254	6585	71.3858	6.3222
ENSG00000077522	49	0.6809	0.0603
ENSG00000077549	33115	713.6830	63.2069
ENSG00000077585	930	30.6020	2.7102
ENSG00000078369	65774	803.9500	71.2013
ENSG00000078618	31070	352.0590	31.1798
ENSG00000078808	32728	522.5970	46.2834
ENSG00000078900	909	12.2689	1.0866
ENSG00000079277	10557	98.2342	8.7000
ENSG00000079335	5279	69.1117	6.1208
ENSG00000079739	5175	93.2104	8.2551
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	480	5.2877	0.4683
ENSG00000081019	11588	127.4540	11.2879
ENSG00000081026	232	2.1257	0.1883
ENSG00000081237	49831	439.3200	38.9080
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	732	12.7263	1.1271
ENSG00000081721	11857	504.7160	44.6998
ENSG00000081870	2294	62.3664	5.5234
ENSG00000081985	69	1.2225	0.1083
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	2527	21.0060	1.8604
ENSG00000083444	14708	207.0770	18.3396
ENSG00000084070	16221	368.7760	32.6604
ENSG00000084072	5888	54.7130	4.8456
ENSG00000084073	5877	123.3970	10.9285
ENSG00000084623	32531	1414.4100	125.2659
ENSG00000084628	36	0.9039	0.0801
ENSG00000084636	6	0.0471	0.0042
ENSG00000084652	9640	141.6850	12.5483
ENSG00000085433	5996	99.1479	8.7810
ENSG00000085465	385	9.6693	0.8564
ENSG00000085491	10170	116.4890	10.3168
ENSG00000085552	50	0.5718	0.0506
ENSG00000085831	82	0.6592	0.0584
ENSG00000085832	10810	107.3670	9.5089
ENSG00000085840	2972	70.5980	6.2525
ENSG00000085998	2587	30.4796	2.6994
ENSG00000085999	335	7.8185	0.6924
ENSG00000086015	3275	27.6759	2.4511
ENSG00000086619	1224	16.1428	1.4297
ENSG00000088035	1565	23.7254	2.1012
ENSG00000088280	54	0.8330	0.0738
ENSG00000090020	3510	44.0544	3.9016
ENSG00000090104	5712	104.0510	9.2152
ENSG00000090273	9208	241.7340	21.4090
ENSG00000090432	7856	241.8610	21.4202
ENSG00000090621	42615	471.2660	41.7373
ENSG00000090686	9457	74.6860	6.6145
ENSG00000091483	4779	167.3170	14.8183
ENSG00000092607	23	0.4580	0.0406
ENSG00000092621	2380	31.7492	2.8118
ENSG00000092847	16328	95.0333	8.4166
ENSG00000092850	65	2.4585	0.2177
ENSG00000092853	4233	58.6729	5.1963
ENSG00000092969	8	0.1163	0.0103
ENSG00000092978	1402	11.9028	1.0542
ENSG00000094963	0	0.0000	0.0000
ENSG00000094975	26553	307.9450	27.2729
ENSG00000097021	3533	54.2113	4.8012
ENSG00000097033	33196	372.8800	33.0239
ENSG00000097046	2177	45.3618	4.0174
ENSG00000097096	52	0.5993	0.0531
ENSG00000099260	0	0.0000	0.0000
ENSG00000107404	3544	76.2390	6.7521
ENSG00000116128	3559	41.5759	3.6821
ENSG00000116132	0	0.0000	0.0000
ENSG00000116133	2448	41.3459	3.6618
ENSG00000116138	1610	14.1001	1.2488
ENSG00000116141	2	0.0210	0.0019
ENSG00000116147	7	0.0993	0.0088
ENSG00000116151	322	4.6188	0.4091
ENSG00000116157	8162	362.0040	32.0606
ENSG00000116161	9422	156.6880	13.8769
ENSG00000116171	29668	267.9210	23.7282
ENSG00000116183	11	0.0755	0.0067
ENSG00000116191	2992	30.2300	2.6773
ENSG00000116194	2	0.0437	0.0039
ENSG00000116198	3698	35.2165	3.1189
ENSG00000116199	5651	70.1793	6.2154
ENSG00000116205	1001	12.8924	1.1418
ENSG00000116209	55590	1003.1800	88.8461
ENSG00000116212	1303	40.5176	3.5884
ENSG00000116213	3314	32.6841	2.8946
ENSG00000116218	983	39.3586	3.4858
ENSG00000116219	0	0.0000	0.0000
ENSG00000116221	7389	251.4310	22.2678
ENSG00000116237	8607	131.4380	11.6407
ENSG00000116251	24813	379.7890	33.6357
ENSG00000116254	104	0.7892	0.0699
ENSG00000116260	76651	617.4190	54.6813
ENSG00000116266	6167	78.4653	6.9492
ENSG00000116273	1948	39.6949	3.5156
ENSG00000116285	55	0.9768	0.0865
ENSG00000116288	15506	485.1710	42.9689
ENSG00000116299	111	0.8983	0.0796
ENSG00000116329	2	0.0846	0.0075
ENSG00000116337	11444	125.7030	11.1328
ENSG00000116350	12624	297.9250	26.3855
ENSG00000116353	1091	20.6414	1.8281
ENSG00000116396	782	6.2776	0.5560
ENSG00000116406	5361	53.3777	4.7274
ENSG00000116455	2924	78.1761	6.9236
ENSG00000116459	22422	497.0780	44.0233
ENSG00000116473	8901	116.4500	10.3133
ENSG00000116478	17445	326.3530	28.9033
ENSG00000116489	29103	528.5080	46.8069
ENSG00000116497	3865	31.5462	2.7939
ENSG00000116514	11094	318.7870	28.2331
ENSG00000116521	13974	429.1890	38.0108
ENSG00000116525	2674	50.4805	4.4708
ENSG00000116539	19218	108.4050	9.6008
ENSG00000116544	1107	20.8823	1.8494
ENSG00000116560	145280	1467.2800	129.9482
ENSG00000116574	9513	163.1930	14.4530
ENSG00000116580	5815	35.8728	3.1770
ENSG00000116584	12730	128.7720	11.4046
ENSG00000116586	7704	401.7840	35.5838
ENSG00000116604	87140	1021.1700	90.4392
ENSG00000116641	1203	8.2998	0.7351
ENSG00000116649	26364	1041.7600	92.2631
ENSG00000116652	43	2.7668	0.2451
ENSG00000116661	13	0.4179	0.0370
ENSG00000116663	1876	77.6742	6.8791
ENSG00000116667	88	0.6046	0.0535
ENSG00000116668	508	9.4048	0.8329
ENSG00000116670	6831	150.5410	13.3326
ENSG00000116675	111	1.2008	0.1064
ENSG00000116678	2607	17.0677	1.5116
ENSG00000116679	9367	88.6058	7.8473
ENSG00000116685	13793	315.2910	27.9235
ENSG00000116688	8661	130.4860	11.5564
ENSG00000116690	2	0.0297	0.0026
ENSG00000116691	7144	189.9390	16.8218
ENSG00000116698	24820	223.8180	19.8223
ENSG00000116701	15093	386.6110	34.2399
ENSG00000116703	0	0.0000	0.0000
ENSG00000116704	5845	61.2756	5.4268
ENSG00000116711	1696	44.2397	3.9180
ENSG00000116717	5180	187.7720	16.6299
ENSG00000116721	0	0.0000	0.0000
ENSG00000116726	0	0.0000	0.0000
ENSG00000116729	4	0.0665	0.0059
ENSG00000116731	36374	250.0730	22.1475
ENSG00000116741	16549	595.0070	52.6963
ENSG00000116745	0	0.0000	0.0000
ENSG00000116747	11851	97.6534	8.6486
ENSG00000116748	1	0.0300	0.0027
ENSG00000116750	2002	41.7221	3.6951
ENSG00000116752	7313	422.2220	37.3938
ENSG00000116754	67998	601.6070	53.2809
ENSG00000116761	287	8.9312	0.7910
ENSG00000116771	154	4.6272	0.4098
ENSG00000116774	320	10.5960	0.9384
ENSG00000116783	419	5.3772	0.4762
ENSG00000116785	0	0.0000	0.0000
ENSG00000116786	28909	525.9950	46.5844
ENSG00000116791	979	17.9860	1.5929
ENSG00000116793	3189	33.3616	2.9546
ENSG00000116809	8075	142.8380	12.6503
ENSG00000116815	2974	125.1010	11.0795
ENSG00000116819	366	12.5432	1.1109
ENSG00000116824	731	32.6480	2.8914
