gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1286	25.0929	2.5829
ENSG00000000460	402	4.7425	0.4882
ENSG00000000938	11157	237.4410	24.4406
ENSG00000000971	36	0.3357	0.0346
ENSG00000001460	181	1.5947	0.1641
ENSG00000001461	1588	12.6687	1.3040
ENSG00000004455	2797	36.9124	3.7995
ENSG00000004487	13030	286.0820	29.4474
ENSG00000006555	342	4.2410	0.4365
ENSG00000007341	1508	13.9477	1.4357
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	2491	36.2959	3.7361
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	15480	212.7560	21.8997
ENSG00000008118	29	0.8023	0.0826
ENSG00000008128	11075	176.0560	18.1220
ENSG00000008130	14068	183.8540	18.9247
ENSG00000009307	112166	1461.7600	150.4639
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	179	3.1534	0.3246
ENSG00000009780	1905	49.6853	5.1143
ENSG00000009790	3298	31.9040	3.2840
ENSG00000010072	6438	81.7558	8.4154
ENSG00000010165	1420	27.7143	2.8527
ENSG00000010803	4100	69.1412	7.1169
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	16568	230.5000	23.7261
ENSG00000011009	3883	132.6230	13.6514
ENSG00000011021	6438	70.1416	7.2199
ENSG00000014914	401	6.5522	0.6744
ENSG00000016490	2	0.0449	0.0046
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	387	5.8959	0.6069
ENSG00000020633	55888	910.2250	93.6925
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	380	21.9130	2.2556
ENSG00000023902	20761	249.6060	25.6927
ENSG00000023909	1689	23.5702	2.4262
ENSG00000024526	1483	18.8418	1.9395
ENSG00000025800	32782	319.8460	32.9228
ENSG00000026751	2135	34.7787	3.5799
ENSG00000027644	170	2.4938	0.2567
ENSG00000027869	1264	37.7377	3.8845
ENSG00000028137	6358	126.6190	13.0333
ENSG00000031698	9091	177.7380	18.2952
