gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1304	25.4464	1.9340
ENSG00000000460	634	7.4852	0.5689
ENSG00000000938	26499	563.9730	42.8629
ENSG00000000971	0	0.0000	0.0000
ENSG00000001460	457	4.0295	0.3062
ENSG00000001461	2663	21.2404	1.6143
ENSG00000004455	6027	79.5335	6.0447
ENSG00000004487	9384	206.0260	15.6583
ENSG00000006555	31	0.3832	0.0291
ENSG00000007341	2614	24.1672	1.8367
ENSG00000007908	6	0.1081	0.0082
ENSG00000007923	3773	54.9740	4.1781
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	3682	50.6016	3.8458
ENSG00000008118	332	9.3031	0.7070
ENSG00000008128	4838	76.9010	5.8446
ENSG00000008130	11447	149.5990	11.3698
ENSG00000009307	105244	1371.5500	104.2404
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	2331	41.1294	3.1259
ENSG00000009780	902	23.5344	1.7887
ENSG00000009790	3932	38.0386	2.8910
ENSG00000010072	4573	58.0743	4.4137
ENSG00000010165	1689	32.9620	2.5052
ENSG00000010803	6275	105.8320	8.0434
ENSG00000010932	8	0.1690	0.0128
ENSG00000011007	12081	168.0780	12.7742
ENSG00000011009	4389	149.8830	11.3913
ENSG00000011021	9789	106.6510	8.1056
ENSG00000014914	11794	192.6730	14.6435
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	4	0.0476	0.0036
ENSG00000020129	405	6.1765	0.4694
ENSG00000020633	7513	122.3640	9.2998
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	243	14.0547	1.0682
ENSG00000023902	48703	585.5660	44.5040
ENSG00000023909	1171	16.3420	1.2420
ENSG00000024526	157	1.9934	0.1515
ENSG00000025800	22400	218.5550	16.6106
ENSG00000026751	807	13.1492	0.9994
ENSG00000027644	197	2.9012	0.2205
ENSG00000027869	4487	133.9690	10.1819
ENSG00000028137	104661	2084.3300	158.4124
ENSG00000031698	12709	248.4810	18.8850
ENSG00000033122	229	1.4313	0.1088
ENSG00000034971	8	0.2880	0.0219
ENSG00000035687	4133	84.5505	6.4260
ENSG00000036549	3811	31.7323	2.4117
ENSG00000037637	10776	89.9587	6.8370
ENSG00000040487	2503	69.8864	5.3115
ENSG00000041988	3336	61.4359	4.6692
ENSG00000042781	29	0.1055	0.0080
ENSG00000043514	1203	29.3771	2.2327
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	19303	142.2120	10.8084
ENSG00000048707	25000	92.1559	7.0040
ENSG00000049089	1455	26.2879	1.9979
ENSG00000049239	10155	83.5413	6.3493
ENSG00000049245	25750	699.7370	53.1812
ENSG00000049246	112	1.1824	0.0899
ENSG00000049247	22	0.9153	0.0696
ENSG00000049249	1252	41.1283	3.1258
ENSG00000050628	14	0.1088	0.0083
ENSG00000052723	5575	70.9410	5.3916
ENSG00000053371	1148	48.3453	3.6743
ENSG00000053372	2602	69.1588	5.2562
ENSG00000054116	3371	76.3190	5.8004
ENSG00000054118	22718	359.7730	27.3433
ENSG00000054267	20524	139.0140	10.5653
ENSG00000054277	1772	38.1940	2.9028
ENSG00000054282	2181	31.1725	2.3692
ENSG00000054392	137	2.3852	0.1813
ENSG00000054523	13058	55.3508	4.2067
ENSG00000055070	35553	561.7220	42.6918
ENSG00000055732	4	0.0426	0.0032
ENSG00000057252	10734	114.4720	8.7000
ENSG00000057468	11	0.2413	0.0183
ENSG00000057757	6426	220.4880	16.7574
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	320	1.9548	0.1486
ENSG00000058668	7096	54.7481	4.1609
ENSG00000058673	46992	363.3380	27.6143
ENSG00000058799	3290	109.1440	8.2951
ENSG00000058804	1428	20.8578	1.5852
ENSG00000059588	3653	35.3807	2.6890
ENSG00000060642	703	15.5982	1.1855
ENSG00000060656	144	1.6139	0.1227
ENSG00000060688	4974	93.0120	7.0691
ENSG00000060718	2	0.0181	0.0014
ENSG00000064703	4086	50.9116	3.8694
ENSG00000064886	71	1.6091	0.1223
ENSG00000065135	14145	330.9060	25.1494
ENSG00000065183	1272	22.9303	1.7427
ENSG00000065243	10267	109.7820	8.3436
ENSG00000065526	76679	432.5940	32.8778
ENSG00000065600	2440	62.8065	4.7734
ENSG00000065978	86824	3373.9700	256.4275
ENSG00000066027	11236	218.1510	16.5799
ENSG00000066056	974	10.9128	0.8294
ENSG00000066135	8545	123.9160	9.4179
ENSG00000066136	6129	76.7735	5.8349
ENSG00000066185	47	1.6223	0.1233
ENSG00000066279	1460	10.0613	0.7647
ENSG00000066294	4659	37.7571	2.8696
ENSG00000066322	10269	313.2000	23.8038
ENSG00000066557	2841	73.8721	5.6144
ENSG00000067208	1297	11.7639	0.8941
ENSG00000067334	10222	127.6640	9.7027
ENSG00000067533	1120	10.6548	0.8098
ENSG00000067606	222	2.1841	0.1660
ENSG00000067704	5731	103.2800	7.8494
ENSG00000069248	5483	81.3154	6.1801
ENSG00000069275	27138	310.9270	23.6310
ENSG00000069424	64282	593.3030	45.0920
ENSG00000069702	670	5.8032	0.4411
ENSG00000069712	138	2.2433	0.1705
ENSG00000069812	4	0.0555	0.0042
ENSG00000070759	1415	30.6792	2.3317
ENSG00000070785	368	9.0680	0.6892
ENSG00000070831	47516	1027.0100	78.0544
ENSG00000070886	5	0.0700	0.0053
ENSG00000072694	229	2.4528	0.1864
ENSG00000073754	0	0.0000	0.0000
ENSG00000073756	122238	1739.9600	132.2396
ENSG00000074800	177682	3252.6600	247.2078
ENSG00000074964	1760	16.8246	1.2787
ENSG00000075151	13604	121.0430	9.1995
ENSG00000075391	4949	31.4073	2.3870
ENSG00000075945	1841	27.5439	2.0934
ENSG00000076258	61	1.8204	0.1383
ENSG00000076321	4084	72.0063	5.4726
ENSG00000076356	594	3.2340	0.2458
ENSG00000076864	108	1.2760	0.0970
ENSG00000077152	443	31.1662	2.3687
ENSG00000077157	3254	16.9458	1.2879
ENSG00000077254	5449	59.0718	4.4896
ENSG00000077522	2	0.0277	0.0021
ENSG00000077549	32821	707.3580	53.7604
