gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	2988	58.3065	5.5144
ENSG00000000460	793	9.3549	0.8848
ENSG00000000938	14139	300.9160	28.4595
ENSG00000000971	4007	36.8998	3.4898
ENSG00000001460	347	3.0597	0.2894
ENSG00000001461	2941	23.4586	2.2186
ENSG00000004455	16979	224.0720	21.1919
ENSG00000004487	10802	237.1740	22.4310
ENSG00000006555	102	1.2590	0.1191
ENSG00000007341	1573	14.5432	1.3754
ENSG00000007908	4	0.0702	0.0066
ENSG00000007923	1659	24.1793	2.2868
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	1099	15.0982	1.4279
ENSG00000008118	6	0.1682	0.0159
ENSG00000008128	6459	102.6740	9.7105
ENSG00000008130	8199	107.1550	10.1343
ENSG00000009307	148480	1935.0100	183.0062
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	2	0.0353	0.0033
ENSG00000009780	1521	39.6648	3.7513
ENSG00000009790	6331	61.2430	5.7921
ENSG00000010072	2703	34.3292	3.2467
ENSG00000010165	1338	26.1189	2.4702
ENSG00000010803	5760	97.1437	9.1875
ENSG00000010932	9	0.1889	0.0179
ENSG00000011007	8492	118.1470	11.1739
ENSG00000011009	3343	114.1820	10.7989
ENSG00000011021	7394	80.5568	7.6188
ENSG00000014914	620	10.1261	0.9577
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	1290	19.6742	1.8607
ENSG00000020633	25018	407.4540	38.5355
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	515	29.7336	2.8121
ENSG00000023902	28374	341.1400	32.2637
ENSG00000023909	1474	20.5644	1.9449
ENSG00000024526	167	2.1211	0.2006
ENSG00000025800	24623	240.2440	22.7213
ENSG00000026751	1821	29.6685	2.8059
ENSG00000027644	22	0.3244	0.0307
ENSG00000027869	832	24.8280	2.3481
ENSG00000028137	36756	731.9990	69.2297
ENSG00000031698	5621	109.8900	10.3930
ENSG00000033122	2	0.0125	0.0012
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	4795	98.0930	9.2773
ENSG00000036549	8115	67.5621	6.3898
ENSG00000037637	11130	92.9186	8.7879
ENSG00000040487	1506	42.0562	3.9775
ENSG00000041988	688	12.6672	1.1980
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	1782	43.5278	4.1167
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	26980	198.7740	18.7993
ENSG00000048707	7460	27.5009	2.6009
ENSG00000049089	4088	73.8706	6.9864
ENSG00000049239	6106	50.2285	4.7504
ENSG00000049245	16262	441.9050	41.7937
ENSG00000049246	803	8.4775	0.8018
ENSG00000049247	2	0.0841	0.0080
ENSG00000049249	106	3.4698	0.3282
ENSG00000050628	5	0.0387	0.0037
ENSG00000052723	10662	135.6720	12.8314
ENSG00000053371	4695	197.7250	18.7001
ENSG00000053372	1506	40.0117	3.7842
ENSG00000054116	2554	57.8213	5.4685
ENSG00000054118	24036	380.6350	35.9990
ENSG00000054267	34710	235.1000	22.2348
ENSG00000054277	2662	57.3716	5.4260
ENSG00000054282	4788	68.4387	6.4727
ENSG00000054392	1115	19.4702	1.8414
ENSG00000054523	4498	19.0674	1.8033
ENSG00000055070	19934	314.9500	29.7868
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	10139	108.1190	10.2255
ENSG00000057468	18	0.4189	0.0396
ENSG00000057757	7006	240.3740	22.7337
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	1140	6.9719	0.6594
ENSG00000058668	7886	60.8449	5.7545
ENSG00000058673	43997	340.1860	32.1734
ENSG00000058799	1986	65.8863	6.2313
ENSG00000058804	2981	43.5355	4.1174
ENSG00000059588	27894	270.1840	25.5529
ENSG00000060642	990	21.9480	2.0758
ENSG00000060656	40	0.4515	0.0427
ENSG00000060688	4136	77.3308	7.3136
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	6806	84.8043	8.0205
ENSG00000064886	46	1.0555	0.0998
ENSG00000065135	20606	482.0400	45.5895
ENSG00000065183	1929	34.7911	3.2904
ENSG00000065243	19269	206.0410	19.4865
ENSG00000065526	68337	385.5350	36.4625
ENSG00000065600	3386	87.1596	8.2432
ENSG00000065978	81717	3175.5500	300.3309
ENSG00000066027	13560	263.2750	24.8996
ENSG00000066056	6370	71.3681	6.7497
ENSG00000066135	5286	76.6481	7.2491
ENSG00000066136	4972	62.2851	5.8907
ENSG00000066185	270	9.2210	0.8721
ENSG00000066279	787	5.4217	0.5128
ENSG00000066294	12948	104.9240	9.9233
ENSG00000066322	5945	181.3190	17.1485
ENSG00000066557	5752	149.5930	14.1479
ENSG00000067208	1013	9.1870	0.8689
ENSG00000067334	17707	221.1560	20.9161
ENSG00000067533	2407	22.9024	2.1660
ENSG00000067606	569	5.5884	0.5285
ENSG00000067704	8434	151.9840	14.3740
ENSG00000069248	7497	111.1810	10.5151
ENSG00000069275	20700	237.1710	22.4307
ENSG00000069424	58054	535.8160	50.6754
ENSG00000069702	663	5.7470	0.5435
ENSG00000069712	301	4.8812	0.4616
ENSG00000069812	5	0.0692	0.0065
ENSG00000070759	1762	38.1867	3.6116
ENSG00000070785	715	17.6195	1.6664
ENSG00000070831	40416	873.5370	82.6158
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	167	1.7932	0.1696
ENSG00000073754	0	0.0000	0.0000
ENSG00000073756	16261	231.4640	21.8910
ENSG00000074800	144645	2647.8800	250.4265
ENSG00000074964	210	2.0092	0.1900
ENSG00000075151	11106	98.8155	9.3456
ENSG00000075391	2440	15.4860	1.4646
ENSG00000075945	2346	35.0967	3.3193
ENSG00000076258	328	9.7759	0.9246
ENSG00000076321	4165	73.4255	6.9443
ENSG00000076356	246	1.3404	0.1268
ENSG00000076864	272	3.2113	0.3037
ENSG00000077152	247	17.4009	1.6457
ENSG00000077157	4882	25.4288	2.4050
ENSG00000077254	6869	74.4655	7.0427
ENSG00000077522	18	0.2432	0.0230
ENSG00000077549	23673	510.1990	48.2527
ENSG00000077585	1483	48.8205	4.6172
ENSG00000078369	56649	692.4200	65.4865
ENSG00000078618	19911	225.6090	21.3372
ENSG00000078808	22629	361.3380	34.1740
ENSG00000078900	30	0.4050	0.0383
ENSG00000079277	6337	58.9684	5.5770
ENSG00000079335	7547	98.7956	9.3437
