gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	226	4.4102	0.4377
ENSG00000000460	379	4.4762	0.4443
ENSG00000000938	24424	519.8160	51.5938
ENSG00000000971	6	0.0553	0.0055
ENSG00000001460	438	3.8559	0.3827
ENSG00000001461	2270	18.1056	1.7971
ENSG00000004455	59680	787.6130	78.1738
ENSG00000004487	11763	258.2630	25.6337
ENSG00000006555	8	0.0991	0.0098
ENSG00000007341	761	7.0350	0.6983
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	4386	63.9108	6.3434
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	8648	118.8550	11.7968
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	3871	61.5326	6.1074
ENSG00000008130	12786	167.0930	16.5847
ENSG00000009307	52149	679.6100	67.4541
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	121	2.1277	0.2112
ENSG00000009780	345	9.0094	0.8942
ENSG00000009790	2945	28.4904	2.8278
ENSG00000010072	1586	20.1436	1.9993
ENSG00000010165	1736	33.8777	3.3625
ENSG00000010803	7194	121.3210	12.0416
ENSG00000010932	24	0.5076	0.0504
ENSG00000011007	5455	75.8850	7.5319
ENSG00000011009	8776	299.7330	29.7497
ENSG00000011021	2485	27.0699	2.6868
ENSG00000014914	5463	89.2518	8.8586
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	5	0.0559	0.0055
ENSG00000020129	4621	70.4903	6.9965
ENSG00000020633	14779	240.6990	23.8903
ENSG00000021852	4	0.1099	0.0109
ENSG00000023572	908	52.4088	5.2018
ENSG00000023902	19443	233.7680	23.2024
ENSG00000023909	224	3.1295	0.3106
ENSG00000024526	100	1.2732	0.1264
ENSG00000025800	18441	179.9190	17.8577
ENSG00000026751	6	0.0977	0.0097
ENSG00000027644	19	0.2801	0.0278
ENSG00000027869	275	8.2070	0.8146
ENSG00000028137	8655	172.3580	17.1072
ENSG00000031698	10666	208.5320	20.6977
ENSG00000033122	6	0.0357	0.0035
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1822	37.2782	3.7000
ENSG00000036549	1419	11.8112	1.1723
ENSG00000037637	7220	60.2732	5.9824
ENSG00000040487	7526	210.1460	20.8578
ENSG00000041988	4160	76.6277	7.6056
ENSG00000042781	2	0.0073	0.0007
ENSG00000043514	407	9.9463	0.9872
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	6542	48.1995	4.7840
ENSG00000048707	3684	13.5806	1.3479
ENSG00000049089	3508	63.3903	6.2917
ENSG00000049239	22938	188.6960	18.7288
ENSG00000049245	7716	209.6860	20.8122
ENSG00000049246	1383	14.6039	1.4495
ENSG00000049247	307	12.9091	1.2813
ENSG00000049249	56	1.8253	0.1812
ENSG00000050628	6	0.0466	0.0046
ENSG00000052723	989	12.5865	1.2493
ENSG00000053371	53830	2266.8200	224.9915
ENSG00000053372	6413	170.4320	16.9160
ENSG00000054116	6415	145.2120	14.4129
ENSG00000054118	11060	175.1490	17.3843
ENSG00000054267	3610	24.4506	2.4268
ENSG00000054277	5345	115.1930	11.4333
ENSG00000054282	1546	22.0976	2.1933
ENSG00000054392	990	17.2882	1.7159
ENSG00000054523	2530	10.7254	1.0645
ENSG00000055070	36154	571.2130	56.6952
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	1220	13.0082	1.2911
ENSG00000057468	8	0.1837	0.0182
ENSG00000057757	6466	221.8380	22.0183
ENSG00000058085	3	0.0315	0.0031
ENSG00000058453	4462	27.2857	2.7082
ENSG00000058668	18294	141.1440	14.0091
ENSG00000058673	9051	69.9781	6.9456
ENSG00000058799	2088	69.2742	6.8758
ENSG00000058804	2698	39.4006	3.9107
ENSG00000059588	5961	57.7346	5.7304
ENSG00000060642	2186	48.4769	4.8115
ENSG00000060656	1734	19.4139	1.9269
ENSG00000060688	2224	41.5851	4.1275
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	2737	34.0990	3.3845
ENSG00000064886	131	2.9806	0.2958
ENSG00000065135	3067	71.7455	7.1210
ENSG00000065183	629	11.3510	1.1266
ENSG00000065243	500	5.3416	0.5302
ENSG00000065526	37694	212.6580	21.1072
ENSG00000065600	7351	189.2010	18.7789
ENSG00000065978	143292	5568.3300	552.6795
ENSG00000066027	3549	68.8954	6.8381
ENSG00000066056	3328	37.2889	3.7011
ENSG00000066135	5761	83.5435	8.2920
ENSG00000066136	3867	48.4408	4.8079
ENSG00000066185	188	6.4100	0.6362
ENSG00000066279	306	2.1078	0.2092
ENSG00000066294	3516	28.4925	2.8280
ENSG00000066322	10113	308.4400	30.6140
ENSG00000066557	214	5.5624	0.5521
ENSG00000067208	576	5.2255	0.5186
ENSG00000067334	2129	26.5940	2.6396
ENSG00000067533	375	3.5653	0.3539
ENSG00000067606	331	3.2548	0.3231
ENSG00000067704	9681	174.4540	17.3153
ENSG00000069248	1131	16.7732	1.6648
ENSG00000069275	12615	144.5330	14.3455
ENSG00000069424	48326	446.0300	44.2703
ENSG00000069702	99	0.8619	0.0855
ENSG00000069712	20	0.3236	0.0321
ENSG00000069812	42	0.5826	0.0578
ENSG00000070759	2794	60.5728	6.0121
ENSG00000070785	968	23.8630	2.3685
ENSG00000070831	39202	847.3150	84.0995
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	176	1.8866	0.1873
ENSG00000073754	8	0.2443	0.0242
ENSG00000073756	101	1.4369	0.1426
ENSG00000074800	536370	9818.8300	974.5584
ENSG00000074964	1329	12.7001	1.2605
ENSG00000075151	6160	54.8123	5.4403
ENSG00000075391	454	2.8804	0.2859
ENSG00000075945	514	7.6853	0.7628
ENSG00000076258	122	3.6349	0.3608
ENSG00000076321	829	14.6105	1.4502
ENSG00000076356	719	3.9150	0.3886
ENSG00000076864	18	0.2155	0.0214
ENSG00000077152	847	59.6761	5.9231
ENSG00000077157	1598	8.3213	0.8259
ENSG00000077254	634	6.8728	0.6822
ENSG00000077522	64	0.8841	0.0878
ENSG00000077549	53729	1157.9400	114.9306
ENSG00000077585	434	14.2949	1.4188
ENSG00000078369	99119	1211.5200	120.2484
ENSG00000078618	8146	92.2969	9.1608
ENSG00000078808	45593	728.0070	72.2576
ENSG00000078900	1342	18.1201	1.7985
ENSG00000079277	5322	49.5179	4.9148
ENSG00000079335	951	12.4510	1.2358
ENSG00000079739	9347	168.3480	16.7092
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	364	4.0103	0.3980
ENSG00000081019	3566	39.2241	3.8931
ENSG00000081026	232	2.1296	0.2114
ENSG00000081237	7325	64.5796	6.4098
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	4	0.0483	0.0048
ENSG00000081692	2642	45.9198	4.5577
ENSG00000081721	2809	119.5720	11.8680
ENSG00000081870	1086	29.5335	2.9313
ENSG00000081985	8884	157.4070	15.6232
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	201	1.6698	0.1657
ENSG00000083444	26200	368.8810	36.6129
ENSG00000084070	15992	363.5640	36.0852
ENSG00000084072	8039	74.7033	7.4146
ENSG00000084073	735	15.4378	1.5323
ENSG00000084623	36711	1596.1500	158.4243
ENSG00000084628	20	0.5022	0.0498
ENSG00000084636	9	0.0707	0.0070
ENSG00000084652	11641	171.0940	16.9818
ENSG00000085433	2152	35.5807	3.5315
ENSG00000085465	84	2.1058	0.2090
ENSG00000085491	2001	22.9180	2.2747
ENSG00000085552	335	3.7959	0.3768
ENSG00000085831	61	0.4853	0.0482
ENSG00000085832	1562	15.5154	1.5400
ENSG00000085840	4835	114.8740	11.4017
ENSG00000085998	6393	75.3220	7.4760
ENSG00000085999	1361	31.7765	3.1539
ENSG00000086015	5569	47.0590	4.6708
ENSG00000086619	194	2.5520	0.2533
ENSG00000088035	373	5.6613	0.5619
ENSG00000088280	13	0.1995	0.0198
ENSG00000090020	3111	39.0442	3.8753
ENSG00000090104	94	1.7119	0.1699
ENSG00000090273	24378	639.9640	63.5190
ENSG00000090432	11254	346.4840	34.3899
ENSG00000090621	61855	684.0380	67.8935
ENSG00000090686	4782	37.7640	3.7482
ENSG00000091483	8011	280.4990	27.8407
ENSG00000092607	3	0.0591	0.0059
ENSG00000092621	14424	192.4250	19.0990
ENSG00000092847	15253	88.7764	8.8114
ENSG00000092850	378	14.3347	1.4228
ENSG00000092853	2316	32.0950	3.1856
ENSG00000092969	8	0.1165	0.0116
ENSG00000092978	431	3.6549	0.3628
ENSG00000094963	0	0.0000	0.0000
ENSG00000094975	1183	13.7173	1.3615
ENSG00000097021	9745	149.5250	14.8409
ENSG00000097033	5731	64.3756	6.3895
ENSG00000097046	578	12.0539	1.1964
ENSG00000097096	32	0.3747	0.0372
ENSG00000099260	0	0.0000	0.0000
ENSG00000107404	6463	139.0510	13.8014
ENSG00000116128	5053	59.0262	5.8586
ENSG00000116132	0	0.0000	0.0000
ENSG00000116133	10501	177.3470	17.6024
ENSG00000116138	1454	12.7329	1.2638
ENSG00000116141	0	0.0000	0.0000
ENSG00000116147	17	0.2381	0.0236
ENSG00000116151	1123	16.0969	1.5977
ENSG00000116157	19164	849.9880	84.3648
ENSG00000116161	6584	109.4880	10.8671
ENSG00000116171	5102	46.0714	4.5728
ENSG00000116183	13	0.0893	0.0089
ENSG00000116191	338	3.4174	0.3392
ENSG00000116194	9	0.1942	0.0193
ENSG00000116198	3240	30.8561	3.0626
ENSG00000116199	2105	26.1477	2.5953
ENSG00000116205	836	10.7578	1.0678
ENSG00000116209	12666	228.5650	22.6860
ENSG00000116212	1129	35.1157	3.4854
ENSG00000116213	2723	26.8555	2.6655
ENSG00000116218	145	5.8004	0.5757
ENSG00000116219	0	0.0000	0.0000
ENSG00000116221	25255	859.4140	85.3003
ENSG00000116237	9672	147.7060	14.6604
ENSG00000116251	26108	399.6110	39.6630
ENSG00000116254	1083	8.2146	0.8153
ENSG00000116260	83647	673.7790	66.8753
ENSG00000116266	549	6.9808	0.6929
ENSG00000116273	3858	78.6159	7.8030
ENSG00000116285	44	0.7962	0.0790
ENSG00000116288	15108	472.7030	46.9177
ENSG00000116299	55	0.4430	0.0440
ENSG00000116329	0	0.0000	0.0000
ENSG00000116337	15203	166.9940	16.5748
ENSG00000116350	6775	159.8830	15.8690
ENSG00000116353	3248	61.4298	6.0972
ENSG00000116396	2274	18.2568	1.8121
ENSG00000116406	748	7.4454	0.7390
ENSG00000116455	7958	212.7940	21.1206
ENSG00000116459	9032	200.2470	19.8753
ENSG00000116473	2097	27.4338	2.7229
ENSG00000116478	23367	437.1540	43.3893
ENSG00000116489	3650	66.2869	6.5792
ENSG00000116497	995	8.1193	0.8059
ENSG00000116514	8404	241.4900	23.9688
ENSG00000116521	18933	581.4730	57.7136
ENSG00000116525	1637	30.8938	3.0663
ENSG00000116539	5755	32.4614	3.2219
ENSG00000116544	708	13.3535	1.3254
ENSG00000116560	50693	511.9800	50.8161
ENSG00000116574	1300	22.2930	2.2127
ENSG00000116580	3903	24.0795	2.3900
ENSG00000116584	35026	354.3180	35.1675
ENSG00000116586	18370	958.1030	95.0956
ENSG00000116604	101385	1188.1100	117.9246
