gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	629	12.2789	2.2453
ENSG00000000460	119	1.3996	0.2559
ENSG00000000938	5336	113.5600	20.7657
ENSG00000000971	0	0.0000	0.0000
ENSG00000001460	105	0.9213	0.1685
ENSG00000001461	543	4.3286	0.7915
ENSG00000004455	2394	31.5965	5.7777
ENSG00000004487	6353	139.4840	25.5061
ENSG00000006555	10	0.1247	0.0228
ENSG00000007341	991	9.1669	1.6763
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	782	11.3973	2.0841
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	372	5.1175	0.9358
ENSG00000008118	12	0.3363	0.0615
ENSG00000008128	3849	61.1859	11.1885
ENSG00000008130	3251	42.4813	7.7681
ENSG00000009307	86788	1131.0300	206.8208
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	13	0.2315	0.0423
ENSG00000009780	533	13.9013	2.5420
ENSG00000009790	1473	14.2518	2.6061
ENSG00000010072	2457	31.1973	5.7047
ENSG00000010165	657	12.8134	2.3431
ENSG00000010803	3466	58.4623	10.6904
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	7169	99.7379	18.2381
ENSG00000011009	1294	44.1812	8.0790
ENSG00000011021	3216	35.0365	6.4068
ENSG00000014914	2303	37.6177	6.8788
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	2	0.0192	0.0035
ENSG00000020129	98	1.4891	0.2723
ENSG00000020633	6086	99.1166	18.1245
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	153	8.8399	1.6165
ENSG00000023902	17683	212.6040	38.8767
ENSG00000023909	394	5.4946	1.0048
ENSG00000024526	75	0.9468	0.1731
ENSG00000025800	13743	134.0830	24.5184
ENSG00000026751	404	6.5888	1.2048
ENSG00000027644	10	0.1470	0.0269
ENSG00000027869	203	6.0717	1.1103
ENSG00000028137	19122	380.8240	69.6377
ENSG00000031698	3299	64.5089	11.7961
ENSG00000033122	2	0.0125	0.0023
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1075	21.9997	4.0229
ENSG00000036549	3204	26.6745	4.8777
ENSG00000037637	7253	60.5528	11.0727
ENSG00000040487	466	13.0216	2.3811
ENSG00000041988	620	11.4261	2.0894
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	417	10.1742	1.8605
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	13473	99.2609	18.1509
ENSG00000048707	6549	24.1419	4.4146
ENSG00000049089	563	10.1657	1.8589
ENSG00000049239	2714	22.3273	4.0828
ENSG00000049245	11698	317.8750	58.1267
ENSG00000049246	124	1.3095	0.2395
ENSG00000049247	9	0.3786	0.0692
ENSG00000049249	107	3.5026	0.6405
ENSG00000050628	15	0.1169	0.0214
ENSG00000052723	5294	67.3677	12.3189
ENSG00000053371	578	24.3442	4.4516
ENSG00000053372	485	12.8809	2.3554
ENSG00000054116	1208	27.3450	5.0003
ENSG00000054118	9581	151.7260	27.7446
ENSG00000054267	19266	130.4950	23.8624
ENSG00000054277	802	17.2937	3.1623
ENSG00000054282	738	10.5439	1.9281
ENSG00000054392	39	0.6809	0.1245
ENSG00000054523	2328	9.8662	1.8041
ENSG00000055070	11996	189.5380	34.6589
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	5273	56.2316	10.2825
ENSG00000057468	2	0.0438	0.0080
ENSG00000057757	3850	132.1000	24.1559
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	54	0.3300	0.0603
ENSG00000058668	573	4.4189	0.8080
ENSG00000058673	23804	184.0530	33.6559
ENSG00000058799	897	29.7439	5.4390
ENSG00000058804	605	8.8325	1.6151
ENSG00000059588	1727	16.7254	3.0584
ENSG00000060642	384	8.5130	1.5567
ENSG00000060656	88	0.9848	0.1801
ENSG00000060688	2733	51.0972	9.3437
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	5589	69.6446	12.7352
ENSG00000064886	35	0.7885	0.1442
ENSG00000065135	7338	171.6590	31.3896
ENSG00000065183	477	8.6057	1.5736
ENSG00000065243	6633	70.9266	12.9696
ENSG00000065526	49070	276.8350	50.6222
ENSG00000065600	362	9.3277	1.7057
ENSG00000065978	46594	1810.6400	331.0934
ENSG00000066027	9867	191.5600	35.0287
ENSG00000066056	631	7.0659	1.2921
ENSG00000066135	1540	22.3326	4.0837
ENSG00000066136	1921	24.0615	4.3999
ENSG00000066185	31	1.0592	0.1937
ENSG00000066279	250	1.7231	0.3151
ENSG00000066294	2990	24.2299	4.4307
ENSG00000066322	3677	112.1620	20.5100
ENSG00000066557	3151	81.9497	14.9853
ENSG00000067208	509	4.6167	0.8442
ENSG00000067334	12492	156.0150	28.5289
ENSG00000067533	954	9.0764	1.6597
ENSG00000067606	26	0.2554	0.0467
ENSG00000067704	2416	43.5454	7.9627
ENSG00000069248	3669	54.4085	9.9492
ENSG00000069275	12509	143.3260	26.2086
ENSG00000069424	9059	83.6099	15.2889
ENSG00000069702	398	3.4520	0.6312
ENSG00000069712	77	1.2468	0.2280
ENSG00000069812	6	0.0832	0.0152
ENSG00000070759	1355	29.3760	5.3717
ENSG00000070785	102	2.5163	0.4601
ENSG00000070831	25234	545.4070	99.7333
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	61	0.6521	0.1192
ENSG00000073754	1	0.0159	0.0029
ENSG00000073756	6704	95.4299	17.4503
ENSG00000074800	85956	1573.5100	287.7332
ENSG00000074964	83	0.7944	0.1453
ENSG00000075151	3538	31.4792	5.7563
ENSG00000075391	211	1.3419	0.2454
ENSG00000075945	496	7.4178	1.3564
ENSG00000076258	36	1.0802	0.1975
ENSG00000076321	2544	44.8479	8.2009
ENSG00000076356	174	0.9458	0.1730
ENSG00000076864	20	0.2365	0.0432
ENSG00000077152	64	4.5042	0.8236
ENSG00000077157	593	3.0881	0.5647
ENSG00000077254	2756	29.8839	5.4646
ENSG00000077522	6	0.0803	0.0147
ENSG00000077549	6147	132.4890	24.2269
ENSG00000077585	424	13.9570	2.5522
ENSG00000078369	23019	281.3610	51.4498
ENSG00000078618	2609	29.5604	5.4054
ENSG00000078808	3898	62.2433	11.3818
ENSG00000078900	13	0.1766	0.0323
ENSG00000079277	2094	19.4885	3.5637
ENSG00000079335	6482	84.8639	15.5182
ENSG00000079739	382	6.8823	1.2585
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	69	0.7568	0.1384
ENSG00000081019	7291	80.1868	14.6630
ENSG00000081026	23	0.2109	0.0386
ENSG00000081237	51905	457.6070	83.6782
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	329	5.7258	1.0470
ENSG00000081721	2335	99.3706	18.1710
ENSG00000081870	604	16.4081	3.0004
ENSG00000081985	6	0.0980	0.0179
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	4381	36.4176	6.6593
ENSG00000083444	726	10.2226	1.8693
ENSG00000084070	18507	420.7520	76.9388
ENSG00000084072	1494	13.8858	2.5391
ENSG00000084073	2524	52.9910	9.6900
ENSG00000084623	12723	553.1660	101.1520
ENSG00000084628	6	0.1507	0.0275
ENSG00000084636	4	0.0314	0.0057
ENSG00000084652	2969	43.6341	7.9790
ENSG00000085433	3311	54.7416	10.0101
ENSG00000085465	977	24.5274	4.4851
ENSG00000085491	4350	49.8189	9.1099
ENSG00000085552	69	0.7843	0.1434
ENSG00000085831	5	0.0401	0.0073
ENSG00000085832	12948	128.6060	23.5169
ENSG00000085840	778	18.4929	3.3816
ENSG00000085998	182	2.1473	0.3927
ENSG00000085999	34	0.7927	0.1450
ENSG00000086015	412	3.4821	0.6367
ENSG00000086619	2103	27.7242	5.0696
ENSG00000088035	112	1.7006	0.3110
ENSG00000088280	6	0.0887	0.0162
ENSG00000090020	6732	84.5064	15.4529
ENSG00000090104	16024	291.9150	53.3797
ENSG00000090273	3208	84.2139	15.3994
ENSG00000090432	3238	99.7053	18.2321
ENSG00000090621	30360	335.7390	61.3933
ENSG00000090686	2952	23.3103	4.2625
ENSG00000091483	1318	46.1611	8.4410
ENSG00000092607	10	0.1971	0.0360
ENSG00000092621	61	0.8166	0.1493
ENSG00000092847	8347	48.5806	8.8835
