gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	543	10.6020	2.5013
ENSG00000000460	110	1.2978	0.3062
ENSG00000000938	1136	24.1825	5.7054
ENSG00000000971	221	2.0352	0.4802
ENSG00000001460	38	0.3347	0.0790
ENSG00000001461	457	3.6482	0.8607
ENSG00000004455	2097	27.6769	6.5298
ENSG00000004487	4337	95.2283	22.4673
ENSG00000006555	6	0.0689	0.0162
ENSG00000007341	704	6.5084	1.5356
ENSG00000007908	5	0.0889	0.0210
ENSG00000007923	314	4.5726	1.0788
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	134	1.8351	0.4330
ENSG00000008118	3	0.0747	0.0177
ENSG00000008128	2106	33.4801	7.8990
ENSG00000008130	1348	17.6203	4.1572
ENSG00000009307	73417	956.7790	225.7337
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	9	0.1588	0.0375
ENSG00000009780	198	5.1537	1.2159
ENSG00000009790	753	7.2818	1.7180
ENSG00000010072	950	12.0648	2.8465
ENSG00000010165	341	6.6568	1.5705
ENSG00000010803	1495	25.2130	5.9485
ENSG00000010932	5	0.1049	0.0248
ENSG00000011007	3473	48.3114	11.3982
ENSG00000011009	819	27.9690	6.5987
ENSG00000011021	3257	35.4868	8.3724
ENSG00000014914	12	0.1960	0.0463
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	1	0.0087	0.0021
ENSG00000020129	147	2.2463	0.5300
ENSG00000020633	3848	62.6736	14.7866
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	190	10.9738	2.5891
ENSG00000023902	8747	105.1640	24.8115
ENSG00000023909	573	8.0002	1.8875
ENSG00000024526	14	0.1834	0.0433
ENSG00000025800	9841	96.0125	22.6523
ENSG00000026751	161	2.6166	0.6174
ENSG00000027644	10	0.1415	0.0334
ENSG00000027869	428	12.7838	3.0161
ENSG00000028137	2620	52.1848	12.3120
ENSG00000031698	2005	39.2052	9.2497
ENSG00000033122	2	0.0125	0.0029
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	647	13.2313	3.1217
ENSG00000036549	3136	26.1092	6.1600
ENSG00000037637	5111	42.6700	10.0672
ENSG00000040487	454	12.6817	2.9920
ENSG00000041988	423	7.7858	1.8369
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	526	12.8440	3.0303
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	6460	47.5959	11.2293
ENSG00000048707	2896	10.6750	2.5186
ENSG00000049089	376	6.7907	1.6021
ENSG00000049239	647	5.3207	1.2553
ENSG00000049245	4335	117.8000	27.7926
ENSG00000049246	43	0.4557	0.1075
ENSG00000049247	0	0.0000	0.0000
ENSG00000049249	185	6.0749	1.4332
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	3855	49.0482	11.5720
ENSG00000053371	601	25.3127	5.9720
ENSG00000053372	380	10.1116	2.3857
ENSG00000054116	1225	27.7308	6.5425
ENSG00000054118	4531	71.7492	16.9278
ENSG00000054267	15513	105.0740	24.7902
ENSG00000054277	218	4.6917	1.1069
ENSG00000054282	787	11.2449	2.6530
ENSG00000054392	56	0.9797	0.2312
ENSG00000054523	757	3.2085	0.7570
ENSG00000055070	8849	139.8100	32.9855
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	1916	20.4325	4.8207
ENSG00000057468	0	0.0000	0.0000
ENSG00000057757	2496	85.6281	20.2023
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	137	0.8408	0.1984
ENSG00000058668	1383	10.6713	2.5177
ENSG00000058673	15665	121.1200	28.5759
ENSG00000058799	858	28.4502	6.7123
ENSG00000058804	922	13.4684	3.1776
ENSG00000059588	7940	76.9035	18.1439
ENSG00000060642	398	8.8176	2.0803
ENSG00000060656	15	0.1679	0.0396
ENSG00000060688	2469	46.1608	10.8908
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	2917	36.3442	8.5747
ENSG00000064886	25	0.5690	0.1343
ENSG00000065135	4606	107.7560	25.4231
ENSG00000065183	590	10.6350	2.5091
ENSG00000065243	7428	79.4316	18.7404
ENSG00000065526	23300	131.4520	31.0136
ENSG00000065600	1197	30.8054	7.2679
ENSG00000065978	33645	1307.4500	308.4685
ENSG00000066027	5703	110.7170	26.1215
ENSG00000066056	694	7.7743	1.8342
ENSG00000066135	1677	24.3125	5.7361
ENSG00000066136	748	9.3681	2.2102
ENSG00000066185	79	2.6989	0.6368
ENSG00000066279	127	0.8766	0.2068
ENSG00000066294	3703	30.0077	7.0797
ENSG00000066322	2279	69.5018	16.3976
ENSG00000066557	2199	57.1859	13.4919
ENSG00000067208	48	0.4390	0.1036
ENSG00000067334	5399	67.4306	15.9090
ENSG00000067533	503	4.7868	1.1293
ENSG00000067606	202	1.9801	0.4672
