gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	604	11.7773	0.9419
ENSG00000000460	581	6.8580	0.5485
ENSG00000000938	23408	498.1920	39.8431
ENSG00000000971	158	1.4538	0.1163
ENSG00000001460	546	4.8140	0.3850
ENSG00000001461	4179	33.3281	2.6654
ENSG00000004455	12532	165.3850	13.2268
ENSG00000004487	13861	304.3350	24.3393
ENSG00000006555	14	0.1792	0.0143
ENSG00000007341	1036	9.5793	0.7661
ENSG00000007908	177	3.1455	0.2516
ENSG00000007923	3283	47.8325	3.8254
ENSG00000007933	8	0.1675	0.0134
ENSG00000007968	1634	22.4585	1.7961
ENSG00000008118	42	1.1715	0.0937
ENSG00000008128	5312	84.4394	6.7531
ENSG00000008130	11698	152.8810	12.2268
ENSG00000009307	103599	1350.1200	107.9764
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	1155	20.3790	1.6298
ENSG00000009780	713	18.5939	1.4870
ENSG00000009790	2553	24.6938	1.9749
ENSG00000010072	3100	39.3698	3.1486
ENSG00000010165	1248	24.3489	1.9473
ENSG00000010803	5184	87.4349	6.9927
ENSG00000010932	9	0.1945	0.0156
ENSG00000011007	16516	229.7720	18.3761
ENSG00000011009	5997	204.8280	16.3812
ENSG00000011021	7213	78.5882	6.2851
ENSG00000014914	1420	23.1969	1.8552
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	1	0.0083	0.0007
ENSG00000020129	732	11.1631	0.8928
ENSG00000020633	71938	1171.6200	93.7010
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	440	25.4326	2.0340
ENSG00000023902	37932	456.0650	36.4740
ENSG00000023909	602	8.4038	0.6721
ENSG00000024526	119	1.5098	0.1207
ENSG00000025800	19334	188.6390	15.0865
ENSG00000026751	13409	218.4330	17.4693
ENSG00000027644	3	0.0423	0.0034
ENSG00000027869	392	11.7122	0.9367
ENSG00000028137	285072	5677.2100	454.0376
ENSG00000031698	6807	133.0800	10.6431
ENSG00000033122	106	0.6648	0.0532
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	2747	56.2043	4.4950
ENSG00000036549	3254	27.0967	2.1671
ENSG00000037637	15041	125.5630	10.0419
ENSG00000040487	3058	85.3734	6.8278
ENSG00000041988	4687	86.3291	6.9042
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	623	15.2100	1.2164
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	10957	80.7238	6.4559
ENSG00000048707	12546	46.2463	3.6986
ENSG00000049089	2545	45.9822	3.6774
ENSG00000049239	10023	82.4493	6.5939
ENSG00000049245	16939	460.3010	36.8128
ENSG00000049246	83	0.8798	0.0704
ENSG00000049247	16	0.6708	0.0537
ENSG00000049249	8832	290.0220	23.1947
ENSG00000050628	22	0.1706	0.0136
ENSG00000052723	3782	48.1295	3.8492
ENSG00000053371	8169	344.0240	27.5135
ENSG00000053372	3035	80.6563	6.4505
ENSG00000054116	5364	121.4340	9.7117
ENSG00000054118	21408	339.0150	27.1128
ENSG00000054267	11067	74.9617	5.9951
ENSG00000054277	2697	58.1310	4.6491
ENSG00000054282	1118	15.9842	1.2783
ENSG00000054392	474	8.2689	0.6613
ENSG00000054523	8952	37.9469	3.0348
ENSG00000055070	35409	559.4390	44.7414
ENSG00000055732	2	0.0226	0.0018
ENSG00000057252	6951	74.1263	5.9283
ENSG00000057468	9	0.2128	0.0170
ENSG00000057757	7946	272.6310	21.8038
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	901	5.5111	0.4408
ENSG00000058668	4752	36.6631	2.9322
ENSG00000058673	21719	167.9270	13.4301
ENSG00000058799	4692	155.6260	12.4463
ENSG00000058804	2311	33.7595	2.6999
ENSG00000059588	4138	40.0799	3.2054
ENSG00000060642	2223	49.2877	3.9418
ENSG00000060656	62	0.6928	0.0554
ENSG00000060688	4820	90.1281	7.2080
ENSG00000060718	4	0.0362	0.0029
ENSG00000064703	2487	30.9950	2.4788
ENSG00000064886	77	1.7536	0.1402
