gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	673	13.1387	1.0754
ENSG00000000460	542	6.3938	0.5233
ENSG00000000938	9701	206.4680	16.8987
ENSG00000000971	35	0.3213	0.0263
ENSG00000001460	71	0.6283	0.0514
ENSG00000001461	534	4.2558	0.3483
ENSG00000004455	4377	57.7700	4.7283
ENSG00000004487	13396	294.1210	24.0728
ENSG00000006555	19	0.2357	0.0193
ENSG00000007341	1267	11.7182	0.9591
ENSG00000007908	1	0.0180	0.0015
ENSG00000007923	1487	21.6685	1.7735
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	4836	66.4649	5.4399
ENSG00000008118	28	0.7818	0.0640
ENSG00000008128	6675	106.1110	8.6848
ENSG00000008130	6567	85.8143	7.0236
ENSG00000009307	100693	1312.2500	107.4031
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	1178	20.7796	1.7007
ENSG00000009780	1216	31.7170	2.5959
ENSG00000009790	2211	21.3900	1.7507
ENSG00000010072	3127	39.7045	3.2497
ENSG00000010165	1898	37.0401	3.0316
ENSG00000010803	10629	179.2620	14.6720
ENSG00000010932	18	0.3811	0.0312
ENSG00000011007	14426	200.7020	16.4268
ENSG00000011009	4977	169.9960	13.9136
ENSG00000011021	6247	68.0598	5.5705
ENSG00000014914	3105	50.7295	4.1520
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	555	8.4680	0.6931
ENSG00000020633	5130	83.5470	6.8380
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	754	43.5142	3.5615
ENSG00000023902	70693	849.9430	69.5650
ENSG00000023909	411	5.7304	0.4690
ENSG00000024526	141	1.7964	0.1470
ENSG00000025800	38026	371.0110	30.3660
ENSG00000026751	711	11.5823	0.9480
ENSG00000027644	75	1.1070	0.0906
ENSG00000027869	263	7.8599	0.6433
ENSG00000028137	54883	1092.9900	89.4577
ENSG00000031698	6589	128.8180	10.5433
ENSG00000033122	141	0.8792	0.0720
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1403	28.6983	2.3489
ENSG00000036549	3995	33.2622	2.7224
ENSG00000037637	15117	126.1990	10.3289
ENSG00000040487	1853	51.7297	4.2339
ENSG00000041988	2526	46.5174	3.8073
ENSG00000042781	14	0.0510	0.0042
ENSG00000043514	1179	28.8030	2.3574
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	11813	87.0277	7.1229
ENSG00000048707	9014	33.2289	2.7197
ENSG00000049089	953	17.2277	1.4100
ENSG00000049239	4223	34.7371	2.8431
ENSG00000049245	16872	458.4770	37.5248
ENSG00000049246	70	0.7430	0.0608
ENSG00000049247	10	0.4027	0.0329
ENSG00000049249	71	2.3397	0.1915
ENSG00000050628	6	0.0466	0.0038
ENSG00000052723	3846	48.9367	4.0053
ENSG00000053371	4415	185.9410	15.2186
ENSG00000053372	2967	78.8593	6.4544
ENSG00000054116	4695	106.2800	8.6986
ENSG00000054118	25255	399.9490	32.7345
ENSG00000054267	14250	96.5200	7.8998
ENSG00000054277	596	12.8534	1.0520
ENSG00000054282	1697	24.2500	1.9848
ENSG00000054392	373	6.5044	0.5324
ENSG00000054523	5783	24.5122	2.0062
ENSG00000055070	46812	739.6090	60.5345
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	5263	56.1254	4.5937
ENSG00000057468	5	0.1148	0.0094
ENSG00000057757	12680	435.0250	35.6053
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	609	3.7245	0.3048
ENSG00000058668	2524	19.4725	1.5938
ENSG00000058673	21670	167.5550	13.7138
ENSG00000058799	3338	110.7310	9.0630
ENSG00000058804	1777	25.9542	2.1243
ENSG00000059588	5966	57.7838	4.7294
ENSG00000060642	817	18.1221	1.4832
ENSG00000060656	28	0.3164	0.0259
ENSG00000060688	9230	172.5810	14.1252
ENSG00000060718	2	0.0163	0.0013
ENSG00000064703	4209	52.4481	4.2927
ENSG00000064886	76	1.7211	0.1409
ENSG00000065135	10174	237.9980	19.4794
ENSG00000065183	1075	19.3898	1.5870
ENSG00000065243	4751	50.8054	4.1583
