gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1139	22.2284	1.5978
ENSG00000000460	1292	15.2488	1.0961
ENSG00000000938	135628	2886.5200	207.4864
ENSG00000000971	66	0.6076	0.0437
ENSG00000001460	1288	11.3484	0.8157
ENSG00000001461	6163	49.1506	3.5330
ENSG00000004455	87340	1152.6500	82.8538
ENSG00000004487	9985	219.2320	15.7587
ENSG00000006555	6	0.0743	0.0053
ENSG00000007341	1844	17.0528	1.2258
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	7807	113.7620	8.1774
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	1543	21.2012	1.5240
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	6977	110.9140	7.9726
ENSG00000008130	25756	336.5910	24.1946
ENSG00000009307	83790	1091.9600	78.4914
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	483	8.5246	0.6128
ENSG00000009780	1382	36.0494	2.5913
ENSG00000009790	12262	118.6140	8.5262
ENSG00000010072	1574	19.9888	1.4368
ENSG00000010165	4318	84.2758	6.0578
ENSG00000010803	5399	91.0513	6.5449
ENSG00000010932	26	0.5490	0.0395
ENSG00000011007	5525	76.8579	5.5246
ENSG00000011009	11531	393.8240	28.3086
ENSG00000011021	7062	76.9402	5.5306
ENSG00000014914	9924	162.1250	11.6537
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	4	0.0476	0.0034
ENSG00000020129	5268	80.3581	5.7762
ENSG00000020633	34434	560.8160	40.3122
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	1383	79.8668	5.7409
ENSG00000023902	6850	82.3615	5.9203
ENSG00000023909	1094	15.2665	1.0974
ENSG00000024526	192	2.4438	0.1757
ENSG00000025800	19513	190.3800	13.6848
ENSG00000026751	603	9.8310	0.7067
ENSG00000027644	95	1.3997	0.1006
ENSG00000027869	529	15.7954	1.1354
ENSG00000028137	66815	1330.6200	95.6465
ENSG00000031698	18272	357.2450	25.6792
ENSG00000033122	39	0.2416	0.0174
ENSG00000034971	2	0.0720	0.0052
ENSG00000035687	7617	155.8340	11.2015
ENSG00000036549	2291	19.0725	1.3710
ENSG00000037637	7130	59.5238	4.2786
ENSG00000040487	8553	238.8170	17.1665
ENSG00000041988	3850	70.9163	5.0976
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	1125	27.4865	1.9758
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	7904	58.2290	4.1856
ENSG00000048707	11942	44.0220	3.1644
ENSG00000049089	13748	248.3900	17.8546
ENSG00000049239	15346	126.2430	9.0745
ENSG00000049245	24042	653.3050	46.9604
ENSG00000049246	3169	33.4543	2.4047
ENSG00000049247	641	26.9720	1.9388
ENSG00000049249	22	0.7360	0.0529
ENSG00000050628	12	0.0965	0.0069
ENSG00000052723	4635	58.9818	4.2397
ENSG00000053371	33161	1396.4500	100.3788
ENSG00000053372	5866	155.8900	11.2056
ENSG00000054116	8782	198.8070	14.2905
ENSG00000054118	14084	223.0330	16.0319
ENSG00000054267	6782	45.9364	3.3020
ENSG00000054277	8180	176.3030	12.6729
ENSG00000054282	4387	62.7017	4.5071
ENSG00000054392	479	8.3615	0.6010
ENSG00000054523	6349	26.9120	1.9345
ENSG00000055070	29941	473.0490	34.0034
ENSG00000055732	41	0.4666	0.0335
ENSG00000057252	6661	71.0350	5.1061
ENSG00000057468	8	0.1837	0.0132
ENSG00000057757	5302	181.9100	13.0759
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	1621	9.9101	0.7124
ENSG00000058668	46511	358.8430	25.7941
ENSG00000058673	21508	166.3000	11.9538
ENSG00000058799	5485	181.9350	13.0777
ENSG00000058804	3290	48.0586	3.4545
ENSG00000059588	15765	152.7040	10.9766
ENSG00000060642	2573	57.0544	4.1011
ENSG00000060656	1531	17.1346	1.2317
ENSG00000060688	6609	123.5870	8.8836
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	1911	23.8096	1.7115
ENSG00000064886	131	2.9848	0.2145
ENSG00000065135	16457	384.9990	27.6742
ENSG00000065183	2070	37.3268	2.6831
ENSG00000065243	1871	20.0087	1.4382
ENSG00000065526	31293	176.5470	12.6904
ENSG00000065600	10433	268.5230	19.3018
ENSG00000065978	122830	4773.1700	343.1017
ENSG00000066027	13009	252.5760	18.1555
ENSG00000066056	507	5.6837	0.4086
ENSG00000066135	11317	164.1030	11.7959
ENSG00000066136	7799	97.7027	7.0230
ENSG00000066185	435	14.8651	1.0685
ENSG00000066279	339	2.3374	0.1680
ENSG00000066294	23108	187.2630	13.4607
ENSG00000066322	14501	442.2830	31.7919
ENSG00000066557	594	15.4591	1.1112
ENSG00000067208	2970	26.9258	1.9355
ENSG00000067334	3128	39.0636	2.8079
ENSG00000067533	989	9.4142	0.6767
ENSG00000067606	535	5.2533	0.3776
ENSG00000067704	24016	432.7780	31.1086
ENSG00000069248	4208	62.4070	4.4859
ENSG00000069275	16578	189.9370	13.6529
ENSG00000069424	57835	533.7930	38.3697
ENSG00000069702	39	0.3380	0.0243
ENSG00000069712	107	1.7350	0.1247
ENSG00000069812	403	5.5896	0.4018
ENSG00000070759	2618	56.7488	4.0792
ENSG00000070785	2738	67.4808	4.8506
ENSG00000070831	77061	1665.5900	119.7249
ENSG00000070886	3	0.0420	0.0030
ENSG00000072694	1658	17.7712	1.2774
ENSG00000073754	16	0.4788	0.0344
ENSG00000073756	121	1.7216	0.1238
ENSG00000074800	696354	12747.5000	916.3072
ENSG00000074964	7971	76.1819	5.4760
ENSG00000075151	18322	163.0240	11.7183
ENSG00000075391	895	5.6791	0.4082
ENSG00000075945	1034	15.4621	1.1114
ENSG00000076258	289	8.6059	0.6186
ENSG00000076321	1535	27.0668	1.9456
ENSG00000076356	744	4.0510	0.2912
ENSG00000076864	67	0.7958	0.0572
ENSG00000077152	1525	107.3710	7.7180
ENSG00000077157	5591	29.1176	2.0930
ENSG00000077254	4136	44.8408	3.2232
ENSG00000077522	37	0.5156	0.0371
ENSG00000077549	83469	1798.9000	129.3076
ENSG00000077585	1954	64.3137	4.6230
ENSG00000078369	120346	1470.9900	105.7365
ENSG00000078618	28990	328.4860	23.6120
ENSG00000078808	39943	637.7930	45.8454
ENSG00000078900	1240	16.7456	1.2037
ENSG00000079277	11032	102.6570	7.3791
ENSG00000079335	2024	26.4935	1.9044
ENSG00000079739	8108	146.0330	10.4970
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	699	7.6935	0.5530
ENSG00000081019	2663	29.2898	2.1054
ENSG00000081026	335	3.0748	0.2210
ENSG00000081237	67605	596.0230	42.8429
ENSG00000081248	0	0.0039	0.0003
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	1697	29.4985	2.1204
ENSG00000081721	4797	204.1800	14.6767
ENSG00000081870	1736	47.1899	3.3921
ENSG00000081985	5623	99.6329	7.1617
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	619	5.1464	0.3699
ENSG00000083444	38728	545.2560	39.1937
ENSG00000084070	66339	1508.1600	108.4084
ENSG00000084072	8803	81.8030	5.8801
ENSG00000084073	3530	74.1268	5.3283
ENSG00000084623	38549	1676.0600	120.4772
ENSG00000084628	32	0.8068	0.0580
ENSG00000084636	2	0.0157	0.0011
ENSG00000084652	15211	223.5530	16.0693
ENSG00000085433	2736	45.2423	3.2521
ENSG00000085465	275	6.9003	0.4960
ENSG00000085491	7997	91.5974	6.5841
ENSG00000085552	54	0.6137	0.0441
ENSG00000085831	64	0.5135	0.0369
ENSG00000085832	7619	75.6773	5.4398
ENSG00000085840	2703	64.2087	4.6154
ENSG00000085998	5319	62.6704	4.5048
ENSG00000085999	1692	39.5075	2.8398
ENSG00000086015	14226	120.2090	8.6408
ENSG00000086619	202	2.6684	0.1918
ENSG00000088035	1158	17.5623	1.2624
ENSG00000088280	6	0.0920	0.0066
ENSG00000090020	8058	101.1440	7.2703
ENSG00000090104	188	3.4238	0.2461
ENSG00000090273	27199	714.0080	51.3238
ENSG00000090432	4725	145.4630	10.4560
ENSG00000090621	36494	403.5730	29.0094
ENSG00000090686	13452	106.2360	7.6363
ENSG00000091483	11228	393.1210	28.2580
ENSG00000092607	0	0.0000	0.0000
ENSG00000092621	697	9.2962	0.6682
ENSG00000092847	32199	187.4070	13.4711
ENSG00000092850	145	5.4990	0.3953
ENSG00000092853	3913	54.2345	3.8984
ENSG00000092969	0	0.0000	0.0000
ENSG00000092978	1164	9.8830	0.7104
ENSG00000094963	0	0.0000	0.0000
ENSG00000094975	2070	24.0057	1.7256
ENSG00000097021	6950	106.6340	7.6650
ENSG00000097033	15824	177.7430	12.7764
ENSG00000097046	924	19.2645	1.3848
ENSG00000097096	32	0.3720	0.0267
ENSG00000099260	3	0.0326	0.0023
ENSG00000107404	7955	171.1390	12.3017
ENSG00000116128	996	11.6313	0.8361
ENSG00000116132	0	0.0000	0.0000
ENSG00000116133	19422	328.0050	23.5774
ENSG00000116138	2645	23.1693	1.6654
ENSG00000116141	0	0.0000	0.0000
ENSG00000116147	31	0.4396	0.0316
ENSG00000116151	1041	14.9136	1.0720
ENSG00000116157	8948	396.8590	28.5267
ENSG00000116161	20703	344.2890	24.7479
ENSG00000116171	21041	190.0170	13.6587
ENSG00000116183	14	0.0966	0.0069
ENSG00000116191	1559	15.7542	1.1324
ENSG00000116194	39	0.8480	0.0610
ENSG00000116198	5433	51.7368	3.7189
ENSG00000116199	11887	147.6300	10.6118
ENSG00000116205	2673	34.4042	2.4730
ENSG00000116209	28874	521.0570	37.4543
ENSG00000116212	1503	46.7495	3.3604
ENSG00000116213	5155	50.8469	3.6549
ENSG00000116218	15	0.6179	0.0444
ENSG00000116219	1	0.0367	0.0026
ENSG00000116221	13892	472.7380	33.9810
ENSG00000116237	16002	244.3820	17.5665
ENSG00000116251	23207	355.2100	25.5330
ENSG00000116254	12	0.0910	0.0065
ENSG00000116260	88451	712.4750	51.2136
ENSG00000116266	4279	54.4390	3.9131
ENSG00000116273	1615	32.9095	2.3656
ENSG00000116285	114	2.0423	0.1468
ENSG00000116288	28147	880.6880	63.3049
ENSG00000116299	64	0.5154	0.0370
ENSG00000116329	0	0.0000	0.0000
ENSG00000116337	15345	168.5550	12.1159
ENSG00000116350	13127	309.7890	22.2680
ENSG00000116353	1834	34.6903	2.4936
ENSG00000116396	2605	20.9076	1.5029
ENSG00000116406	9178	91.3878	6.5691
ENSG00000116455	7793	208.3560	14.9769
ENSG00000116459	32323	716.5870	51.5092
ENSG00000116473	15233	199.2800	14.3245
ENSG00000116478	29202	546.3020	39.2689
ENSG00000116489	29486	535.4680	38.4901
ENSG00000116497	2993	24.4229	1.7555
ENSG00000116514	8687	249.6150	17.9426
ENSG00000116521	14881	457.0280	32.8518
ENSG00000116525	1263	23.8407	1.7137
ENSG00000116539	8283	46.7226	3.3585
ENSG00000116544	880	16.5949	1.1929
ENSG00000116560	38993	393.8200	28.3083
ENSG00000116574	11349	194.6940	13.9949
ENSG00000116580	7463	46.0385	3.3093
ENSG00000116584	26092	263.9430	18.9726
ENSG00000116586	20253	1056.3300	75.9300
ENSG00000116604	47296	554.2520	39.8403
ENSG00000116641	266	1.8328	0.1317
ENSG00000116649	25244	997.5320	71.7039
ENSG00000116652	20	1.3029	0.0937
ENSG00000116661	20	0.6515	0.0468
ENSG00000116663	8550	354.1050	25.4536
ENSG00000116667	85	0.5824	0.0419
ENSG00000116668	283	5.2353	0.3763
ENSG00000116670	7406	163.2240	11.7327
ENSG00000116675	5	0.0543	0.0039
ENSG00000116678	1214	7.9464	0.5712
ENSG00000116679	6813	64.4463	4.6325
ENSG00000116685	18277	417.7880	30.0312
ENSG00000116688	25468	383.7040	27.5812
ENSG00000116690	182	2.6984	0.1940
ENSG00000116691	13142	349.4100	25.1160
ENSG00000116698	19531	176.1220	12.6599
ENSG00000116701	41621	1066.1200	76.6337
ENSG00000116703	3	0.1680	0.0121
ENSG00000116704	2747	28.7942	2.0698
ENSG00000116711	648	16.8957	1.2145
ENSG00000116717	2468	89.4717	6.4314
ENSG00000116721	0	0.0000	0.0000
ENSG00000116726	0	0.0000	0.0000
ENSG00000116729	6	0.0997	0.0072
ENSG00000116731	9358	64.3372	4.6246
ENSG00000116741	976	35.0853	2.5220
ENSG00000116745	0	0.0000	0.0000
ENSG00000116747	4675	38.5219	2.7690
ENSG00000116748	0	0.0000	0.0000
ENSG00000116750	3831	79.8416	5.7391
ENSG00000116752	1872	108.0810	7.7690
ENSG00000116754	16518	146.1450	10.5051
ENSG00000116761	41	1.2684	0.0912
ENSG00000116771	694	20.8112	1.4959
