gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	502	9.8039	1.1573
ENSG00000000460	691	8.1572	0.9629
ENSG00000000938	15635	332.7430	39.2772
ENSG00000000971	23	0.2125	0.0251
ENSG00000001460	157	1.3833	0.1633
ENSG00000001461	1423	11.3521	1.3400
ENSG00000004455	17291	228.1880	26.9354
ENSG00000004487	10797	237.0640	27.9831
ENSG00000006555	139	1.7197	0.2030
ENSG00000007341	1286	11.8909	1.4036
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1917	27.9367	3.2977
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	1120	15.3907	1.8167
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	3674	58.3987	6.8934
ENSG00000008130	6469	84.5337	9.9784
ENSG00000009307	117681	1533.6400	181.0310
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	58	1.0165	0.1200
ENSG00000009780	1003	26.1652	3.0886
ENSG00000009790	6372	61.6454	7.2767
ENSG00000010072	5055	64.1883	7.5768
ENSG00000010165	590	11.5064	1.3582
ENSG00000010803	5980	100.8510	11.9045
ENSG00000010932	15	0.3137	0.0370
ENSG00000011007	12396	172.4580	20.3570
ENSG00000011009	3954	135.0430	15.9405
ENSG00000011021	3705	40.3666	4.7649
ENSG00000014914	7938	129.6800	15.3075
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	1471	22.4342	2.6482
ENSG00000020633	38487	626.8210	73.9902
ENSG00000021852	4	0.1099	0.0130
ENSG00000023572	363	20.9577	2.4739
ENSG00000023902	12213	146.8330	17.3322
ENSG00000023909	488	6.8147	0.8044
ENSG00000024526	148	1.8770	0.2216
ENSG00000025800	10444	101.9000	12.0283
ENSG00000026751	1479	24.0993	2.8447
ENSG00000027644	11	0.1580	0.0187
ENSG00000027869	796	23.7787	2.8069
ENSG00000028137	9280	184.8080	21.8148
ENSG00000031698	5784	113.0920	13.3494
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	3646	74.5957	8.8053
ENSG00000036549	5505	45.8310	5.4099
ENSG00000037637	3650	30.4699	3.5967
ENSG00000040487	1560	43.5633	5.1422
ENSG00000041988	1241	22.8664	2.6992
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	1137	27.7581	3.2766
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	17284	127.3350	15.0307
ENSG00000048707	4125	15.2059	1.7949
ENSG00000049089	5523	99.7919	11.7795
ENSG00000049239	10371	85.3151	10.0706
ENSG00000049245	19972	542.7120	64.0620
ENSG00000049246	1097	11.5825	1.3672
ENSG00000049247	1382	58.1464	6.8636
ENSG00000049249	123	4.0250	0.4751
ENSG00000050628	30	0.2331	0.0275
ENSG00000052723	7653	97.3804	11.4948
ENSG00000053371	9364	394.3440	46.5486
ENSG00000053372	1821	48.3894	5.7119
ENSG00000054116	3078	69.6837	8.2255
ENSG00000054118	4381	69.3815	8.1898
ENSG00000054267	20599	139.5190	16.4689
ENSG00000054277	5674	122.2890	14.4350
ENSG00000054282	2869	41.0091	4.8407
ENSG00000054392	570	9.9532	1.1749
ENSG00000054523	3266	13.8453	1.6343
ENSG00000055070	13409	211.8480	25.0066
ENSG00000055732	6	0.0661	0.0078
ENSG00000057252	7141	76.1567	8.9896
ENSG00000057468	26	0.6007	0.0709
ENSG00000057757	6392	219.3090	25.8873
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	1590	9.7248	1.1479
ENSG00000058668	13838	106.7670	12.6029
ENSG00000058673	24011	185.6540	21.9147
ENSG00000058799	2302	76.3538	9.0128
ENSG00000058804	3867	56.4734	6.6662
ENSG00000059588	17495	169.4560	20.0026
ENSG00000060642	1338	29.6745	3.5028
