gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1212	23.6524	1.9716
ENSG00000000460	1210	14.2819	1.1905
ENSG00000000938	1389	29.5667	2.4646
ENSG00000000971	497	4.5764	0.3815
ENSG00000001460	518	4.5667	0.3807
ENSG00000001461	2878	22.9500	1.9131
ENSG00000004455	10289	135.7920	11.3195
ENSG00000004487	21091	463.0580	38.6000
ENSG00000006555	21	0.2571	0.0214
ENSG00000007341	2031	18.7755	1.5651
ENSG00000007908	103	1.8395	0.1533
ENSG00000007923	2410	35.1245	2.9279
ENSG00000007933	46	0.9962	0.0830
ENSG00000007968	1367	18.7812	1.5656
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	5053	80.3302	6.6962
ENSG00000008130	6980	91.2183	7.6039
ENSG00000009307	172148	2243.4600	187.0126
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	1075	18.9647	1.5809
ENSG00000009780	1333	34.7590	2.8975
ENSG00000009790	1184	11.4578	0.9551
ENSG00000010072	6521	82.8055	6.9026
ENSG00000010165	1540	30.0546	2.5053
ENSG00000010803	16374	276.1580	23.0202
ENSG00000010932	16	0.3394	0.0283
ENSG00000011007	12338	171.6530	14.3088
ENSG00000011009	5157	176.1330	14.6822
ENSG00000011021	5357	58.3684	4.8655
ENSG00000014914	170	2.7706	0.2310
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	2	0.0411	0.0034
ENSG00000018625	3	0.0357	0.0030
ENSG00000020129	3168	48.3162	4.0276
ENSG00000020633	2274	37.0384	3.0875
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	263	15.1871	1.2660
ENSG00000023902	25512	306.7300	25.5687
ENSG00000023909	240	3.3554	0.2797
ENSG00000024526	282	3.5813	0.2985
ENSG00000025800	37631	367.1530	30.6054
ENSG00000026751	436	7.0977	0.5917
ENSG00000027644	27	0.3899	0.0325
ENSG00000027869	358	10.6879	0.8909
ENSG00000028137	1611	32.0884	2.6749
ENSG00000031698	7115	139.1040	11.5956
ENSG00000033122	169	1.0530	0.0878
ENSG00000034971	2	0.0720	0.0060
ENSG00000035687	2552	52.2073	4.3519
ENSG00000036549	4961	41.3082	3.4434
ENSG00000037637	5627	46.9760	3.9159
ENSG00000040487	848	23.6750	1.9735
ENSG00000041988	2187	40.2846	3.3581
ENSG00000042781	2	0.0073	0.0006
ENSG00000043514	2391	58.4002	4.8682
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	22946	169.0550	14.0922
ENSG00000048707	14022	51.6878	4.3086
ENSG00000049089	2459	44.4259	3.7033
ENSG00000049239	3852	31.6879	2.6415
ENSG00000049245	14576	396.0930	33.0179
ENSG00000049246	542	5.7241	0.4772
ENSG00000049247	105	4.4072	0.3674
ENSG00000049249	338	11.1011	0.9254
ENSG00000050628	12	0.0932	0.0078
ENSG00000052723	4101	52.1787	4.3496
ENSG00000053371	4857	204.5520	17.0512
ENSG00000053372	2676	71.1215	5.9286
ENSG00000054116	3501	79.2514	6.6063
ENSG00000054118	14678	232.4410	19.3760
ENSG00000054267	36846	249.5660	20.8035
ENSG00000054277	1098	23.6612	1.9724
ENSG00000054282	4406	62.9787	5.2498
ENSG00000054392	823	14.3606	1.1971
ENSG00000054523	9249	39.2060	3.2682
ENSG00000055070	43364	685.1330	57.1119
ENSG00000055732	2	0.0226	0.0019
ENSG00000057252	6853	73.0798	6.0918
ENSG00000057468	381	8.7495	0.7293
ENSG00000057757	8671	297.5110	24.8002
ENSG00000058085	2	0.0229	0.0019
ENSG00000058453	1426	8.7177	0.7267
ENSG00000058668	2588	19.9679	1.6645
ENSG00000058673	43717	338.0200	28.1770
ENSG00000058799	3038	100.7620	8.3994
ENSG00000058804	1772	25.8781	2.1572
ENSG00000059588	15345	148.6340	12.3900
ENSG00000060642	1677	37.1863	3.0998
ENSG00000060656	85	0.9512	0.0793
ENSG00000060688	3659	68.4134	5.7029
ENSG00000060718	36	0.3267	0.0272
ENSG00000064703	6724	83.7905	6.9847
ENSG00000064886	101	2.2898	0.1909
ENSG00000065135	14353	335.7680	27.9893
ENSG00000065183	742	13.3833	1.1156
ENSG00000065243	7988	85.4145	7.1201
ENSG00000065526	87813	495.4120	41.2970
ENSG00000065600	3662	94.2512	7.8567
ENSG00000065978	105559	4102.0400	341.9417
ENSG00000066027	14537	282.2310	23.5265
ENSG00000066056	8224	92.1454	7.6811
ENSG00000066135	7691	111.5350	9.2974
ENSG00000066136	3372	42.2439	3.5214
ENSG00000066185	159	5.4305	0.4527
ENSG00000066279	2089	14.3924	1.1997
ENSG00000066294	4282	34.7042	2.8929
ENSG00000066322	7586	231.3610	19.2860
ENSG00000066557	2798	72.7660	6.0657
ENSG00000067208	1412	12.7985	1.0669
ENSG00000067334	12211	152.5110	12.7132
ENSG00000067533	1925	18.3182	1.5270
ENSG00000067606	291	2.8629	0.2386
ENSG00000067704	6369	114.7650	9.5666
ENSG00000069248	5201	77.1339	6.4298
ENSG00000069275	12062	138.1950	11.5198
ENSG00000069424	38656	356.7780	29.7406
ENSG00000069702	523	4.5346	0.3780
ENSG00000069712	131	2.1235	0.1770
ENSG00000069812	6	0.0832	0.0069
ENSG00000070759	3552	76.9913	6.4179
ENSG00000070785	1181	29.1176	2.4272
ENSG00000070831	64473	1393.5200	116.1620
ENSG00000070886	2	0.0280	0.0023
ENSG00000072694	52	0.5573	0.0465
ENSG00000073754	49	1.4959	0.1247
ENSG00000073756	5799	82.5451	6.8809
ENSG00000074800	263396	4821.7500	401.9355
ENSG00000074964	56	0.5379	0.0448
ENSG00000075151	10825	96.3229	8.0294
ENSG00000075391	507	3.2159	0.2681
ENSG00000075945	3429	51.2892	4.2754
ENSG00000076258	240	7.1633	0.5971
ENSG00000076321	2488	43.8587	3.6560
ENSG00000076356	440	2.3969	0.1998
ENSG00000076864	169	1.9929	0.1661
ENSG00000077152	553	38.9315	3.2453
ENSG00000077157	6902	35.9475	2.9965
ENSG00000077254	4824	52.2975	4.3595
ENSG00000077522	15	0.2070	0.0173
ENSG00000077549	30774	663.2260	55.2857
ENSG00000077585	692	22.7613	1.8974
ENSG00000078369	55065	673.0520	56.1049
ENSG00000078618	24506	277.6770	23.1468
ENSG00000078808	13896	221.8800	18.4957
ENSG00000078900	32	0.4302	0.0359
ENSG00000079277	5079	47.2598	3.9395
ENSG00000079335	9787	128.1270	10.6805
ENSG00000079739	1274	22.9515	1.9132
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	1135	12.4948	1.0416
ENSG00000081019	11668	128.3330	10.6977
ENSG00000081026	1263	11.5813	0.9654
ENSG00000081237	41173	362.9900	30.2585
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	4	0.0473	0.0039
ENSG00000081692	870	15.1184	1.2602
ENSG00000081721	4883	207.8670	17.3275
ENSG00000081870	1724	46.8554	3.9058
ENSG00000081985	176	3.1124	0.2595
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	24	0.3292	0.0274
ENSG00000082512	10972	91.2134	7.6034
ENSG00000083444	8630	121.5010	10.1282
ENSG00000084070	36041	819.3730	68.3020
ENSG00000084072	3809	35.3921	2.9503
ENSG00000084073	2338	49.0834	4.0915
ENSG00000084623	31635	1375.4200	114.6538
ENSG00000084628	62	1.5564	0.1297
ENSG00000084636	227	1.7787	0.1483
ENSG00000084652	9523	139.9650	11.6673
ENSG00000085433	6985	115.4870	9.6268
ENSG00000085465	532	13.3487	1.1127
ENSG00000085491	4357	49.9042	4.1600
ENSG00000085552	104	1.1733	0.0978
ENSG00000085831	90	0.7201	0.0600
ENSG00000085832	12219	121.3610	10.1165
