gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	2945	57.4527	4.8361
ENSG00000000460	4121	48.6432	4.0946
ENSG00000000938	695	14.7880	1.2448
ENSG00000000971	954	8.7818	0.7392
ENSG00000001460	1705	15.0180	1.2641
ENSG00000001461	6085	48.5299	4.0850
ENSG00000004455	9566	126.2390	10.6262
ENSG00000004487	11522	252.9810	21.2949
ENSG00000006555	17	0.2116	0.0178
ENSG00000007341	1619	14.9715	1.2602
ENSG00000007908	1959	34.8258	2.9315
ENSG00000007923	3071	44.7492	3.7668
ENSG00000007933	55	1.1912	0.1003
ENSG00000007968	482	6.6251	0.5577
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	5336	84.8203	7.1398
ENSG00000008130	5098	66.6187	5.6077
ENSG00000009307	122882	1601.4100	134.8001
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	237	4.1872	0.3525
ENSG00000009780	1472	38.3745	3.2302
ENSG00000009790	1494	14.4478	1.2162
ENSG00000010072	2937	37.2982	3.1396
ENSG00000010165	4219	82.3346	6.9306
ENSG00000010803	7174	120.9990	10.1852
ENSG00000010932	33	0.6919	0.0582
ENSG00000011007	10951	152.3500	12.8242
ENSG00000011009	3115	106.3910	8.9555
ENSG00000011021	6651	72.4653	6.0998
ENSG00000014914	88	1.4380	0.1211
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	2	0.0238	0.0020
ENSG00000020129	893	13.6276	1.1471
ENSG00000020633	10534	171.5600	14.4412
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	1226	70.7975	5.9594
ENSG00000023902	19577	235.3710	19.8126
ENSG00000023909	407	5.6772	0.4779
ENSG00000024526	660	8.3880	0.7061
ENSG00000025800	16365	159.6670	13.4401
ENSG00000026751	439	7.1553	0.6023
ENSG00000027644	6	0.0876	0.0074
ENSG00000027869	3483	103.9880	8.7533
ENSG00000028137	9876	196.6850	16.5561
ENSG00000031698	11741	229.5500	19.3225
ENSG00000033122	93	0.5788	0.0487
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	5780	118.2460	9.9535
ENSG00000036549	5710	47.5438	4.0020
ENSG00000037637	8219	68.6163	5.7758
