gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1010	19.7149	2.3374
ENSG00000000460	1639	19.3448	2.2936
ENSG00000000938	1330	28.3136	3.3569
ENSG00000000971	446	4.1033	0.4865
ENSG00000001460	293	2.5800	0.3059
ENSG00000001461	2835	22.6077	2.6804
ENSG00000004455	6190	81.6961	9.6861
ENSG00000004487	15545	341.3020	40.4654
ENSG00000006555	105	1.3040	0.1546
ENSG00000007341	3433	31.7457	3.7638
ENSG00000007908	72	1.2787	0.1516
ENSG00000007923	1748	25.4659	3.0193
ENSG00000007933	8	0.1730	0.0205
ENSG00000007968	1469	20.1935	2.3942
ENSG00000008118	2	0.0699	0.0083
ENSG00000008128	7301	116.0650	13.7609
ENSG00000008130	4131	53.9890	6.4010
ENSG00000009307	103776	1352.4200	160.3452
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	1366	24.1082	2.8583
ENSG00000009780	1358	35.4263	4.2002
ENSG00000009790	1589	15.3685	1.8221
ENSG00000010072	7712	97.9319	11.6110
ENSG00000010165	1538	30.0252	3.5598
ENSG00000010803	8388	141.4700	16.7730
ENSG00000010932	11	0.2367	0.0281
ENSG00000011007	14380	200.0570	23.7191
ENSG00000011009	1961	66.9681	7.9399
ENSG00000011021	4867	53.0202	6.2862
ENSG00000014914	30	0.4901	0.0581
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	6	0.1230	0.0146
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	1280	19.5202	2.3144
ENSG00000020633	10929	177.9990	21.1039
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	392	22.6151	2.6813
ENSG00000023902	12676	152.4040	18.0694
ENSG00000023909	1208	16.8560	1.9985
ENSG00000024526	157	1.9963	0.2367
ENSG00000025800	19307	188.3720	22.3337
ENSG00000026751	748	12.1838	1.4445
ENSG00000027644	34	0.5007	0.0594
ENSG00000027869	810	24.1811	2.8670
ENSG00000028137	1863	37.0961	4.3982
ENSG00000031698	3605	70.4747	8.3556
ENSG00000033122	312	1.9466	0.2308
ENSG00000034971	4	0.1440	0.0171
ENSG00000035687	1647	33.6866	3.9939
ENSG00000036549	8476	70.5689	8.3668
ENSG00000037637	7959	66.4467	7.8780
ENSG00000040487	589	16.4557	1.9510
ENSG00000041988	2354	43.3659	5.1415
ENSG00000042781	2	0.0073	0.0009
ENSG00000043514	2246	54.8434	6.5023
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	30210	222.5680	26.3880
ENSG00000048707	17685	65.1927	7.7294
ENSG00000049089	2281	41.2219	4.8873
ENSG00000049239	5328	43.8313	5.1967
ENSG00000049245	15686	426.2380	50.5356
ENSG00000049246	109	1.1512	0.1365
ENSG00000049247	144	6.0639	0.7190
ENSG00000049249	61	1.9877	0.2357
ENSG00000050628	32	0.2485	0.0295
ENSG00000052723	8073	102.7310	12.1800
ENSG00000053371	1497	63.0331	7.4733
ENSG00000053372	1462	38.8533	4.6065
ENSG00000054116	2203	49.8781	5.9136
ENSG00000054118	10321	163.4500	19.3790
ENSG00000054267	30484	206.4740	24.4799
ENSG00000054277	713	15.3713	1.8225
ENSG00000054282	2634	37.6526	4.4642
ENSG00000054392	1363	23.7984	2.8216
ENSG00000054523	5855	24.8190	2.9426
ENSG00000055070	15566	245.9380	29.1588
ENSG00000055732	2	0.0211	0.0025
ENSG00000057252	3953	42.1540	4.9979
ENSG00000057468	39	0.8843	0.1048
ENSG00000057757	8919	305.9900	36.2788
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	1503	9.1894	1.0895
ENSG00000058668	15424	118.9990	14.1088
ENSG00000058673	34315	265.3240	31.4573
ENSG00000058799	1211	40.1751	4.7633
ENSG00000058804	1837	26.8360	3.1817
ENSG00000059588	28793	278.8930	33.0661
ENSG00000060642	1339	29.6931	3.5205
ENSG00000060656	35	0.3946	0.0468
ENSG00000060688	5251	98.1925	11.6419
ENSG00000060718	12	0.1089	0.0129
ENSG00000064703	7491	93.3419	11.0668
ENSG00000064886	106	2.4219	0.2871
ENSG00000065135	11610	271.5950	32.2009
ENSG00000065183	1570	28.3092	3.3564
ENSG00000065243	11597	124.0050	14.7023
ENSG00000065526	56657	319.6360	37.8967
ENSG00000065600	2565	66.0148	7.8268
ENSG00000065978	54947	2135.2300	253.1570
ENSG00000066027	14258	276.8120	32.8193
ENSG00000066056	4086	45.7798	5.4277
ENSG00000066135	9919	143.8420	17.0542
ENSG00000066136	2601	32.5779	3.8625
ENSG00000066185	67	2.2893	0.2714
ENSG00000066279	1217	8.3860	0.9943
ENSG00000066294	15906	128.8980	15.2824
ENSG00000066322	3299	100.6150	11.9291
ENSG00000066557	3578	93.0399	11.0310
ENSG00000067208	1346	12.2027	1.4468
ENSG00000067334	15998	199.8100	23.6898
ENSG00000067533	2527	24.0436	2.8507
ENSG00000067606	822	8.0774	0.9577
ENSG00000067704	4373	78.8049	9.3433
ENSG00000069248	6496	96.3403	11.4223
ENSG00000069275	6075	69.6074	8.2528
ENSG00000069424	28908	266.8100	31.6335
ENSG00000069702	1038	8.9940	1.0663
ENSG00000069712	247	4.0141	0.4759
ENSG00000069812	8	0.1108	0.0131
ENSG00000070759	1843	39.9514	4.7367
ENSG00000070785	962	23.7062	2.8107
ENSG00000070831	28421	614.2960	72.8321
ENSG00000070886	10	0.1396	0.0165
ENSG00000072694	58	0.6185	0.0733
ENSG00000073754	4	0.1160	0.0138
ENSG00000073756	6983	99.4031	11.7854
ENSG00000074800	74008	1354.8000	160.6271
ENSG00000074964	6	0.0573	0.0068
ENSG00000075151	5957	53.0038	6.2842
ENSG00000075391	1328	8.4285	0.9993
ENSG00000075945	1511	22.6011	2.6796
ENSG00000076258	159	4.7425	0.5623
ENSG00000076321	3412	60.1636	7.1331
ENSG00000076356	71	0.3868	0.0459
ENSG00000076864	204	2.4088	0.2856
ENSG00000077152	166	11.6967	1.3868
ENSG00000077157	6342	33.0289	3.9160
ENSG00000077254	6580	71.3306	8.4571
ENSG00000077522	9	0.1240	0.0147
ENSG00000077549	8888	191.5450	22.7100
ENSG00000077585	486	15.9943	1.8963
ENSG00000078369	38575	471.5050	55.9026
ENSG00000078618	17262	195.5920	23.1897
ENSG00000078808	9919	158.3770	18.7775
ENSG00000078900	155	2.0918	0.2480
ENSG00000079277	2095	19.4908	2.3109
ENSG00000079335	8558	112.0290	13.2824
ENSG00000079739	3906	70.3523	8.3411
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	654	7.2001	0.8536
ENSG00000081019	10148	111.6140	13.2331
ENSG00000081026	194	1.7749	0.2104
ENSG00000081237	54448	480.0260	56.9128
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	800	13.9133	1.6496
ENSG00000081721	4321	183.9380	21.8081
ENSG00000081870	1229	33.4023	3.9602
ENSG00000081985	110	1.9457	0.2307
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	3	0.0412	0.0049
ENSG00000082512	9405	78.1877	9.2701
ENSG00000083444	1771	24.9313	2.9559
ENSG00000084070	7679	174.5750	20.6979
ENSG00000084072	2694	25.0330	2.9680
ENSG00000084073	3455	72.5350	8.5999
ENSG00000084623	15296	665.0420	78.8486
ENSG00000084628	4	0.1004	0.0119
ENSG00000084636	116	0.9102	0.1079
ENSG00000084652	6089	89.4858	10.6096
ENSG00000085433	7575	125.2490	14.8497
ENSG00000085465	675	16.9481	2.0094
ENSG00000085491	2198	25.1738	2.9847
ENSG00000085552	77	0.8687	0.1030
ENSG00000085831	335	2.6812	0.3179
ENSG00000085832	13092	130.0360	15.4173
ENSG00000085840	1956	46.4729	5.5099
ENSG00000085998	3115	36.6962	4.3508
ENSG00000085999	958	22.3804	2.6535
ENSG00000086015	3600	30.4227	3.6070
ENSG00000086619	2836	37.4003	4.4343
ENSG00000088035	637	9.6652	1.1459
ENSG00000088280	23	0.3526	0.0418
ENSG00000090020	8973	112.6350	13.3542
ENSG00000090104	9329	169.9520	20.1499
ENSG00000090273	6544	171.8020	20.3691
ENSG00000090432	4917	151.3940	17.9496
ENSG00000090621	28890	319.4830	37.8785
ENSG00000090686	9666	76.3361	9.0506
ENSG00000091483	1879	65.7979	7.8011
ENSG00000092607	254	5.0003	0.5928
ENSG00000092621	1723	22.9790	2.7244
ENSG00000092847	15228	88.6326	10.5085
ENSG00000092850	137	5.1972	0.6162
ENSG00000092853	1377	19.0848	2.2627
ENSG00000092969	46	0.6702	0.0795
ENSG00000092978	988	8.3860	0.9943
ENSG00000094963	30	0.3605	0.0427
ENSG00000094975	35008	406.0040	48.1366
ENSG00000097021	699	10.7257	1.2717
ENSG00000097033	18261	205.1180	24.3192
ENSG00000097046	706	14.7144	1.7446
ENSG00000097096	75	0.8734	0.1035
ENSG00000099260	14	0.1774	0.0210
ENSG00000107404	2820	60.6606	7.1920
ENSG00000116128	4677	54.6371	6.4779
ENSG00000116132	0	0.0000	0.0000
