gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1136	22.1681	2.1589
ENSG00000000460	1575	18.5957	1.8110
ENSG00000000938	142	3.0247	0.2946
ENSG00000000971	1015	9.3507	0.9106
ENSG00000001460	90	0.7928	0.0772
ENSG00000001461	564	4.4993	0.4382
ENSG00000004455	5624	74.2215	7.2282
ENSG00000004487	43278	950.1880	92.5362
ENSG00000006555	2	0.0248	0.0024
ENSG00000007341	1875	17.3415	1.6888
ENSG00000007908	2	0.0356	0.0035
ENSG00000007923	4654	67.8195	6.6048
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	2177	29.9269	2.9145
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	9448	150.1880	14.6264
ENSG00000008130	3841	50.2000	4.8888
ENSG00000009307	162274	2114.7700	205.9520
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	43	0.7579	0.0738
ENSG00000009780	408	10.6401	1.0362
ENSG00000009790	1829	17.6884	1.7226
ENSG00000010072	10249	130.1570	12.6756
ENSG00000010165	1406	27.4359	2.6719
ENSG00000010803	2409	40.6353	3.9574
ENSG00000010932	71	1.4899	0.1451
ENSG00000011007	20597	286.5440	27.9057
ENSG00000011009	3257	111.2250	10.8319
ENSG00000011021	5107	55.6379	5.4184
ENSG00000014914	55	0.8926	0.0869
ENSG00000016490	1	0.0117	0.0011
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	1294	19.7397	1.9224
ENSG00000020633	42537	692.7880	67.4687
ENSG00000021852	2	0.0550	0.0054
ENSG00000023572	550	31.7521	3.0923
ENSG00000023902	15949	191.7620	18.6752
ENSG00000023909	1486	20.7402	2.0198
ENSG00000024526	1294	16.4397	1.6010
ENSG00000025800	18512	180.6140	17.5895
ENSG00000026751	12	0.1955	0.0190
ENSG00000027644	48	0.7008	0.0683
ENSG00000027869	4998	149.2130	14.5314
ENSG00000028137	280	5.5749	0.5429
ENSG00000031698	7992	156.2660	15.2183
ENSG00000033122	4149	25.9087	2.5232
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	2118	43.3399	4.2207
ENSG00000036549	9156	76.2339	7.4242
ENSG00000037637	4640	38.7390	3.7727
ENSG00000040487	404	11.2897	1.0995
ENSG00000041988	1859	34.2355	3.3341
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	2386	58.2657	5.6743
ENSG00000044012	2	0.2513	0.0245
ENSG00000047410	45981	338.7620	32.9911
ENSG00000048707	3507	12.9274	1.2590
ENSG00000049089	2417	43.6695	4.2529
ENSG00000049239	2182	17.9495	1.7481
ENSG00000049245	14223	386.5070	37.6408
ENSG00000049246	540	5.7016	0.5553
ENSG00000049247	8	0.3365	0.0328
ENSG00000049249	166	5.4374	0.5295
ENSG00000050628	183	1.4215	0.1384
ENSG00000052723	7085	90.1605	8.7805
ENSG00000053371	2535	106.7450	10.3956
ENSG00000053372	3239	86.0921	8.3843
ENSG00000054116	2580	58.4042	5.6878
ENSG00000054118	6807	107.7990	10.4982
ENSG00000054267	74038	501.4770	48.8375
ENSG00000054277	375	8.0836	0.7872
ENSG00000054282	3135	44.8163	4.3645
ENSG00000054392	839	14.6550	1.4272
ENSG00000054523	2377	10.0762	0.9813
ENSG00000055070	11439	180.7270	17.6005
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	1190	12.6859	1.2354
