gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1855	36.1961	3.4840
ENSG00000000460	2538	29.9578	2.8835
ENSG00000000938	5423	115.4140	11.1089
ENSG00000000971	273	2.5111	0.2417
ENSG00000001460	765	6.7408	0.6488
ENSG00000001461	5365	42.7843	4.1181
ENSG00000004455	8056	106.3150	10.2331
ENSG00000004487	11618	255.0890	24.5529
ENSG00000006555	150	1.8550	0.1785
ENSG00000007341	1828	16.9005	1.6267
ENSG00000007908	135	2.3989	0.2309
ENSG00000007923	1903	27.7268	2.6688
ENSG00000007933	1	0.0217	0.0021
ENSG00000007968	925	12.7081	1.2232
ENSG00000008118	16	0.4417	0.0425
ENSG00000008128	4884	77.6337	7.4724
ENSG00000008130	9337	122.0210	11.7448
ENSG00000009307	119734	1560.3900	150.1913
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	2513	44.3383	4.2677
ENSG00000009780	2138	55.7570	5.3667
ENSG00000009790	3591	34.7406	3.3439
ENSG00000010072	6167	78.3146	7.5379
ENSG00000010165	2355	45.9651	4.4242
ENSG00000010803	9504	160.2840	15.4277
ENSG00000010932	25	0.5235	0.0504
ENSG00000011007	11786	163.9630	15.7818
ENSG00000011009	4065	138.8340	13.3631
ENSG00000011021	11805	128.6150	12.3795
ENSG00000014914	497	8.1261	0.7822
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	4	0.0453	0.0044
ENSG00000020129	731	11.1548	1.0737
ENSG00000020633	15269	248.6770	23.9357
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	604	34.8884	3.3581
ENSG00000023902	30146	362.4480	34.8864
ENSG00000023909	409	5.7112	0.5497
ENSG00000024526	582	7.3913	0.7114
ENSG00000025800	21566	210.4110	20.2525
ENSG00000026751	2368	38.5715	3.7126
ENSG00000027644	36	0.5322	0.0512
ENSG00000027869	4844	144.6270	13.9207
ENSG00000028137	24787	493.6260	47.5126
ENSG00000031698	9662	188.9090	18.1829
ENSG00000033122	234	1.4620	0.1407
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	5019	102.6780	9.8829
ENSG00000036549	4561	37.9727	3.6550
ENSG00000037637	10804	90.1919	8.6812
ENSG00000040487	1460	40.7736	3.9246
ENSG00000041988	2412	44.4283	4.2763
ENSG00000042781	10	0.0368	0.0035
ENSG00000043514	2529	61.7743	5.9459
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	26489	195.1550	18.7841
ENSG00000048707	17014	62.7172	6.0367
ENSG00000049089	1756	31.7237	3.0535
ENSG00000049239	7694	63.2958	6.0924
ENSG00000049245	17390	472.5570	45.4846
ENSG00000049246	245	2.5857	0.2489
ENSG00000049247	16	0.6568	0.0632
ENSG00000049249	230	7.5613	0.7278
ENSG00000050628	8	0.0622	0.0060
ENSG00000052723	7602	96.7360	9.3111
ENSG00000053371	2292	96.5362	9.2918
ENSG00000053372	1752	46.5652	4.4820
ENSG00000054116	5295	119.8580	11.5366
ENSG00000054118	21960	347.7610	33.4727
ENSG00000054267	22241	150.6420	14.4997
ENSG00000054277	905	19.5118	1.8781
ENSG00000054282	3700	52.8885	5.0906
ENSG00000054392	76	1.3354	0.1285
ENSG00000054523	13040	55.2760	5.3204
ENSG00000055070	27596	435.9960	41.9656
ENSG00000055732	2	0.0226	0.0022
ENSG00000057252	10084	107.5310	10.3501
ENSG00000057468	5	0.1176	0.0113
ENSG00000057757	8517	292.2230	28.1271
ENSG00000058085	1	0.0102	0.0010
ENSG00000058453	672	4.1111	0.3957
ENSG00000058668	6538	50.4442	4.8554
ENSG00000058673	37954	293.4620	28.2463
ENSG00000058799	3101	102.8660	9.9010
ENSG00000058804	2204	32.1942	3.0988
ENSG00000059588	6098	59.0641	5.6850
ENSG00000060642	1306	28.9633	2.7878
ENSG00000060656	57	0.6381	0.0614
ENSG00000060688	4402	82.3136	7.9229
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	5295	65.9809	6.3508
ENSG00000064886	120	2.7420	0.2639
ENSG00000065135	12145	284.1200	27.3471
ENSG00000065183	2000	36.0697	3.4718
ENSG00000065243	12289	131.4030	12.6478
ENSG00000065526	57536	324.5980	31.2432
ENSG00000065600	4108	105.7410	10.1778
ENSG00000065978	41282	1604.2300	154.4106
ENSG00000066027	12427	241.2610	23.2219
ENSG00000066056	2330	26.1050	2.5127
ENSG00000066135	11036	160.0390	15.4041
ENSG00000066136	4818	60.3546	5.8093
ENSG00000066185	82	2.7950	0.2690
ENSG00000066279	3015	20.7696	1.9991
ENSG00000066294	5063	41.0301	3.9492
ENSG00000066322	9699	295.8180	28.4731
ENSG00000066557	3389	88.1439	8.4841
ENSG00000067208	1355	12.2822	1.1822
ENSG00000067334	9645	120.4680	11.5953
ENSG00000067533	1715	16.3194	1.5708
ENSG00000067606	205	2.0178	0.1942
ENSG00000067704	8077	145.5430	14.0088
ENSG00000069248	5568	82.5778	7.9483
ENSG00000069275	12506	143.2820	13.7912
ENSG00000069424	25665	236.8780	22.8001
ENSG00000069702	2077	18.0016	1.7327
ENSG00000069712	407	6.6016	0.6354
ENSG00000069812	2	0.0277	0.0027
ENSG00000070759	4093	88.7113	8.5387
ENSG00000070785	519	12.7930	1.2313
ENSG00000070831	39398	851.5400	81.9626
ENSG00000070886	2	0.0280	0.0027
ENSG00000072694	92	0.9861	0.0949
ENSG00000073754	25	0.7634	0.0735
ENSG00000073756	6876	97.8687	9.4201
ENSG00000074800	81887	1499.0400	144.2855
ENSG00000074964	26	0.2484	0.0239
ENSG00000075151	10679	95.0178	9.1457
ENSG00000075391	403	2.5585	0.2463
ENSG00000075945	4102	61.3646	5.9065
ENSG00000076258	129	3.8427	0.3699
ENSG00000076321	4353	76.7377	7.3862
ENSG00000076356	161	0.8750	0.0842
ENSG00000076864	98	1.1589	0.1115
ENSG00000077152	308	21.6554	2.0844
ENSG00000077157	4103	21.3676	2.0567
ENSG00000077254	6183	67.0322	6.4520
ENSG00000077522	53	0.7380	0.0710
ENSG00000077549	26392	568.7970	54.7480
ENSG00000077585	2725	89.6757	8.6315
ENSG00000078369	46970	574.1130	55.2597
ENSG00000078618	9539	108.0860	10.4035
ENSG00000078808	9308	148.6250	14.3055
ENSG00000078900	65	0.8745	0.0842
ENSG00000079277	3549	33.0206	3.1783
ENSG00000079335	7022	91.9307	8.8485
ENSG00000079739	822	14.8036	1.4249
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	940	10.3424	0.9955
ENSG00000081019	8138	89.5102	8.6156
ENSG00000081026	296	2.7166	0.2615
ENSG00000081237	85638	755.0050	72.6709
ENSG00000081248	0	0.0005	0.0000
ENSG00000081277	2	0.0242	0.0023
ENSG00000081692	1886	32.7805	3.1552
ENSG00000081721	5358	228.0840	21.9536
ENSG00000081870	2214	60.1943	5.7938
ENSG00000081985	167	2.9542	0.2843
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	10441	86.7975	8.3544
ENSG00000083444	1270	17.8847	1.7214
ENSG00000084070	27618	627.8680	60.4337
ENSG00000084072	4417	41.0453	3.9507
ENSG00000084073	3006	63.1083	6.0743
ENSG00000084623	21503	934.9120	89.9874
ENSG00000084628	11	0.2665	0.0256
ENSG00000084636	13	0.1039	0.0100
ENSG00000084652	7190	105.6710	10.1710
ENSG00000085433	5713	94.4641	9.0924
ENSG00000085465	1318	33.0867	3.1847
ENSG00000085491	3646	41.7599	4.0195
