gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	656	12.8062	1.3024
ENSG00000000460	1584	18.6986	1.9016
ENSG00000000938	4653	99.0244	10.0707
ENSG00000000971	203	1.8695	0.1901
ENSG00000001460	289	2.5451	0.2588
ENSG00000001461	1566	12.4863	1.2698
ENSG00000004455	7628	100.6660	10.2377
ENSG00000004487	22260	488.7200	49.7025
ENSG00000006555	14	0.1734	0.0176
ENSG00000007341	1159	10.7162	1.0898
ENSG00000007908	12	0.2133	0.0217
ENSG00000007923	5999	87.4101	8.8896
ENSG00000007933	28	0.6067	0.0617
ENSG00000007968	89878	1235.2700	125.6265
ENSG00000008118	12	0.3363	0.0342
ENSG00000008128	6621	105.2560	10.7045
ENSG00000008130	7470	97.6200	9.9279
ENSG00000009307	105979	1381.1400	140.4608
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	29	0.5185	0.0527
ENSG00000009780	920	23.9788	2.4386
ENSG00000009790	1306	12.6363	1.2851
ENSG00000010072	3763	47.7887	4.8601
ENSG00000010165	3617	70.5967	7.1796
ENSG00000010803	8364	141.0670	14.3465
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	20238	281.5460	28.6331
ENSG00000011009	3978	135.8650	13.8174
ENSG00000011021	6714	73.1434	7.4386
ENSG00000014914	795	12.9848	1.3205
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	4	0.0822	0.0084
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	2747	41.8967	4.2609
ENSG00000020633	50623	824.4750	83.8486
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	545	31.4711	3.2006
ENSG00000023902	11941	143.5630	14.6003
ENSG00000023909	2873	40.0953	4.0777
ENSG00000024526	6081	77.2446	7.8557
ENSG00000025800	31791	310.1790	31.5450
ENSG00000026751	466	7.5973	0.7726
ENSG00000027644	4	0.0588	0.0060
ENSG00000027869	228	6.8137	0.6929
ENSG00000028137	14053	279.8680	28.4624
ENSG00000031698	12648	247.2880	25.1490
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	4	0.1440	0.0146
ENSG00000035687	2369	48.4615	4.9285
ENSG00000036549	7907	65.8297	6.6948
ENSG00000037637	5465	45.6250	4.6400
ENSG00000040487	1183	33.0417	3.3603
ENSG00000041988	1081	19.9013	2.0240
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	1855	45.2993	4.6069
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	38647	284.7290	28.9567
ENSG00000048707	6766	24.9403	2.5364
ENSG00000049089	661	11.9463	1.2149
ENSG00000049239	1794	14.7579	1.5009
ENSG00000049245	14871	404.1010	41.0968
ENSG00000049246	71	0.7511	0.0764
ENSG00000049247	6	0.2524	0.0257
ENSG00000049249	276	9.0639	0.9218
ENSG00000050628	78	0.6063	0.0617
ENSG00000052723	10204	129.8430	13.2049
ENSG00000053371	4778	201.1890	20.4608
ENSG00000053372	5322	141.4460	14.3850
ENSG00000054116	3229	73.0933	7.4335
ENSG00000054118	20333	321.9940	32.7466
ENSG00000054267	25029	169.5260	17.2407
ENSG00000054277	2720	58.6152	5.9611
ENSG00000054282	1452	20.7574	2.1110
ENSG00000054392	238	4.1550	0.4226
ENSG00000054523	3401	14.4181	1.4663
ENSG00000055070	19387	306.3110	31.1516
ENSG00000055732	6	0.0679	0.0069
ENSG00000057252	5582	59.5275	6.0539
ENSG00000057468	2	0.0459	0.0047
ENSG00000057757	12913	443.0230	45.0552
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	657	4.0195	0.4088
ENSG00000058668	19927	153.7390	15.6351
ENSG00000058673	31845	246.2210	25.0405
ENSG00000058799	2440	80.9354	8.2311
ENSG00000058804	9520	139.0490	14.1412
ENSG00000059588	7985	77.3407	7.8655
ENSG00000060642	633	14.0390	1.4278
ENSG00000060656	23	0.2587	0.0263
ENSG00000060688	8362	156.3670	15.9024
ENSG00000060718	23	0.2087	0.0212
ENSG00000064703	8997	112.1030	11.4008
ENSG00000064886	100	2.2841	0.2323
ENSG00000065135	17218	402.8000	40.9645
ENSG00000065183	1855	33.4503	3.4019
ENSG00000065243	18904	202.1390	20.5574
ENSG00000065526	60220	339.7420	34.5515
ENSG00000065600	1707	43.9252	4.4672
ENSG00000065978	112371	4366.7600	444.0965
ENSG00000066027	12427	241.2680	24.5368
ENSG00000066056	1644	18.4219	1.8735
ENSG00000066135	2804	40.6676	4.1359
ENSG00000066136	5729	71.7653	7.2985
ENSG00000066185	38	1.2952	0.1317
ENSG00000066279	17111	117.8770	11.9881
ENSG00000066294	1268	10.2776	1.0452
ENSG00000066322	9875	301.1860	30.6304
ENSG00000066557	7318	190.3060	19.3540
ENSG00000067208	2124	19.2537	1.9581
ENSG00000067334	26522	331.2460	33.6875
ENSG00000067533	6488	61.7249	6.2774
ENSG00000067606	145	1.4195	0.1444
ENSG00000067704	11933	215.0280	21.8682
ENSG00000069248	11687	173.3220	17.6268
ENSG00000069275	58633	671.7760	68.3191
ENSG00000069424	16876	155.7550	15.8402
ENSG00000069702	772	6.6866	0.6800
ENSG00000069712	81	1.3106	0.1333
ENSG00000069812	4	0.0555	0.0056
ENSG00000070759	1991	43.1642	4.3898
ENSG00000070785	2411	59.4206	6.0430
ENSG00000070831	38934	841.5140	85.5815
ENSG00000070886	6	0.0840	0.0085
ENSG00000072694	8	0.0860	0.0088
ENSG00000073754	259	7.9133	0.8048
ENSG00000073756	4747	67.5648	6.8713
ENSG00000074800	104303	1909.3900	194.1834
ENSG00000074964	246	2.3504	0.2390
ENSG00000075151	10891	96.9095	9.8556
ENSG00000075391	333	2.1158	0.2152
ENSG00000075945	2774	41.4956	4.2201
ENSG00000076258	24	0.7076	0.0720
ENSG00000076321	3327	58.6542	5.9651
ENSG00000076356	525	2.8554	0.2904
ENSG00000076864	972	11.4983	1.1694
ENSG00000077152	3721	262.0230	26.6475
ENSG00000077157	3985	20.7562	2.1109
ENSG00000077254	7883	85.4636	8.6916
ENSG00000077522	6	0.0830	0.0084
ENSG00000077549	14476	311.9800	31.7282
ENSG00000077585	424	13.9605	1.4198
ENSG00000078369	55023	672.5420	68.3971
ENSG00000078618	13688	155.0990	15.7735
ENSG00000078808	9237	147.5000	15.0007
ENSG00000078900	1674	22.6034	2.2988
ENSG00000079277	3662	34.0797	3.4659
ENSG00000079335	5866	76.7907	7.8096
ENSG00000079739	632	11.3763	1.1570
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	91	1.0032	0.1020
ENSG00000081019	11019	121.1930	12.3253
ENSG00000081026	106	0.9752	0.0992
ENSG00000081237	33574	295.9960	30.1026
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	1239	21.5374	2.1903
ENSG00000081721	4753	202.3290	20.5768
ENSG00000081870	1938	52.6738	5.3569
ENSG00000081985	1936	34.2941	3.4877
ENSG00000082482	2	0.0384	0.0039
ENSG00000082497	10	0.1372	0.0140
ENSG00000082512	1669	13.8711	1.4107
ENSG00000083444	1756	24.7197	2.5140
ENSG00000084070	21350	485.3840	49.3633
ENSG00000084072	3659	34.0048	3.4583
ENSG00000084073	7859	165.0220	16.7827
ENSG00000084623	27971	1216.1200	123.6788
ENSG00000084628	8	0.2009	0.0204
ENSG00000084636	46	0.3640	0.0370
ENSG00000084652	6085	89.4321	9.0952
ENSG00000085433	4141	68.4643	6.9628
ENSG00000085465	607	15.2293	1.5488
ENSG00000085491	5335	61.1112	6.2150
ENSG00000085552	112	1.2669	0.1288
ENSG00000085831	20	0.1602	0.0163
ENSG00000085832	21023	208.8150	21.2363
ENSG00000085840	15162	360.1950	36.6317
ENSG00000085998	1400	16.4882	1.6768
ENSG00000085999	1515	35.3733	3.5974
ENSG00000086015	5200	43.9357	4.4682
ENSG00000086619	3827	50.4622	5.1320
ENSG00000088035	1222	18.5251	1.8840
ENSG00000088280	79	1.2065	0.1227
ENSG00000090020	4430	55.6013	5.6546
ENSG00000090104	23239	423.3450	43.0540
ENSG00000090273	10740	281.9270	28.6718
ENSG00000090432	5170	159.1620	16.1867
ENSG00000090621	43252	478.3150	48.6443
ENSG00000090686	7625	60.2187	6.1242
ENSG00000091483	7911	277.0130	28.1720
ENSG00000092607	73	1.4383	0.1463
ENSG00000092621	833	11.1179	1.1307
ENSG00000092847	5166	30.0656	3.0577
ENSG00000092850	76	2.8670	0.2916
ENSG00000092853	7764	107.6140	10.9443
ENSG00000092969	30	0.4368	0.0444
ENSG00000092978	1654	14.0375	1.4276
ENSG00000094963	59	0.7089	0.0721
ENSG00000094975	18447	213.9300	21.7566
ENSG00000097021	5229	80.2359	8.1599
ENSG00000097033	33414	375.3290	38.1707
ENSG00000097046	5608	116.8630	11.8849
