gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	857	16.7224	2.1838
ENSG00000000460	871	10.2776	1.3422
ENSG00000000938	35939	764.8690	99.8841
ENSG00000000971	6	0.0553	0.0072
ENSG00000001460	443	3.9023	0.5096
ENSG00000001461	2035	16.2298	2.1194
ENSG00000004455	39248	517.9660	67.6411
ENSG00000004487	4587	100.7130	13.1521
ENSG00000006555	16	0.1982	0.0259
ENSG00000007341	845	7.8133	1.0203
ENSG00000007908	4	0.0711	0.0093
ENSG00000007923	1853	26.9992	3.5258
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	997	13.7028	1.7894
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	1223	19.4375	2.5383
ENSG00000008130	7318	95.6358	12.4891
ENSG00000009307	71534	932.2360	121.7405
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	0	0.0000	0.0000
ENSG00000009780	1101	28.7159	3.7500
ENSG00000009790	7682	74.3112	9.7043
ENSG00000010072	2041	25.9238	3.3854
ENSG00000010165	1008	19.6703	2.5688
ENSG00000010803	3041	51.2923	6.6982
ENSG00000010932	2	0.0420	0.0055
ENSG00000011007	8120	112.9700	14.7527
ENSG00000011009	3521	120.2520	15.7037
ENSG00000011021	804	8.7602	1.1440
ENSG00000014914	8070	131.8260	17.2152
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	4	0.0476	0.0062
ENSG00000020129	1569	23.9353	3.1257
ENSG00000020633	9291	151.3180	19.7606
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	569	32.8283	4.2871
ENSG00000023902	13297	159.8660	20.8769
ENSG00000023909	335	4.6792	0.6111
ENSG00000024526	364	4.6231	0.6037
ENSG00000025800	4465	43.5625	5.6888
ENSG00000026751	953	15.5317	2.0283
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	253	7.5450	0.9853
ENSG00000028137	23090	459.8290	60.0490
ENSG00000031698	6388	124.8970	16.3102
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	4671	95.5559	12.4786
ENSG00000036549	3652	30.4028	3.9703
ENSG00000037637	2641	22.0516	2.8797
ENSG00000040487	2820	78.7506	10.2840
ENSG00000041988	457	8.4150	1.0989
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	1149	28.0716	3.6659
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	8193	60.3624	7.8827
ENSG00000048707	2215	8.1659	1.0664
ENSG00000049089	3845	69.4686	9.0719
ENSG00000049239	7063	58.1061	7.5881
ENSG00000049245	21724	590.3150	77.0892
ENSG00000049246	191	2.0122	0.2628
ENSG00000049247	182	7.6573	1.0000
ENSG00000049249	95	3.1099	0.4061
ENSG00000050628	8	0.0622	0.0081
ENSG00000052723	2498	31.7928	4.1518
ENSG00000053371	13070	550.3780	71.8738
ENSG00000053372	2966	78.8242	10.2936
ENSG00000054116	3907	88.4380	11.5491
ENSG00000054118	7425	117.5840	15.3553
ENSG00000054267	8141	55.1397	7.2007
ENSG00000054277	10425	224.6700	29.3396
ENSG00000054282	3733	53.3522	6.9673
ENSG00000054392	448	7.8203	1.0213
ENSG00000054523	2047	8.6792	1.1334
ENSG00000055070	8204	129.6190	16.9269
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	5431	57.9170	7.5634
ENSG00000057468	4	0.0919	0.0120
ENSG00000057757	5682	194.9460	25.4580
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	469	2.8696	0.3747
ENSG00000058668	13377	103.2060	13.4776
