gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1570	30.6413	2.4036
ENSG00000000460	3128	36.9201	2.8961
ENSG00000000938	3611	76.8476	6.0281
ENSG00000000971	181	1.6656	0.1307
ENSG00000001460	2040	17.9737	1.4099
ENSG00000001461	7003	55.8479	4.3808
ENSG00000004455	29027	383.0750	30.0491
ENSG00000004487	16782	368.4640	28.9029
ENSG00000006555	13	0.1562	0.0123
ENSG00000007341	2377	21.9768	1.7239
ENSG00000007908	2	0.0356	0.0028
ENSG00000007923	7450	108.5530	8.5151
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	8445	116.0680	9.1046
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	7884	125.3220	9.8305
ENSG00000008130	10050	131.3390	10.3024
ENSG00000009307	57522	749.6310	58.8023
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	634	11.1814	0.8771
ENSG00000009780	1087	28.3390	2.2230
ENSG00000009790	19565	189.2640	14.8462
ENSG00000010072	1669	21.1957	1.6626
ENSG00000010165	10473	204.3970	16.0332
ENSG00000010803	17281	291.4490	22.8618
ENSG00000010932	22	0.4583	0.0360
ENSG00000011007	6036	83.9692	6.5867
ENSG00000011009	7598	259.4920	20.3550
ENSG00000011021	4330	47.1791	3.7008
ENSG00000014914	143	2.3361	0.1832
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	4	0.0476	0.0037
ENSG00000020129	8507	129.7560	10.1783
ENSG00000020633	34419	560.5760	43.9725
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	923	53.2933	4.1804
ENSG00000023902	49280	592.4970	46.4764
ENSG00000023909	674	9.4049	0.7377
ENSG00000024526	405	5.1421	0.4034
ENSG00000025800	15917	155.2940	12.1816
ENSG00000026751	173	2.8180	0.2211
ENSG00000027644	1	0.0198	0.0016
ENSG00000027869	379	11.3025	0.8866
ENSG00000028137	21204	422.2710	33.1237
ENSG00000031698	17086	334.0590	26.2042
ENSG00000033122	57	0.3529	0.0277
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	9396	192.2190	15.0780
ENSG00000036549	2486	20.6965	1.6235
ENSG00000037637	7640	63.7766	5.0027
ENSG00000040487	1054	29.4393	2.3093
ENSG00000041988	4304	79.2731	6.2183
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	840	20.5077	1.6087
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	21708	159.9300	12.5452
ENSG00000048707	10993	40.5233	3.1787
ENSG00000049089	108	1.9562	0.1534
ENSG00000049239	13112	107.8660	8.4612
ENSG00000049245	8345	226.7540	17.7869
ENSG00000049246	59	0.6181	0.0485
ENSG00000049247	12	0.4947	0.0388
ENSG00000049249	17	0.5504	0.0432
ENSG00000050628	35	0.2719	0.0213
ENSG00000052723	2079	26.4549	2.0752
ENSG00000053371	7603	320.1850	25.1158
ENSG00000053372	6184	164.3410	12.8912
ENSG00000054116	10753	243.4280	19.0949
ENSG00000054118	18478	292.6230	22.9538
ENSG00000054267	10933	74.0487	5.8085
ENSG00000054277	7339	158.1600	12.4064
ENSG00000054282	5329	76.1704	5.9749
ENSG00000054392	155	2.7041	0.2121
ENSG00000054523	4031	17.0872	1.3403
ENSG00000055070	36340	574.1520	45.0375
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	2646	28.2212	2.2137
ENSG00000057468	44	1.0178	0.0798
ENSG00000057757	7952	272.8320	21.4014
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	3815	23.3274	1.8298
ENSG00000058668	62434	481.6980	37.7852
ENSG00000058673	29829	230.6380	18.0916
ENSG00000058799	3609	119.7020	9.3896
ENSG00000058804	3169	46.2820	3.6304
ENSG00000059588	16472	159.5470	12.5151
ENSG00000060642	2339	51.8723	4.0689
ENSG00000060656	20	0.2239	0.0176
ENSG00000060688	5638	105.4160	8.2690
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	2513	31.3175	2.4566
ENSG00000064886	103	2.3396	0.1835
ENSG00000065135	4591	107.4050	8.4250
ENSG00000065183	1628	29.3631	2.3033
ENSG00000065243	3306	35.3466	2.7726
ENSG00000065526	37644	212.3760	16.6591
ENSG00000065600	5503	141.6460	11.1110
ENSG00000065978	92031	3576.3500	280.5349
ENSG00000066027	7455	144.7440	11.3540
ENSG00000066056	43	0.4818	0.0378
ENSG00000066135	5391	78.1779	6.1324
ENSG00000066136	7433	93.1082	7.3036
ENSG00000066185	253	8.6442	0.6781
ENSG00000066279	6061	41.7547	3.2753
ENSG00000066294	34922	283.0000	22.1990
ENSG00000066322	9235	281.6600	22.0939
ENSG00000066557	783	20.3627	1.5973
ENSG00000067208	449	4.0717	0.3194
ENSG00000067334	5503	68.7304	5.3913
ENSG00000067533	1140	10.8451	0.8507
ENSG00000067606	1650	16.2036	1.2710
ENSG00000067704	12993	234.1290	18.3655
ENSG00000069248	4892	72.5509	5.6910
ENSG00000069275	34033	389.9300	30.5868
ENSG00000069424	166886	1540.3000	120.8237
ENSG00000069702	68	0.5935	0.0466
ENSG00000069712	361	5.8566	0.4594
ENSG00000069812	0	0.0000	0.0000
ENSG00000070759	6061	131.3890	10.3064
ENSG00000070785	2224	54.8028	4.2988
ENSG00000070831	37036	800.4860	62.7914
ENSG00000070886	4	0.0560	0.0044
ENSG00000072694	221	2.3698	0.1859
ENSG00000073754	4	0.1221	0.0096
ENSG00000073756	34751	494.6460	38.8008
ENSG00000074800	534095	9777.1900	766.9391
ENSG00000074964	10	0.0956	0.0075
ENSG00000075151	15450	137.4720	10.7835
ENSG00000075391	6	0.0381	0.0030
ENSG00000075945	2628	39.3095	3.0835
ENSG00000076258	356	10.6067	0.8320
ENSG00000076321	1819	32.0759	2.5161
