gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	370	7.2271	0.7794
ENSG00000000460	135	1.5951	0.1720
ENSG00000000938	36867	784.6250	84.6225
ENSG00000000971	40	0.3684	0.0397
ENSG00000001460	230	2.0289	0.2188
ENSG00000001461	646	5.1489	0.5553
ENSG00000004455	17354	229.0220	24.7002
ENSG00000004487	4890	107.3520	11.5780
ENSG00000006555	28	0.3468	0.0374
ENSG00000007341	1007	9.3155	1.0047
ENSG00000007908	2	0.0356	0.0038
ENSG00000007923	818	11.9139	1.2849
ENSG00000007933	1	0.0217	0.0023
ENSG00000007968	4650	63.9054	6.8923
ENSG00000008118	6	0.1674	0.0180
ENSG00000008128	3786	60.1891	6.4914
ENSG00000008130	7354	96.1035	10.3649
ENSG00000009307	45627	594.6210	64.1304
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	17	0.2999	0.0323
ENSG00000009780	1009	26.3157	2.8382
ENSG00000009790	2734	26.4526	2.8529
ENSG00000010072	2040	25.9121	2.7946
ENSG00000010165	560	10.9204	1.1778
ENSG00000010803	3293	55.5318	5.9892
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	9430	131.1910	14.1491
ENSG00000011009	6038	206.2300	22.2421
ENSG00000011021	4135	45.0463	4.8583
ENSG00000014914	13644	222.8930	24.0393
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	9	0.1118	0.0121
ENSG00000020129	1659	25.2984	2.7285
ENSG00000020633	6241	101.6380	10.9617
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	382	22.0346	2.3765
ENSG00000023902	8091	97.2842	10.4922
ENSG00000023909	644	8.9846	0.9690
ENSG00000024526	106	1.3423	0.1448
ENSG00000025800	9174	89.5103	9.6538
ENSG00000026751	151	2.4583	0.2651
ENSG00000027644	4	0.0588	0.0063
ENSG00000027869	173	5.1545	0.5559
ENSG00000028137	47200	939.9930	101.3791
ENSG00000031698	7262	141.9920	15.3140
ENSG00000033122	12	0.0749	0.0081
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1471	30.0971	3.2460
ENSG00000036549	2286	19.0316	2.0526
ENSG00000037637	4423	36.9250	3.9824
ENSG00000040487	2019	56.3835	6.0810
ENSG00000041988	1151	21.2036	2.2868
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	315	7.6874	0.8291
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	4436	32.6789	3.5244
ENSG00000048707	3308	12.1952	1.3153
ENSG00000049089	2658	48.0260	5.1797
ENSG00000049239	3702	30.4559	3.2847
ENSG00000049245	21181	575.5760	62.0764
ENSG00000049246	193	2.0348	0.2194
ENSG00000049247	107	4.4975	0.4851
ENSG00000049249	130	4.2596	0.4594
ENSG00000050628	50	0.3866	0.0417
ENSG00000052723	2481	31.5713	3.4050
ENSG00000053371	11605	488.6840	52.7050
ENSG00000053372	1353	35.9646	3.8788
ENSG00000054116	2136	48.3535	5.2150
ENSG00000054118	7527	119.2010	12.8560
ENSG00000054267	8123	55.0223	5.9342
ENSG00000054277	5421	116.8350	12.6008
ENSG00000054282	1174	16.7862	1.8104
ENSG00000054392	236	4.1278	0.4452
ENSG00000054523	7692	32.6070	3.5167
ENSG00000055070	24543	387.7700	41.8214
ENSG00000055732	2	0.0226	0.0024
ENSG00000057252	8092	86.2898	9.3064
ENSG00000057468	7	0.1690	0.0182
ENSG00000057757	9579	328.6560	35.4458
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	1702	10.4047	1.1222
ENSG00000058668	1859	14.3447	1.5471
ENSG00000058673	11347	87.7326	9.4620
ENSG00000058799	2529	83.9049	9.0492
ENSG00000058804	1656	24.1914	2.6091
ENSG00000059588	2145	20.7757	2.2407
ENSG00000060642	300	6.6508	0.7173
ENSG00000060656	596	6.6737	0.7198
ENSG00000060688	3481	65.0945	7.0205
ENSG00000060718	13	0.1180	0.0127
ENSG00000064703	2746	34.2113	3.6897
ENSG00000064886	186	4.2294	0.4561
ENSG00000065135	6325	147.9560	15.9572
ENSG00000065183	393	7.0947	0.7652
ENSG00000065243	2923	31.2566	3.3711
ENSG00000065526	35950	202.8160	21.8739
ENSG00000065600	9989	257.0890	27.7273
ENSG00000065978	125403	4873.1900	525.5784
ENSG00000066027	10831	210.2900	22.6799
ENSG00000066056	35	0.3921	0.0423
ENSG00000066135	1138	16.5017	1.7797
ENSG00000066136	4120	51.6125	5.5665
ENSG00000066185	76	2.5950	0.2799
ENSG00000066279	741	5.1061	0.5507
ENSG00000066294	3883	31.4646	3.3935
ENSG00000066322	8141	248.3110	26.7805
ENSG00000066557	1827	47.5121	5.1242
ENSG00000067208	747	6.7731	0.7305
ENSG00000067334	5022	62.7197	6.7644
ENSG00000067533	890	8.4650	0.9130
ENSG00000067606	333	3.2675	0.3524
ENSG00000067704	4492	80.9433	8.7298
ENSG00000069248	1733	25.7044	2.7722
ENSG00000069275	8190	93.8327	10.1199
ENSG00000069424	30896	285.1590	30.7546
ENSG00000069702	254	2.2008	0.2374
ENSG00000069712	10	0.1622	0.0175
ENSG00000069812	55	0.7629	0.0823
ENSG00000070759	635	13.7538	1.4834
ENSG00000070785	589	14.5176	1.5657
ENSG00000070831	46982	1015.4700	109.5190
ENSG00000070886	12	0.1680	0.0181
ENSG00000072694	763	8.1845	0.8827
ENSG00000073754	2	0.0611	0.0066
ENSG00000073756	853	12.1401	1.3093
ENSG00000074800	297346	5443.2500	587.0594
ENSG00000074964	2318	22.1533	2.3893
ENSG00000075151	7683	68.3666	7.3734
ENSG00000075391	188	1.1926	0.1286
ENSG00000075945	419	6.2712	0.6764
ENSG00000076258	26	0.7688	0.0829
ENSG00000076321	1610	28.3825	3.0611
ENSG00000076356	1169	6.3628	0.6862
ENSG00000076864	998	11.8001	1.2726
ENSG00000077152	1256	88.4695	9.5415
ENSG00000077157	1456	7.5808	0.8176
ENSG00000077254	1316	14.2624	1.5382
ENSG00000077522	58	0.8073	0.0871
