gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	741	14.4612	2.0253
ENSG00000000460	1282	15.1358	2.1198
ENSG00000000938	51929	1105.2000	154.7856
ENSG00000000971	287	2.6448	0.3704
ENSG00000001460	399	3.5129	0.4920
ENSG00000001461	1259	10.0375	1.4058
ENSG00000004455	10550	139.2360	19.5003
ENSG00000004487	5303	116.4390	16.3076
ENSG00000006555	1	0.0126	0.0018
ENSG00000007341	1390	12.8574	1.8007
ENSG00000007908	17	0.3043	0.0426
ENSG00000007923	2959	43.1177	6.0388
ENSG00000007933	3	0.0580	0.0081
ENSG00000007968	463	6.3616	0.8910
ENSG00000008118	30	0.8427	0.1180
ENSG00000008128	2609	41.4695	5.8079
ENSG00000008130	8329	108.8430	15.2438
ENSG00000009307	54449	709.5860	99.3793
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	231	4.0774	0.5711
ENSG00000009780	770	20.0890	2.8135
ENSG00000009790	4031	38.9992	5.4619
ENSG00000010072	1389	17.6444	2.4711
ENSG00000010165	1791	34.9602	4.8963
ENSG00000010803	4237	71.4603	10.0082
ENSG00000010932	21	0.4505	0.0631
ENSG00000011007	6284	87.4253	12.2441
ENSG00000011009	4575	156.2610	21.8848
ENSG00000011021	1727	18.8190	2.6356
ENSG00000014914	2495	40.7521	5.7074
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	1	0.0064	0.0009
ENSG00000020129	3189	48.6398	6.8121
ENSG00000020633	1170	19.0610	2.6696
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	329	18.9985	2.6608
ENSG00000023902	16565	199.1670	27.8939
ENSG00000023909	230	3.2051	0.4489
ENSG00000024526	335	4.2536	0.5957
ENSG00000025800	6854	66.8693	9.3652
ENSG00000026751	110	1.7991	0.2520
ENSG00000027644	6	0.0882	0.0124
ENSG00000027869	147	4.3965	0.6157
ENSG00000028137	48179	959.4820	134.3779
ENSG00000031698	7854	153.5520	21.5054
ENSG00000033122	42	0.2651	0.0371
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	3791	77.5551	10.8618
ENSG00000036549	1538	12.8022	1.7930
ENSG00000037637	3209	26.7912	3.7522
ENSG00000040487	858	23.9665	3.3566
ENSG00000041988	1804	33.2304	4.6540
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	967	23.6096	3.3066
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	7733	56.9734	7.9793
ENSG00000048707	6339	23.3671	3.2726
ENSG00000049089	922	16.6671	2.3343
ENSG00000049239	7023	57.7701	8.0908
ENSG00000049245	16937	460.2500	64.4592
ENSG00000049246	1373	14.4958	2.0302
ENSG00000049247	284	11.9619	1.6753
ENSG00000049249	132	4.3463	0.6087
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	1903	24.2129	3.3911
ENSG00000053371	3318	139.7430	19.5714
ENSG00000053372	2495	66.3094	9.2868
ENSG00000054116	3588	81.2203	11.3751
ENSG00000054118	7757	122.8340	17.2032
ENSG00000054267	6105	41.3537	5.7917
ENSG00000054277	2633	56.7420	7.9469
ENSG00000054282	3277	46.8378	6.5597
ENSG00000054392	301	5.2514	0.7355
ENSG00000054523	4829	20.4711	2.8670
ENSG00000055070	15432	243.8230	34.1480
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	6894	73.5217	10.2969
ENSG00000057468	19	0.4323	0.0606
ENSG00000057757	6035	207.0450	28.9972
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	679	4.1539	0.5818
ENSG00000058668	10290	79.3864	11.1183
ENSG00000058673	10590	81.8837	11.4680
ENSG00000058799	3489	115.7290	16.2082
ENSG00000058804	2235	32.6421	4.5716
ENSG00000059588	2764	26.7727	3.7496
ENSG00000060642	658	14.5819	2.0422
ENSG00000060656	42	0.4704	0.0659
ENSG00000060688	1868	34.9217	4.8909
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	1447	18.0249	2.5244
ENSG00000064886	48	1.0844	0.1519
ENSG00000065135	14305	334.6400	46.8671
ENSG00000065183	992	17.8863	2.5050
ENSG00000065243	2894	30.9401	4.3332
ENSG00000065526	12295	69.3635	9.7145
ENSG00000065600	2846	73.2605	10.2603
ENSG00000065978	65130	2530.9400	354.4649
ENSG00000066027	5707	110.7920	15.5167
ENSG00000066056	2766	30.9863	4.3397
ENSG00000066135	2756	39.9637	5.5970
ENSG00000066136	4942	61.9091	8.6705
ENSG00000066185	111	3.7900	0.5308
ENSG00000066279	609	4.1963	0.5877
ENSG00000066294	6785	54.9824	7.7004
ENSG00000066322	9379	286.0720	40.0651
ENSG00000066557	982	25.5489	3.5782
ENSG00000067208	1585	14.3743	2.0132
ENSG00000067334	8313	103.8260	14.5411
ENSG00000067533	691	6.5767	0.9211
ENSG00000067606	732	7.1941	1.0075
ENSG00000067704	9300	167.5930	23.4719
ENSG00000069248	1819	26.9713	3.7774
ENSG00000069275	8446	96.7661	13.5523
ENSG00000069424	25952	239.5310	33.5469
ENSG00000069702	122	1.0597	0.1484
ENSG00000069712	95	1.5408	0.2158
ENSG00000069812	2	0.0277	0.0039
ENSG00000070759	1411	30.5760	4.2822
ENSG00000070785	1045	25.7512	3.6065
ENSG00000070831	40331	871.7110	122.0854
ENSG00000070886	4	0.0560	0.0078
ENSG00000072694	2300	24.6575	3.4533
ENSG00000073754	12	0.3563	0.0499
ENSG00000073756	1866	26.5616	3.7200
ENSG00000074800	191627	3507.9300	491.2949
ENSG00000074964	812	7.7656	1.0876
ENSG00000075151	9586	85.2926	11.9454
ENSG00000075391	128	0.8095	0.1134
ENSG00000075945	901	13.4763	1.8874
ENSG00000076258	103	3.0588	0.4284
ENSG00000076321	559	9.8594	1.3808
ENSG00000076356	352	1.9148	0.2682
ENSG00000076864	47	0.5614	0.0786
ENSG00000077152	836	58.9070	8.2501
ENSG00000077157	1321	6.8783	0.9633
ENSG00000077254	2657	28.8037	4.0340
ENSG00000077522	0	0.0000	0.0000
ENSG00000077549	40390	870.4660	121.9110
ENSG00000077585	2411	79.3444	11.1124
ENSG00000078369	57578	703.7730	98.5652
ENSG00000078618	12950	146.7380	20.5510
ENSG00000078808	16299	260.2510	36.4488
ENSG00000078900	64	0.8684	0.1216
ENSG00000079277	4808	44.7417	6.2662
ENSG00000079335	1978	25.8906	3.6260
ENSG00000079739	1230	22.1501	3.1022
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	270	2.9775	0.4170
ENSG00000081019	1472	16.1904	2.2675
ENSG00000081026	14	0.1324	0.0185
ENSG00000081237	44978	396.5370	55.5360
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	927	16.1168	2.2572
ENSG00000081721	2473	105.2570	14.7415
ENSG00000081870	1191	32.3643	4.5327
ENSG00000081985	35	0.6194	0.0868
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	1861	15.4728	2.1670
ENSG00000083444	9246	130.1780	18.2317
ENSG00000084070	102033	2319.6300	324.8704
ENSG00000084072	2982	27.7137	3.8814
ENSG00000084073	2517	52.8558	7.4026
ENSG00000084623	16037	697.2450	97.6510
ENSG00000084628	6	0.1507	0.0211
ENSG00000084636	4	0.0293	0.0041
ENSG00000084652	3541	52.0363	7.2878
ENSG00000085433	1114	18.4175	2.5794
ENSG00000085465	139	3.4910	0.4889
ENSG00000085491	5484	62.8111	8.7969
ENSG00000085552	25	0.2808	0.0393
ENSG00000085831	26	0.2089	0.0293
ENSG00000085832	8618	85.5990	11.9884
ENSG00000085840	1429	33.9484	4.7546
ENSG00000085998	2885	33.9920	4.7607
ENSG00000085999	957	22.3468	3.1297
ENSG00000086015	2914	24.6213	3.4483
ENSG00000086619	859	11.3205	1.5855
ENSG00000088035	619	9.3835	1.3142
ENSG00000088280	8	0.1231	0.0172
ENSG00000090020	5032	63.1685	8.8469
ENSG00000090104	3057	55.6813	7.7983
ENSG00000090273	6758	177.4060	24.8462
ENSG00000090432	2233	68.7635	9.6305
ENSG00000090621	24446	270.3450	37.8625
ENSG00000090686	4765	37.6286	5.2700
ENSG00000091483	3960	138.6460	19.4177
ENSG00000092607	5	0.0985	0.0138
ENSG00000092621	3593	47.9337	6.7132
ENSG00000092847	8763	51.0014	7.1429
ENSG00000092850	59	2.2452	0.3144
ENSG00000092853	1461	20.2550	2.8368
ENSG00000092969	51	0.7424	0.1040
ENSG00000092978	632	5.3644	0.7513
ENSG00000094963	0	0.0000	0.0000
ENSG00000094975	3943	45.7271	6.4042
ENSG00000097021	2391	36.6921	5.1388
ENSG00000097033	13958	156.7790	21.9573
ENSG00000097046	646	13.4718	1.8868
ENSG00000097096	3	0.0349	0.0049
ENSG00000099260	0	0.0000	0.0000
ENSG00000107404	3129	67.3107	9.4270
ENSG00000116128	779	9.1013	1.2747
ENSG00000116132	0	0.0000	0.0000
ENSG00000116133	5592	94.4458	13.2274
ENSG00000116138	1269	11.1140	1.5565
ENSG00000116141	0	0.0000	0.0000
ENSG00000116147	0	0.0000	0.0000
ENSG00000116151	103	1.4785	0.2071
ENSG00000116157	4594	203.7490	28.5356
ENSG00000116161	5697	94.7424	13.2689
ENSG00000116171	9781	88.3302	12.3709
ENSG00000116183	16	0.1099	0.0154
ENSG00000116191	201	2.0287	0.2841
ENSG00000116194	24	0.5325	0.0746
ENSG00000116198	2510	23.9043	3.3479
ENSG00000116199	5289	65.6854	9.1994
ENSG00000116205	591	7.6045	1.0650
ENSG00000116209	24269	437.9670	61.3385
ENSG00000116212	1118	34.7802	4.8711
ENSG00000116213	1294	12.7664	1.7880
ENSG00000116218	0	0.0000	0.0000
ENSG00000116219	0	0.0000	0.0000
ENSG00000116221	7199	244.9650	34.3079
ENSG00000116237	4211	64.3032	9.0058
ENSG00000116251	12195	186.6620	26.1424
ENSG00000116254	74	0.5600	0.0784
ENSG00000116260	29673	239.0190	33.4752
ENSG00000116266	2314	29.4356	4.1225
ENSG00000116273	336	6.8375	0.9576
ENSG00000116285	23	0.4111	0.0576
ENSG00000116288	13795	431.6380	60.4521
ENSG00000116299	23	0.1883	0.0264
ENSG00000116329	0	0.0000	0.0000
ENSG00000116337	28009	307.6550	43.0879
ENSG00000116350	3905	92.1492	12.9057
ENSG00000116353	661	12.5097	1.7520
ENSG00000116396	316	2.5358	0.3551
ENSG00000116406	2184	21.7427	3.0451
ENSG00000116455	2407	64.3590	9.0137
ENSG00000116459	14231	315.4880	44.1849
ENSG00000116473	12493	163.4380	22.8899
ENSG00000116478	9926	185.6970	26.0074
ENSG00000116489	15344	278.6380	39.0240
ENSG00000116497	1956	15.9639	2.2358
ENSG00000116514	8304	238.6200	33.4193
ENSG00000116521	5915	181.6750	25.4440
ENSG00000116525	1028	19.4143	2.7190
ENSG00000116539	4200	23.6926	3.3182
ENSG00000116544	1167	22.0111	3.0827
ENSG00000116560	25765	260.2190	36.4443
ENSG00000116574	6035	103.5230	14.4987
ENSG00000116580	3960	24.4256	3.4209
ENSG00000116584	13637	137.9530	19.3207
ENSG00000116586	7334	382.5020	53.5704
ENSG00000116604	14655	171.7390	24.0525
ENSG00000116641	2066	14.2520	1.9960
ENSG00000116649	9176	362.5760	50.7798
ENSG00000116652	3	0.1738	0.0243
ENSG00000116661	8	0.2422	0.0339
ENSG00000116663	2007	83.1209	11.6413
ENSG00000116667	1480	10.1222	1.4176
ENSG00000116668	293	5.4255	0.7599
ENSG00000116670	4433	97.7017	13.6834
ENSG00000116675	37	0.4005	0.0561
ENSG00000116678	2524	16.5217	2.3139
ENSG00000116679	4929	46.6257	6.5301
ENSG00000116685	6660	152.2430	21.3220
ENSG00000116688	8488	127.8880	17.9110
ENSG00000116690	204	3.0333	0.4248
ENSG00000116691	2893	76.9139	10.7720
ENSG00000116698	8877	80.0463	11.2107
ENSG00000116701	32150	823.5140	115.3353
ENSG00000116703	3	0.1785	0.0250
ENSG00000116704	1054	11.0547	1.5482
ENSG00000116711	2	0.0508	0.0071
ENSG00000116717	9027	327.2350	45.8301
ENSG00000116721	0	0.0000	0.0000
