gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1694	33.0588	4.5945
ENSG00000000460	2217	26.1664	3.6366
ENSG00000000938	1889	40.2012	5.5872
ENSG00000000971	3686	33.9486	4.7182
ENSG00000001460	719	6.3297	0.8797
ENSG00000001461	2485	19.8170	2.7542
ENSG00000004455	18680	246.5240	34.2620
ENSG00000004487	15614	342.8140	47.6445
ENSG00000006555	41	0.5078	0.0706
ENSG00000007341	2948	27.2547	3.7879
ENSG00000007908	2	0.0356	0.0049
ENSG00000007923	3853	56.1502	7.8038
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	266	3.6522	0.5076
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	4246	67.4958	9.3806
ENSG00000008130	3155	41.2328	5.7306
ENSG00000009307	85693	1116.7600	155.2081
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	21	0.3649	0.0507
ENSG00000009780	1109	28.9134	4.0184
ENSG00000009790	11277	109.0890	15.1613
ENSG00000010072	1879	23.8644	3.3167
ENSG00000010165	1020	19.9100	2.7671
ENSG00000010803	9493	160.1070	22.2518
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	7526	104.7090	14.5525
ENSG00000011009	1906	65.0906	9.0463
ENSG00000011021	7855	85.5806	11.8941
ENSG00000014914	31	0.5097	0.0708
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	2389	36.4458	5.0653
ENSG00000020633	1437	23.4080	3.2533
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	249	14.3788	1.9984
ENSG00000023902	6306	75.8118	10.5364
ENSG00000023909	868	12.1157	1.6838
ENSG00000024526	18	0.2287	0.0318
ENSG00000025800	11558	112.7640	15.6721
ENSG00000026751	293	4.7683	0.6627
ENSG00000027644	28	0.4080	0.0567
ENSG00000027869	383	11.4347	1.5892
ENSG00000028137	492	9.7958	1.3614
ENSG00000031698	5987	117.0610	16.2692
ENSG00000033122	10	0.0600	0.0083
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	6238	127.6270	17.7378
ENSG00000036549	7089	59.0202	8.2027
ENSG00000037637	6432	53.6963	7.4628
ENSG00000040487	732	20.4445	2.8414
ENSG00000041988	906	16.6930	2.3200
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	2163	52.8271	7.3419
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	17389	128.1120	17.8051
ENSG00000048707	6652	24.5215	3.4080
ENSG00000049089	1735	31.3522	4.3574
ENSG00000049239	10328	84.9653	11.8085
ENSG00000049245	12216	331.9660	46.1369
ENSG00000049246	171	1.8035	0.2507
ENSG00000049247	59	2.4779	0.3444
ENSG00000049249	1	0.0306	0.0042
ENSG00000050628	6821	52.9929	7.3650
ENSG00000052723	6375	81.1169	11.2737
ENSG00000053371	2626	110.5780	15.3682
ENSG00000053372	2295	61.0032	8.4783
ENSG00000054116	2494	56.4703	7.8483
ENSG00000054118	7003	110.9070	15.4139
ENSG00000054267	19254	130.4140	18.1250
ENSG00000054277	713	15.3569	2.1343
ENSG00000054282	5574	79.6711	11.0727
ENSG00000054392	2145	37.4418	5.2037
ENSG00000054523	1330	5.6377	0.7835
ENSG00000055070	12260	193.7020	26.9209
ENSG00000055732	2	0.0208	0.0029
ENSG00000057252	2578	27.4880	3.8203
ENSG00000057468	83	1.9060	0.2649
ENSG00000057757	5226	179.2910	24.9181
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	2656	16.2396	2.2570
ENSG00000058668	16468	127.0560	17.6583
ENSG00000058673	26989	208.6790	29.0023
ENSG00000058799	1810	60.0394	8.3443
ENSG00000058804	2593	37.8767	5.2641
ENSG00000059588	25856	250.4420	34.8066
ENSG00000060642	1221	27.0831	3.7640
ENSG00000060656	39	0.4361	0.0606
ENSG00000060688	2662	49.7744	6.9177
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	5909	73.6293	10.2331
ENSG00000064886	78	1.7818	0.2476
ENSG00000065135	7406	173.2640	24.0804
ENSG00000065183	1809	32.6273	4.5346
ENSG00000065243	12737	136.1980	18.9288
ENSG00000065526	40818	230.2800	32.0044
ENSG00000065600	2157	55.5130	7.7153
ENSG00000065978	40617	1578.3700	219.3635
ENSG00000066027	10752	208.7410	29.0109
ENSG00000066056	6953	77.9008	10.8267
ENSG00000066135	3995	57.9287	8.0510
ENSG00000066136	4178	52.3436	7.2747
ENSG00000066185	271	9.2633	1.2874
ENSG00000066279	241	1.6589	0.2306
ENSG00000066294	21505	174.2700	24.2202
ENSG00000066322	4092	124.8100	17.3461
ENSG00000066557	4030	104.8070	14.5661
ENSG00000067208	986	8.9390	1.2423
ENSG00000067334	15491	193.4780	26.8897
ENSG00000067533	2830	26.9260	3.7422
ENSG00000067606	1258	12.3532	1.7169
ENSG00000067704	5601	100.9270	14.0270
ENSG00000069248	4700	69.7117	9.6886
ENSG00000069275	14969	171.5090	23.8365
ENSG00000069424	26810	247.4480	34.3906
ENSG00000069702	387	3.3541	0.4661
ENSG00000069712	949	15.3935	2.1394
ENSG00000069812	6	0.0790	0.0110
ENSG00000070759	1420	30.7746	4.2771
ENSG00000070785	1267	31.2274	4.3400
ENSG00000070831	30924	668.3970	92.8943
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	117	1.2500	0.1737
ENSG00000073754	0	0.0000	0.0000
ENSG00000073756	1565	22.2767	3.0960
ENSG00000074800	83200	1523.0600	211.6756
ENSG00000074964	7	0.0669	0.0093
ENSG00000075151	14562	129.5670	18.0073
ENSG00000075391	6480	41.1242	5.7155
ENSG00000075945	2442	36.5211	5.0757
ENSG00000076258	452	13.4664	1.8716
ENSG00000076321	2394	42.2019	5.8652
ENSG00000076356	204	1.1098	0.1542
ENSG00000076864	85	1.0005	0.1390
ENSG00000077152	160	11.2563	1.5644
ENSG00000077157	3157	16.4447	2.2855
ENSG00000077254	8280	89.7699	12.4763
ENSG00000077522	15	0.2069	0.0288
ENSG00000077549	12729	274.3330	38.1270
ENSG00000077585	809	26.6099	3.6983
ENSG00000078369	31225	381.6620	53.0437
ENSG00000078618	18172	205.9080	28.6172
ENSG00000078808	10839	173.0760	24.0542
ENSG00000078900	219	2.9516	0.4102
ENSG00000079277	4421	41.1362	5.7171
ENSG00000079335	4261	55.7837	7.7529
ENSG00000079739	2828	50.9390	7.0795
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	1447	15.9345	2.2146
ENSG00000081019	7555	83.0946	11.5485
ENSG00000081026	251	2.3056	0.3204
ENSG00000081237	50381	444.1720	61.7313
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	1398	24.3008	3.3774
ENSG00000081721	2899	123.4170	17.1525
ENSG00000081870	1702	46.2755	6.4314
ENSG00000081985	29	0.5105	0.0709
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	4321	35.9193	4.9921
ENSG00000083444	4356	61.3325	8.5240
ENSG00000084070	11583	263.3380	36.5989
ENSG00000084072	3253	30.2277	4.2011
ENSG00000084073	2953	61.9994	8.6167
ENSG00000084623	18249	793.4420	110.2732
ENSG00000084628	33	0.8286	0.1152
ENSG00000084636	2	0.0157	0.0022
ENSG00000084652	4465	65.6239	9.1205
ENSG00000085433	5379	88.9453	12.3617
ENSG00000085465	451	11.3303	1.5747
ENSG00000085491	5366	61.4641	8.5423
ENSG00000085552	205	2.3246	0.3231
ENSG00000085831	12	0.0959	0.0133
ENSG00000085832	18790	186.6270	25.9376
ENSG00000085840	802	19.0421	2.6465
ENSG00000085998	3637	42.8508	5.9554
ENSG00000085999	207	4.8409	0.6728
ENSG00000086015	3068	25.9249	3.6031
ENSG00000086619	4330	57.0916	7.9346
ENSG00000088035	2173	32.9541	4.5800
ENSG00000088280	11	0.1686	0.0234
ENSG00000090020	1988	24.9572	3.4686
ENSG00000090104	11272	205.3490	28.5395
ENSG00000090273	6119	160.6240	22.3236
ENSG00000090432	3057	94.1104	13.0796
ENSG00000090621	22153	244.9850	34.0482
ENSG00000090686	14923	117.8530	16.3792
ENSG00000091483	2353	82.3739	11.4484
ENSG00000092607	11	0.2168	0.0301
ENSG00000092621	2334	31.1363	4.3273
ENSG00000092847	9517	55.3927	7.6985
ENSG00000092850	219	8.2998	1.1535
ENSG00000092853	950	13.1700	1.8304
ENSG00000092969	5	0.0728	0.0101
ENSG00000092978	2782	23.6073	3.2810
ENSG00000094963	0	0.0000	0.0000
ENSG00000094975	11345	131.5770	18.2867
ENSG00000097021	2259	34.6639	4.8176
ENSG00000097033	18012	202.3240	28.1191
ENSG00000097046	1137	23.6860	3.2919
ENSG00000097096	20	0.2269	0.0315
ENSG00000099260	0	0.0000	0.0000
ENSG00000107404	1716	36.9180	5.1309
ENSG00000116128	815	9.5232	1.3235
ENSG00000116132	0	0.0000	0.0000
ENSG00000116133	5797	97.9016	13.6064
ENSG00000116138	3259	28.5453	3.9672
ENSG00000116141	3	0.0315	0.0044
ENSG00000116147	52	0.7300	0.1015
ENSG00000116151	759	10.8712	1.5109
ENSG00000116157	1071	47.5127	6.6033
ENSG00000116161	4940	82.1477	11.4169
ENSG00000116171	8150	73.6005	10.2291
ENSG00000116183	6	0.0411	0.0057
ENSG00000116191	7538	76.1772	10.5872
ENSG00000116194	0	0.0000	0.0000
ENSG00000116198	3767	35.8671	4.9848
ENSG00000116199	8659	107.5370	14.9455
ENSG00000116205	1473	18.9585	2.6349
ENSG00000116209	19282	347.9630	48.3601
ENSG00000116212	1186	36.9029	5.1288
ENSG00000116213	2985	29.4407	4.0917
ENSG00000116218	12	0.4776	0.0664
ENSG00000116219	0	0.0000	0.0000
ENSG00000116221	4825	164.2020	22.8210
ENSG00000116237	904	13.8068	1.9189
ENSG00000116251	37837	579.1330	80.4883
ENSG00000116254	304	2.3023	0.3200
ENSG00000116260	15669	126.2170	17.5417
ENSG00000116266	9319	118.5670	16.4785
ENSG00000116273	665	13.5556	1.8840
ENSG00000116285	38	0.6808	0.0946
ENSG00000116288	8023	251.0240	34.8875
ENSG00000116299	42	0.3376	0.0469
ENSG00000116329	0	0.0000	0.0000
ENSG00000116337	10128	111.2480	15.4613
ENSG00000116350	9594	226.4220	31.4683
ENSG00000116353	836	15.8161	2.1981
ENSG00000116396	471	3.7838	0.5259
ENSG00000116406	4640	46.2078	6.4220
ENSG00000116455	3196	85.4620	11.8776
ENSG00000116459	11745	260.3770	36.1875
ENSG00000116473	5961	77.9862	10.8386
ENSG00000116478	7747	144.9220	20.1414
ENSG00000116489	14515	263.5920	36.6342
ENSG00000116497	9620	78.5102	10.9114
ENSG00000116514	4685	134.6210	18.7097
ENSG00000116521	5113	157.0320	21.8244
ENSG00000116525	1260	23.7858	3.3058
ENSG00000116539	12969	73.1546	10.1671
ENSG00000116544	68	1.2892	0.1792
ENSG00000116560	111962	1130.7800	157.1569
ENSG00000116574	185	3.1736	0.4411
ENSG00000116580	9746	60.1191	8.3554
ENSG00000116584	20186	204.2020	28.3801
ENSG00000116586	2330	121.5200	16.8890
ENSG00000116604	34647	406.0250	56.4296
ENSG00000116641	5126	35.3612	4.9145
ENSG00000116649	7205	284.7100	39.5693
ENSG00000116652	128	8.2392	1.1451
ENSG00000116661	5	0.1607	0.0223
ENSG00000116663	159	6.5781	0.9142
ENSG00000116667	4334	29.6417	4.1196
ENSG00000116668	1220	22.5649	3.1361
ENSG00000116670	1364	30.0644	4.1784
ENSG00000116675	2726	29.6052	4.1146
ENSG00000116678	2060	13.4884	1.8746
ENSG00000116679	22311	211.0430	29.3309
ENSG00000116685	2786	63.6940	8.8522
ENSG00000116688	6053	91.1953	12.6744
ENSG00000116690	0	0.0008	0.0001
ENSG00000116691	3539	94.0773	13.0749
ENSG00000116698	21505	193.9230	26.9516
ENSG00000116701	257	6.5946	0.9165
ENSG00000116703	0	0.0000	0.0000
ENSG00000116704	3999	41.9273	5.8271
ENSG00000116711	1228	32.0226	4.4505
ENSG00000116717	6824	247.3820	34.3813
ENSG00000116721	0	0.0000	0.0000
ENSG00000116726	0	0.0000	0.0000
ENSG00000116729	2	0.0332	0.0046
ENSG00000116731	15224	104.6690	14.5469
ENSG00000116741	11690	420.2980	58.4133
ENSG00000116745	0	0.0000	0.0000
ENSG00000116747	5350	44.0854	6.1270
ENSG00000116748	0	0.0000	0.0000
ENSG00000116750	2310	48.1306	6.6892
ENSG00000116752	4168	240.6460	33.4452
ENSG00000116754	74256	656.9810	91.3077
ENSG00000116761	201	6.2519	0.8689
ENSG00000116771	26	0.7800	0.1084
ENSG00000116774	3	0.0993	0.0138
ENSG00000116783	181	2.3273	0.3234
ENSG00000116785	0	0.0000	0.0000
ENSG00000116786	12772	232.3930	32.2981
ENSG00000116791	1595	29.3205	4.0750
ENSG00000116793	3386	35.4172	4.9223
ENSG00000116809	6355	112.4060	15.6223
ENSG00000116815	863	36.3174	5.0474
ENSG00000116819	353	12.1042	1.6822
ENSG00000116824	248	11.0560	1.5366
ENSG00000116830	3876	46.5010	6.4628
ENSG00000116833	0	0.0000	0.0000
ENSG00000116852	6427	39.6777	5.5144
ENSG00000116857	3942	75.5129	10.4948
ENSG00000116863	1025	46.0209	6.3960
ENSG00000116871	14044	199.8270	27.7721
ENSG00000116874	1218	23.7455	3.3002
ENSG00000116882	0	0.0000	0.0000
ENSG00000116883	311	12.7186	1.7676
ENSG00000116885	94	2.5099	0.3488
ENSG00000116898	2689	69.1557	9.6113
ENSG00000116903	3417	50.0686	6.9586
ENSG00000116906	6310	149.1510	20.7291
ENSG00000116918	3317	39.6229	5.5068
ENSG00000116922	712	15.0490	2.0915
ENSG00000116954	2062	29.9301	4.1597
ENSG00000116957	2215	64.6760	8.9887
ENSG00000116962	33	0.4197	0.0583
ENSG00000116977	15630	120.7290	16.7791
ENSG00000116981	0	0.0000	0.0000
ENSG00000116983	13	0.2008	0.0279
ENSG00000116984	5763	37.9055	5.2681
ENSG00000116985	62	0.9003	0.1251
ENSG00000116990	8	0.1185	0.0165
ENSG00000116991	99	0.9746	0.1354
ENSG00000116996	0	0.0000	0.0000
ENSG00000117000	8834	104.5820	14.5349
ENSG00000117009	46	0.5861	0.0815
ENSG00000117010	556	13.7127	1.9058
ENSG00000117013	54	0.9732	0.1353
ENSG00000117016	319	3.3066	0.4595
ENSG00000117020	73	0.7296	0.1014
ENSG00000117036	3133	35.0344	4.8691
ENSG00000117054	6737	105.7220	14.6933
ENSG00000117069	0	0.0000	0.0000
ENSG00000117090	195	3.4743	0.4829
ENSG00000117091	1339	40.2614	5.5956
ENSG00000117114	0	0.0000	0.0000
ENSG00000117115	23	0.2936	0.0408
ENSG00000117118	3307	100.7460	14.0017
ENSG00000117122	3	0.0772	0.0107
ENSG00000117133	6245	271.0340	37.6684
ENSG00000117139	40750	332.7080	46.2400
ENSG00000117143	1925	42.3716	5.8888
ENSG00000117148	2	0.0806	0.0112
ENSG00000117151	3816	83.5949	11.6181
ENSG00000117152	0	0.0000	0.0000
ENSG00000117153	1610	33.9930	4.7244
ENSG00000117154	0	0.0000	0.0000
ENSG00000117155	6714	61.0591	8.4860
ENSG00000117174	3788	45.8443	6.3715
ENSG00000117215	0	0.0000	0.0000
ENSG00000117222	1479	25.1803	3.4996
ENSG00000117226	1837	32.0626	4.4561
ENSG00000117228	71	1.0659	0.1481
ENSG00000117242	4726	79.7713	11.0867
ENSG00000117245	2	0.0336	0.0047
ENSG00000117262	395	5.3073	0.7376
ENSG00000117266	566	5.6037	0.7788
ENSG00000117280	414	7.9966	1.1114
ENSG00000117281	67	1.2576	0.1748
ENSG00000117289	62189	1286.3200	178.7733
ENSG00000117298	1083	11.1851	1.5545
ENSG00000117305	864	11.1773	1.5534
ENSG00000117308	450	8.5378	1.1866
ENSG00000117318	683	28.5214	3.9639
ENSG00000117322	53	0.8207	0.1141
ENSG00000117335	21405	184.3540	25.6217
ENSG00000117360	7368	102.8490	14.2941
ENSG00000117362	5491	118.7580	16.5050
ENSG00000117385	7204	79.8515	11.0978
ENSG00000117394	8463	169.6710	23.5811
ENSG00000117395	3399	72.2269	10.0381
ENSG00000117399	184	6.7826	0.9427
ENSG00000117400	188	6.6391	0.9227
ENSG00000117407	357	10.0865	1.4018
ENSG00000117408	3109	45.8806	6.3765
ENSG00000117410	23029	488.5900	67.9046
