gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	590	11.5099	2.7001
ENSG00000000460	896	10.5781	2.4815
ENSG00000000938	3482	74.1056	17.3846
ENSG00000000971	162	1.4919	0.3500
ENSG00000001460	361	3.1801	0.7460
ENSG00000001461	1384	11.0376	2.5893
ENSG00000004455	7737	102.1090	23.9539
ENSG00000004487	7588	166.5920	39.0812
ENSG00000006555	18	0.2230	0.0523
ENSG00000007341	2223	20.5518	4.8213
ENSG00000007908	19	0.3420	0.0802
ENSG00000007923	2341	34.1170	8.0036
ENSG00000007933	16	0.3465	0.0813
ENSG00000007968	2193	30.1336	7.0691
ENSG00000008118	29	0.8128	0.1907
ENSG00000008128	2945	46.8207	10.9838
ENSG00000008130	3023	39.5015	9.2667
ENSG00000009307	31779	414.1450	97.1551
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	119	2.0967	0.4919
ENSG00000009780	211	5.5007	1.2904
ENSG00000009790	2373	22.9527	5.3845
ENSG00000010072	1238	15.7152	3.6867
ENSG00000010165	1278	24.9383	5.8503
ENSG00000010803	3624	61.1196	14.3382
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	3558	49.4951	11.6112
ENSG00000011009	2173	74.2113	17.4094
ENSG00000011021	1854	20.2029	4.7395
ENSG00000014914	608	9.9323	2.3300
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	1528	23.3132	5.4691
ENSG00000020633	5762	93.8458	22.0155
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	270	15.5881	3.6569
ENSG00000023902	3977	47.8147	11.2170
ENSG00000023909	1335	18.6271	4.3698
ENSG00000024526	402	5.1067	1.1980
ENSG00000025800	7429	72.4824	17.0038
ENSG00000026751	535	8.7211	2.0459
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	474	14.1497	3.3194
ENSG00000028137	2677	53.3099	12.5061
ENSG00000031698	3296	64.4353	15.1160
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1238	25.3265	5.9414
ENSG00000036549	2865	23.8520	5.5955
ENSG00000037637	2200	18.3641	4.3081
ENSG00000040487	655	18.2781	4.2879
ENSG00000041988	1113	20.4993	4.8090
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	431	10.5230	2.4686
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	6975	51.3855	12.0546
ENSG00000048707	2901	10.6933	2.5086
ENSG00000049089	2371	42.8405	10.0501
ENSG00000049239	2299	18.9105	4.4363
ENSG00000049245	6096	165.6630	38.8633
ENSG00000049246	615	6.4914	1.5228
ENSG00000049247	28	1.1778	0.2763
ENSG00000049249	46	1.5031	0.3526
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	2894	36.8232	8.6384
ENSG00000053371	2236	94.1606	22.0893
ENSG00000053372	2059	54.7250	12.8381
ENSG00000054116	1495	33.8491	7.9407
ENSG00000054118	2330	36.8942	8.6551
ENSG00000054267	11473	77.7113	18.2305
ENSG00000054277	652	14.0526	3.2966
ENSG00000054282	1758	25.1283	5.8949
ENSG00000054392	135	2.3564	0.5528
ENSG00000054523	3655	15.4943	3.6348
ENSG00000055070	6450	101.9080	23.9067
ENSG00000055732	1	0.0113	0.0027
ENSG00000057252	1556	16.5943	3.8929
ENSG00000057468	5	0.1157	0.0272
ENSG00000057757	2791	95.7681	22.4664
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	720	4.4052	1.0334
ENSG00000058668	10324	79.6495	18.6852
ENSG00000058673	10761	83.2068	19.5197
ENSG00000058799	756	25.0809	5.8838
ENSG00000058804	1639	23.9404	5.6162
ENSG00000059588	8154	78.9848	18.5292
ENSG00000060642	776	17.2088	4.0370
ENSG00000060656	25	0.2799	0.0657
ENSG00000060688	2366	44.2488	10.3804
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	1924	23.9706	5.6233
ENSG00000064886	78	1.7754	0.4165
ENSG00000065135	5172	120.9950	28.3845
ENSG00000065183	647	11.6600	2.7354
ENSG00000065243	3269	34.9500	8.1990
ENSG00000065526	15902	89.7126	21.0459
ENSG00000065600	1076	27.6826	6.4941
ENSG00000065978	34327	1333.9700	312.9384
ENSG00000066027	6291	122.1440	28.6541
ENSG00000066056	4548	50.9585	11.9545
ENSG00000066135	852	12.3478	2.8967
ENSG00000066136	2122	26.5854	6.2367
ENSG00000066185	48	1.6401	0.3848
ENSG00000066279	1111	7.6549	1.7958
ENSG00000066294	3715	30.1014	7.0615
ENSG00000066322	5237	159.7400	37.4738
ENSG00000066557	1872	48.6841	11.4209
ENSG00000067208	667	6.0445	1.4180
ENSG00000067334	7020	87.6793	20.5689
ENSG00000067533	1763	16.7734	3.9349
ENSG00000067606	758	7.4434	1.7462
ENSG00000067704	3481	62.7235	14.7144
ENSG00000069248	2042	30.2883	7.1054
ENSG00000069275	8457	96.8902	22.7297
ENSG00000069424	13907	128.3610	30.1125
ENSG00000069702	384	3.3292	0.7810
ENSG00000069712	371	6.0117	1.4103
ENSG00000069812	0	0.0000	0.0000
ENSG00000070759	920	19.9422	4.6783
ENSG00000070785	898	22.1423	5.1944
ENSG00000070831	13287	287.1780	67.3698
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	92	0.9863	0.2314
ENSG00000073754	847	25.8750	6.0701
ENSG00000073756	1089	15.5065	3.6377
ENSG00000074800	37635	688.9490	161.6222
ENSG00000074964	203	1.9410	0.4553
ENSG00000075151	5291	47.0752	11.0435
ENSG00000075391	213	1.3549	0.3178
ENSG00000075945	918	13.7325	3.2216
ENSG00000076258	199	5.9273	1.3905
ENSG00000076321	626	11.0402	2.5899
ENSG00000076356	119	0.6468	0.1517
ENSG00000076864	236	2.7957	0.6558
ENSG00000077152	1171	82.4995	19.3537
ENSG00000077157	2444	12.7316	2.9867
ENSG00000077254	3919	42.4903	9.9679
ENSG00000077522	4	0.0546	0.0128
ENSG00000077549	6732	145.0840	34.0356
ENSG00000077585	488	16.0614	3.7679
ENSG00000078369	18625	227.6550	53.4062
ENSG00000078618	7089	80.3307	18.8450
ENSG00000078808	5847	93.3587	21.9012
ENSG00000078900	460	6.2171	1.4585
ENSG00000079277	2170	20.1953	4.7377
ENSG00000079335	2489	32.5842	7.6440
ENSG00000079739	2275	40.9808	9.6138
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	288	3.1711	0.7439
ENSG00000081019	3509	38.5989	9.0550
ENSG00000081026	80	0.7335	0.1721
ENSG00000081237	12348	108.8590	25.5375
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	803	13.9608	3.2751
ENSG00000081721	2170	92.3661	21.6684
ENSG00000081870	1505	40.9246	9.6006
ENSG00000081985	71	1.2580	0.2951
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	1275	10.5996	2.4866
ENSG00000083444	1996	28.1057	6.5934
ENSG00000084070	5066	115.1800	27.0204
ENSG00000084072	2414	22.4303	5.2620
ENSG00000084073	1236	25.9513	6.0880
ENSG00000084623	14002	608.7660	142.8119
ENSG00000084628	27	0.6729	0.1579
ENSG00000084636	146	1.1445	0.2685
ENSG00000084652	2272	33.3880	7.8326
ENSG00000085433	1501	24.8142	5.8212
ENSG00000085465	300	7.5241	1.7651
ENSG00000085491	1199	13.7283	3.2205
ENSG00000085552	9	0.1020	0.0239
ENSG00000085831	53	0.4273	0.1002
ENSG00000085832	6859	68.1244	15.9814
