gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	460	8.9664	1.6601
ENSG00000000460	818	9.6563	1.7879
ENSG00000000938	3558	75.7247	14.0205
ENSG00000000971	6430	59.2138	10.9635
ENSG00000001460	233	2.0556	0.3806
ENSG00000001461	817	6.5158	1.2064
ENSG00000004455	4390	57.9298	10.7258
ENSG00000004487	9005	197.6990	36.6042
ENSG00000006555	20	0.2477	0.0459
ENSG00000007341	1426	13.1828	2.4408
ENSG00000007908	252	4.4778	0.8291
ENSG00000007923	1158	16.8788	3.1251
ENSG00000007933	56	1.2128	0.2246
ENSG00000007968	4270	58.6843	10.8655
ENSG00000008118	2	0.0643	0.0119
ENSG00000008128	2361	37.5322	6.9491
ENSG00000008130	4730	61.8202	11.4461
ENSG00000009307	72682	947.1960	175.3744
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	12	0.2117	0.0392
ENSG00000009780	360	9.3929	1.7391
ENSG00000009790	630	6.0938	1.1283
ENSG00000010072	7784	98.8508	18.3023
ENSG00000010165	299	5.8389	1.0811
ENSG00000010803	1720	29.0144	5.3720
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	3703	51.5138	9.5378
ENSG00000011009	2489	85.0209	15.7417
ENSG00000011021	2713	29.5594	5.4730
ENSG00000014914	552	9.0159	1.6693
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	4	0.0476	0.0088
ENSG00000020129	1106	16.8735	3.1242
ENSG00000020633	5731	93.3433	17.2826
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	276	15.9400	2.9513
ENSG00000023902	11359	136.5680	25.2858
ENSG00000023909	756	10.5573	1.9547
ENSG00000024526	1203	15.2851	2.8300
ENSG00000025800	10385	101.3220	18.7600
ENSG00000026751	205	3.3417	0.6187
ENSG00000027644	5	0.0782	0.0145
ENSG00000027869	539	16.0836	2.9779
ENSG00000028137	3378	67.2754	12.4561
ENSG00000031698	4671	91.3287	16.9096
ENSG00000033122	61	0.3780	0.0700
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1283	26.2425	4.8588
ENSG00000036549	3585	29.8479	5.5264
ENSG00000037637	1815	15.1486	2.8048
ENSG00000040487	271	7.5570	1.3992
ENSG00000041988	948	17.4600	3.2327
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	1041	25.4122	4.7051
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	20452	150.6790	27.8984
ENSG00000048707	2596	9.5699	1.7719
ENSG00000049089	285	5.1438	0.9524
ENSG00000049239	1240	10.2037	1.8892
ENSG00000049245	8399	228.2260	42.2563
ENSG00000049246	731	7.7165	1.4287
ENSG00000049247	378	15.9097	2.9457
ENSG00000049249	41	1.3573	0.2513
ENSG00000050628	15569	120.9560	22.3952
ENSG00000052723	4018	51.1222	9.4653
ENSG00000053371	2705	113.9050	21.0897
ENSG00000053372	1111	29.5255	5.4667
ENSG00000054116	1801	40.7634	7.5474
ENSG00000054118	4897	77.5448	14.3575
ENSG00000054267	20988	142.1550	26.3201
ENSG00000054277	721	15.5408	2.8774
ENSG00000054282	1155	16.5089	3.0566
ENSG00000054392	146	2.5412	0.4705
ENSG00000054523	2509	10.6347	1.9690
ENSG00000055070	10059	158.9300	29.4260
ENSG00000055732	9	0.1075	0.0199
ENSG00000057252	1551	16.5387	3.0622
ENSG00000057468	7	0.1607	0.0298
ENSG00000057757	3788	129.9580	24.0619
ENSG00000058085	2	0.0229	0.0042
ENSG00000058453	379	2.3189	0.4293
ENSG00000058668	29715	229.2600	42.4477
ENSG00000058673	19579	151.3870	28.0295
ENSG00000058799	1198	39.7280	7.3557
ENSG00000058804	2332	34.0623	6.3067
ENSG00000059588	4328	41.9180	7.7612
ENSG00000060642	574	12.7212	2.3553
ENSG00000060656	35	0.3903	0.0723
ENSG00000060688	4374	81.7789	15.1414
ENSG00000060718	249	2.2606	0.4186
ENSG00000064703	4931	61.4479	11.3771
ENSG00000064886	68	1.5478	0.2866
ENSG00000065135	11981	280.2760	51.8935
ENSG00000065183	643	11.5975	2.1473
ENSG00000065243	5450	58.2743	10.7895
ENSG00000065526	34253	193.2420	35.7790
ENSG00000065600	2857	73.5233	13.6129
ENSG00000065978	50937	1979.4300	366.4944
ENSG00000066027	11922	231.4710	42.8571
ENSG00000066056	6119	68.5535	12.6928
ENSG00000066135	1018	14.7602	2.7329
ENSG00000066136	2775	34.7658	6.4369
ENSG00000066185	209	7.1285	1.3199
ENSG00000066279	4576	31.5241	5.8367
ENSG00000066294	17044	138.1210	25.5733
ENSG00000066322	2157	65.7849	12.1802
ENSG00000066557	3367	87.5635	16.2125
ENSG00000067208	530	4.8039	0.8895
ENSG00000067334	12710	158.7480	29.3923
ENSG00000067533	1935	18.4099	3.4086
ENSG00000067606	182	1.7911	0.3316
ENSG00000067704	4523	81.5089	15.0915
ENSG00000069248	4284	63.5309	11.7628
ENSG00000069275	16093	184.3810	34.1384
ENSG00000069424	7228	66.7150	12.3524
ENSG00000069702	341	2.9514	0.5465
