gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1183	23.0765	1.9207
ENSG00000000460	912	10.7594	0.8955
ENSG00000000938	20858	443.9210	36.9479
ENSG00000000971	0	0.0000	0.0000
ENSG00000001460	275	2.4235	0.2017
ENSG00000001461	1494	11.9113	0.9914
ENSG00000004455	7790	102.8020	8.5563
ENSG00000004487	8024	176.1670	14.6625
ENSG00000006555	45	0.5618	0.0468
ENSG00000007341	1646	15.2204	1.2668
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1910	27.8331	2.3166
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	3367	46.2820	3.8521
ENSG00000008118	115	3.2111	0.2673
ENSG00000008128	6871	109.2280	9.0911
ENSG00000008130	12272	160.3710	13.3478
ENSG00000009307	131601	1715.0500	142.7450
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	1381	24.3679	2.0282
ENSG00000009780	1767	46.0918	3.8363
ENSG00000009790	4536	43.8807	3.6522
ENSG00000010072	4069	51.6688	4.3004
ENSG00000010165	1044	20.3830	1.6965
ENSG00000010803	7908	133.3670	11.1002
ENSG00000010932	20	0.4253	0.0354
ENSG00000011007	9454	131.5200	10.9465
ENSG00000011009	4287	146.4170	12.1864
ENSG00000011021	9997	108.9130	9.0649
ENSG00000014914	8491	138.7180	11.5456
ENSG00000016490	1	0.0225	0.0019
ENSG00000016602	2	0.0411	0.0034
ENSG00000018625	3	0.0316	0.0026
ENSG00000020129	559	8.5280	0.7098
ENSG00000020633	3968	64.6239	5.3787
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	790	45.5935	3.7948
ENSG00000023902	38049	457.4650	38.0752
ENSG00000023909	893	12.4684	1.0378
ENSG00000024526	198	2.5144	0.2093
ENSG00000025800	22987	224.2790	18.6670
ENSG00000026751	1095	17.8458	1.4853
ENSG00000027644	31	0.4566	0.0380
ENSG00000027869	1112	33.2154	2.7645
ENSG00000028137	77019	1533.8400	127.6627
ENSG00000031698	8847	172.9690	14.3964
ENSG00000033122	203	1.2671	0.1055
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	5002	102.3290	8.5169
ENSG00000036549	6064	50.4923	4.2025
ENSG00000037637	8222	68.6417	5.7131
ENSG00000040487	1705	47.6217	3.9636
ENSG00000041988	1846	34.0056	2.8303
ENSG00000042781	6	0.0219	0.0018
ENSG00000043514	1221	29.8206	2.4820
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	19486	143.5580	11.9484
ENSG00000048707	12252	45.1645	3.7591
ENSG00000049089	1272	22.9853	1.9131
ENSG00000049239	7355	60.5037	5.0358
ENSG00000049245	17483	475.0860	39.5418
ENSG00000049246	110	1.1602	0.0966
ENSG00000049247	11	0.4812	0.0401
ENSG00000049249	135	4.4343	0.3691
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	4458	56.7250	4.7213
ENSG00000053371	2847	119.8970	9.9792
ENSG00000053372	1469	39.0411	3.2494
ENSG00000054116	4230	95.7534	7.9696
ENSG00000054118	21005	332.6370	27.6857
ENSG00000054267	21685	146.8780	12.2248
ENSG00000054277	1778	38.3147	3.1890
ENSG00000054282	2669	38.1460	3.1749
ENSG00000054392	214	3.7437	0.3116
ENSG00000054523	6685	28.3379	2.3586
ENSG00000055070	31116	491.6100	40.9171
ENSG00000055732	2	0.0226	0.0019
ENSG00000057252	10749	114.6270	9.5405
ENSG00000057468	16	0.3607	0.0300
ENSG00000057757	7611	261.1150	21.7328
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	226	1.3819	0.1150
ENSG00000058668	7546	58.2198	4.8457
ENSG00000058673	44859	346.8470	28.8684
ENSG00000058799	2995	99.3419	8.2683
ENSG00000058804	2111	30.8388	2.5667
ENSG00000059588	7758	75.1466	6.2545
ENSG00000060642	721	15.9852	1.3305
ENSG00000060656	12	0.1300	0.0108
ENSG00000060688	4130	77.2269	6.4277
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	5974	74.4333	6.1951
ENSG00000064886	34	0.7672	0.0639
ENSG00000065135	16808	393.2060	32.7269
ENSG00000065183	1155	20.8324	1.7339
ENSG00000065243	10533	112.6290	9.3742
ENSG00000065526	80538	454.3690	37.8175
ENSG00000065600	2246	57.8027	4.8110
ENSG00000065978	107503	4177.5700	347.7027
ENSG00000066027	12990	252.2060	20.9913
ENSG00000066056	4072	45.6189	3.7969
ENSG00000066135	7534	109.2540	9.0933
ENSG00000066136	5138	64.3670	5.3573
ENSG00000066185	57	1.9408	0.1615
ENSG00000066279	2176	14.9918	1.2478
ENSG00000066294	11312	91.6706	7.6298
ENSG00000066322	10824	330.1240	27.4765
ENSG00000066557	3251	84.5347	7.0359
ENSG00000067208	718	6.5143	0.5422
ENSG00000067334	13395	167.2940	13.9240
ENSG00000067533	1479	14.0681	1.1709
ENSG00000067606	81	0.7987	0.0665
ENSG00000067704	9873	177.9110	14.8077
ENSG00000069248	5091	75.4997	6.2839
ENSG00000069275	16281	186.5370	15.5256
ENSG00000069424	41435	382.4300	31.8300
ENSG00000069702	603	5.2297	0.4353
ENSG00000069712	60	0.9734	0.0810
ENSG00000069812	2	0.0277	0.0023
ENSG00000070759	3032	65.7142	5.4694
ENSG00000070785	449	11.0762	0.9219
ENSG00000070831	51643	1116.2000	92.9024
ENSG00000070886	1	0.0140	0.0012
ENSG00000072694	1834	19.6562	1.6360
ENSG00000073754	2	0.0611	0.0051
ENSG00000073756	20439	290.9360	24.2149
ENSG00000074800	244737	4480.1800	372.8893
ENSG00000074964	3088	29.5156	2.4566
ENSG00000075151	9563	85.0861	7.0818
ENSG00000075391	559	3.5500	0.2955
ENSG00000075945	1731	25.8973	2.1555
ENSG00000076258	90	2.6758	0.2227
ENSG00000076321	2984	52.6140	4.3791
ENSG00000076356	752	4.0945	0.3408
ENSG00000076864	15	0.1747	0.0145
ENSG00000077152	405	28.4967	2.3718
ENSG00000077157	2827	14.7263	1.2257
ENSG00000077254	6070	65.8083	5.4773
ENSG00000077522	0	0.0002	0.0000
ENSG00000077549	31646	682.0160	56.7648
ENSG00000077585	746	24.5401	2.0425
ENSG00000078369	85358	1043.3300	86.8370
ENSG00000078618	15968	180.9300	15.0590
ENSG00000078808	16511	263.6440	21.9433
ENSG00000078900	21	0.2835	0.0236
ENSG00000079277	6124	56.9893	4.7433
ENSG00000079335	5916	77.4512	6.4463
ENSG00000079739	3303	59.4971	4.9520
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	431	4.7393	0.3945
ENSG00000081019	7023	77.2440	6.4291
ENSG00000081026	31	0.2806	0.0234
ENSG00000081237	121732	1073.2200	89.3250
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	787	13.6876	1.1392
ENSG00000081721	5423	230.8340	19.2126
ENSG00000081870	1490	40.5009	3.3709
ENSG00000081985	57	1.0014	0.0833
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	10671	88.7044	7.3829
ENSG00000083444	4115	57.9367	4.8221
ENSG00000084070	27327	621.2470	51.7069
ENSG00000084072	2847	26.4592	2.2022
ENSG00000084073	3169	66.5378	5.5380
ENSG00000084623	30181	1312.2000	109.2157
ENSG00000084628	1	0.0251	0.0021
ENSG00000084636	4	0.0281	0.0023
ENSG00000084652	6550	96.2657	8.0123
ENSG00000085433	4783	79.0840	6.5822
ENSG00000085465	603	15.1392	1.2601
ENSG00000085491	6317	72.3516	6.0219
ENSG00000085552	168	1.9038	0.1585
ENSG00000085831	354	2.8385	0.2363
ENSG00000085832	15608	155.0210	12.9025
ENSG00000085840	3618	85.9462	7.1534
ENSG00000085998	1215	14.3113	1.1911
ENSG00000085999	1435	33.5075	2.7888
ENSG00000086015	2035	17.1993	1.4315
ENSG00000086619	3031	39.9606	3.3260
ENSG00000088035	318	4.8156	0.4008
ENSG00000088280	15	0.2300	0.0191
ENSG00000090020	3544	44.4882	3.7028
ENSG00000090104	20013	364.5840	30.3446
ENSG00000090273	9555	250.8380	20.8774
ENSG00000090432	5135	158.0960	13.1584
ENSG00000090621	45457	502.6990	41.8401
ENSG00000090686	6816	53.8244	4.4798
ENSG00000091483	4084	142.9920	11.9013
ENSG00000092607	10	0.1913	0.0159
ENSG00000092621	1127	15.0407	1.2518
ENSG00000092847	19935	116.0300	9.6572
ENSG00000092850	89	3.3868	0.2819
ENSG00000092853	1756	24.3408	2.0259
ENSG00000092969	2	0.0348	0.0029
ENSG00000092978	2185	18.5440	1.5434
ENSG00000094963	0	0.0000	0.0000
ENSG00000094975	11025	127.8640	10.6422
ENSG00000097021	2381	36.5350	3.0408
ENSG00000097033	34612	388.7880	32.3591
ENSG00000097046	1491	31.0811	2.5869
ENSG00000097096	19	0.2221	0.0185
ENSG00000099260	0	0.0000	0.0000
ENSG00000107404	2062	44.3592	3.6920
ENSG00000116128	663	7.7422	0.6444
ENSG00000116132	0	0.0000	0.0000
ENSG00000116133	124	2.0923	0.1741
ENSG00000116138	2495	21.8520	1.8188
ENSG00000116141	3	0.0315	0.0026
ENSG00000116147	0	0.0000	0.0000
ENSG00000116151	215	3.0761	0.2560
ENSG00000116157	6396	283.6770	23.6107
ENSG00000116161	7173	119.2840	9.9281
ENSG00000116171	9778	88.3057	7.3498
ENSG00000116183	0	0.0000	0.0000
ENSG00000116191	936	9.4541	0.7869
ENSG00000116194	48	1.0428	0.0868
ENSG00000116198	1120	10.6612	0.8873
ENSG00000116199	6103	75.7968	6.3086
ENSG00000116205	444	5.7164	0.4758
ENSG00000116209	30199	544.9700	45.3583
ENSG00000116212	2317	72.0651	5.9980
ENSG00000116213	1564	15.4221	1.2836
ENSG00000116218	0	0.0000	0.0000
ENSG00000116219	0	0.0000	0.0000
ENSG00000116221	9414	320.3540	26.6634
ENSG00000116237	2094	31.9745	2.6613
ENSG00000116251	42123	644.7360	53.6619
ENSG00000116254	149	1.1321	0.0942
ENSG00000116260	31385	252.8020	21.0409
ENSG00000116266	7668	97.5588	8.1199
ENSG00000116273	3547	72.2749	6.0155
ENSG00000116285	99	1.7733	0.1476
ENSG00000116288	12055	377.2020	31.3949
ENSG00000116299	50	0.4028	0.0335
ENSG00000116329	0	0.0000	0.0000
ENSG00000116337	28135	309.0360	25.7213
ENSG00000116350	16581	391.3130	32.5693
ENSG00000116353	453	8.5728	0.7135
ENSG00000116396	174	1.3956	0.1162
ENSG00000116406	2793	27.8140	2.3150
ENSG00000116455	1810	48.3879	4.0274
ENSG00000116459	21240	470.8830	39.1920
ENSG00000116473	19395	253.7280	21.1180
ENSG00000116478	10819	202.4020	16.8461
ENSG00000116489	28379	515.3490	42.8930
ENSG00000116497	2551	20.8209	1.7329
ENSG00000116514	40357	1159.6800	96.5215
ENSG00000116521	5478	168.2330	14.0022
ENSG00000116525	1220	23.0350	1.9172
ENSG00000116539	17260	97.3580	8.1032
ENSG00000116544	675	12.7360	1.0600
ENSG00000116560	135658	1370.1000	114.0344
ENSG00000116574	2847	48.8381	4.0648
ENSG00000116580	10441	64.4077	5.3607
ENSG00000116584	26509	268.1630	22.3194
ENSG00000116586	4145	216.1950	17.9941
ENSG00000116604	97819	1146.3100	95.4087
ENSG00000116641	2865	19.7591	1.6446
ENSG00000116649	7699	304.2430	25.3225
ENSG00000116652	74	4.7874	0.3984
ENSG00000116661	15	0.4856	0.0404
ENSG00000116663	1045	43.2921	3.6032
ENSG00000116667	1304	8.9209	0.7425
ENSG00000116668	879	16.2694	1.3541
ENSG00000116670	5453	120.1740	10.0022
ENSG00000116675	19	0.2054	0.0171
ENSG00000116678	737	4.8253	0.4016
ENSG00000116679	43091	407.5910	33.9242
ENSG00000116685	4113	94.0091	7.8245
ENSG00000116688	16721	251.9220	20.9677
ENSG00000116690	452	6.7087	0.5584
ENSG00000116691	1590	42.2694	3.5181
ENSG00000116698	25895	233.5140	19.4356
ENSG00000116701	26982	691.1420	57.5243
ENSG00000116703	6	0.3361	0.0280
ENSG00000116704	4489	47.0656	3.9173
ENSG00000116711	797	20.8014	1.7313
ENSG00000116717	4946	179.2850	14.9221
ENSG00000116721	0	0.0000	0.0000
ENSG00000116726	0	0.0000	0.0000
ENSG00000116729	21	0.3481	0.0290
ENSG00000116731	22487	154.6030	12.8677
ENSG00000116741	27659	994.4380	82.7679
ENSG00000116745	0	0.0000	0.0000
ENSG00000116747	13523	111.4260	9.2741
ENSG00000116748	4	0.1202	0.0100
ENSG00000116750	3014	62.8124	5.2279
ENSG00000116752	3632	209.7150	17.4548
ENSG00000116754	47448	419.7970	34.9401
ENSG00000116761	206	6.4022	0.5329
