gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1103	21.5156	2.5667
ENSG00000000460	1292	15.2546	1.8198
ENSG00000000938	4174	88.8238	10.5960
ENSG00000000971	262	2.4108	0.2876
ENSG00000001460	434	3.8219	0.4559
ENSG00000001461	2832	22.5855	2.6943
ENSG00000004455	18402	242.8560	28.9708
ENSG00000004487	16654	365.6390	43.6180
ENSG00000006555	60	0.7430	0.0886
ENSG00000007341	3927	36.3091	4.3314
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	3333	48.5698	5.7940
ENSG00000007933	8	0.1715	0.0205
ENSG00000007968	1104	15.1754	1.8103
ENSG00000008118	14	0.3849	0.0459
ENSG00000008128	14010	222.7030	26.5668
ENSG00000008130	4697	61.3767	7.3218
ENSG00000009307	76625	998.5840	119.1235
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	2538	44.7699	5.3407
ENSG00000009780	914	23.8474	2.8448
ENSG00000009790	3304	31.9591	3.8125
ENSG00000010072	5084	64.5618	7.7017
ENSG00000010165	1220	23.8168	2.8412
ENSG00000010803	8956	151.0430	18.0183
ENSG00000010932	20	0.4278	0.0510
ENSG00000011007	18149	252.4950	30.1208
ENSG00000011009	4391	149.9570	17.8887
ENSG00000011021	5467	59.5651	7.1057
ENSG00000014914	198	3.2403	0.3865
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	2	0.0238	0.0028
ENSG00000020129	3363	51.3018	6.1199
ENSG00000020633	1853	30.1729	3.5994
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	331	19.1232	2.2812
ENSG00000023902	5983	71.9375	8.5816
ENSG00000023909	1289	17.9955	2.1467
ENSG00000024526	121	1.5371	0.1834
ENSG00000025800	19352	188.8160	22.5243
ENSG00000026751	99	1.6049	0.1915
ENSG00000027644	34	0.5021	0.0599
ENSG00000027869	523	15.6194	1.8633
ENSG00000028137	2669	53.1524	6.3407
ENSG00000031698	5167	101.0310	12.0523
ENSG00000033122	321	2.0075	0.2395
ENSG00000034971	6	0.2160	0.0258
ENSG00000035687	2466	50.4482	6.0181
ENSG00000036549	4708	39.1992	4.6762
ENSG00000037637	7038	58.7507	7.0085
ENSG00000040487	1750	48.8690	5.8297
ENSG00000041988	3717	68.4691	8.1678
ENSG00000042781	14	0.0510	0.0061
ENSG00000043514	2447	59.7721	7.1304
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	17317	127.5820	15.2195
ENSG00000048707	11777	43.4122	5.1787
ENSG00000049089	2074	37.4729	4.4702
ENSG00000049239	8914	73.3341	8.7482
ENSG00000049245	16652	452.4980	53.9796
ENSG00000049246	173	1.8221	0.2174
ENSG00000049247	357	15.0129	1.7909
ENSG00000049249	31	1.0044	0.1198
ENSG00000050628	776	6.0292	0.7192
ENSG00000052723	6125	77.9449	9.2982
ENSG00000053371	4516	190.1680	22.6857
ENSG00000053372	2622	69.6772	8.3120
ENSG00000054116	3414	77.2828	9.2192
ENSG00000054118	6899	109.2550	13.0333
ENSG00000054267	21557	146.0130	17.4182
ENSG00000054277	1035	22.3147	2.6620
ENSG00000054282	3168	45.2769	5.4012
ENSG00000054392	1773	30.9546	3.6926
ENSG00000054523	10373	43.9718	5.2455
ENSG00000055070	19267	304.4080	36.3135
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	7353	78.4172	9.3546
ENSG00000057468	59	1.3463	0.1606
ENSG00000057757	10029	344.0790	41.0460
ENSG00000058085	4	0.0459	0.0055
ENSG00000058453	4388	26.8294	3.2005
ENSG00000058668	8129	62.7200	7.4820
ENSG00000058673	27733	214.4310	25.5800
ENSG00000058799	2363	78.3680	9.3487
ENSG00000058804	2268	33.1328	3.9525
ENSG00000059588	16330	158.1770	18.8693
ENSG00000060642	1947	43.1860	5.1518
ENSG00000060656	215	2.4084	0.2873
ENSG00000060688	4196	78.4612	9.3598
ENSG00000060718	18	0.1633	0.0195
ENSG00000064703	4064	50.6376	6.0407
ENSG00000064886	47	1.0692	0.1275
ENSG00000065135	10029	234.6250	27.9889
ENSG00000065183	1011	18.2320	2.1749
ENSG00000065243	5688	60.8216	7.2556
ENSG00000065526	41384	233.4730	27.8515
ENSG00000065600	1938	49.8730	5.9495
ENSG00000065978	58836	2286.3700	272.7464
ENSG00000066027	11075	215.0120	25.6493
ENSG00000066056	2976	33.3442	3.9777
ENSG00000066135	9288	134.6910	16.0676
ENSG00000066136	2950	36.9524	4.4081
ENSG00000066185	138	4.7317	0.5645
ENSG00000066279	1849	12.7365	1.5194
ENSG00000066294	7720	62.5583	7.4627
ENSG00000066322	4482	136.7070	16.3081
ENSG00000066557	3185	82.8193	9.8797
ENSG00000067208	945	8.5708	1.0224
ENSG00000067334	13292	166.0110	19.8038
ENSG00000067533	2833	26.9542	3.2154
ENSG00000067606	1088	10.6814	1.2742
ENSG00000067704	4529	81.6218	9.7369
ENSG00000069248	4363	64.7095	7.7194
ENSG00000069275	11117	127.3740	15.1947
ENSG00000069424	35987	332.1460	39.6224
ENSG00000069702	93	0.8038	0.0959
ENSG00000069712	184	2.9775	0.3552
ENSG00000069812	29	0.4023	0.0480
ENSG00000070759	2229	48.3182	5.7640
ENSG00000070785	1310	32.2774	3.8504
ENSG00000070831	40641	878.4050	104.7870
ENSG00000070886	16	0.2264	0.0270
ENSG00000072694	151	1.6232	0.1936
ENSG00000073754	7	0.2138	0.0255
ENSG00000073756	1644	23.4063	2.7922
ENSG00000074800	138466	2534.7800	302.3796
ENSG00000074964	274	2.6186	0.3124
ENSG00000075151	10041	89.3433	10.6580
ENSG00000075391	2231	14.1596	1.6891
ENSG00000075945	1035	15.4761	1.8462
ENSG00000076258	288	8.5860	1.0243
ENSG00000076321	2191	38.6298	4.6082
ENSG00000076356	165	0.8969	0.1070
ENSG00000076864	114	1.3532	0.1614
ENSG00000077152	255	17.9446	2.1406
ENSG00000077157	6842	35.6379	4.2513
ENSG00000077254	5751	62.3442	7.4372
ENSG00000077522	22	0.3061	0.0365
ENSG00000077549	13142	283.2270	33.7869
ENSG00000077585	1127	37.0759	4.4229
ENSG00000078369	33643	411.2220	49.0556
ENSG00000078618	19899	225.4730	26.8972
ENSG00000078808	14544	232.2380	27.7043
ENSG00000078900	152	2.0564	0.2453
ENSG00000079277	3950	36.7526	4.3843
ENSG00000079335	4259	55.7497	6.6505
ENSG00000079739	5730	103.2010	12.3111
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	1735	19.0998	2.2785
ENSG00000081019	4702	51.7158	6.1693
ENSG00000081026	404	3.7035	0.4418
ENSG00000081237	28314	249.6240	29.7783
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	1435	24.9377	2.9749
ENSG00000081721	4863	207.0050	24.6941
ENSG00000081870	1650	44.8568	5.3511
ENSG00000081985	154	2.7248	0.3251
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	2	0.0274	0.0033
ENSG00000082512	11078	92.0917	10.9858
ENSG00000083444	6444	90.7222	10.8225
ENSG00000084070	10997	249.9970	29.8227
ENSG00000084072	2786	25.8911	3.0886
ENSG00000084073	2445	51.3362	6.1240
ENSG00000084623	21747	945.5320	112.7947
ENSG00000084628	10	0.2511	0.0300
ENSG00000084636	48	0.3771	0.0450
ENSG00000084652	9238	135.7790	16.1974
ENSG00000085433	3945	65.2363	7.7822
ENSG00000085465	581	14.5843	1.7398
ENSG00000085491	1422	16.2831	1.9425
ENSG00000085552	122	1.3820	0.1649
ENSG00000085831	627	5.0230	0.5992
ENSG00000085832	9120	90.5826	10.8058
ENSG00000085840	1892	44.9420	5.3612
ENSG00000085998	3766	44.3662	5.2925
ENSG00000085999	2770	64.6765	7.7154
ENSG00000086015	2759	23.3131	2.7811
ENSG00000086619	2295	30.2609	3.6099
ENSG00000088035	955	14.4751	1.7268
ENSG00000088280	26	0.3968	0.0473
ENSG00000090020	8402	105.4700	12.5818
ENSG00000090104	1444	26.3099	3.1386
ENSG00000090273	8312	218.2100	26.0307
ENSG00000090432	3094	95.2681	11.3648
ENSG00000090621	40621	449.2130	53.5877
ENSG00000090686	11128	87.8833	10.4838
ENSG00000091483	2910	101.8890	12.1546
ENSG00000092607	31	0.6188	0.0738
ENSG00000092621	5738	76.5436	9.1311
ENSG00000092847	10494	61.0784	7.2862
ENSG00000092850	492	18.6613	2.2261
ENSG00000092853	1423	19.7274	2.3533
ENSG00000092969	103	1.5059	0.1797
ENSG00000092978	1162	9.8645	1.1768
ENSG00000094963	16	0.1923	0.0229
ENSG00000094975	19302	223.8490	26.7035
ENSG00000097021	2972	45.6017	5.4399
ENSG00000097033	12985	145.8590	17.3999
ENSG00000097046	1098	22.8889	2.7305
ENSG00000097096	0	0.0000	0.0000
ENSG00000099260	0	0.0000	0.0000
ENSG00000107404	3132	67.3867	8.0387
ENSG00000116128	3923	45.8302	5.4672
ENSG00000116132	8	0.0728	0.0087
ENSG00000116133	1414	23.8804	2.8488
ENSG00000116138	1883	16.4888	1.9670
ENSG00000116141	15	0.1565	0.0187
ENSG00000116147	154	2.1595	0.2576
ENSG00000116151	711	10.1896	1.2155
ENSG00000116157	3526	156.4030	18.6576
ENSG00000116161	5059	84.1222	10.0351
ENSG00000116171	3906	35.2750	4.2080
ENSG00000116183	10	0.0687	0.0082
ENSG00000116191	5183	52.3735	6.2478
ENSG00000116194	466	10.1712	1.2133
ENSG00000116198	2983	28.4033	3.3883
ENSG00000116199	5206	64.6584	7.7132
ENSG00000116205	889	11.4427	1.3650
ENSG00000116209	18742	338.2310	40.3483
ENSG00000116212	1418	44.0950	5.2602
ENSG00000116213	4205	41.4746	4.9476
ENSG00000116218	0	0.0000	0.0000
ENSG00000116219	3	0.1117	0.0133
ENSG00000116221	7524	256.0500	30.5449
ENSG00000116237	1501	22.9245	2.7347
ENSG00000116251	37715	577.2640	68.8632
ENSG00000116254	656	4.9754	0.5935
ENSG00000116260	35660	287.2440	34.2660
ENSG00000116266	3284	41.7791	4.9839
ENSG00000116273	2866	58.4015	6.9669
ENSG00000116285	285	5.1128	0.6099
ENSG00000116288	11341	354.8410	42.3298
ENSG00000116299	37	0.3017	0.0360
ENSG00000116329	2	0.0846	0.0101
ENSG00000116337	26843	294.8460	35.1728
ENSG00000116350	12413	292.9510	34.9468
ENSG00000116353	1284	24.2968	2.8984
ENSG00000116396	875	7.0233	0.8378
ENSG00000116406	1744	17.3679	2.0719
ENSG00000116455	2679	71.6381	8.5459
ENSG00000116459	9609	213.0320	25.4131
ENSG00000116473	3760	49.1894	5.8679
ENSG00000116478	12966	242.5720	28.9370
