gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1045	20.3920	2.2172
ENSG00000000460	1570	18.5312	2.0149
ENSG00000000938	65946	1403.5000	152.6014
ENSG00000000971	14	0.1289	0.0140
ENSG00000001460	418	3.6857	0.4007
ENSG00000001461	1778	14.1796	1.5417
ENSG00000004455	11421	150.7320	16.3890
ENSG00000004487	12288	269.7930	29.3345
ENSG00000006555	158	1.9569	0.2128
ENSG00000007341	2883	26.6561	2.8983
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	3504	51.0653	5.5523
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	4389	60.3284	6.5595
ENSG00000008118	22	0.6293	0.0684
ENSG00000008128	6375	101.3450	11.0192
ENSG00000008130	13533	176.8490	19.2287
ENSG00000009307	89112	1161.3200	126.2695
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	2190	38.6453	4.2019
ENSG00000009780	1044	27.2364	2.9614
ENSG00000009790	6348	61.4062	6.6767
ENSG00000010072	3184	40.4335	4.3963
ENSG00000010165	1296	25.2836	2.7491
ENSG00000010803	11109	187.3540	20.3709
ENSG00000010932	33	0.6928	0.0753
ENSG00000011007	10183	141.6630	15.4030
ENSG00000011009	3646	124.5250	13.5395
ENSG00000011021	3470	37.7997	4.1099
ENSG00000014914	1164	19.0078	2.0667
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	3	0.0644	0.0070
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	3211	48.9799	5.3256
ENSG00000020633	3502	57.0430	6.2023
ENSG00000021852	1	0.0392	0.0043
ENSG00000023572	424	24.5065	2.6646
ENSG00000023902	16904	203.2370	22.0979
ENSG00000023909	560	7.8184	0.8501
ENSG00000024526	289	3.6694	0.3990
ENSG00000025800	10534	102.7750	11.1747
ENSG00000026751	244	3.9800	0.4327
ENSG00000027644	19	0.2739	0.0298
ENSG00000027869	285	8.5044	0.9247
ENSG00000028137	34918	695.4020	75.6107
ENSG00000031698	8018	156.7610	17.0445
ENSG00000033122	124	0.7757	0.0843
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	7173	146.7520	15.9562
ENSG00000036549	4305	35.8423	3.8971
ENSG00000037637	5296	44.2156	4.8075
ENSG00000040487	1486	41.5048	4.5128
ENSG00000041988	2549	46.9423	5.1040
ENSG00000042781	6	0.0219	0.0024
ENSG00000043514	811	19.7997	2.1528
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	22400	165.0320	17.9439
ENSG00000048707	16118	59.4148	6.4601
ENSG00000049089	1612	29.1192	3.1661
ENSG00000049239	7120	58.5678	6.3681
ENSG00000049245	16803	456.5960	49.6454
ENSG00000049246	236	2.4873	0.2704
ENSG00000049247	65	2.7134	0.2950
ENSG00000049249	210	6.9102	0.7513
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	3920	49.8862	5.4241
ENSG00000053371	4721	198.8210	21.6177
ENSG00000053372	2475	65.7697	7.1511
ENSG00000054116	4334	98.1108	10.6675
