gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	523	10.1954	1.4747
ENSG00000000460	575	6.7899	0.9821
ENSG00000000938	3044	64.7875	9.3712
ENSG00000000971	182	1.6761	0.2424
ENSG00000001460	362	3.1880	0.4611
ENSG00000001461	1471	11.7287	1.6965
ENSG00000004455	8402	110.8830	16.0387
ENSG00000004487	4209	92.4081	13.3664
ENSG00000006555	4	0.0495	0.0072
ENSG00000007341	643	5.9414	0.8594
ENSG00000007908	57	1.0133	0.1466
ENSG00000007923	1575	22.9460	3.3190
ENSG00000007933	8	0.1733	0.0251
ENSG00000007968	159	2.1845	0.3160
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	1372	21.8025	3.1536
ENSG00000008130	2538	33.1699	4.7979
ENSG00000009307	55558	724.0390	104.7286
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	0	0.0000	0.0000
ENSG00000009780	399	10.4134	1.5063
ENSG00000009790	5508	53.2778	7.7064
ENSG00000010072	3663	46.5130	6.7279
ENSG00000010165	1135	22.1582	3.2051
ENSG00000010803	5925	99.9278	14.4541
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	5912	82.2415	11.8958
ENSG00000011009	2639	90.1293	13.0368
ENSG00000011021	869	9.4695	1.3697
ENSG00000014914	192	3.1309	0.4529
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	2180	33.2585	4.8107
ENSG00000020633	3329	54.2117	7.8415
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	398	23.0054	3.3276
ENSG00000023902	8977	107.9320	15.6118
ENSG00000023909	144	2.0162	0.2916
ENSG00000024526	158	2.0066	0.2902
ENSG00000025800	5561	54.2560	7.8479
ENSG00000026751	79	1.2869	0.1861
ENSG00000027644	36	0.5258	0.0761
ENSG00000027869	506	15.1190	2.1869
ENSG00000028137	2834	56.4472	8.1648
ENSG00000031698	4009	78.3856	11.3381
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	4810	98.3969	14.2326
ENSG00000036549	1798	14.9685	2.1651
ENSG00000037637	1721	14.3658	2.0779
ENSG00000040487	400	11.1597	1.6142
ENSG00000041988	436	8.0260	1.1609
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	819	19.9974	2.8925
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	6394	47.1082	6.8140
ENSG00000048707	2296	8.4624	1.2240
ENSG00000049089	2135	38.5765	5.5799
ENSG00000049239	3326	27.3612	3.9577
ENSG00000049245	9338	253.7590	36.7049
ENSG00000049246	95	1.0030	0.1451
ENSG00000049247	120	5.0662	0.7328
ENSG00000049249	56	1.8341	0.2653
ENSG00000050628	69	0.5360	0.0775
ENSG00000052723	2514	31.9878	4.6269
ENSG00000053371	3954	166.4890	24.0818
ENSG00000053372	2531	67.2679	9.7300
ENSG00000054116	2036	46.0927	6.6671
ENSG00000054118	5255	83.2149	12.0366
ENSG00000054267	13682	92.6681	13.4040
ENSG00000054277	3664	78.9730	11.4231
ENSG00000054282	5630	80.4772	11.6406
ENSG00000054392	559	9.7582	1.4115
ENSG00000054523	1845	7.8212	1.1313
ENSG00000055070	7620	120.3890	17.4137
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	1393	14.8534	2.1485
ENSG00000057468	0	0.0000	0.0000
ENSG00000057757	3063	105.1060	15.2030
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	548	3.3528	0.4850
ENSG00000058668	6082	46.9221	6.7871
ENSG00000058673	15633	120.8750	17.4840
ENSG00000058799	1791	59.4020	8.5922
ENSG00000058804	1650	24.0993	3.4858
ENSG00000059588	3479	33.7005	4.8746
ENSG00000060642	783	17.3664	2.5120
ENSG00000060656	3	0.0336	0.0049
ENSG00000060688	976	18.2548	2.6405
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	2101	26.1768	3.7863
ENSG00000064886	18	0.4097	0.0593
ENSG00000065135	10710	250.5350	36.2387
ENSG00000065183	861	15.5225	2.2452
ENSG00000065243	2005	21.4383	3.1009
ENSG00000065526	10175	57.4063	8.3035
ENSG00000065600	3257	83.8198	12.1241
ENSG00000065978	78097	3034.8700	438.9795
ENSG00000066027	7376	143.2080	20.7144
ENSG00000066056	5076	56.8712	8.2261
ENSG00000066135	796	11.5431	1.6696
ENSG00000066136	4001	50.1251	7.2503
ENSG00000066185	155	5.2829	0.7641
ENSG00000066279	433	2.9825	0.4314
ENSG00000066294	2130	17.2642	2.4972
