gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	791	15.4360	1.8807
ENSG00000000460	494	5.8329	0.7107
ENSG00000000938	9222	196.2640	23.9130
ENSG00000000971	30	0.2759	0.0336
ENSG00000001460	301	2.6476	0.3226
ENSG00000001461	1111	8.8613	1.0797
ENSG00000004455	3651	48.1807	5.8704
ENSG00000004487	8060	176.9560	21.5605
ENSG00000006555	6	0.0743	0.0091
ENSG00000007341	1930	17.8505	2.1749
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1735	25.2763	3.0797
ENSG00000007933	8	0.1721	0.0210
ENSG00000007968	2426	33.3449	4.0628
ENSG00000008118	23	0.6431	0.0784
ENSG00000008128	6732	107.0140	13.0387
ENSG00000008130	4648	60.7388	7.4005
ENSG00000009307	80160	1044.6500	127.2817
ENSG00000009709	4	0.0475	0.0058
ENSG00000009724	1820	32.1131	3.9127
ENSG00000009780	878	22.9058	2.7909
ENSG00000009790	3321	32.1260	3.9143
ENSG00000010072	4028	51.1505	6.2322
ENSG00000010165	736	14.3581	1.7494
ENSG00000010803	4614	77.8152	9.4811
ENSG00000010932	11	0.2336	0.0285
ENSG00000011007	5621	78.2000	9.5280
ENSG00000011009	2148	73.3730	8.9398
ENSG00000011021	7054	76.8547	9.3641
ENSG00000014914	2479	40.4910	4.9335
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	13	0.1564	0.0191
ENSG00000020129	315	4.8019	0.5851
ENSG00000020633	1600	26.0599	3.1752
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	513	29.6189	3.6088
ENSG00000023902	24886	299.2110	36.4562
ENSG00000023909	329	4.5979	0.5602
ENSG00000024526	157	1.9956	0.2431
ENSG00000025800	18556	181.0490	22.0592
ENSG00000026751	215	3.5098	0.4276
ENSG00000027644	41	0.6048	0.0737
ENSG00000027869	328	9.8065	1.1948
ENSG00000028137	24517	488.2570	59.4898
ENSG00000031698	5002	97.7990	11.9159
ENSG00000033122	293	1.8278	0.2227
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1992	40.7613	4.9664
ENSG00000036549	3210	26.7290	3.2567
ENSG00000037637	11746	98.0563	11.9473
ENSG00000040487	1407	39.2852	4.7865
ENSG00000041988	1685	31.0368	3.7816
