gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	992	19.3546	2.6071
ENSG00000000460	991	11.6983	1.5758
ENSG00000000938	3323	70.7222	9.5265
ENSG00000000971	4	0.0368	0.0050
ENSG00000001460	712	6.2712	0.8448
ENSG00000001461	2860	22.8108	3.0727
ENSG00000004455	13562	178.9820	24.1094
ENSG00000004487	8245	181.0180	24.3837
ENSG00000006555	14	0.1734	0.0234
ENSG00000007341	1369	12.6543	1.7046
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	3608	52.5687	7.0812
ENSG00000007933	4	0.0866	0.0117
ENSG00000007968	523	7.1838	0.9677
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	2583	41.0668	5.5318
ENSG00000008130	5168	67.5330	9.0969
ENSG00000009307	38796	505.6010	68.1060
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	0	0.0000	0.0000
ENSG00000009780	718	18.7135	2.5208
ENSG00000009790	6900	66.7491	8.9913
ENSG00000010072	683	8.6725	1.1682
ENSG00000010165	2336	45.5988	6.1423
ENSG00000010803	9056	152.7270	20.5728
ENSG00000010932	8	0.1679	0.0226
ENSG00000011007	5822	80.9948	10.9103
ENSG00000011009	4709	160.8100	21.6616
ENSG00000011021	3721	40.5450	5.4615
ENSG00000014914	2159	35.2703	4.7510
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	10	0.1191	0.0160
ENSG00000020129	4147	63.2552	8.5207
ENSG00000020633	4283	69.7544	9.3961
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	560	32.3410	4.3565
ENSG00000023902	16892	203.0910	27.3570
ENSG00000023909	107	1.4957	0.2015
ENSG00000024526	206	2.6192	0.3528
ENSG00000025800	7701	75.1384	10.1214
ENSG00000026751	87	1.4194	0.1912
ENSG00000027644	2	0.0294	0.0040
ENSG00000027869	22	0.6568	0.0885
ENSG00000028137	2694	53.6439	7.2260
ENSG00000031698	7071	138.2560	18.6235
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	5761	117.8580	15.8758
ENSG00000036549	2622	21.8295	2.9405
ENSG00000037637	3565	29.7607	4.0089
ENSG00000040487	1009	28.1854	3.7966
ENSG00000041988	904	16.6547	2.2434
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	898	21.9332	2.9545
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	4120	30.3535	4.0887
ENSG00000048707	4956	18.2698	2.4610
ENSG00000049089	173	3.1178	0.4200
ENSG00000049239	4523	37.2048	5.0116
ENSG00000049245	9359	254.3250	34.2584
ENSG00000049246	84	0.8868	0.1195
ENSG00000049247	2	0.0841	0.0113
ENSG00000049249	7	0.2299	0.0310
ENSG00000050628	2	0.0155	0.0021
ENSG00000052723	3697	47.0399	6.3364
ENSG00000053371	6183	260.3890	35.0752
ENSG00000053372	4304	114.3870	15.4083
ENSG00000054116	4869	110.2140	14.8462
ENSG00000054118	8082	127.9800	17.2393
ENSG00000054267	5558	37.6462	5.0711
ENSG00000054277	3442	74.1747	9.9916
ENSG00000054282	4569	65.3044	8.7967
ENSG00000054392	420	7.3368	0.9883
ENSG00000054523	1895	8.0324	1.0820
ENSG00000055070	14002	221.2290	29.8002
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	1836	19.5777	2.6372
ENSG00000057468	14	0.3203	0.0432
ENSG00000057757	3956	135.7160	18.2814
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	1229	7.5135	1.0121
ENSG00000058668	8767	67.6423	9.1116
ENSG00000058673	11871	91.7835	12.3635
ENSG00000058799	1898	62.9465	8.4791
ENSG00000058804	2275	33.2277	4.4759
ENSG00000059588	7137	69.1264	9.3115
ENSG00000060642	1179	26.1378	3.5208
ENSG00000060656	0	0.0000	0.0000
ENSG00000060688	2842	53.1341	7.1573
ENSG00000060718	0	0.0000	0.0000
