gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	980	19.1113	1.9215
ENSG00000000460	863	10.1830	1.0238
ENSG00000000938	13875	295.2910	29.6887
ENSG00000000971	258	2.3755	0.2388
ENSG00000001460	414	3.6467	0.3666
ENSG00000001461	1422	11.3435	1.1405
ENSG00000004455	12592	166.1740	16.7073
ENSG00000004487	17195	377.5140	37.9556
ENSG00000006555	91	1.1230	0.1129
ENSG00000007341	2457	22.7198	2.2843
ENSG00000007908	7	0.1254	0.0126
ENSG00000007923	1417	20.6466	2.0758
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	4086	56.1512	5.6455
ENSG00000008118	49	1.3827	0.1390
ENSG00000008128	9209	146.3870	14.7178
ENSG00000008130	7030	91.8677	9.2364
ENSG00000009307	104067	1356.2200	136.3555
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	1753	30.9367	3.1104
ENSG00000009780	1414	36.8741	3.7074
ENSG00000009790	3165	30.6164	3.0782
ENSG00000010072	4308	54.7115	5.5007
ENSG00000010165	1021	19.9321	2.0040
ENSG00000010803	4384	73.9429	7.4343
ENSG00000010932	22	0.4695	0.0472
ENSG00000011007	9389	130.6250	13.1332
ENSG00000011009	4489	153.3190	15.4148
ENSG00000011021	6522	71.0548	7.1439
ENSG00000014914	911	14.8856	1.4966
ENSG00000016490	2	0.0449	0.0045
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	912	13.9174	1.3993
ENSG00000020633	13542	220.5470	22.1740
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	378	21.7968	2.1915
ENSG00000023902	26077	313.5240	31.5219
ENSG00000023909	1295	18.0787	1.8176
ENSG00000024526	209	2.6530	0.2667
ENSG00000025800	18701	182.4560	18.3443
ENSG00000026751	556	9.0617	0.9111
ENSG00000027644	9	0.1263	0.0127
ENSG00000027869	527	15.7353	1.5820
ENSG00000028137	17412	346.7630	34.8638
ENSG00000031698	5677	111.0010	11.1601
ENSG00000033122	269	1.6824	0.1692
ENSG00000034971	2	0.0720	0.0072
ENSG00000035687	2849	58.2943	5.8610
ENSG00000036549	4721	39.3045	3.9517
ENSG00000037637	10752	89.7611	9.0247
ENSG00000040487	1423	39.7234	3.9938
ENSG00000041988	2088	38.4497	3.8658
ENSG00000042781	6	0.0219	0.0022
ENSG00000043514	1779	43.4484	4.3683
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	23146	170.5220	17.1444
ENSG00000048707	13338	49.1652	4.9431
ENSG00000049089	4263	77.0258	7.7442
ENSG00000049239	3333	27.4194	2.7568
ENSG00000049245	15175	412.3640	41.4594
ENSG00000049246	1193	12.5974	1.2666
ENSG00000049247	166	6.9753	0.7013
ENSG00000049249	316	10.3634	1.0419
ENSG00000050628	4	0.0311	0.0031
ENSG00000052723	4563	58.0577	5.8372
ENSG00000053371	3228	135.9270	13.6662
ENSG00000053372	2279	60.5571	6.0884
ENSG00000054116	3123	70.7066	7.1089
ENSG00000054118	14062	222.6850	22.3889
ENSG00000054267	25499	172.7130	17.3647
ENSG00000054277	986	21.2491	2.1364
ENSG00000054282	2190	31.3021	3.1471
ENSG00000054392	529	9.2365	0.9287
ENSG00000054523	9321	39.5125	3.9726
ENSG00000055070	21166	334.4040	33.6213
ENSG00000055732	2	0.0226	0.0023
ENSG00000057252	10168	108.4300	10.9017
ENSG00000057468	20	0.4486	0.0451
ENSG00000057757	9736	334.0370	33.5843
ENSG00000058085	2	0.0229	0.0023
ENSG00000058453	1686	10.3097	1.0366
ENSG00000058668	9617	74.2001	7.4601
ENSG00000058673	33846	261.6920	26.3107
ENSG00000058799	1773	58.8094	5.9127
ENSG00000058804	1976	28.8563	2.9012
ENSG00000059588	21637	209.5820	21.0715
ENSG00000060642	1219	27.0257	2.7172
ENSG00000060656	56	0.6307	0.0634
ENSG00000060688	4843	90.5635	9.1053
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	6243	77.7888	7.8209
ENSG00000064886	118	2.6862	0.2701
ENSG00000065135	10196	238.5140	23.9804
ENSG00000065183	1162	20.9497	2.1063
ENSG00000065243	9272	99.1433	9.9679
ENSG00000065526	65609	370.1410	37.2142
ENSG00000065600	2256	58.0525	5.8366
ENSG00000065978	59399	2308.2500	232.0729
ENSG00000066027	11674	226.6490	22.7874
ENSG00000066056	3410	38.2042	3.8411
ENSG00000066135	11369	164.8590	16.5750
ENSG00000066136	3174	39.7601	3.9975
ENSG00000066185	120	4.1157	0.4138
ENSG00000066279	2320	15.9841	1.6071
ENSG00000066294	11079	89.7831	9.0269
ENSG00000066322	5230	159.5100	16.0373
ENSG00000066557	3100	80.6085	8.1044
ENSG00000067208	794	7.2019	0.7241
ENSG00000067334	11146	139.2130	13.9965
ENSG00000067533	1515	14.4147	1.4493
ENSG00000067606	1029	10.1050	1.0160
ENSG00000067704	3992	71.9366	7.2326
ENSG00000069248	5467	81.0874	8.1526
ENSG00000069275	13516	154.8520	15.5690
ENSG00000069424	37400	345.1850	34.7052
ENSG00000069702	466	4.0374	0.4059
ENSG00000069712	54	0.8754	0.0880
ENSG00000069812	15	0.2081	0.0209
ENSG00000070759	1873	40.6092	4.0829
ENSG00000070785	1061	26.1623	2.6304
ENSG00000070831	43792	946.5130	95.1631
ENSG00000070886	3	0.0483	0.0049
ENSG00000072694	130	1.3926	0.1400
ENSG00000073754	10	0.3127	0.0314
ENSG00000073756	2285	32.5189	3.2695
ENSG00000074800	142071	2600.7600	261.4827
ENSG00000074964	1354	12.9453	1.3015
ENSG00000075151	9258	82.3793	8.2825
ENSG00000075391	1524	9.6724	0.9725
ENSG00000075945	1190	17.8041	1.7900
ENSG00000076258	157	4.6814	0.4707
ENSG00000076321	3209	56.5748	5.6881
ENSG00000076356	183	0.9970	0.1002
ENSG00000076864	1034	12.2250	1.2291
ENSG00000077152	856	60.2826	6.0608
ENSG00000077157	5889	30.6700	3.0836
ENSG00000077254	6135	66.5104	6.6870
ENSG00000077522	5	0.0712	0.0072
