gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	223	4.3551	0.7588
ENSG00000000460	1211	14.2926	2.4902
ENSG00000000938	348	7.3976	1.2889
ENSG00000000971	328	3.0196	0.5261
ENSG00000001460	178	1.5680	0.2732
ENSG00000001461	412	3.2896	0.5731
ENSG00000004455	3018	39.8269	6.9390
ENSG00000004487	5845	128.3240	22.3579
ENSG00000006555	51	0.6367	0.1109
ENSG00000007341	535	4.9499	0.8624
ENSG00000007908	6	0.1067	0.0186
ENSG00000007923	781	11.3746	1.9818
ENSG00000007933	7	0.1516	0.0264
ENSG00000007968	1445	19.8604	3.4603
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	2201	34.9807	6.0947
ENSG00000008130	1232	16.0965	2.8045
ENSG00000009307	36696	478.2290	83.3219
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	22	0.3881	0.0676
ENSG00000009780	647	16.8613	2.9377
ENSG00000009790	567	5.4823	0.9552
ENSG00000010072	2648	33.6272	5.8589
ENSG00000010165	387	7.5592	1.3170
ENSG00000010803	5668	95.6009	16.6566
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	5080	70.6704	12.3129
ENSG00000011009	2116	72.2755	12.5926
ENSG00000011021	1806	19.6764	3.4282
ENSG00000014914	71	1.1599	0.2021
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	1177	17.9571	3.1287
ENSG00000020633	3575	58.2185	10.1434
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	368	21.2309	3.6991
ENSG00000023902	7917	95.1890	16.5848
ENSG00000023909	163	2.2704	0.3956
ENSG00000024526	83	1.0589	0.1845
ENSG00000025800	8067	78.7030	13.7124
ENSG00000026751	295	4.8034	0.8369
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	907	27.0673	4.7159
ENSG00000028137	1735	34.5528	6.0201
ENSG00000031698	2151	42.0602	7.3282
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	894	18.2842	3.1857
ENSG00000036549	2066	17.2047	2.9976
