gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1280	24.9802	2.4414
ENSG00000000460	1626	19.1958	1.8760
ENSG00000000938	2623	55.8243	5.4558
ENSG00000000971	9876	90.9479	8.8885
ENSG00000001460	373	3.2831	0.3209
ENSG00000001461	6211	49.5387	4.8415
ENSG00000004455	12662	167.1000	16.3310
ENSG00000004487	19363	425.1190	41.5477
ENSG00000006555	100	1.2370	0.1209
ENSG00000007341	2969	27.4565	2.6834
ENSG00000007908	2	0.0356	0.0035
ENSG00000007923	4410	64.2650	6.2807
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	3072	42.2237	4.1266
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	6410	101.8890	9.9578
ENSG00000008130	5438	71.0657	6.9454
ENSG00000009307	139640	1819.8100	177.8536
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	140	2.4644	0.2408
ENSG00000009780	1035	26.9965	2.6384
ENSG00000009790	3007	29.0900	2.8430
ENSG00000010072	4656	59.1206	5.7780
ENSG00000010165	972	18.9729	1.8543
ENSG00000010803	3865	65.1794	6.3701
ENSG00000010932	16	0.3358	0.0328
ENSG00000011007	15084	209.8460	20.5087
ENSG00000011009	5612	191.6800	18.7333
ENSG00000011021	9313	101.4680	9.9166
ENSG00000014914	604	9.8604	0.9637
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	4674	71.2931	6.9676
ENSG00000020633	22513	366.6600	35.8344
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	257	14.8283	1.4492
ENSG00000023902	17648	212.1840	20.7372
ENSG00000023909	903	12.6033	1.2317
ENSG00000024526	315	4.0054	0.3915
ENSG00000025800	25905	252.7480	24.7016
ENSG00000026751	494	8.0524	0.7870
ENSG00000027644	274	4.0304	0.3939
ENSG00000027869	5111	152.5880	14.9127
ENSG00000028137	3088	61.5064	6.0111
ENSG00000031698	10059	196.6680	19.2207
ENSG00000033122	12	0.0749	0.0073
ENSG00000034971	102	3.6553	0.3572
ENSG00000035687	3165	64.7499	6.3281
ENSG00000036549	10258	85.4090	8.3472
ENSG00000037637	8602	71.8129	7.0184
ENSG00000040487	830	23.1768	2.2651
ENSG00000041988	1608	29.6201	2.8948
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	2801	68.4074	6.6856
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	48471	357.1030	34.9003
ENSG00000048707	11866	43.7394	4.2747
ENSG00000049089	7540	136.2270	13.3137
ENSG00000049239	23480	193.1530	18.8772
ENSG00000049245	23300	633.1500	61.8789
ENSG00000049246	1419	14.9800	1.4640
ENSG00000049247	49	2.0438	0.1998
ENSG00000049249	632	20.7605	2.0290
ENSG00000050628	4501	34.9686	3.4176
ENSG00000052723	9931	126.3700	12.3504
ENSG00000053371	5237	220.5330	21.5531
ENSG00000053372	2256	59.9660	5.8606
ENSG00000054116	3392	76.7803	7.5039
ENSG00000054118	11710	185.4400	18.1235
ENSG00000054267	32265	218.5390	21.3582
ENSG00000054277	3565	76.8374	7.5095
ENSG00000054282	2745	39.2354	3.8346
ENSG00000054392	1365	23.8329	2.3292
ENSG00000054523	3430	14.5387	1.4209
ENSG00000055070	22038	348.1850	34.0288
ENSG00000055732	2174	24.6242	2.4066
ENSG00000057252	3528	37.6241	3.6771
ENSG00000057468	69	1.5790	0.1543
ENSG00000057757	8617	295.6430	28.8937
ENSG00000058085	84	0.9592	0.0937
ENSG00000058453	3319	20.2969	1.9836
ENSG00000058668	34885	269.1460	26.3042
ENSG00000058673	60089	464.6050	45.4067
ENSG00000058799	2583	85.6754	8.3732
ENSG00000058804	4527	66.1161	6.4617
ENSG00000059588	21186	205.2120	20.0557
ENSG00000060642	1915	42.4613	4.1498
ENSG00000060656	977	10.9390	1.0691
ENSG00000060688	5549	103.7660	10.1412
ENSG00000060718	106	0.9616	0.0940
ENSG00000064703	9985	124.4240	12.1602
ENSG00000064886	251	5.7223	0.5593
ENSG00000065135	18503	432.8510	42.3033
ENSG00000065183	1975	35.6151	3.4807
ENSG00000065243	12078	129.1490	12.6220
ENSG00000065526	52174	294.3470	28.7671
ENSG00000065600	7017	180.6150	17.6518
ENSG00000065978	69939	2717.8300	265.6189
ENSG00000066027	15515	301.2260	29.4394
ENSG00000066056	83036	930.3440	90.9243
ENSG00000066135	3699	53.6367	5.2420
ENSG00000066136	6062	75.9352	7.4213
