gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	356	6.9436	1.0371
ENSG00000000460	340	4.0176	0.6001
ENSG00000000938	6967	148.2860	22.1490
ENSG00000000971	115	1.0565	0.1578
ENSG00000001460	129	1.1345	0.1695
ENSG00000001461	645	5.1453	0.7685
ENSG00000004455	4978	65.6995	9.8133
ENSG00000004487	9364	205.5970	30.7092
ENSG00000006555	39	0.4826	0.0721
ENSG00000007341	1389	12.8391	1.9177
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1178	17.1683	2.5644
ENSG00000007933	30	0.6497	0.0970
ENSG00000007968	4392	60.3650	9.0165
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	8463	134.5380	20.0954
ENSG00000008130	12418	162.2840	24.2398
ENSG00000009307	64027	834.4080	124.6325
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	31	0.5469	0.0817
ENSG00000009780	907	23.6464	3.5320
ENSG00000009790	2278	22.0410	3.2922
ENSG00000010072	2022	25.6805	3.8358
ENSG00000010165	309	6.0341	0.9013
ENSG00000010803	3814	64.3292	9.6086
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	3776	52.5352	7.8470
ENSG00000011009	1946	66.4759	9.9292
ENSG00000011021	3304	35.9991	5.3771
ENSG00000014914	99	1.6173	0.2416
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	675	10.2998	1.5384
ENSG00000020633	14048	228.7990	34.1749
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	433	24.9792	3.7311
ENSG00000023902	9777	117.5540	17.5587
ENSG00000023909	2063	28.7897	4.3002
ENSG00000024526	314	3.9881	0.5957
ENSG00000025800	14229	138.8290	20.7364
ENSG00000026751	500	8.1496	1.2173
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	377	11.2611	1.6820
ENSG00000028137	2449	48.7754	7.2854
ENSG00000031698	3257	63.6830	9.5121
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1833	37.5019	5.6015
ENSG00000036549	3211	26.7370	3.9936
ENSG00000037637	2973	24.8196	3.7072
ENSG00000040487	273	7.6255	1.1390
ENSG00000041988	578	10.6392	1.5891
ENSG00000042781	4	0.0154	0.0023
ENSG00000043514	654	15.9694	2.3853
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	14951	110.1520	16.4530
ENSG00000048707	5143	18.9579	2.8317
ENSG00000049089	1124	20.3166	3.0346
ENSG00000049239	3708	30.5066	4.5567
ENSG00000049245	8619	234.2100	34.9831
ENSG00000049246	271	2.8659	0.4281
ENSG00000049247	0	0.0000	0.0000
ENSG00000049249	183	6.0048	0.8969
ENSG00000050628	29	0.2253	0.0337
ENSG00000052723	6764	86.0679	12.8557
ENSG00000053371	1587	66.8478	9.9848
ENSG00000053372	769	20.4398	3.0530
ENSG00000054116	1495	33.8406	5.0546
ENSG00000054118	7151	113.2420	16.9145
ENSG00000054267	27643	187.2320	27.9661
ENSG00000054277	654	14.1017	2.1063
ENSG00000054282	1640	23.4374	3.5008
ENSG00000054392	310	5.4132	0.8086
ENSG00000054523	7691	32.6005	4.8694
ENSG00000055070	9490	149.9440	22.3966
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	4199	44.7751	6.6879
ENSG00000057468	13	0.2884	0.0431
ENSG00000057757	4675	160.4000	23.9583
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	772	4.7216	0.7052
ENSG00000058668	6960	53.6978	8.0206
ENSG00000058673	22254	172.0700	25.7015
ENSG00000058799	1043	34.5975	5.1677
ENSG00000058804	1591	23.2372	3.4708
ENSG00000059588	9571	92.7106	13.8478
ENSG00000060642	420	9.3247	1.3928
ENSG00000060656	87	0.9742	0.1455
ENSG00000060688	2794	52.2403	7.8029
ENSG00000060718	4	0.0363	0.0054
ENSG00000064703	4896	61.0075	9.1125
ENSG00000064886	110	2.5038	0.3740
ENSG00000065135	10119	236.7160	35.3574
ENSG00000065183	471	8.4934	1.2686
ENSG00000065243	10565	112.9700	16.8739
ENSG00000065526	45704	257.8430	38.5131
ENSG00000065600	1014	26.1043	3.8991
ENSG00000065978	46178	1794.4800	268.0355
ENSG00000066027	13967	271.1640	40.5028
ENSG00000066056	1301	14.5759	2.1772
ENSG00000066135	2038	29.5570	4.4148
ENSG00000066136	2100	26.3048	3.9291
ENSG00000066185	34	1.1617	0.1735
ENSG00000066279	2032	13.9958	2.0905
ENSG00000066294	4239	34.3519	5.1310
ENSG00000066322	2267	69.1476	10.3283
ENSG00000066557	4128	107.3530	16.0350
ENSG00000067208	644	5.8431	0.8728
ENSG00000067334	10920	136.3820	20.3709
ENSG00000067533	2127	20.2370	3.0227
ENSG00000067606	859	8.4340	1.2598
ENSG00000067704	1895	34.1571	5.1019
ENSG00000069248	3858	57.2173	8.5463
