gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	263	5.1303	0.9297
ENSG00000000460	249	2.9411	0.5330
ENSG00000000938	16368	348.3590	63.1256
ENSG00000000971	69	0.6354	0.1151
ENSG00000001460	162	1.4271	0.2586
ENSG00000001461	937	7.4704	1.3537
ENSG00000004455	5467	72.1496	13.0741
ENSG00000004487	2950	64.7591	11.7349
ENSG00000006555	40	0.4945	0.0896
ENSG00000007341	370	3.4258	0.6208
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	764	11.1286	2.0166
ENSG00000007933	30	0.6497	0.1177
ENSG00000007968	15244	209.5170	37.9663
ENSG00000008118	6	0.1682	0.0305
ENSG00000008128	3145	50.0000	9.0604
ENSG00000008130	6208	81.1284	14.7012
ENSG00000009307	25192	328.3040	59.4914
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	8	0.1411	0.0256
ENSG00000009780	290	7.5689	1.3715
ENSG00000009790	1996	19.3097	3.4991
ENSG00000010072	789	10.0183	1.8154
ENSG00000010165	453	8.8394	1.6018
ENSG00000010803	2306	38.8849	7.0463
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	2665	37.0723	6.7178
ENSG00000011009	3333	113.8480	20.6303
ENSG00000011021	7750	84.4345	15.3002
ENSG00000014914	731	11.9466	2.1648
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	624	9.5164	1.7244
ENSG00000020633	10046	163.6090	29.6473
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	208	12.0054	2.1754
ENSG00000023902	9928	119.3630	21.6295
ENSG00000023909	1362	19.0052	3.4439
ENSG00000024526	185	2.3518	0.4262
ENSG00000025800	10449	101.9530	18.4747
ENSG00000026751	246	4.0000	0.7248
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	267	7.9614	1.4427
ENSG00000028137	62444	1243.5700	225.3445
ENSG00000031698	7717	150.8870	27.3421
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	790	16.1574	2.9278
