gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1708	33.3166	3.0928
ENSG00000000460	1300	15.3434	1.4243
ENSG00000000938	71701	1525.9800	141.6577
ENSG00000000971	1719	15.8313	1.4696
ENSG00000001460	899	7.9195	0.7352
ENSG00000001461	3458	27.5813	2.5604
ENSG00000004455	34148	450.6540	41.8344
ENSG00000004487	10029	220.2020	20.4415
ENSG00000006555	6	0.0743	0.0069
ENSG00000007341	1502	13.8857	1.2890
ENSG00000007908	379	6.7345	0.6252
ENSG00000007923	4407	64.2159	5.9612
ENSG00000007933	119	2.5770	0.2392
ENSG00000007968	3355	46.1083	4.2803
ENSG00000008118	6	0.1682	0.0156
ENSG00000008128	3610	57.3828	5.3269
ENSG00000008130	16585	216.7380	20.1199
ENSG00000009307	64645	842.4580	78.2059
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	86	1.5248	0.1416
ENSG00000009780	1099	28.6624	2.6608
ENSG00000009790	6426	62.1654	5.7708
ENSG00000010072	1309	16.6268	1.5435
ENSG00000010165	4838	94.4270	8.7657
ENSG00000010803	4653	78.4794	7.2853
ENSG00000010932	14	0.2871	0.0266
ENSG00000011007	5269	73.2985	6.8043
ENSG00000011009	6798	232.1660	21.5521
ENSG00000011021	5819	63.3977	5.8853
ENSG00000014914	1028	16.7905	1.5587
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	7	0.0811	0.0075
ENSG00000020129	2940	44.8460	4.1631
ENSG00000020633	3923	63.8925	5.9312
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	517	29.8329	2.7694
ENSG00000023902	23722	285.2130	26.4765
ENSG00000023909	897	12.5167	1.1619
ENSG00000024526	217	2.7514	0.2554
ENSG00000025800	13954	136.1430	12.6383
ENSG00000026751	94	1.5232	0.1414
ENSG00000027644	9	0.1286	0.0119
ENSG00000027869	916	27.3567	2.5395
ENSG00000028137	44670	889.5960	82.5817
ENSG00000031698	19899	389.0660	36.1172
ENSG00000033122	45	0.2795	0.0259
ENSG00000034971	0	0.0014	0.0001
ENSG00000035687	1921	39.3017	3.6484
ENSG00000036549	1998	16.6348	1.5442
ENSG00000037637	7149	59.6790	5.5400
ENSG00000040487	7857	219.3890	20.3660
ENSG00000041988	3329	61.3131	5.6917
ENSG00000042781	4	0.0146	0.0014
ENSG00000043514	1436	35.0821	3.2567
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	3042	22.4112	2.0804
ENSG00000048707	6230	22.9662	2.1320
ENSG00000049089	18548	335.1260	31.1099
ENSG00000049239	9534	78.4294	7.2806
ENSG00000049245	9799	266.2660	24.7176
ENSG00000049246	1297	13.6943	1.2712
ENSG00000049247	187	7.8604	0.7297
ENSG00000049249	176	5.7798	0.5365
ENSG00000050628	27	0.2114	0.0196
ENSG00000052723	2740	34.8636	3.2364
ENSG00000053371	8295	349.2930	32.4250
ENSG00000053372	6582	174.9340	16.2392
ENSG00000054116	6483	146.7600	13.6238
ENSG00000054118	15598	247.0120	22.9302
ENSG00000054267	7339	49.7086	4.6145
ENSG00000054277	2051	44.2092	4.1040
ENSG00000054282	3142	44.9089	4.1689
ENSG00000054392	586	10.2221	0.9489
ENSG00000054523	4072	17.2594	1.6022
ENSG00000055070	23871	377.1500	35.0111
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	4823	51.4377	4.7750
ENSG00000057468	7	0.1696	0.0158
ENSG00000057757	6362	218.2850	20.2636
ENSG00000058085	4	0.0459	0.0043
ENSG00000058453	2392	14.6258	1.3577
ENSG00000058668	12458	96.1186	8.9227
ENSG00000058673	10708	82.7964	7.6860
ENSG00000058799	3622	120.1550	11.1541
ENSG00000058804	2522	36.8352	3.4194
ENSG00000059588	4917	47.6226	4.4208
ENSG00000060642	1390	30.8235	2.8614
ENSG00000060656	227	2.5425	0.2360
ENSG00000060688	5120	95.7312	8.8868
ENSG00000060718	10	0.0906	0.0084
ENSG00000064703	1592	19.8330	1.8411
ENSG00000064886	294	6.6856	0.6206
ENSG00000065135	6672	156.0890	14.4898
ENSG00000065183	1300	23.4516	2.1770
ENSG00000065243	2446	26.1513	2.4276
ENSG00000065526	22555	127.2440	11.8122
ENSG00000065600	4987	128.3480	11.9146
ENSG00000065978	89304	3470.3500	322.1544
ENSG00000066027	5129	99.5889	9.2449
ENSG00000066056	2239	25.0905	2.3292
ENSG00000066135	7580	109.9140	10.2034
ENSG00000066136	5866	73.4780	6.8210
ENSG00000066185	188	6.4269	0.5966
ENSG00000066279	537	3.6993	0.3434
ENSG00000066294	5320	43.1140	4.0023
ENSG00000066322	7318	223.1860	20.7185
ENSG00000066557	557	14.4934	1.3454
ENSG00000067208	1661	15.0623	1.3982
ENSG00000067334	1333	16.6495	1.5456
ENSG00000067533	798	7.5909	0.7047
ENSG00000067606	703	6.9074	0.6412
ENSG00000067704	7835	141.1930	13.1070
ENSG00000069248	3470	51.4592	4.7770
ENSG00000069275	18346	210.1980	19.5128
ENSG00000069424	48769	450.1230	41.7852
ENSG00000069702	406	3.5155	0.3263
ENSG00000069712	127	2.0591	0.1911
ENSG00000069812	142	1.9726	0.1831
ENSG00000070759	1524	33.0280	3.0660
ENSG00000070785	2628	64.7818	6.0137
ENSG00000070831	31568	682.2960	63.3379
ENSG00000070886	4	0.0560	0.0052
ENSG00000072694	868	9.3067	0.8639
ENSG00000073754	124	3.7777	0.3507
ENSG00000073756	2492	35.4728	3.2930
ENSG00000074800	392319	7181.8200	666.6921
ENSG00000074964	4452	42.5537	3.9503
ENSG00000075151	9616	85.5606	7.9426
ENSG00000075391	487	3.0931	0.2871
ENSG00000075945	924	13.8205	1.2830
ENSG00000076258	202	6.0242	0.5592
ENSG00000076321	1460	25.7327	2.3888
ENSG00000076356	372	2.0250	0.1880
ENSG00000076864	2748	32.4946	3.0165
ENSG00000077152	2145	151.0340	14.0206
ENSG00000077157	4228	22.0191	2.0440
ENSG00000077254	2571	27.8741	2.5876
ENSG00000077522	11	0.1522	0.0141
ENSG00000077549	53576	1154.6600	107.1875
ENSG00000077585	1038	34.1628	3.1713
ENSG00000078369	75106	918.0220	85.2206
ENSG00000078618	17885	202.6510	18.8123
ENSG00000078808	26391	421.3960	39.1184
ENSG00000078900	593	7.9996	0.7426
ENSG00000079277	5803	53.9990	5.0128
ENSG00000079335	2721	35.6179	3.3064
ENSG00000079739	9942	179.0720	16.6233
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	267	2.9432	0.2732
ENSG00000081019	2265	24.9154	2.3129
ENSG00000081026	80	0.7356	0.0683
ENSG00000081237	33009	291.0150	27.0151
ENSG00000081248	4	0.0487	0.0045
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	2207	38.3539	3.5604
ENSG00000081721	3471	147.7520	13.7159
ENSG00000081870	1204	32.7347	3.0388
ENSG00000081985	46	0.8127	0.0754
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	8	0.1097	0.0102
ENSG00000082512	586	4.8731	0.4524
ENSG00000083444	20627	290.4100	26.9590
ENSG00000084070	76107	1730.2200	160.6172
ENSG00000084072	7217	67.0608	6.2253
ENSG00000084073	980	20.5689	1.9094
ENSG00000084623	49265	2141.9400	198.8377
ENSG00000084628	17	0.4366	0.0405
ENSG00000084636	116	0.9097	0.0844
ENSG00000084652	5029	73.9153	6.8616
ENSG00000085433	1107	18.3029	1.6991
ENSG00000085465	156	3.9250	0.3644
ENSG00000085491	3000	34.3587	3.1895
ENSG00000085552	307	3.4790	0.3230
ENSG00000085831	201	1.6138	0.1498
ENSG00000085832	7010	69.6252	6.4634
ENSG00000085840	6475	153.8260	14.2797
ENSG00000085998	3896	45.9003	4.2609
ENSG00000085999	2130	49.7298	4.6164
ENSG00000086015	5068	42.8192	3.9749
ENSG00000086619	767	10.1183	0.9393
ENSG00000088035	355	5.3789	0.4993
ENSG00000088280	48	0.7375	0.0685
ENSG00000090020	4515	56.6793	5.2616
ENSG00000090104	3291	59.9473	5.5649
ENSG00000090273	19345	507.8210	47.1413
ENSG00000090432	3864	118.9720	11.0443
ENSG00000090621	30904	341.7560	31.7254
ENSG00000090686	10420	82.2906	7.6391
ENSG00000091483	8952	313.4370	29.0966
ENSG00000092607	41	0.8079	0.0750
ENSG00000092621	4490	59.8945	5.5600
ENSG00000092847	9990	58.1459	5.3977
ENSG00000092850	167	6.3488	0.5894
ENSG00000092853	1309	18.1375	1.6837
ENSG00000092969	4	0.0600	0.0056
ENSG00000092978	1212	10.2877	0.9550
ENSG00000094963	97	1.1627	0.1079
ENSG00000094975	1476	17.1129	1.5886
ENSG00000097021	5600	85.9184	7.9759
ENSG00000097033	13254	148.8770	13.8204
ENSG00000097046	653	13.6043	1.2629
ENSG00000097096	8	0.0930	0.0086
ENSG00000099260	84	1.0625	0.0986
ENSG00000107404	4382	94.2869	8.7527
ENSG00000116128	1700	19.8640	1.8440
ENSG00000116132	50	0.4544	0.0422
ENSG00000116133	5260	88.8282	8.2460
ENSG00000116138	3581	31.3638	2.9115
ENSG00000116141	6	0.0628	0.0058
ENSG00000116147	0	0.0000	0.0000
ENSG00000116151	518	7.4195	0.6888
ENSG00000116157	3118	138.2840	12.8370
ENSG00000116161	6546	108.8600	10.1055
ENSG00000116171	10021	90.4922	8.4004
ENSG00000116183	4	0.0275	0.0025
ENSG00000116191	1471	14.8627	1.3797
ENSG00000116194	17	0.3712	0.0345
ENSG00000116198	2661	25.3367	2.3520
ENSG00000116199	5426	67.3843	6.2553
ENSG00000116205	1415	18.2206	1.6914
ENSG00000116209	27760	500.9670	46.5051
ENSG00000116212	2864	89.1012	8.2713
ENSG00000116213	2697	26.5985	2.4692
ENSG00000116218	0	0.0000	0.0000
ENSG00000116219	2	0.0744	0.0069
ENSG00000116221	18847	641.3400	59.5360
ENSG00000116237	3192	48.7506	4.5255
ENSG00000116251	32601	498.9890	46.3215
ENSG00000116254	81	0.6108	0.0567
ENSG00000116260	69089	556.5080	51.6609
ENSG00000116266	2626	33.4080	3.1013
ENSG00000116273	3013	61.3985	5.6997
ENSG00000116285	1178	21.1018	1.9589
ENSG00000116288	27400	857.3290	79.5863
ENSG00000116299	54	0.4357	0.0404
ENSG00000116329	0	0.0000	0.0000
ENSG00000116337	18733	205.7690	19.1017
ENSG00000116350	15331	361.8180	33.5878
ENSG00000116353	979	18.5276	1.7199
ENSG00000116396	832	6.6826	0.6204
ENSG00000116406	1886	18.7827	1.7436
ENSG00000116455	4140	110.7060	10.2769
ENSG00000116459	23852	528.7890	49.0878
ENSG00000116473	7343	96.0628	8.9176
ENSG00000116478	17365	324.8650	30.1574
ENSG00000116489	9184	166.7780	15.4821
ENSG00000116497	2322	18.9499	1.7591
ENSG00000116514	4960	142.5250	13.2306
ENSG00000116521	7975	244.9400	22.7379
ENSG00000116525	1873	35.3486	3.2814
ENSG00000116539	6388	36.0329	3.3450
ENSG00000116544	183	3.4476	0.3200
ENSG00000116560	32733	330.5870	30.6886
ENSG00000116574	2149	36.8685	3.4225
ENSG00000116580	8022	49.4872	4.5939
ENSG00000116584	42672	431.6740	40.0726
ENSG00000116586	12862	670.8340	62.2739
ENSG00000116604	30325	355.3740	32.9896
ENSG00000116641	1167	8.0477	0.7471
ENSG00000116649	21602	853.6040	79.2406
ENSG00000116652	15	0.9544	0.0886
ENSG00000116661	36	1.1440	0.1062
ENSG00000116663	3343	138.4320	12.8508
ENSG00000116667	161	1.1012	0.1022
ENSG00000116668	207	3.8365	0.3561
ENSG00000116670	6290	138.6330	12.8694
ENSG00000116675	2272	24.6677	2.2899
ENSG00000116678	2791	18.2684	1.6959
ENSG00000116679	9338	88.3250	8.1993
ENSG00000116685	4921	112.5000	10.4434
ENSG00000116688	16395	247.0140	22.9304
ENSG00000116690	657	9.7521	0.9053
ENSG00000116691	6510	173.0810	16.0672
ENSG00000116698	16695	150.5520	13.9758
ENSG00000116701	37370	957.2200	88.8593
ENSG00000116703	4	0.2240	0.0208
ENSG00000116704	1199	12.5706	1.1669
ENSG00000116711	734	19.1367	1.7765
ENSG00000116717	4012	145.4490	13.5021
ENSG00000116721	0	0.0000	0.0000
ENSG00000116726	0	0.0000	0.0000
ENSG00000116729	177	2.9393	0.2729
ENSG00000116731	12818	88.1278	8.1810
ENSG00000116741	6771	243.4510	22.5997
ENSG00000116745	0	0.0000	0.0000
ENSG00000116747	3051	25.1410	2.3339
ENSG00000116748	12	0.3606	0.0335
ENSG00000116750	2320	48.3487	4.4882
ENSG00000116752	1474	85.0862	7.8986
ENSG00000116754	14229	125.8940	11.6868
ENSG00000116761	412	12.8074	1.1889
ENSG00000116771	890	26.6892	2.4776
ENSG00000116774	112	3.7055	0.3440
ENSG00000116783	163	2.0875	0.1938
ENSG00000116785	2	0.0506	0.0047
ENSG00000116786	27911	507.8430	47.1433
ENSG00000116791	852	15.6545	1.4532
ENSG00000116793	2232	23.3444	2.1671
ENSG00000116809	7271	128.6190	11.9398
ENSG00000116815	1949	81.9635	7.6087
ENSG00000116819	529	18.1151	1.6816
ENSG00000116824	170	7.5831	0.7039
ENSG00000116830	4453	53.4255	4.9595
ENSG00000116833	33	0.3174	0.0295
ENSG00000116852	8762	54.0933	5.0215
ENSG00000116857	8976	171.9520	15.9624
ENSG00000116863	2883	129.4050	12.0127
ENSG00000116871	26830	381.7570	35.4387
ENSG00000116874	2077	40.4908	3.7588
ENSG00000116882	0	0.0000	0.0000
ENSG00000116883	426	17.4368	1.6187
ENSG00000116885	98	2.6063	0.2420
ENSG00000116898	11269	289.8350	26.9056
ENSG00000116903	1746	25.5843	2.3750
ENSG00000116906	3350	79.1762	7.3500
ENSG00000116918	5226	62.4224	5.7947
ENSG00000116922	2106	44.5063	4.1315
ENSG00000116954	2742	39.8020	3.6948
ENSG00000116957	2019	58.9622	5.4735
ENSG00000116962	2721	34.7957	3.2301
ENSG00000116977	9573	73.9439	6.8643
ENSG00000116981	0	0.0000	0.0000
ENSG00000116983	57	0.8804	0.0817
ENSG00000116984	2331	15.3346	1.4235
ENSG00000116985	360	5.2458	0.4870
ENSG00000116990	68	1.0069	0.0935
ENSG00000116991	228	2.2370	0.2077
ENSG00000116996	0	0.0000	0.0000
ENSG00000117000	2191	25.9424	2.4083
ENSG00000117009	1256	15.8431	1.4707
ENSG00000117010	504	12.4360	1.1544
ENSG00000117013	306	5.4788	0.5086
ENSG00000117016	494	5.1165	0.4750
ENSG00000117020	458	4.5777	0.4250
ENSG00000117036	1381	15.4445	1.4337
ENSG00000117054	2202	34.5568	3.2079
ENSG00000117069	0	0.0000	0.0000
ENSG00000117090	581	10.3290	0.9588
ENSG00000117091	3444	103.5800	9.6154
ENSG00000117114	82	0.7908	0.0734
ENSG00000117115	833	10.4127	0.9666
ENSG00000117118	18096	551.2580	51.1736
ENSG00000117122	13	0.3345	0.0310
ENSG00000117133	3659	158.8170	14.7431
ENSG00000117139	8478	69.2227	6.4260
ENSG00000117143	2003	44.0904	4.0929
ENSG00000117148	6	0.2418	0.0224
ENSG00000117151	5605	122.7640	11.3963
ENSG00000117152	0	0.0000	0.0000
ENSG00000117153	2334	49.2911	4.5757
ENSG00000117154	16	0.3890	0.0361
ENSG00000117155	2489	22.6331	2.1010
ENSG00000117174	1281	15.5077	1.4396
ENSG00000117215	17	0.4772	0.0443
ENSG00000117222	1679	28.5958	2.6546
ENSG00000117226	744	12.9846	1.2054
ENSG00000117228	47	0.7043	0.0654
ENSG00000117242	8453	142.6860	13.2456
ENSG00000117245	186	3.1157	0.2892
ENSG00000117262	279	3.7458	0.3477
ENSG00000117266	2445	24.1921	2.2458
ENSG00000117280	2240	43.2828	4.0180
ENSG00000117281	95	1.7908	0.1662
ENSG00000117289	67746	1401.2500	130.0791
ENSG00000117298	2131	22.0030	2.0426
ENSG00000117305	3716	48.0629	4.4617
ENSG00000117308	2220	42.1052	3.9087
ENSG00000117318	580	24.1920	2.2458
ENSG00000117322	4	0.0614	0.0057
ENSG00000117335	7302	62.8911	5.8382
ENSG00000117360	9050	126.3260	11.7269
ENSG00000117362	32094	694.0670	64.4307
ENSG00000117385	11353	125.8450	11.6823
ENSG00000117394	16263	326.0440	30.2669
ENSG00000117395	4936	104.8650	9.7347
ENSG00000117399	6997	257.4880	23.9027
ENSG00000117400	251	8.8623	0.8227
ENSG00000117407	3063	86.4157	8.0220
ENSG00000117408	4441	65.5284	6.0830
ENSG00000117410	34588	733.8290	68.1218
ENSG00000117411	2831	56.2102	5.2180
ENSG00000117419	6661	188.9550	17.5408
ENSG00000117425	478	6.9571	0.6458
ENSG00000117448	18821	452.2780	41.9852
ENSG00000117450	27473	1353.8000	125.6739
ENSG00000117461	314	3.0705	0.2850
ENSG00000117472	2	0.0634	0.0059
ENSG00000117475	534	10.4770	0.9726
ENSG00000117477	2	0.0555	0.0052
ENSG00000117479	385	7.8725	0.7308
ENSG00000117480	647	17.4906	1.6237
ENSG00000117481	5555	49.1987	4.5672
ENSG00000117500	7378	58.7198	5.4510
ENSG00000117501	2	0.0305	0.0028
ENSG00000117505	8236	152.7840	14.1830
ENSG00000117507	0	0.0000	0.0000
ENSG00000117519	415	10.9972	1.0209
ENSG00000117523	21611	114.2090	10.6021
ENSG00000117525	316	8.2546	0.7663
ENSG00000117528	1110	10.8567	1.0078
ENSG00000117533	1178	17.1206	1.5893
ENSG00000117543	3661	92.4401	8.5813
ENSG00000117560	10	0.3964	0.0368
ENSG00000117569	1808	32.0700	2.9771
ENSG00000117586	704	13.4023	1.2442
ENSG00000117592	35074	1111.3300	103.1656
ENSG00000117593	2690	54.6978	5.0776
ENSG00000117594	4	0.2077	0.0193
ENSG00000117595	340	5.3182	0.4937
ENSG00000117597	710	10.5969	0.9837
ENSG00000117598	0	0.0000	0.0000
ENSG00000117600	10	0.1354	0.0126
ENSG00000117601	21	0.8917	0.0828
ENSG00000117602	2428	61.9415	5.7501
ENSG00000117614	8159	181.5840	16.8566
ENSG00000117616	7049	77.6956	7.2125
ENSG00000117620	888	10.6662	0.9901
ENSG00000117625	4215	34.7720	3.2279
ENSG00000117632	18292	219.1140	20.3405
ENSG00000117640	7108	91.6661	8.5094
ENSG00000117643	528	4.3914	0.4077
ENSG00000117650	922	22.8461	2.1208
ENSG00000117676	24800	316.1140	29.3450
ENSG00000117682	3232	43.3197	4.0214
ENSG00000117691	9245	537.5010	49.8965
ENSG00000117697	1297	23.7736	2.2069
ENSG00000117707	2	0.0169	0.0016
ENSG00000117713	23550	191.0270	17.7331
ENSG00000117724	1191	7.6558	0.7107
ENSG00000117748	8908	330.8950	30.7172
ENSG00000117751	4152	110.4730	10.2553
ENSG00000117758	3024	58.9639	5.4737
ENSG00000117791	833	24.1309	2.2401
ENSG00000117834	14	0.2249	0.0209
ENSG00000117859	4003	30.6439	2.8447
ENSG00000117862	9820	239.3600	22.2199
ENSG00000118193	454	4.6775	0.4342
ENSG00000118194	0	0.0000	0.0000
ENSG00000118197	1205	20.2213	1.8772
ENSG00000118200	125	1.2051	0.1119
ENSG00000118217	9595	91.2028	8.4664
ENSG00000118292	4375	242.8710	22.5459
ENSG00000118298	53	2.1096	0.1958
ENSG00000118454	1600	26.1221	2.4249
ENSG00000118473	0	0.0000	0.0000
ENSG00000118655	2648	50.3967	4.6784
ENSG00000118729	17	0.4440	0.0412
ENSG00000118733	1	0.0165	0.0015
ENSG00000118873	3236	21.4314	1.9895
ENSG00000119280	1701	24.7206	2.2948
ENSG00000119283	4	0.0322	0.0030
ENSG00000119285	5857	48.5454	4.5065
ENSG00000119535	29281	260.6350	24.1949
ENSG00000120332	37	0.5539	0.0514
ENSG00000120333	2997	86.6407	8.0429
ENSG00000120334	1034	15.7749	1.4644
ENSG00000120337	0	0.0000	0.0000
ENSG00000120341	649	7.0111	0.6508
ENSG00000120370	678	12.2190	1.1343
ENSG00000120656	3254	104.4200	9.6933
ENSG00000120937	2	0.2622	0.0244
ENSG00000120942	2164	32.5287	3.0197
ENSG00000120948	8387	136.1010	12.6343
ENSG00000120949	93	1.8721	0.1738
ENSG00000120952	0	0.0000	0.0000
ENSG00000121310	3180	20.7435	1.9256
ENSG00000121446	0	0.0000	0.0000
ENSG00000121454	288	2.9461	0.2735
ENSG00000121481	1806	33.2610	3.0876
ENSG00000121486	627	9.3602	0.8689
ENSG00000121634	0	0.0000	0.0000
ENSG00000121644	1920	28.2091	2.6187
ENSG00000121753	18	0.1770	0.0164
ENSG00000121764	85	2.5495	0.2367
ENSG00000121766	3633	144.0870	13.3757
ENSG00000121769	35	2.5439	0.2361
ENSG00000121774	26042	544.3590	50.5331
ENSG00000121775	2979	64.4968	5.9873
ENSG00000121848	6110	120.5040	11.1865
ENSG00000121851	2881	119.9130	11.1316
ENSG00000121900	77	4.0755	0.3783
ENSG00000121903	132	1.9181	0.1781
ENSG00000121904	6	0.0234	0.0022
ENSG00000121905	16	0.6148	0.0571
ENSG00000121931	661	13.6990	1.2717
ENSG00000121933	156	2.6139	0.2427
ENSG00000121940	2219	33.3094	3.0921
ENSG00000121957	584	11.0199	1.0230
