gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1176	22.9482	1.7922
ENSG00000000460	647	7.6369	0.5964
ENSG00000000938	35095	746.9130	58.3331
ENSG00000000971	0	0.0000	0.0000
ENSG00000001460	376	3.3090	0.2584
ENSG00000001461	1445	11.5263	0.9002
ENSG00000004455	5780	76.2865	5.9579
ENSG00000004487	12691	278.6320	21.7609
ENSG00000006555	19	0.2353	0.0184
ENSG00000007341	2694	24.9078	1.9453
ENSG00000007908	1	0.0178	0.0014
ENSG00000007923	620	9.0307	0.7053
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	5255	72.2223	5.6405
ENSG00000008118	44	1.2272	0.0959
ENSG00000008128	7017	111.5420	8.7113
ENSG00000008130	10885	142.2520	11.1097
ENSG00000009307	129119	1682.7000	131.4171
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	1751	30.9012	2.4134
ENSG00000009780	2169	56.5723	4.4182
ENSG00000009790	5910	57.1679	4.4648
ENSG00000010072	3885	49.3371	3.8532
ENSG00000010165	1272	24.8272	1.9390
ENSG00000010803	7397	124.7570	9.7434
ENSG00000010932	6	0.1335	0.0104
ENSG00000011007	11792	164.0510	12.8122
ENSG00000011009	3380	115.4270	9.0147
ENSG00000011021	14272	155.4880	12.1434
ENSG00000014914	8177	133.5800	10.4324
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	7	0.0794	0.0062
ENSG00000020129	472	7.1952	0.5619
ENSG00000020633	2601	42.3544	3.3078
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	473	27.3095	2.1328
ENSG00000023902	56285	676.7180	52.8509
ENSG00000023909	183	2.5554	0.1996
ENSG00000024526	165	2.0908	0.1633
ENSG00000025800	44251	431.7450	33.7188
ENSG00000026751	792	12.9062	1.0080
ENSG00000027644	75	1.0978	0.0857
ENSG00000027869	526	15.7114	1.2270
ENSG00000028137	128971	2568.4600	200.5941
ENSG00000031698	9320	182.2300	14.2320
ENSG00000033122	162	1.0142	0.0792
ENSG00000034971	2	0.0720	0.0056
ENSG00000035687	3117	63.7769	4.9809
ENSG00000036549	4370	36.3878	2.8418
ENSG00000037637	21148	176.5510	13.7885
ENSG00000040487	2375	66.3254	5.1799
ENSG00000041988	1623	29.8907	2.3344
ENSG00000042781	10	0.0364	0.0028
ENSG00000043514	1200	29.3009	2.2884
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	14302	105.3720	8.2294
ENSG00000048707	8705	32.0882	2.5061
ENSG00000049089	3341	60.3630	4.7143
ENSG00000049239	5108	42.0212	3.2818
ENSG00000049245	19919	541.2760	42.2731
ENSG00000049246	72	0.7572	0.0591
ENSG00000049247	4	0.1733	0.0135
ENSG00000049249	216	7.0919	0.5539
ENSG00000050628	6	0.0466	0.0036
ENSG00000052723	4058	51.6422	4.0332
ENSG00000053371	4615	194.3360	15.1775
ENSG00000053372	1567	41.6407	3.2521
ENSG00000054116	2642	59.8147	4.6715
ENSG00000054118	35321	559.3410	43.6840
ENSG00000054267	22135	149.9260	11.7091
ENSG00000054277	1265	27.2733	2.1300
ENSG00000054282	2203	31.4917	2.4595
ENSG00000054392	263	4.5924	0.3587
ENSG00000054523	8644	36.6404	2.8616
ENSG00000055070	41972	663.1320	51.7899
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	11350	121.0320	9.4525
ENSG00000057468	39	0.9023	0.0705
ENSG00000057757	10896	373.8490	29.1972
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	448	2.7422	0.2142
ENSG00000058668	4239	32.7026	2.5540
ENSG00000058673	37257	288.0680	22.4978
ENSG00000058799	1245	41.2972	3.2253
ENSG00000058804	1223	17.8629	1.3951
ENSG00000059588	7534	72.9744	5.6992
ENSG00000060642	799	17.7088	1.3830
ENSG00000060656	91	1.0176	0.0795
ENSG00000060688	4526	84.6370	6.6101
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	7161	89.2255	6.9684
ENSG00000064886	76	1.7296	0.1351
ENSG00000065135	7277	170.2390	13.2954
ENSG00000065183	441	7.9579	0.6215
ENSG00000065243	5785	61.8626	4.8314
ENSG00000065526	161208	909.4780	71.0292
ENSG00000065600	3597	92.5872	7.2310
ENSG00000065978	135101	5250.0500	410.0236
ENSG00000066027	17484	339.4470	26.5105
ENSG00000066056	3487	39.0659	3.0510
ENSG00000066135	6560	95.1205	7.4288
ENSG00000066136	3700	46.3524	3.6201
ENSG00000066185	54	1.8419	0.1439
ENSG00000066279	917	6.3206	0.4936
ENSG00000066294	11308	91.6385	7.1569
ENSG00000066322	10997	335.4200	26.1960
ENSG00000066557	2380	61.9043	4.8347
ENSG00000067208	619	5.6148	0.4385
ENSG00000067334	5233	65.3535	5.1040
ENSG00000067533	518	4.9284	0.3849
ENSG00000067606	120	1.1823	0.0923
ENSG00000067704	6037	108.7950	8.4968
ENSG00000069248	4095	60.7279	4.7428
ENSG00000069275	25209	288.8320	22.5575
ENSG00000069424	43912	405.2960	31.6532
ENSG00000069702	171	1.4851	0.1160
ENSG00000069712	56	0.9146	0.0714
