gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	763	14.8894	2.0319
ENSG00000000460	853	10.0729	1.3746
ENSG00000000938	10695	227.6250	31.0630
ENSG00000000971	23	0.2118	0.0289
ENSG00000001460	88	0.7751	0.1058
ENSG00000001461	683	5.4474	0.7434
ENSG00000004455	4856	64.0841	8.7453
ENSG00000004487	7565	166.0890	22.6654
ENSG00000006555	7	0.0864	0.0118
ENSG00000007341	829	7.6697	1.0466
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1093	15.9196	2.1725
ENSG00000007933	8	0.1733	0.0236
ENSG00000007968	1203	16.5388	2.2570
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	3979	63.2588	8.6327
ENSG00000008130	8822	115.2940	15.7337
ENSG00000009307	70859	923.4500	126.0193
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	2	0.0353	0.0048
ENSG00000009780	399	10.4065	1.4201
ENSG00000009790	4446	43.0119	5.8697
ENSG00000010072	1141	14.4914	1.9776
ENSG00000010165	464	9.0546	1.2356
ENSG00000010803	4880	82.2955	11.2305
ENSG00000010932	4	0.0839	0.0115
ENSG00000011007	2947	40.9976	5.5948
ENSG00000011009	1862	63.5797	8.6764
ENSG00000011021	7003	76.2931	10.4114
ENSG00000014914	5483	89.5700	12.2233
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	3	0.0406	0.0055
ENSG00000020129	536	8.1712	1.1151
ENSG00000020633	3472	56.5453	7.7165
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	779	44.9861	6.1391
ENSG00000023902	15116	181.7460	24.8022
ENSG00000023909	412	5.7482	0.7844
ENSG00000024526	495	6.2942	0.8589
ENSG00000025800	12612	123.0470	16.7917
ENSG00000026751	256	4.1670	0.5687
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	136	4.0657	0.5548
ENSG00000028137	13623	271.3000	37.0232
ENSG00000031698	4560	89.1468	12.1655
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	2313	47.3151	6.4569
ENSG00000036549	3239	26.9700	3.6805
ENSG00000037637	6050	50.5105	6.8930
ENSG00000040487	747	20.8686	2.8478
ENSG00000041988	1128	20.7812	2.8359
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	924	22.5708	3.0801
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	5717	42.1161	5.7474
ENSG00000048707	3840	14.1546	1.9316
ENSG00000049089	975	17.6131	2.4036
ENSG00000049239	1152	9.4735	1.2928
ENSG00000049245	8221	223.4040	30.4870
ENSG00000049246	40	0.4264	0.0582
ENSG00000049247	12	0.5048	0.0689
ENSG00000049249	38	1.2478	0.1703
ENSG00000050628	8	0.0622	0.0085
ENSG00000052723	3096	39.3933	5.3758
ENSG00000053371	2440	102.7700	14.0246
ENSG00000053372	1223	32.4950	4.4345
ENSG00000054116	1701	38.4989	5.2538
ENSG00000054118	9702	153.6420	20.9668
ENSG00000054267	14504	98.2357	13.4058
ENSG00000054277	627	13.5115	1.8438
ENSG00000054282	2090	29.8801	4.0776
ENSG00000054392	182	3.1825	0.4343
ENSG00000054523	2435	10.3206	1.4084
ENSG00000055070	14501	229.1120	31.2659
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	11329	120.8150	16.4871
ENSG00000057468	0	0.0000	0.0000
ENSG00000057757	4194	143.9080	19.6385
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	838	5.1273	0.6997
ENSG00000058668	2485	19.1709	2.6162
ENSG00000058673	15945	123.2900	16.8248
ENSG00000058799	1401	46.4715	6.3418
ENSG00000058804	1920	28.0421	3.8268
ENSG00000059588	5455	52.8410	7.2110
ENSG00000060642	625	13.8625	1.8918
ENSG00000060656	16	0.1791	0.0244
ENSG00000060688	2316	43.3017	5.9092
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	3900	48.5946	6.6315
ENSG00000064886	10	0.2276	0.0311
ENSG00000065135	7337	171.6360	23.4225
ENSG00000065183	328	5.9074	0.8062
ENSG00000065243	8091	86.5177	11.8067
