gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1263	24.6410	3.2084
ENSG00000000460	497	5.8662	0.7638
ENSG00000000938	1705	36.2892	4.7251
ENSG00000000971	239	2.2008	0.2865
ENSG00000001460	126	1.1129	0.1449
ENSG00000001461	1486	11.8541	1.5435
ENSG00000004455	4118	54.3400	7.0754
ENSG00000004487	18770	412.1010	53.6579
ENSG00000006555	3	0.0372	0.0048
ENSG00000007341	830	7.6746	0.9993
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1287	18.7509	2.4415
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	181	2.4825	0.3232
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	3325	52.8499	6.8814
ENSG00000008130	3410	44.5578	5.8017
ENSG00000009307	143254	1866.9000	243.0814
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	2	0.0353	0.0046
ENSG00000009780	256	6.6697	0.8684
ENSG00000009790	1903	18.4121	2.3974
ENSG00000010072	4007	50.8823	6.6252
ENSG00000010165	632	12.3323	1.6057
ENSG00000010803	7237	122.0460	15.8911
ENSG00000010932	2	0.0420	0.0055
ENSG00000011007	14383	200.1030	26.0546
ENSG00000011009	2228	76.1006	9.9087
ENSG00000011021	7805	85.0381	11.0724
ENSG00000014914	167	2.7205	0.3542
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	303	4.6252	0.6022
ENSG00000020633	21655	352.6840	45.9215
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	281	16.2148	2.1113
ENSG00000023902	7965	95.7679	12.4695
ENSG00000023909	585	8.1712	1.0639
ENSG00000024526	33	0.4192	0.0546
ENSG00000025800	23581	230.0690	29.9563
ENSG00000026751	292	4.7589	0.6196
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	97	2.8905	0.3763
ENSG00000028137	3761	74.9004	9.7525
ENSG00000031698	2795	54.6442	7.1150
ENSG00000033122	6	0.0375	0.0049
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1911	39.0881	5.0895
ENSG00000036549	5688	47.3566	6.1661
ENSG00000037637	10137	84.6254	11.0187
ENSG00000040487	201	5.6154	0.7312
ENSG00000041988	1750	32.2362	4.1973
ENSG00000042781	4	0.0153	0.0020
ENSG00000043514	1933	47.1967	6.1453
ENSG00000044012	0	0.0000	0.0000
