gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	429	8.3723	1.2247
ENSG00000000460	658	7.7702	1.1367
ENSG00000000938	5535	117.7940	17.2314
ENSG00000000971	0	0.0000	0.0000
ENSG00000001460	565	4.9757	0.7279
ENSG00000001461	1106	8.8239	1.2908
ENSG00000004455	7759	102.3950	14.9786
ENSG00000004487	4123	90.5313	13.2433
ENSG00000006555	0	0.0000	0.0000
ENSG00000007341	747	6.9048	1.0101
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1299	18.9269	2.7687
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	84	1.1492	0.1681
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	1118	17.7781	2.6006
ENSG00000008130	2328	30.4208	4.4501
ENSG00000009307	45546	593.5660	86.8290
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	0	0.0000	0.0000
ENSG00000009780	536	13.9771	2.0446
ENSG00000009790	1413	13.6705	1.9998
ENSG00000010072	531	6.7431	0.9864
ENSG00000010165	324	6.3268	0.9255
ENSG00000010803	5618	94.7526	13.8608
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	1490	20.7284	3.0322
ENSG00000011009	2556	87.2819	12.7679
ENSG00000011021	2166	23.6030	3.4527
ENSG00000014914	360	5.8883	0.8614
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	1638	24.9786	3.6540
ENSG00000020633	3390	55.2061	8.0757
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	338	19.5081	2.8537
ENSG00000023902	13876	166.8280	24.4042
ENSG00000023909	38	0.5303	0.0776
ENSG00000024526	73	0.9245	0.1352
ENSG00000025800	6589	64.2826	9.4035
ENSG00000026751	4	0.0652	0.0095
ENSG00000027644	99	1.4487	0.2119
ENSG00000027869	1176	35.0983	5.1343
ENSG00000028137	1539	30.6588	4.4849
ENSG00000031698	7375	144.1850	21.0920
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	3264	66.7758	9.7682
ENSG00000036549	1069	8.8975	1.3016
ENSG00000037637	4184	34.9300	5.1097
ENSG00000040487	560	15.6418	2.2882
ENSG00000041988	564	10.3905	1.5199
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	492	12.0120	1.7572
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	2519	18.5553	2.7143
ENSG00000048707	1402	5.1681	0.7560
ENSG00000049089	662	11.9653	1.7503
ENSG00000049239	1310	10.7759	1.5763
ENSG00000049245	8518	231.4760	33.8612
ENSG00000049246	2	0.0177	0.0026
ENSG00000049247	0	0.0000	0.0000
ENSG00000049249	28	0.9089	0.1330
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	1221	15.5433	2.2737
ENSG00000053371	5650	237.9280	34.8049
ENSG00000053372	2495	66.3111	9.7002
ENSG00000054116	2234	50.5726	7.3979
ENSG00000054118	5864	92.8668	13.5849
ENSG00000054267	7204	48.7961	7.1381
ENSG00000054277	2029	43.7284	6.3968
ENSG00000054282	4290	61.3179	8.9698
ENSG00000054392	87	1.5189	0.2222
ENSG00000054523	1336	5.6626	0.8283
ENSG00000055070	13521	213.6220	31.2494
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	1690	18.0235	2.6365
ENSG00000057468	8	0.1837	0.0269
ENSG00000057757	3342	114.6760	16.7753
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	433	2.6462	0.3871
ENSG00000058668	3220	24.8404	3.6337
ENSG00000058673	7579	58.6029	8.5726
ENSG00000058799	1878	62.3043	9.1141
ENSG00000058804	1268	18.5186	2.7090
ENSG00000059588	3089	29.9161	4.3762
ENSG00000060642	559	12.4036	1.8144
ENSG00000060656	0	0.0000	0.0000
ENSG00000060688	1042	19.4749	2.8489
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	1531	19.0799	2.7911
ENSG00000064886	0	0.0000	0.0000
ENSG00000065135	6787	158.7690	23.2253
ENSG00000065183	366	6.6074	0.9665
ENSG00000065243	2340	25.0237	3.6605
ENSG00000065526	17421	98.2856	14.3776
ENSG00000065600	2107	54.2172	7.9311
ENSG00000065978	87828	3413.0100	499.2670
ENSG00000066027	3310	64.2669	9.4012
ENSG00000066056	4155	46.5554	6.8103
ENSG00000066135	741	10.7523	1.5729
ENSG00000066136	3102	38.8607	5.6847
ENSG00000066185	154	5.2538	0.7685
ENSG00000066279	174	1.1957	0.1749
ENSG00000066294	1385	11.2231	1.6418
ENSG00000066322	7864	239.8410	35.0848
ENSG00000066557	740	19.2569	2.8170
ENSG00000067208	237	2.1517	0.3148
ENSG00000067334	2828	35.3241	5.1673
ENSG00000067533	880	8.3680	1.2241
ENSG00000067606	1	0.0135	0.0020
ENSG00000067704	4232	76.2698	11.1570
ENSG00000069248	827	12.2672	1.7945
ENSG00000069275	6414	73.4890	10.7502
ENSG00000069424	16785	154.9210	22.6623
ENSG00000069702	38	0.3293	0.0482
ENSG00000069712	39	0.6327	0.0926
ENSG00000069812	0	0.0000	0.0000
ENSG00000070759	1682	36.4540	5.3326
ENSG00000070785	1223	30.1423	4.4093
ENSG00000070831	35202	760.8610	111.3014
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	49	0.5253	0.0768
ENSG00000073754	0	0.0000	0.0000
ENSG00000073756	2856	40.6474	5.9460
ENSG00000074800	215735	3949.2600	577.7122
ENSG00000074964	17	0.1625	0.0238
ENSG00000075151	6834	60.8098	8.8955
ENSG00000075391	68	0.4326	0.0633
ENSG00000075945	1438	21.5144	3.1472
ENSG00000076258	131	3.9019	0.5708
ENSG00000076321	327	5.7732	0.8445
ENSG00000076356	6	0.0327	0.0048
ENSG00000076864	14	0.1655	0.0242
ENSG00000077152	375	26.3906	3.8605
ENSG00000077157	952	4.9596	0.7255
ENSG00000077254	1184	12.8326	1.8772
ENSG00000077522	4	0.0554	0.0081
ENSG00000077549	29140	628.0090	91.8674
ENSG00000077585	282	9.2694	1.3560
ENSG00000078369	38644	472.3400	69.0956
ENSG00000078618	7771	88.0576	12.8814
ENSG00000078808	11514	183.8540	26.8948
ENSG00000078900	0	0.0000	0.0000
ENSG00000079277	4298	39.9898	5.8499
ENSG00000079335	2411	31.5619	4.6170
ENSG00000079739	1825	32.8790	4.8097
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	44	0.4844	0.0709
ENSG00000081019	4393	48.3191	7.0683
ENSG00000081026	239	2.1927	0.3208
ENSG00000081237	26859	236.7930	34.6389
ENSG00000081248	1	0.0068	0.0010
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	1106	19.2262	2.8125
ENSG00000081721	2216	94.3104	13.7961
ENSG00000081870	2269	61.6926	9.0246
ENSG00000081985	22	0.3832	0.0561
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	2481	20.6282	3.0176
ENSG00000083444	3753	52.8412	7.7298
ENSG00000084070	33887	770.3910	112.6957
ENSG00000084072	2322	21.5807	3.1569
ENSG00000084073	938	19.6979	2.8815
ENSG00000084623	26100	1134.7900	166.0016
ENSG00000084628	6	0.1507	0.0220
ENSG00000084636	0	0.0000	0.0000
ENSG00000084652	1022	15.0165	2.1967
ENSG00000085433	649	10.7302	1.5696
ENSG00000085465	119	2.9863	0.4368
ENSG00000085491	4350	49.8232	7.2883
ENSG00000085552	0	0.0000	0.0000
ENSG00000085831	30	0.2403	0.0352
ENSG00000085832	4812	47.7921	6.9912
ENSG00000085840	686	16.3016	2.3847
ENSG00000085998	2365	27.8643	4.0761
ENSG00000085999	150	3.5025	0.5124
ENSG00000086015	1423	12.0211	1.7585
ENSG00000086619	562	7.4095	1.0839
ENSG00000088035	286	4.3439	0.6355
ENSG00000088280	0	0.0000	0.0000
ENSG00000090020	2796	35.0972	5.1342
ENSG00000090104	5040	91.8193	13.4317
ENSG00000090273	7598	199.4550	29.1770
ENSG00000090432	699	21.5103	3.1466
ENSG00000090621	14953	165.3660	24.1903
ENSG00000090686	2995	23.6508	3.4597
ENSG00000091483	2646	92.6625	13.5550
ENSG00000092607	0	0.0000	0.0000
ENSG00000092621	1811	24.1620	3.5345
ENSG00000092847	4627	26.9300	3.9394
ENSG00000092850	181	6.8594	1.0034
ENSG00000092853	170	2.3532	0.3442
ENSG00000092969	8	0.1134	0.0166
ENSG00000092978	484	4.1039	0.6003
ENSG00000094963	0	0.0000	0.0000
ENSG00000094975	1340	15.5387	2.2731
ENSG00000097021	3326	51.0340	7.4654
ENSG00000097033	10425	117.1050	17.1306
ENSG00000097046	218	4.5463	0.6650
ENSG00000097096	0	0.0000	0.0000
ENSG00000099260	0	0.0000	0.0000
ENSG00000107404	1816	39.0806	5.7169
ENSG00000116128	768	8.9731	1.3126
ENSG00000116132	0	0.0000	0.0000
ENSG00000116133	1220	20.6003	3.0135
ENSG00000116138	771	6.7518	0.9877
ENSG00000116141	0	0.0000	0.0000
ENSG00000116147	0	0.0000	0.0000
ENSG00000116151	187	2.6824	0.3924
ENSG00000116157	7358	326.3400	47.7382
ENSG00000116161	4329	71.9978	10.5321
ENSG00000116171	5503	49.6989	7.2701
ENSG00000116183	0	0.0000	0.0000
ENSG00000116191	499	5.0428	0.7377
ENSG00000116194	0	0.0000	0.0000
ENSG00000116198	1194	11.3727	1.6636
ENSG00000116199	2789	34.6324	5.0662
ENSG00000116205	350	4.5057	0.6591
ENSG00000116209	17416	314.2930	45.9760
ENSG00000116212	1562	48.6035	7.1099
ENSG00000116213	729	7.1939	1.0523
ENSG00000116218	0	0.0000	0.0000
ENSG00000116219	0	0.0000	0.0000
ENSG00000116221	12510	425.7160	62.2752
ENSG00000116237	909	13.8821	2.0307
ENSG00000116251	19936	305.1410	44.6372
ENSG00000116254	23	0.1708	0.0250
ENSG00000116260	18631	150.0690	21.9526
ENSG00000116266	2649	33.7047	4.9304
ENSG00000116273	255	5.1956	0.7600
ENSG00000116285	0	0.0000	0.0000
ENSG00000116288	13380	418.6630	61.2436
ENSG00000116299	15	0.1210	0.0177
ENSG00000116329	0	0.0000	0.0000
ENSG00000116337	7632	83.8307	12.2631
ENSG00000116350	3930	92.7354	13.5657
ENSG00000116353	724	13.6918	2.0029
ENSG00000116396	434	3.4817	0.5093
ENSG00000116406	696	6.9340	1.0143
ENSG00000116455	1502	40.1643	5.8754
ENSG00000116459	15224	337.5110	49.3723
