gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	2011	39.2328	3.6432
ENSG00000000460	1477	17.4347	1.6190
ENSG00000000938	14207	302.3590	28.0773
ENSG00000000971	281	2.5875	0.2403
ENSG00000001460	316	2.7832	0.2585
ENSG00000001461	1750	13.9601	1.2963
ENSG00000004455	14669	193.5930	17.9772
ENSG00000004487	11794	258.9340	24.0448
ENSG00000006555	14	0.1734	0.0161
ENSG00000007341	1233	11.3979	1.0584
ENSG00000007908	46	0.8225	0.0764
ENSG00000007923	2860	41.6726	3.8697
ENSG00000007933	6	0.1299	0.0121
ENSG00000007968	5029	69.1213	6.4187
ENSG00000008118	1	0.0303	0.0028
ENSG00000008128	4224	67.1549	6.2361
ENSG00000008130	8073	105.4990	9.7967
ENSG00000009307	152675	1989.6800	184.7636
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	4	0.0706	0.0066
ENSG00000009780	592	15.4312	1.4329
ENSG00000009790	2944	28.4839	2.6450
ENSG00000010072	2387	30.3136	2.8149
ENSG00000010165	1518	29.6258	2.7511
ENSG00000010803	9336	157.4490	14.6208
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	6590	91.6828	8.5137
ENSG00000011009	3520	120.2280	11.1645
ENSG00000011021	8965	97.6740	9.0701
ENSG00000014914	599	9.7837	0.9085
ENSG00000016490	0	0.0111	0.0010
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	1	0.0160	0.0015
ENSG00000020129	1271	19.3923	1.8008
ENSG00000020633	28162	458.6700	42.5925
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	792	45.7013	4.2439
ENSG00000023902	33830	406.7380	37.7701
ENSG00000023909	1901	26.5344	2.4640
ENSG00000024526	1570	19.9443	1.8520
ENSG00000025800	18671	182.1720	16.9166
ENSG00000026751	261	4.2515	0.3948
ENSG00000027644	14	0.2125	0.0197
ENSG00000027869	627	18.7066	1.7371
ENSG00000028137	34167	680.4420	63.1864
ENSG00000031698	10352	202.3930	18.7944
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	5427	111.0350	10.3108
ENSG00000036549	6915	57.5698	5.3460
ENSG00000037637	10373	86.5974	8.0415
ENSG00000040487	1790	49.9825	4.6414
ENSG00000041988	1243	22.8883	2.1254
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	1016	24.8069	2.3036
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	21442	157.9730	14.6695
ENSG00000048707	7214	26.5937	2.4695
ENSG00000049089	8423	152.1880	14.1323
ENSG00000049239	8689	71.4814	6.6378
ENSG00000049245	15531	422.0310	39.1902
ENSG00000049246	145	1.5286	0.1419
ENSG00000049247	4	0.1683	0.0156
ENSG00000049249	130	4.2828	0.3977
ENSG00000050628	6	0.0466	0.0043
ENSG00000052723	6610	84.1091	7.8104
ENSG00000053371	5053	212.7940	19.7603
ENSG00000053372	2811	74.7062	6.9373
ENSG00000054116	3933	89.0323	8.2676
ENSG00000054118	17850	282.6710	26.2491
ENSG00000054267	28505	193.0720	17.9289
ENSG00000054277	2879	62.0411	5.7612
ENSG00000054282	4365	62.3951	5.7941
ENSG00000054392	377	6.5884	0.6118
ENSG00000054523	1932	8.1906	0.7606
ENSG00000055070	14425	227.9040	21.1634
ENSG00000055732	2	0.0202	0.0019
ENSG00000057252	9170	97.7904	9.0809
ENSG00000057468	11	0.2526	0.0235
ENSG00000057757	7691	263.8860	24.5047
ENSG00000058085	3	0.0344	0.0032
ENSG00000058453	593	3.6291	0.3370
ENSG00000058668	17067	131.6760	12.2275
ENSG00000058673	30996	239.6570	22.2547
ENSG00000058799	2793	92.6338	8.6020
ENSG00000058804	4223	61.6853	5.7282
ENSG00000059588	19225	186.2210	17.2926
ENSG00000060642	860	19.0653	1.7704
ENSG00000060656	73	0.8203	0.0762
ENSG00000060688	4444	83.1035	7.7171
ENSG00000060718	8	0.0726	0.0067
ENSG00000064703	7253	90.3703	8.3919
ENSG00000064886	168	3.8203	0.3548
ENSG00000065135	14446	337.9350	31.3809
ENSG00000065183	1624	29.2832	2.7193
ENSG00000065243	14275	152.6450	14.1747
ENSG00000065526	44707	252.2230	23.4217
ENSG00000065600	3935	101.2670	9.4037
ENSG00000065978	109760	4265.2700	396.0764
ENSG00000066027	9800	190.2570	17.6674
ENSG00000066056	4279	47.9426	4.4520
ENSG00000066135	3717	53.8966	5.0049
ENSG00000066136	4730	59.2577	5.5027
ENSG00000066185	148	5.0428	0.4683
ENSG00000066279	4478	30.8497	2.8647
ENSG00000066294	15550	126.0100	11.7014
ENSG00000066322	7491	228.4680	21.2157
ENSG00000066557	4602	119.6730	11.1129
ENSG00000067208	1428	12.9461	1.2022
ENSG00000067334	12872	160.7650	14.9287
ENSG00000067533	1242	11.8195	1.0976
ENSG00000067606	663	6.5151	0.6050
ENSG00000067704	8511	153.3770	14.2427
ENSG00000069248	7026	104.2060	9.6766
ENSG00000069275	30424	348.5820	32.3697
ENSG00000069424	49062	452.8210	42.0493
ENSG00000069702	428	3.7081	0.3443
ENSG00000069712	293	4.7486	0.4410
ENSG00000069812	0	0.0000	0.0000
ENSG00000070759	2206	47.8197	4.4406
ENSG00000070785	1202	29.6191	2.7505
ENSG00000070831	31273	675.9280	62.7672
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	172	1.8438	0.1712
ENSG00000073754	21	0.6413	0.0596
ENSG00000073756	9171	130.5360	12.1217
ENSG00000074800	143426	2625.5700	243.8126
ENSG00000074964	1059	10.1257	0.9403
ENSG00000075151	15237	135.5740	12.5895
ENSG00000075391	1373	8.7130	0.8091
ENSG00000075945	1807	27.0295	2.5100
ENSG00000076258	168	4.9928	0.4636
ENSG00000076321	3248	57.2682	5.3180
ENSG00000076356	87	0.4730	0.0439
ENSG00000076864	1425	16.8502	1.5647
ENSG00000077152	1729	121.7450	11.3053
ENSG00000077157	3809	19.8361	1.8420
ENSG00000077254	7551	81.8582	7.6014
ENSG00000077522	8	0.1096	0.0102
ENSG00000077549	22801	491.3910	45.6309
ENSG00000077585	920	30.2642	2.8104
ENSG00000078369	61256	748.7240	69.5271
ENSG00000078618	17451	197.7350	18.3618
ENSG00000078808	16028	255.9320	23.7660
ENSG00000078900	601	8.1127	0.7534
ENSG00000079277	6033	56.1349	5.2127
