gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	677	13.2034	1.6713
ENSG00000000460	298	3.5120	0.4446
ENSG00000000938	5133	109.2390	13.8280
ENSG00000000971	47	0.4328	0.0548
ENSG00000001460	126	1.1088	0.1404
ENSG00000001461	608	4.8493	0.6138
ENSG00000004455	8010	105.7090	13.3811
ENSG00000004487	9498	208.5230	26.3957
ENSG00000006555	29	0.3557	0.0450
ENSG00000007341	764	7.0676	0.8946
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1774	25.8440	3.2714
ENSG00000007933	1	0.0133	0.0017
ENSG00000007968	774	10.6381	1.3466
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	3107	49.3860	6.2515
ENSG00000008130	4635	60.5727	7.6676
ENSG00000009307	98799	1287.5700	162.9854
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	17	0.2992	0.0379
ENSG00000009780	998	26.0181	3.2935
ENSG00000009790	2228	21.5551	2.7285
ENSG00000010072	1598	20.2953	2.5691
ENSG00000010165	683	13.3242	1.6866
ENSG00000010803	8211	138.4850	17.5300
ENSG00000010932	15	0.3148	0.0398
ENSG00000011007	8127	113.0680	14.3126
ENSG00000011009	2759	94.2163	11.9263
ENSG00000011021	3274	35.6729	4.5156
ENSG00000014914	5699	93.1015	11.7852
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	4	0.0467	0.0059
ENSG00000020129	312	4.7608	0.6026
ENSG00000020633	51953	846.1430	107.1083
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	567	32.7367	4.1440
ENSG00000023902	34898	419.5770	53.1118
ENSG00000023909	257	3.5904	0.4545
ENSG00000024526	286	3.6350	0.4601
ENSG00000025800	11491	112.1130	14.1917
ENSG00000026751	237	3.8651	0.4893
ENSG00000027644	34	0.5017	0.0635
ENSG00000027869	270	8.0657	1.0210
ENSG00000028137	14154	281.8710	35.6804
ENSG00000031698	6683	130.6640	16.5400
ENSG00000033122	4	0.0250	0.0032
ENSG00000034971	2	0.0711	0.0090
ENSG00000035687	2819	57.6819	7.3016
