gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	257	5.0143	0.6378
ENSG00000000460	474	5.5940	0.7116
ENSG00000000938	10706	227.8560	28.9845
ENSG00000000971	0	0.0000	0.0000
ENSG00000001460	241	2.1223	0.2700
ENSG00000001461	679	5.4153	0.6889
ENSG00000004455	3517	46.4177	5.9046
ENSG00000004487	5051	110.8870	14.1054
ENSG00000006555	0	0.0000	0.0000
ENSG00000007341	257	2.3757	0.3022
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1488	21.6886	2.7589
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	1956	26.8851	3.4199
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	1700	27.0263	3.4379
ENSG00000008130	5357	70.0125	8.9060
ENSG00000009307	30101	392.2760	49.8998
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	0	0.0000	0.0000
ENSG00000009780	297	7.7552	0.9865
ENSG00000009790	1966	19.0186	2.4193
ENSG00000010072	615	7.8068	0.9931
ENSG00000010165	426	8.3115	1.0573
ENSG00000010803	8839	149.0760	18.9633
ENSG00000010932	21	0.4407	0.0561
ENSG00000011007	4226	58.7950	7.4791
ENSG00000011009	3455	118.0000	15.0103
ENSG00000011021	5337	58.1508	7.3971
ENSG00000014914	5541	90.5245	11.5152
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	317	4.8285	0.6142
ENSG00000020633	3657	59.5676	7.5773
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	653	37.6998	4.7956
ENSG00000023902	35339	424.8830	54.0476
ENSG00000023909	155	2.1671	0.2757
ENSG00000024526	20	0.2541	0.0323
ENSG00000025800	8788	85.7419	10.9069
ENSG00000026751	160	2.6060	0.3315
ENSG00000027644	38	0.5587	0.0711
ENSG00000027869	356	10.6150	1.3503
ENSG00000028137	39367	784.0040	99.7298
ENSG00000031698	5677	110.9940	14.1190
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	709	14.5136	1.8462
ENSG00000036549	1886	15.7009	1.9973
ENSG00000037637	2418	20.1857	2.5677
ENSG00000040487	947	26.4512	3.3648
ENSG00000041988	1012	18.6380	2.3709
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	264	6.4402	0.8192
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	1634	12.0387	1.5314
ENSG00000048707	764	2.8153	0.3581
ENSG00000049089	1008	18.2125	2.3167
ENSG00000049239	1974	16.2392	2.0657
ENSG00000049245	12319	334.7630	42.5838
ENSG00000049246	30	0.3167	0.0403
ENSG00000049247	127	5.3617	0.6821
ENSG00000049249	28	0.9194	0.1170
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	835	10.6306	1.3523
ENSG00000053371	4353	183.3010	23.3170
ENSG00000053372	1087	28.8795	3.6736
ENSG00000054116	2751	62.2665	7.9207
ENSG00000054118	6071	96.1486	12.2307
ENSG00000054267	2391	16.1937	2.0599
ENSG00000054277	1332	28.7000	3.6508
ENSG00000054282	538	7.6842	0.9775
