gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	2204	42.9932	6.3808
ENSG00000000460	955	11.2691	1.6725
ENSG00000000938	37212	791.9780	117.5398
ENSG00000000971	1175	10.8220	1.6061
ENSG00000001460	612	5.3921	0.8003
ENSG00000001461	1527	12.1773	1.8073
ENSG00000004455	37239	491.4570	72.9386
ENSG00000004487	4415	96.9265	14.3851
ENSG00000006555	179	2.2230	0.3299
ENSG00000007341	665	6.1463	0.9122
ENSG00000007908	19	0.3378	0.0501
ENSG00000007923	2862	41.7027	6.1892
ENSG00000007933	62	1.3428	0.1993
ENSG00000007968	7211	99.1002	14.7077
ENSG00000008118	4	0.1121	0.0166
ENSG00000008128	3402	54.0727	8.0251
ENSG00000008130	8924	116.6240	17.3086
ENSG00000009307	39954	520.6840	77.2762
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	10	0.1694	0.0251
ENSG00000009780	804	20.9771	3.1133
ENSG00000009790	5053	48.8788	7.2542
ENSG00000010072	978	12.4248	1.8440
ENSG00000010165	1135	22.1504	3.2874
ENSG00000010803	4100	69.1489	10.2626
ENSG00000010932	5	0.1049	0.0156
ENSG00000011007	3094	43.0395	6.3876
ENSG00000011009	5169	176.5460	26.2016
ENSG00000011021	4792	52.2130	7.7491
ENSG00000014914	6362	103.9290	15.4244
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	1	0.0206	0.0031
ENSG00000018625	2	0.0238	0.0035
ENSG00000020129	1564	23.8548	3.5404
ENSG00000020633	12199	198.6840	29.4872
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	678	39.1440	5.8094
ENSG00000023902	8734	105.0080	15.5845
ENSG00000023909	1166	16.2702	2.4147
ENSG00000024526	502	6.3757	0.9462
ENSG00000025800	9210	89.8616	13.3366
ENSG00000026751	245	3.9989	0.5935
ENSG00000027644	14	0.2129	0.0316
ENSG00000027869	546	16.2878	2.4173
ENSG00000028137	40142	799.4370	118.6468
ENSG00000031698	6800	132.9450	19.7307
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	3013	61.6378	9.1478
ENSG00000036549	3224	26.8409	3.9835
ENSG00000037637	4057	33.8669	5.0263
ENSG00000040487	5394	150.6240	22.3546
ENSG00000041988	359	6.6189	0.9823
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	1215	29.6718	4.4037
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	11836	87.2036	12.9421
ENSG00000048707	4076	15.0250	2.2299
ENSG00000049089	8268	149.3910	22.1715
ENSG00000049239	14209	116.8880	17.3477
ENSG00000049245	9101	247.3180	36.7052
ENSG00000049246	1707	18.0210	2.6746
ENSG00000049247	21	0.8693	0.1290
ENSG00000049249	165	5.4024	0.8018
ENSG00000050628	7	0.0544	0.0081
ENSG00000052723	3132	39.8587	5.9155
ENSG00000053371	9133	384.6130	57.0815
ENSG00000053372	1839	48.8625	7.2518
ENSG00000054116	2133	48.2837	7.1659
ENSG00000054118	13371	211.7380	31.4247
ENSG00000054267	11321	76.6769	11.3798
ENSG00000054277	2996	64.5796	9.5844
ENSG00000054282	2446	34.9644	5.1892
ENSG00000054392	275	4.8017	0.7126
ENSG00000054523	5082	21.5421	3.1971
ENSG00000055070	8823	139.4030	20.6892
ENSG00000055732	12	0.1359	0.0202
ENSG00000057252	6869	73.2552	10.8720
ENSG00000057468	38	0.8662	0.1286
