gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	933	18.2068	1.9600
ENSG00000000460	761	8.9778	0.9665
ENSG00000000938	47251	1005.6300	108.2567
ENSG00000000971	24	0.2210	0.0238
ENSG00000001460	1383	12.1830	1.3115
ENSG00000001461	1751	13.9660	1.5035
ENSG00000004455	33607	443.5220	47.7455
ENSG00000004487	3604	79.1206	8.5174
ENSG00000006555	3	0.0372	0.0040
ENSG00000007341	1328	12.2790	1.3218
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	3296	48.0233	5.1697
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	2349	32.2811	3.4751
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	2307	36.6677	3.9473
ENSG00000008130	12271	160.3640	17.2634
ENSG00000009307	21131	275.3880	29.6458
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	0	0.0000	0.0000
ENSG00000009780	511	13.3275	1.4347
ENSG00000009790	5061	48.9608	5.2707
ENSG00000010072	713	9.0521	0.9745
ENSG00000010165	2556	49.8839	5.3700
ENSG00000010803	7966	134.3430	14.4621
ENSG00000010932	23	0.4827	0.0520
ENSG00000011007	1722	23.9499	2.5782
ENSG00000011009	8491	289.9860	31.2172
ENSG00000011021	1748	19.0460	2.0503
ENSG00000014914	19837	324.0580	34.8851
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	8	0.0915	0.0098
ENSG00000020129	5657	86.2896	9.2892
ENSG00000020633	11632	189.4380	20.3932
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	2200	127.0450	13.6766
ENSG00000023902	29731	357.4550	38.4804
ENSG00000023909	480	6.7000	0.7213
ENSG00000024526	157	2.0007	0.2154
ENSG00000025800	7205	70.2928	7.5671
ENSG00000026751	22	0.3579	0.0385
ENSG00000027644	6	0.0882	0.0095
ENSG00000027869	2427	72.4502	7.7993
ENSG00000028137	22295	443.9960	47.7965
ENSG00000031698	9153	178.9580	19.2650
ENSG00000033122	14	0.0874	0.0094
ENSG00000034971	2	0.0720	0.0078
ENSG00000035687	2363	48.3369	5.2035
ENSG00000036549	1587	13.2167	1.4228
ENSG00000037637	5730	47.8379	5.1498
ENSG00000040487	21603	603.2190	64.9370
ENSG00000041988	2552	47.0115	5.0608
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	459	11.2064	1.2064
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	5291	38.9818	4.1964
ENSG00000048707	1115	4.1102	0.4425
ENSG00000049089	6490	117.2660	12.6238
ENSG00000049239	8868	72.9506	7.8532
ENSG00000049245	10929	296.9850	31.9707
ENSG00000049246	1461	15.4258	1.6606
ENSG00000049247	27	1.1397	0.1227
ENSG00000049249	39	1.2868	0.1385
ENSG00000050628	34	0.2641	0.0284
ENSG00000052723	1200	15.2696	1.6438
ENSG00000053371	47716	2009.3800	216.3116
ENSG00000053372	4206	111.7730	12.0324
ENSG00000054116	3789	85.7757	9.2338
ENSG00000054118	9345	147.9930	15.9315
ENSG00000054267	4892	33.1333	3.5668
ENSG00000054277	10161	218.9830	23.5737
ENSG00000054282	2159	30.8620	3.3223
ENSG00000054392	136	2.3776	0.2560
ENSG00000054523	1423	6.0324	0.6494
ENSG00000055070	19183	303.0870	32.6275
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	3318	35.3885	3.8096
ENSG00000057468	0	0.0000	0.0000
ENSG00000057757	4422	151.7180	16.3326
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	889	5.4335	0.5849
ENSG00000058668	18001	138.8800	14.9506
ENSG00000058673	6195	47.9006	5.1565
ENSG00000058799	4446	147.4770	15.8761
ENSG00000058804	2568	37.5141	4.0384
ENSG00000059588	1061	10.2799	1.1066
ENSG00000060642	1838	40.7501	4.3868
ENSG00000060656	879	9.8376	1.0590
ENSG00000060688	3162	59.1274	6.3651
ENSG00000060718	22	0.1996	0.0215
ENSG00000064703	829	10.3298	1.1120
ENSG00000064886	144	3.2874	0.3539
ENSG00000065135	3736	87.4089	9.4096
ENSG00000065183	426	7.6749	0.8262
ENSG00000065243	680	7.2663	0.7822
ENSG00000065526	20502	115.6640	12.4513
ENSG00000065600	8800	226.4910	24.3819
ENSG00000065978	85710	3330.6900	358.5511
ENSG00000066027	3862	74.9715	8.0707
ENSG00000066056	2866	32.1082	3.4565
ENSG00000066135	2460	35.6758	3.8405
ENSG00000066136	11895	149.0100	16.0411
