gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	246	4.8088	0.5779
ENSG00000000460	543	6.4104	0.7704
ENSG00000000938	14357	305.5490	36.7191
ENSG00000000971	46	0.4228	0.0508
ENSG00000001460	156	1.3743	0.1652
ENSG00000001461	680	5.4215	0.6515
ENSG00000004455	16728	220.7620	26.5298
ENSG00000004487	4192	92.0477	11.0618
ENSG00000006555	32	0.3952	0.0475
ENSG00000007341	606	5.6039	0.6734
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1023	14.9114	1.7920
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	3933	54.0601	6.4966
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	3915	62.2374	7.4793
ENSG00000008130	5055	66.0566	7.9383
ENSG00000009307	96448	1256.9300	151.0503
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	14	0.2470	0.0297
ENSG00000009780	1619	42.2208	5.0739
ENSG00000009790	3699	35.7783	4.2996
ENSG00000010072	18085	229.6650	27.5998
ENSG00000010165	491	9.5878	1.1522
ENSG00000010803	2150	36.2550	4.3569
ENSG00000010932	1	0.0210	0.0025
ENSG00000011007	7720	107.3960	12.9062
ENSG00000011009	2703	92.3133	11.0937
ENSG00000011021	3730	40.6411	4.8840
ENSG00000014914	8198	133.9230	16.0940
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	7	0.0805	0.0097
ENSG00000020129	769	11.7299	1.4096
ENSG00000020633	12794	208.3770	25.0416
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	412	23.7660	2.8561
ENSG00000023902	36772	442.1070	53.1299
ENSG00000023909	309	4.3126	0.5183
ENSG00000024526	215	2.7276	0.3278
ENSG00000025800	11279	110.0500	13.2252
ENSG00000026751	260	4.2417	0.5098
ENSG00000027644	177	2.6026	0.3128
ENSG00000027869	121	3.6055	0.4333
ENSG00000028137	6649	132.4110	15.9123
ENSG00000031698	3603	70.4419	8.4653
ENSG00000033122	10	0.0652	0.0078
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1761	36.0177	4.3284
ENSG00000036549	4635	38.5941	4.6380
ENSG00000037637	2365	19.7400	2.3722
ENSG00000040487	2174	60.6932	7.2938
ENSG00000041988	441	8.1137	0.9751
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	587	14.3344	1.7226
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	10269	75.6564	9.0919
ENSG00000048707	2652	9.7768	1.1749
ENSG00000049089	5664	102.3400	12.2986
ENSG00000049239	5559	45.7325	5.4959
ENSG00000049245	15674	425.9370	51.1866
ENSG00000049246	155	1.6315	0.1961
ENSG00000049247	32	1.3427	0.1614
ENSG00000049249	29	0.9496	0.1141
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	4221	53.7089	6.4544
ENSG00000053371	7622	320.9810	38.5737
ENSG00000053372	1636	43.4869	5.2260
ENSG00000054116	2030	45.9559	5.5227
ENSG00000054118	9790	155.0290	18.6305
ENSG00000054267	31193	211.2740	25.3897
ENSG00000054277	4651	100.2330	12.0455
ENSG00000054282	2212	31.6169	3.7995
ENSG00000054392	601	10.5009	1.2619
ENSG00000054523	1914	8.1116	0.9748
ENSG00000055070	20544	324.5920	39.0075
ENSG00000055732	19	0.2164	0.0260
ENSG00000057252	8684	92.6094	11.1292
ENSG00000057468	25	0.5726	0.0688
ENSG00000057757	3965	136.0500	16.3497
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	809	4.9486	0.5947
ENSG00000058668	23478	181.1360	21.7679
ENSG00000058673	23627	182.6850	21.9540
ENSG00000058799	1282	42.5254	5.1105
ENSG00000058804	1963	28.6705	3.4454
ENSG00000059588	6051	58.6114	7.0436
ENSG00000060642	378	8.3885	1.0081
ENSG00000060656	181	2.0216	0.2429
ENSG00000060688	2872	53.7110	6.4547
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	5793	72.1852	8.6748
ENSG00000064886	82	1.8707	0.2248
ENSG00000065135	12582	294.3330	35.3712
ENSG00000065183	725	13.0801	1.5719
ENSG00000065243	5372	57.4398	6.9028
ENSG00000065526	91887	518.3950	62.2976
ENSG00000065600	7022	180.7320	21.7193
ENSG00000065978	88723	3447.8000	414.3360
ENSG00000066027	9816	190.5710	22.9017
ENSG00000066056	0	0.0000	0.0000
ENSG00000066135	2142	31.0625	3.7329
ENSG00000066136	2792	34.9815	4.2039
ENSG00000066185	252	8.6077	1.0344
ENSG00000066279	1152	7.9386	0.9540
ENSG00000066294	19983	161.9350	19.4604
ENSG00000066322	4293	130.9300	15.7344
ENSG00000066557	2153	55.9997	6.7297
ENSG00000067208	2814	25.5172	3.0665
ENSG00000067334	16170	201.9600	24.2703
ENSG00000067533	2534	24.1076	2.8971
ENSG00000067606	120	1.1802	0.1418
ENSG00000067704	4524	81.5288	9.7977
ENSG00000069248	2443	36.2258	4.3534
ENSG00000069275	12146	139.1660	16.7241
ENSG00000069424	31607	291.7220	35.0575
ENSG00000069702	1034	8.9591	1.0767
ENSG00000069712	54	0.8698	0.1045
ENSG00000069812	18	0.2497	0.0300
ENSG00000070759	926	20.0763	2.4127
ENSG00000070785	390	9.6040	1.1542
ENSG00000070831	59249	1280.6000	153.8945
ENSG00000070886	20	0.2745	0.0330
ENSG00000072694	3412	36.5828	4.3963
ENSG00000073754	2	0.0611	0.0073
ENSG00000073756	383	5.4509	0.6551
ENSG00000074800	146953	2690.1300	323.2839
ENSG00000074964	2350	22.4626	2.6994
ENSG00000075151	8266	73.5483	8.8386
ENSG00000075391	2056	13.0510	1.5684
ENSG00000075945	630	9.4236	1.1325
ENSG00000076258	80	2.3802	0.2860
ENSG00000076321	1711	30.1594	3.6244
ENSG00000076356	576	3.1367	0.3770
ENSG00000076864	300	3.5490	0.4265
ENSG00000077152	710	49.9934	6.0079
ENSG00000077157	3857	20.0888	2.4142
ENSG00000077254	2821	30.5827	3.6753
ENSG00000077522	15	0.2076	0.0249
ENSG00000077549	22395	482.6430	58.0011
ENSG00000077585	1131	37.2273	4.4737
ENSG00000078369	41806	510.9870	61.4075
ENSG00000078618	8987	101.8280	12.2371
ENSG00000078808	12839	205.0050	24.6363
ENSG00000078900	203	2.7456	0.3300
ENSG00000079277	4030	37.5042	4.5070
ENSG00000079335	3911	51.1986	6.1527
ENSG00000079739	3238	58.3151	7.0080
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	158	1.7424	0.2094
ENSG00000081019	40480	445.2320	53.5053
ENSG00000081026	86	0.7883	0.0947
ENSG00000081237	50485	445.0900	53.4883
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	4	0.0483	0.0058
ENSG00000081692	228	3.9671	0.4767
ENSG00000081721	4353	185.2890	22.2669
ENSG00000081870	1603	43.5857	5.2379
ENSG00000081985	71	1.2636	0.1519
ENSG00000082482	6	0.1151	0.0138
ENSG00000082497	8	0.1097	0.0132
ENSG00000082512	757	6.2967	0.7567
ENSG00000083444	6621	93.2219	11.2029
ENSG00000084070	11599	263.6950	31.6894
ENSG00000084072	3632	33.7466	4.0555
ENSG00000084073	3397	71.3250	8.5714
ENSG00000084623	18524	805.4040	96.7887
ENSG00000084628	14	0.3515	0.0422
