gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	968	18.8816	2.3453
ENSG00000000460	815	9.6201	1.1949
ENSG00000000938	2955	62.8828	7.8106
ENSG00000000971	229	2.1044	0.2614
ENSG00000001460	301	2.6475	0.3288
ENSG00000001461	1565	12.4845	1.5507
ENSG00000004455	8321	109.8140	13.6398
ENSG00000004487	13868	304.4860	37.8196
ENSG00000006555	94	1.1592	0.1440
ENSG00000007341	1417	13.1045	1.6277
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	2710	39.4921	4.9052
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	459	6.3029	0.7829
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	2194	34.8815	4.3326
ENSG00000008130	4924	64.3534	7.9932
ENSG00000009307	122121	1591.4900	197.6768
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	8	0.1411	0.0175
ENSG00000009780	793	20.6898	2.5699
ENSG00000009790	3426	33.1468	4.1171
ENSG00000010072	5576	70.8056	8.7946
ENSG00000010165	691	13.4861	1.6751
ENSG00000010803	9908	167.0960	20.7546
ENSG00000010932	52	1.0912	0.1355
ENSG00000011007	12837	178.5950	22.1829
ENSG00000011009	3998	136.5280	16.9580
ENSG00000011021	2223	24.2214	3.0085
ENSG00000014914	660	10.7787	1.3388
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	3907	59.5985	7.4026
ENSG00000020633	6067	98.8178	12.2740
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	318	18.3734	2.2821
ENSG00000023902	12456	149.7600	18.6014
ENSG00000023909	137	1.9146	0.2378
ENSG00000024526	89	1.1314	0.1405
ENSG00000025800	11911	116.2150	14.4349
ENSG00000026751	525	8.5545	1.0625
ENSG00000027644	3	0.0441	0.0055
ENSG00000027869	593	17.7026	2.1988
ENSG00000028137	2431	48.4217	6.0144
ENSG00000031698	5562	108.7440	13.5069
ENSG00000033122	59	0.3663	0.0455
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	4179	85.4986	10.6196
ENSG00000036549	7069	58.8582	7.3107
ENSG00000037637	3167	26.4413	3.2842
ENSG00000040487	432	12.0607	1.4980
ENSG00000041988	1006	18.5199	2.3003
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	746	18.2084	2.2616
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	18866	138.9960	17.2644
ENSG00000048707	4421	16.2958	2.0241
ENSG00000049089	2259	40.8140	5.0694
ENSG00000049239	3147	25.8869	3.2154
ENSG00000049245	15910	432.3480	53.7012
ENSG00000049246	1366	14.4191	1.7910
ENSG00000049247	21	0.8632	0.1072
ENSG00000049249	90	2.9602	0.3677
ENSG00000050628	10	0.0777	0.0096
ENSG00000052723	5404	68.7586	8.5404
ENSG00000053371	3232	136.1050	16.9054
ENSG00000053372	1982	52.6790	6.5432
ENSG00000054116	2764	62.5617	7.7707
ENSG00000054118	4749	75.2069	9.3413
ENSG00000054267	18120	122.7290	15.2439
ENSG00000054277	1730	37.2739	4.6297
ENSG00000054282	9026	129.0110	16.0242
ENSG00000054392	434	7.5703	0.9403
ENSG00000054523	613	2.5998	0.3229
