gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	513	10.0138	1.4884
ENSG00000000460	323	3.8140	0.5669
ENSG00000000938	589	12.5301	1.8625
ENSG00000000971	16	0.1473	0.0219
ENSG00000001460	527	4.6446	0.6904
ENSG00000001461	1008	8.0415	1.1953
ENSG00000004455	2128	28.0778	4.1735
ENSG00000004487	6057	132.9940	19.7681
ENSG00000006555	0	0.0000	0.0000
ENSG00000007341	741	6.8556	1.0190
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1668	24.2986	3.6117
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	162	2.2265	0.3309
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	2213	35.1829	5.2296
ENSG00000008130	2175	28.4225	4.2247
ENSG00000009307	31628	412.1780	61.2657
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	12	0.2117	0.0315
ENSG00000009780	290	7.5501	1.1222
ENSG00000009790	1593	15.4129	2.2910
ENSG00000010072	2572	32.6642	4.8552
ENSG00000010165	470	9.1660	1.3624
ENSG00000010803	5652	95.3148	14.1675
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	7696	107.0720	15.9151
ENSG00000011009	1537	52.4863	7.8015
ENSG00000011021	2466	26.8666	3.9934
ENSG00000014914	30	0.4912	0.0730
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	477	7.2758	1.0815
ENSG00000020633	10314	167.9760	24.9677
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	527	30.4473	4.5257
ENSG00000023902	10382	124.8270	18.5542
ENSG00000023909	543	7.5796	1.1266
ENSG00000024526	11	0.1443	0.0214
ENSG00000025800	13163	128.4300	19.0897
ENSG00000026751	233	3.7904	0.5634
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	198	5.9260	0.8808
ENSG00000028137	960	19.1261	2.8429
ENSG00000031698	3701	72.3616	10.7557
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	752	15.3751	2.2853
ENSG00000036549	3225	26.8552	3.9917
ENSG00000037637	12052	100.6100	14.9545
ENSG00000040487	350	9.7599	1.4507
ENSG00000041988	2282	42.0228	6.2462
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	434	10.6001	1.5756
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	1484	10.9353	1.6254
ENSG00000048707	1357	5.0020	0.7435
ENSG00000049089	742	13.4069	1.9928
ENSG00000049239	1583	13.0256	1.9361
ENSG00000049245	10561	286.9870	42.6575
ENSG00000049246	38	0.3982	0.0592
ENSG00000049247	0	0.0000	0.0000
ENSG00000049249	42	1.3748	0.2044
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	2730	34.7377	5.1634
ENSG00000053371	3039	127.9870	19.0239
ENSG00000053372	1315	34.9483	5.1947
ENSG00000054116	3178	71.9505	10.6946
ENSG00000054118	8083	128.0000	19.0259
ENSG00000054267	6880	46.6021	6.9269
ENSG00000054277	278	5.9822	0.8892
ENSG00000054282	1271	18.1692	2.7007
ENSG00000054392	430	7.5154	1.1171
ENSG00000054523	1163	4.9309	0.7329
ENSG00000055070	30261	478.1130	71.0663
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	1232	13.1419	1.9534
ENSG00000057468	12	0.2756	0.0410
ENSG00000057757	8984	308.2440	45.8170
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	222	1.3594	0.2021
ENSG00000058668	2293	17.6937	2.6300
ENSG00000058673	7723	59.7167	8.8762
ENSG00000058799	1192	39.5555	5.8795
ENSG00000058804	919	13.4278	1.9959
ENSG00000059588	2053	19.8830	2.9554
ENSG00000060642	761	16.8734	2.5081
ENSG00000060656	5	0.0560	0.0083
ENSG00000060688	3220	60.2057	8.9489
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	2370	29.5267	4.3888
ENSG00000064886	0	0.0000	0.0000
ENSG00000065135	2336	54.6544	8.1238
ENSG00000065183	139	2.5052	0.3724
ENSG00000065243	1972	21.0841	3.1339
ENSG00000065526	16895	95.3170	14.1678
ENSG00000065600	2410	62.0172	9.2182
ENSG00000065978	63104	2452.2300	364.4963
ENSG00000066027	3940	76.4962	11.3703
ENSG00000066056	1121	12.5545	1.8661
ENSG00000066135	2953	42.8258	6.3656
ENSG00000066136	2854	35.7553	5.3146
ENSG00000066185	72	2.4592	0.3655
ENSG00000066279	42	0.2893	0.0430
ENSG00000066294	2293	18.5782	2.7614
ENSG00000066322	5887	179.5420	26.6870
ENSG00000066557	973	25.3048	3.7613
ENSG00000067208	27	0.2431	0.0361
ENSG00000067334	1757	21.9459	3.2620
ENSG00000067533	534	5.0825	0.7555
ENSG00000067606	34	0.3339	0.0496
ENSG00000067704	1090	19.6502	2.9208
ENSG00000069248	1404	20.8167	3.0942
ENSG00000069275	12094	138.5640	20.5960
ENSG00000069424	12389	114.3460	16.9963
ENSG00000069702	21	0.1818	0.0270
ENSG00000069712	1	0.0162	0.0024
ENSG00000069812	0	0.0000	0.0000
ENSG00000070759	1147	24.8728	3.6971
ENSG00000070785	168	4.1390	0.6152
ENSG00000070831	28062	606.5270	90.1536
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	0	0.0000	0.0000
ENSG00000073754	10	0.3054	0.0454
ENSG00000073756	607	8.6394	1.2842
ENSG00000074800	76690	1403.8900	208.6722
ENSG00000074964	8	0.0765	0.0114
ENSG00000075151	5700	50.7144	7.5381
ENSG00000075391	16	0.1015	0.0151
ENSG00000075945	1226	18.3434	2.7265
ENSG00000076258	77	2.2864	0.3398
ENSG00000076321	1278	22.5341	3.3494
ENSG00000076356	104	0.5637	0.0838
ENSG00000076864	13	0.1512	0.0225
ENSG00000077152	76	5.3521	0.7955
ENSG00000077157	449	2.3403	0.3479
ENSG00000077254	1021	11.0666	1.6449
ENSG00000077522	9	0.1246	0.0185
ENSG00000077549	11216	241.7180	35.9287
ENSG00000077585	127	4.1781	0.6210
ENSG00000078369	22476	274.7180	40.8338
ENSG00000078618	3012	34.1292	5.0729
ENSG00000078808	4550	72.6459	10.7980
ENSG00000078900	2	0.0270	0.0040
ENSG00000079277	1332	12.3904	1.8417
ENSG00000079335	2927	38.3229	5.6963
ENSG00000079739	1643	29.5956	4.3991
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	96	1.0549	0.1568
ENSG00000081019	4731	52.0323	7.7340
ENSG00000081026	4	0.0367	0.0055
ENSG00000081237	5984	52.7587	7.8420
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	506	8.7870	1.3061
ENSG00000081721	3188	135.6920	20.1692
ENSG00000081870	2714	73.7869	10.9676
ENSG00000081985	8	0.1417	0.0211
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	1011	8.4037	1.2491
ENSG00000083444	633	8.9142	1.3250
ENSG00000084070	7690	174.8250	25.9859
ENSG00000084072	2969	27.5914	4.1012
ENSG00000084073	787	16.5291	2.4569
ENSG00000084623	25140	1093.0600	162.4709
ENSG00000084628	4	0.1004	0.0149
ENSG00000084636	0	0.0000	0.0000
ENSG00000084652	3299	48.4883	7.2073
ENSG00000085433	593	9.8097	1.4581
ENSG00000085465	188	4.7172	0.7011
ENSG00000085491	575	6.5838	0.9786
ENSG00000085552	0	0.0000	0.0000
ENSG00000085831	22	0.1762	0.0262
ENSG00000085832	2321	23.0527	3.4265
ENSG00000085840	1112	26.4188	3.9268
ENSG00000085998	727	8.5627	1.2727
ENSG00000085999	154	3.6006	0.5352
ENSG00000086015	842	7.1125	1.0572
ENSG00000086619	1070	14.1123	2.0976
ENSG00000088035	221	3.3548	0.4987
ENSG00000088280	24	0.3679	0.0547
ENSG00000090020	4066	51.0350	7.5858
ENSG00000090104	1234	22.4761	3.3408
ENSG00000090273	8179	214.7120	31.9145
ENSG00000090432	9229	284.1340	42.2334
ENSG00000090621	27042	299.0540	44.4510
ENSG00000090686	2206	17.4241	2.5899
ENSG00000091483	1273	44.5733	6.6253
ENSG00000092607	23	0.4532	0.0674
ENSG00000092621	213	2.8413	0.4223
ENSG00000092847	4714	27.4350	4.0779
ENSG00000092850	33	1.2674	0.1884
ENSG00000092853	68	0.9399	0.1397
ENSG00000092969	0	0.0000	0.0000
ENSG00000092978	430	3.6475	0.5422
ENSG00000094963	4	0.0481	0.0071
ENSG00000094975	1718	19.9286	2.9622
ENSG00000097021	1256	19.2653	2.8636
ENSG00000097033	12730	142.9850	21.2532
ENSG00000097046	183	3.8236	0.5683
ENSG00000097096	0	0.0000	0.0000
ENSG00000099260	0	0.0000	0.0000
ENSG00000107404	621	13.3643	1.9864
ENSG00000116128	67	0.7815	0.1162
ENSG00000116132	0	0.0000	0.0000
ENSG00000116133	34	0.5735	0.0852
ENSG00000116138	1327	11.6219	1.7275
ENSG00000116141	6	0.0630	0.0094
ENSG00000116147	7	0.1042	0.0155
ENSG00000116151	215	3.0778	0.4575
ENSG00000116157	4097	181.7050	27.0084
ENSG00000116161	1670	27.7694	4.1276
ENSG00000116171	1712	15.4643	2.2986
ENSG00000116183	0	0.0000	0.0000
ENSG00000116191	648	6.5434	0.9726
ENSG00000116194	0	0.0000	0.0000
ENSG00000116198	1039	9.8895	1.4700
ENSG00000116199	912	11.3262	1.6835
ENSG00000116205	263	3.3800	0.5024
ENSG00000116209	10222	184.4750	27.4202
ENSG00000116212	681	21.1730	3.1471
ENSG00000116213	2232	22.0126	3.2719
ENSG00000116218	0	0.0000	0.0000
ENSG00000116219	0	0.0000	0.0000
ENSG00000116221	9747	331.6780	49.3003
ENSG00000116237	304	4.6377	0.6894
ENSG00000116251	31281	478.7870	71.1664
ENSG00000116254	62	0.4702	0.0699
ENSG00000116260	3657	29.4549	4.3781
ENSG00000116266	1166	14.8378	2.2055
ENSG00000116273	436	8.8873	1.3210
ENSG00000116285	38	0.6808	0.1012
ENSG00000116288	9913	310.1560	46.1013
ENSG00000116299	8	0.0645	0.0096
ENSG00000116329	0	0.0000	0.0000
ENSG00000116337	6014	66.0606	9.8192
ENSG00000116350	5325	125.6780	18.6807
ENSG00000116353	499	9.4303	1.4017
ENSG00000116396	164	1.3125	0.1951
ENSG00000116406	110	1.0944	0.1627
ENSG00000116455	565	15.1173	2.2470
ENSG00000116459	8189	181.5490	26.9852
ENSG00000116473	2501	32.7143	4.8626
ENSG00000116478	6251	116.9510	17.3835
ENSG00000116489	4903	89.0356	13.2341
ENSG00000116497	1941	15.8384	2.3542
ENSG00000116514	7665	220.2470	32.7373
ENSG00000116521	5333	163.7810	24.3443
ENSG00000116525	645	12.1807	1.8105
ENSG00000116539	4761	26.8556	3.9918
ENSG00000116544	103	1.9414	0.2886
ENSG00000116560	73689	744.2330	110.6221
ENSG00000116574	61	1.0464	0.1555
ENSG00000116580	4277	26.3816	3.9213
ENSG00000116584	16554	167.4560	24.8905
ENSG00000116586	3955	206.2610	30.6585
ENSG00000116604	62500	732.4220	108.8664
ENSG00000116641	496	3.4234	0.5089
ENSG00000116649	14110	557.5500	82.8736
ENSG00000116652	0	0.0000	0.0000
ENSG00000116661	0	0.0000	0.0000
ENSG00000116663	836	34.6019	5.1432
ENSG00000116667	993	6.7916	1.0095
ENSG00000116668	61	1.1273	0.1675
ENSG00000116670	3208	70.7050	10.5095
ENSG00000116675	52	0.5635	0.0838
ENSG00000116678	678	4.4408	0.6601
ENSG00000116679	1829	17.2959	2.5708
ENSG00000116685	1685	38.5069	5.7236
ENSG00000116688	7088	106.7880	15.8728
ENSG00000116690	4	0.0594	0.0088
ENSG00000116691	1890	50.2527	7.4695
ENSG00000116698	20622	185.9650	27.6417
ENSG00000116701	363	9.2903	1.3809
ENSG00000116703	0	0.0000	0.0000
ENSG00000116704	1369	14.3471	2.1325
ENSG00000116711	152	3.9631	0.5891
ENSG00000116717	3748	135.8540	20.1932
ENSG00000116721	0	0.0000	0.0000
ENSG00000116726	0	0.0000	0.0000
ENSG00000116729	10	0.1662	0.0247
ENSG00000116731	12683	87.1940	12.9604
ENSG00000116741	2958	106.3600	15.8092
ENSG00000116745	0	0.0000	0.0000
ENSG00000116747	3721	30.6591	4.5571
ENSG00000116748	0	0.0000	0.0000
ENSG00000116750	720	15.0003	2.2296
ENSG00000116752	3001	173.2600	25.7532
ENSG00000116754	14388	127.2980	18.9215
ENSG00000116761	55	1.6997	0.2527
ENSG00000116771	29	0.8700	0.1293
ENSG00000116774	42	1.3907	0.2067
ENSG00000116783	118	1.5172	0.2255
ENSG00000116785	0	0.0000	0.0000
ENSG00000116786	33194	603.9700	89.7734
ENSG00000116791	53	0.9721	0.1445
ENSG00000116793	4061	42.4760	6.3136
ENSG00000116809	4143	73.2790	10.8921
ENSG00000116815	1138	47.8716	7.1156
ENSG00000116819	45	1.5372	0.2285
ENSG00000116824	119	5.3270	0.7918
ENSG00000116830	2100	25.1912	3.7444
ENSG00000116833	0	0.0000	0.0000
ENSG00000116852	2963	18.2922	2.7189
ENSG00000116857	1063	20.3561	3.0257
ENSG00000116863	2327	104.4600	15.5268
ENSG00000116871	25089	356.9900	53.0627
ENSG00000116874	553	10.7731	1.6013
ENSG00000116882	0	0.0000	0.0000
ENSG00000116883	642	26.2546	3.9024
ENSG00000116885	160	4.2413	0.6304
ENSG00000116898	7388	190.0260	28.2453
ENSG00000116903	1989	29.1444	4.3320
ENSG00000116906	878	20.7438	3.0833
ENSG00000116918	1813	21.6597	3.2195
ENSG00000116922	532	11.2508	1.6723
ENSG00000116954	2797	40.5930	6.0337
ENSG00000116957	718	20.9708	3.1171
ENSG00000116962	169	2.1615	0.3213
ENSG00000116977	2529	19.5324	2.9033
ENSG00000116981	0	0.0000	0.0000
ENSG00000116983	0	0.0000	0.0000
ENSG00000116984	403	2.6476	0.3935
ENSG00000116985	0	0.0000	0.0000
ENSG00000116990	51	0.7502	0.1115
ENSG00000116991	64	0.6282	0.0934
ENSG00000116996	0	0.0000	0.0000
ENSG00000117000	1471	17.4174	2.5889
ENSG00000117009	0	0.0000	0.0000
ENSG00000117010	791	19.5275	2.9025
ENSG00000117013	0	0.0000	0.0000
ENSG00000117016	0	0.0000	0.0000
ENSG00000117020	515	5.1521	0.7658
ENSG00000117036	3477	38.8771	5.7787
