gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	327	6.3801	0.7551
ENSG00000000460	197	2.3230	0.2749
ENSG00000000938	512	10.9015	1.2903
ENSG00000000971	38	0.3492	0.0413
ENSG00000001460	148	1.3046	0.1544
ENSG00000001461	265	2.1143	0.2503
ENSG00000004455	1049	13.8492	1.6392
ENSG00000004487	7773	170.6490	20.1980
ENSG00000006555	8	0.0991	0.0117
ENSG00000007341	939	8.6846	1.0279
ENSG00000007908	2	0.0351	0.0041
ENSG00000007923	577	8.4026	0.9945
ENSG00000007933	2	0.0433	0.0051
ENSG00000007968	1255	17.2443	2.0410
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	3395	53.9686	6.3877
ENSG00000008130	1742	22.7698	2.6950
ENSG00000009307	41392	539.4210	63.8455
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	0	0.0000	0.0000
ENSG00000009780	874	22.8004	2.6986
ENSG00000009790	601	5.8132	0.6880
ENSG00000010072	2087	26.5034	3.1369
ENSG00000010165	399	7.7856	0.9215
ENSG00000010803	5975	100.7710	11.9272
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	10411	144.8380	17.1430
ENSG00000011009	1550	52.9376	6.2657
ENSG00000011021	2557	27.8550	3.2969
ENSG00000014914	97	1.5909	0.1883
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	382	5.8204	0.6889
ENSG00000020633	7708	125.5450	14.8595
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	442	25.4927	3.0173
ENSG00000023902	20046	241.0100	28.5258
ENSG00000023909	174	2.4232	0.2868
ENSG00000024526	36	0.4573	0.0541
ENSG00000025800	17424	169.9980	20.1209
ENSG00000026751	323	5.2565	0.6222
ENSG00000027644	13	0.1911	0.0226
ENSG00000027869	541	16.1604	1.9128
ENSG00000028137	10011	199.3790	23.5983
ENSG00000031698	4214	82.3861	9.7512
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	512	10.4735	1.2397
ENSG00000036549	3282	27.3277	3.2345
ENSG00000037637	6776	56.5693	6.6955
ENSG00000040487	471	13.1571	1.5573
ENSG00000041988	1240	22.8372	2.7030
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	232	5.6685	0.6709
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	4213	31.0389	3.6737
ENSG00000048707	2060	7.5926	0.8987
ENSG00000049089	2342	42.3206	5.0091
ENSG00000049239	682	5.6089	0.6639
ENSG00000049245	16237	441.2300	52.2237
ENSG00000049246	335	3.5367	0.4186
ENSG00000049247	0	0.0000	0.0000
ENSG00000049249	267	8.7658	1.0375
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	2037	25.9147	3.0672
ENSG00000053371	4211	177.3150	20.9869
ENSG00000053372	921	24.4734	2.8966
ENSG00000054116	1329	30.0948	3.5620
ENSG00000054118	9298	147.2470	17.4281
ENSG00000054267	11120	75.3195	8.9148
ENSG00000054277	350	7.5408	0.8925
ENSG00000054282	1521	21.7360	2.5727
ENSG00000054392	151	2.6359	0.3120
ENSG00000054523	3020	12.8018	1.5152
ENSG00000055070	24108	380.8880	45.0817
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	4380	46.7081	5.5283
ENSG00000057468	4	0.0833	0.0099
ENSG00000057757	5906	202.6400	23.9844
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	366	2.2367	0.2647
ENSG00000058668	1238	9.5489	1.1302
ENSG00000058673	12202	94.3490	11.1671
ENSG00000058799	1383	45.8660	5.4287
ENSG00000058804	574	8.3844	0.9924
ENSG00000059588	2778	26.9113	3.1852
ENSG00000060642	885	19.6301	2.3234
ENSG00000060656	80	0.8973	0.1062
ENSG00000060688	2550	47.6901	5.6446
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	2771	34.5243	4.0863
ENSG00000064886	8	0.1821	0.0216
ENSG00000065135	4316	100.9710	11.9508
ENSG00000065183	66	1.1895	0.1408
ENSG00000065243	3764	40.2494	4.7639
ENSG00000065526	32518	183.4570	21.7138
ENSG00000065600	484	12.4650	1.4754
ENSG00000065978	75015	2915.1100	345.0302
ENSG00000066027	7647	148.4600	17.5716
ENSG00000066056	1528	17.1204	2.0264
ENSG00000066135	1128	16.3643	1.9369
ENSG00000066136	2354	29.4936	3.4908
ENSG00000066185	56	1.9112	0.2262
ENSG00000066279	206	1.4172	0.1677
ENSG00000066294	1004	8.1401	0.9635
ENSG00000066322	6086	185.6270	21.9707
ENSG00000066557	1789	46.5284	5.5071
ENSG00000067208	46	0.4142	0.0490
ENSG00000067334	3252	40.6152	4.8072
ENSG00000067533	655	6.2290	0.7373
ENSG00000067606	106	1.0378	0.1228
ENSG00000067704	1016	18.3102	2.1672
ENSG00000069248	1764	26.1651	3.0969
ENSG00000069275	7980	91.4340	10.8221
ENSG00000069424	14637	135.0930	15.9895
ENSG00000069702	252	2.1835	0.2584
ENSG00000069712	29	0.4705	0.0557
ENSG00000069812	24	0.3285	0.0389
ENSG00000070759	942	20.4249	2.4175
ENSG00000070785	64	1.5695	0.1858
ENSG00000070831	49897	1078.4700	127.6468
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	148	1.5866	0.1878
ENSG00000073754	56	1.7101	0.2024
ENSG00000073756	1400	19.9210	2.3578
ENSG00000074800	54724	1001.7800	118.5702
ENSG00000074964	12	0.1147	0.0136
ENSG00000075151	4151	36.9382	4.3720
ENSG00000075391	391	2.4804	0.2936
ENSG00000075945	571	8.5413	1.0109
ENSG00000076258	95	2.8331	0.3353
ENSG00000076321	1997	35.2137	4.1679
ENSG00000076356	111	0.6019	0.0712
ENSG00000076864	36	0.4257	0.0504
ENSG00000077152	466	32.8207	3.8846
ENSG00000077157	1235	6.4306	0.7611
ENSG00000077254	1374	14.8982	1.7633
ENSG00000077522	0	0.0000	0.0000
ENSG00000077549	12353	266.2230	31.5100
ENSG00000077585	587	19.3058	2.2850
ENSG00000078369	19133	233.8570	27.6792
ENSG00000078618	4229	47.9201	5.6718
ENSG00000078808	4403	70.3025	8.3210
ENSG00000078900	8	0.1080	0.0128
ENSG00000079277	3454	32.1406	3.8041
ENSG00000079335	6167	80.7321	9.5554
ENSG00000079739	573	10.3177	1.2212
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	147	1.6178	0.1915
ENSG00000081019	8048	88.5171	10.4768
ENSG00000081026	194	1.7824	0.2110
ENSG00000081237	18800	165.7460	19.6176
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	417	7.2563	0.8589
ENSG00000081721	3270	139.1880	16.4743
ENSG00000081870	2033	55.2570	6.5402
ENSG00000081985	1	0.0177	0.0021
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	8	0.1097	0.0130
ENSG00000082512	1637	13.6081	1.6106
ENSG00000083444	354	4.9814	0.5896
ENSG00000084070	21322	484.7310	57.3724
ENSG00000084072	1717	15.9570	1.8887
ENSG00000084073	1224	25.6954	3.0413
ENSG00000084623	30891	1343.1100	158.9692
ENSG00000084628	6	0.1507	0.0178
ENSG00000084636	16	0.1256	0.0149
ENSG00000084652	2404	35.3384	4.1826
ENSG00000085433	3461	57.2319	6.7739
ENSG00000085465	312	7.8230	0.9259
ENSG00000085491	2437	27.9105	3.3035
ENSG00000085552	24	0.2752	0.0326
ENSG00000085831	12	0.0961	0.0114
ENSG00000085832	5606	55.6836	6.5907
ENSG00000085840	1859	44.1663	5.2275
ENSG00000085998	404	4.7581	0.5632
ENSG00000085999	178	4.1494	0.4911
ENSG00000086015	565	4.7758	0.5653
ENSG00000086619	1489	19.6338	2.3238
ENSG00000088035	108	1.6304	0.1930
ENSG00000088280	0	0.0000	0.0000
ENSG00000090020	2506	31.4571	3.7232
ENSG00000090104	2202	40.1168	4.7482
ENSG00000090273	5622	147.5940	17.4691
ENSG00000090432	5722	176.1620	20.8504
ENSG00000090621	23304	257.7070	30.5021
ENSG00000090686	1901	15.0147	1.7771
ENSG00000091483	2067	72.3567	8.5641
ENSG00000092607	2	0.0394	0.0047
ENSG00000092621	71	0.9472	0.1121
ENSG00000092847	3475	20.2278	2.3941
ENSG00000092850	42	1.5854	0.1876
ENSG00000092853	154	2.1412	0.2534
ENSG00000092969	214	3.1221	0.3695
ENSG00000092978	497	4.2160	0.4990
ENSG00000094963	0	0.0000	0.0000
ENSG00000094975	3417	39.6227	4.6897
ENSG00000097021	772	11.8400	1.4014
ENSG00000097033	15789	177.3540	20.9915
ENSG00000097046	446	9.2854	1.0990
ENSG00000097096	23	0.2674	0.0316
ENSG00000099260	0	0.0000	0.0000
ENSG00000107404	1334	28.7074	3.3978
ENSG00000116128	4693	54.8265	6.4892
ENSG00000116132	12	0.1091	0.0129
ENSG00000116133	30	0.5066	0.0600
ENSG00000116138	407	3.5680	0.4223
ENSG00000116141	0	0.0000	0.0000
ENSG00000116147	0	0.0000	0.0000
ENSG00000116151	717	10.2700	1.2155
ENSG00000116157	10717	475.3260	56.2593
ENSG00000116161	2755	45.8215	5.4234
ENSG00000116171	2811	25.3862	3.0047
ENSG00000116183	0	0.0000	0.0000
ENSG00000116191	99	0.9992	0.1183
ENSG00000116194	0	0.0000	0.0000
ENSG00000116198	669	6.3691	0.7538
ENSG00000116199	968	12.0268	1.4235
ENSG00000116205	134	1.7199	0.2036
ENSG00000116209	16475	297.3190	35.1904
ENSG00000116212	836	26.0087	3.0784
ENSG00000116213	668	6.5844	0.7793
ENSG00000116218	0	0.0000	0.0000
