gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1984	38.7118	3.8363
ENSG00000000460	2679	31.6242	3.1339
ENSG00000000938	22922	487.8420	48.3443
ENSG00000000971	63	0.5758	0.0571
ENSG00000001460	1051	9.2623	0.9179
ENSG00000001461	5734	45.7287	4.5316
ENSG00000004455	14494	191.2860	18.9561
ENSG00000004487	20715	454.8050	45.0703
ENSG00000006555	68	0.8418	0.0834
ENSG00000007341	3263	30.1676	2.9895
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	6892	100.4320	9.9526
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	12971	178.2660	17.6658
ENSG00000008118	5	0.1416	0.0140
ENSG00000008128	5043	80.1613	7.9438
ENSG00000008130	7842	102.4870	10.1563
ENSG00000009307	97841	1275.0800	126.3578
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	1476	26.0489	2.5814
ENSG00000009780	1439	37.5389	3.7200
ENSG00000009790	8317	80.4563	7.9731
ENSG00000010072	3325	42.2279	4.1847
ENSG00000010165	4693	91.5930	9.0767
ENSG00000010803	11551	194.8120	19.3055
ENSG00000010932	21	0.4351	0.0431
ENSG00000011007	19122	266.0310	26.3632
ENSG00000011009	6535	223.1830	22.1170
ENSG00000011021	6357	69.2602	6.8636
ENSG00000014914	629	10.2832	1.0190
ENSG00000016490	7	0.1665	0.0165
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	19	0.2263	0.0224
ENSG00000020129	6401	97.6303	9.6750
ENSG00000020633	9933	161.7790	16.0320
ENSG00000021852	12	0.3199	0.0317
ENSG00000023572	903	52.1085	5.1639
ENSG00000023902	25309	304.2910	30.1547
ENSG00000023909	1115	15.5612	1.5421
ENSG00000024526	414	5.2576	0.5210
ENSG00000025800	11760	114.7370	11.3703
ENSG00000026751	4134	67.3417	6.6734
ENSG00000027644	63	0.9265	0.0918
ENSG00000027869	3363	100.4120	9.9506
ENSG00000028137	11046	219.9820	21.7999
ENSG00000031698	12282	240.1380	23.7973
ENSG00000033122	111	0.6920	0.0686
ENSG00000034971	2	0.0658	0.0065
ENSG00000035687	6259	128.0520	12.6897
ENSG00000036549	5504	45.8284	4.5415
ENSG00000037637	7377	61.5863	6.1031
ENSG00000040487	1548	43.2275	4.2838
ENSG00000041988	3773	69.4862	6.8860
ENSG00000042781	2	0.0073	0.0007
ENSG00000043514	1716	41.9101	4.1532
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	20868	153.7460	15.2359
ENSG00000048707	17265	63.6442	6.3070
ENSG00000049089	1214	21.9342	2.1736
ENSG00000049239	5053	41.5696	4.1195
ENSG00000049245	10520	285.8780	28.3299
ENSG00000049246	156	1.6464	0.1632
ENSG00000049247	48	2.0348	0.2016
ENSG00000049249	177	5.8187	0.5766
ENSG00000050628	27	0.2078	0.0206
ENSG00000052723	3834	48.7893	4.8349
ENSG00000053371	5758	242.4550	24.0269
ENSG00000053372	6147	163.3690	16.1896
ENSG00000054116	5707	129.1990	12.8034
ENSG00000054118	15957	252.7010	25.0422
ENSG00000054267	19125	129.5370	12.8368
ENSG00000054277	5093	109.7530	10.8763
ENSG00000054282	4632	66.2095	6.5612
ENSG00000054392	2278	39.7737	3.9415
ENSG00000054523	14556	61.7026	6.1146
ENSG00000055070	19940	315.0360	31.2195
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	6243	66.5712	6.5971
ENSG00000057468	58	1.3292	0.1317
ENSG00000057757	6699	229.8530	22.7780
ENSG00000058085	1	0.0115	0.0011
ENSG00000058453	6087	37.2192	3.6884
ENSG00000058668	86480	667.2180	66.1201
ENSG00000058673	18762	145.0630	14.3755
ENSG00000058799	4100	135.9950	13.4769
ENSG00000058804	5391	78.7320	7.8022
ENSG00000059588	11647	112.8120	11.1794
ENSG00000060642	2416	53.5713	5.3088
ENSG00000060656	46	0.5154	0.0511
ENSG00000060688	5432	101.5800	10.0664
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	3582	44.6323	4.4230
ENSG00000064886	1769	40.2561	3.9893
ENSG00000065135	14117	330.2380	32.7260
ENSG00000065183	3001	54.1087	5.3621
ENSG00000065243	5929	63.4005	6.2829
ENSG00000065526	48432	273.2330	27.0769
ENSG00000065600	2662	68.5141	6.7896
ENSG00000065978	96025	3731.5400	369.7893
ENSG00000066027	13248	257.2060	25.4886
ENSG00000066056	14749	165.2510	16.3761
ENSG00000066135	8442	122.4130	12.1309
ENSG00000066136	6675	83.6244	8.2870
ENSG00000066185	72	2.4724	0.2450
ENSG00000066279	2325	16.0144	1.5870
ENSG00000066294	2667	21.6138	2.1419
ENSG00000066322	10937	333.5860	33.0578
ENSG00000066557	1852	48.1664	4.7732
ENSG00000067208	189	1.7176	0.1702
ENSG00000067334	10523	131.4260	13.0241
ENSG00000067533	2244	21.3528	2.1160
ENSG00000067606	1965	19.3043	1.9130
ENSG00000067704	11233	202.4210	20.0596
ENSG00000069248	5283	78.3552	7.7649
ENSG00000069275	27320	313.0200	31.0197
ENSG00000069424	50104	462.4430	45.8273
ENSG00000069702	668	5.7913	0.5739
ENSG00000069712	290	4.7110	0.4669
ENSG00000069812	177	2.4511	0.2429
ENSG00000070759	2420	52.4483	5.1975
ENSG00000070785	2640	65.0555	6.4469
ENSG00000070831	50212	1085.2700	107.5485
ENSG00000070886	5	0.0663	0.0066
ENSG00000072694	203	2.1775	0.2158
ENSG00000073754	0	0.0000	0.0000
ENSG00000073756	30	0.4270	0.0423
ENSG00000074800	283855	5196.2800	514.9418
ENSG00000074964	578	5.5236	0.5474
ENSG00000075151	16302	145.0500	14.3742
ENSG00000075391	163	1.0323	0.1023
ENSG00000075945	5054	75.5937	7.4912
ENSG00000076258	340	10.1367	1.0045
ENSG00000076321	1439	25.3712	2.5142
ENSG00000076356	1129	6.1464	0.6091
ENSG00000076864	36	0.4233	0.0419
ENSG00000077152	1419	99.9474	9.9046
ENSG00000077157	8259	43.0181	4.2630
ENSG00000077254	9940	107.7660	10.6794
ENSG00000077522	4	0.0554	0.0055
ENSG00000077549	39599	853.4370	84.5741
ENSG00000077585	534	17.5678	1.7409
ENSG00000078369	79441	971.0080	96.2251
ENSG00000078618	32275	365.7030	36.2406
ENSG00000078808	15386	245.6760	24.3461
ENSG00000078900	486	6.5602	0.6501
ENSG00000079277	4908	45.6656	4.5254
ENSG00000079335	5347	69.9998	6.9369
ENSG00000079739	9521	171.4830	16.9936
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	1745	19.2092	1.9036
ENSG00000081019	9862	108.4700	10.7492
ENSG00000081026	330	3.0232	0.2996
ENSG00000081237	35731	315.0140	31.2174
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	1	0.0121	0.0012
ENSG00000081692	1654	28.7499	2.8491
ENSG00000081721	4215	179.3980	17.7780
ENSG00000081870	2822	76.7206	7.6029
ENSG00000081985	290	5.1332	0.5087
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	22393	186.1530	18.4475
ENSG00000083444	5942	83.6572	8.2903
ENSG00000084070	21896	497.7980	49.3309
ENSG00000084072	2919	27.1232	2.6879
ENSG00000084073	3256	68.3637	6.7747
ENSG00000084623	33359	1450.4000	143.7319
ENSG00000084628	30	0.7533	0.0746
ENSG00000084636	58	0.4583	0.0454
ENSG00000084652	12091	177.6990	17.6097
ENSG00000085433	3262	53.9365	5.3450
ENSG00000085465	282	7.0679	0.7004
ENSG00000085491	6567	75.2149	7.4537
ENSG00000085552	250	2.8270	0.2802
ENSG00000085831	233	1.8693	0.1852
