gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	856	16.6935	1.8606
ENSG00000000460	875	10.3308	1.1515
ENSG00000000938	6303	134.1520	14.9524
ENSG00000000971	114	1.0486	0.1169
ENSG00000001460	374	3.2965	0.3674
ENSG00000001461	1603	12.7823	1.4247
ENSG00000004455	32631	430.6350	47.9979
ENSG00000004487	12151	266.7730	29.7340
ENSG00000006555	41	0.5036	0.0561
ENSG00000007341	1706	15.7734	1.7581
ENSG00000007908	7	0.1244	0.0139
ENSG00000007923	2439	35.5423	3.9615
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	2038	28.0059	3.1215
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	3318	52.7510	5.8795
ENSG00000008130	6504	85.0030	9.4743
ENSG00000009307	121880	1588.3600	177.0363
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	25	0.4479	0.0499
ENSG00000009780	1004	26.1930	2.9194
ENSG00000009790	3893	37.6623	4.1978
ENSG00000010072	4735	60.1287	6.7018
ENSG00000010165	1030	20.0958	2.2398
ENSG00000010803	9572	161.4260	17.9923
ENSG00000010932	52	1.0881	0.1213
ENSG00000011007	10723	149.1760	16.6269
ENSG00000011009	4101	140.0650	15.6114
ENSG00000011021	3127	34.0660	3.7969
ENSG00000014914	5874	95.9649	10.6961
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	1758	26.8149	2.9888
ENSG00000020633	41145	670.1060	74.6889
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	616	35.5627	3.9638
ENSG00000023902	15166	182.3410	20.3234
ENSG00000023909	908	12.6740	1.4126
ENSG00000024526	313	3.9699	0.4425
ENSG00000025800	16500	160.9840	17.9430
ENSG00000026751	545	8.8825	0.9900
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	397	11.8591	1.3218
ENSG00000028137	7194	143.2650	15.9680
ENSG00000031698	5096	99.6374	11.1054
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	2618	53.5595	5.9697
ENSG00000036549	7378	61.4246	6.8463
ENSG00000037637	5563	46.4382	5.1759
ENSG00000040487	2697	75.3191	8.3949
ENSG00000041988	1896	34.9158	3.8916
ENSG00000042781	3	0.0109	0.0012
ENSG00000043514	890	21.7418	2.4233
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	18444	135.8810	15.1451
ENSG00000048707	6655	24.5311	2.7342
ENSG00000049089	3588	64.8321	7.2261
ENSG00000049239	18091	148.8260	16.5879
ENSG00000049245	18846	512.1300	57.0812
ENSG00000049246	1557	16.4421	1.8326
ENSG00000049247	290	12.2182	1.3618
ENSG00000049249	78	2.5495	0.2842
ENSG00000050628	43	0.3340	0.0372
ENSG00000052723	6722	85.5309	9.5331
ENSG00000053371	14010	589.9850	65.7587
ENSG00000053372	2263	60.1534	6.7046
ENSG00000054116	3662	82.9110	9.2411
ENSG00000054118	10559	167.2100	18.6370
ENSG00000054267	21146	143.2290	15.9640
ENSG00000054277	4225	91.0520	10.1485
ENSG00000054282	2771	39.6064	4.4145
ENSG00000054392	447	7.8045	0.8699
ENSG00000054523	3854	16.3361	1.8208
ENSG00000055070	21755	343.7200	38.3104
ENSG00000055732	2	0.0226	0.0025
ENSG00000057252	4507	48.0633	5.3570
ENSG00000057468	14	0.3151	0.0351
ENSG00000057757	6776	232.4910	25.9131
ENSG00000058085	12	0.1376	0.0153
ENSG00000058453	1096	6.7005	0.7468
ENSG00000058668	15798	121.8850	13.5851
ENSG00000058673	25835	199.7530	22.2641
ENSG00000058799	2197	72.8810	8.1232
ENSG00000058804	3554	51.9153	5.7864
ENSG00000059588	17002	164.6890	18.3559
ENSG00000060642	1426	31.6263	3.5250
ENSG00000060656	137	1.5290	0.1704
ENSG00000060688	2805	52.4478	5.8457
ENSG00000060718	1	0.0114	0.0013
ENSG00000064703	9143	113.9310	12.6985
ENSG00000064886	351	7.9912	0.8907
ENSG00000065135	22257	520.6710	58.0331
ENSG00000065183	1032	18.6187	2.0752
ENSG00000065243	3516	37.5954	4.1903
ENSG00000065526	50993	287.6850	32.0649
ENSG00000065600	4261	109.6750	12.2242
ENSG00000065978	103124	4007.4200	446.6596
ENSG00000066027	16553	321.3830	35.8208
ENSG00000066056	2256	25.2788	2.8175
ENSG00000066135	3174	46.0244	5.1298
ENSG00000066136	4985	62.4445	6.9599
ENSG00000066185	316	10.8118	1.2051
ENSG00000066279	1028	7.0842	0.7896
ENSG00000066294	22706	184.0070	20.5091
ENSG00000066322	8250	251.6250	28.0457
ENSG00000066557	2481	64.5243	7.1918
ENSG00000067208	3454	31.3165	3.4905
ENSG00000067334	21736	271.4720	30.2578
ENSG00000067533	3365	32.0169	3.5685
ENSG00000067606	220	2.1623	0.2410
ENSG00000067704	15787	284.4880	31.7086
ENSG00000069248	3473	51.5035	5.7405
