gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	293	5.7222	0.8096
ENSG00000000460	329	3.8857	0.5498
ENSG00000000938	16240	345.6200	48.9008
ENSG00000000971	0	0.0000	0.0000
ENSG00000001460	107	0.9464	0.1339
ENSG00000001461	336	2.6823	0.3795
ENSG00000004455	4025	53.1170	7.5154
ENSG00000004487	2002	43.9640	6.2203
ENSG00000006555	4	0.0495	0.0070
ENSG00000007341	462	4.2747	0.6048
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1006	14.6526	2.0732
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	2618	35.9765	5.0902
ENSG00000008118	6	0.1682	0.0238
ENSG00000008128	2066	32.8451	4.6471
ENSG00000008130	3514	45.9279	6.4982
ENSG00000009307	24683	321.6700	45.5121
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	2	0.0353	0.0050
ENSG00000009780	529	13.7837	1.9502
ENSG00000009790	1476	14.2792	2.0203
ENSG00000010072	602	7.6399	1.0809
ENSG00000010165	305	5.9610	0.8434
ENSG00000010803	4699	79.2519	11.2131
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	3961	55.1106	7.7974
ENSG00000011009	3035	103.6680	14.6677
ENSG00000011021	2170	23.6425	3.3451
ENSG00000014914	5561	90.8512	12.8543
ENSG00000016490	7	0.1572	0.0222
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	5	0.0595	0.0084
ENSG00000020129	543	8.2825	1.1719
ENSG00000020633	641	10.4445	1.4778
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	410	23.6759	3.3499
ENSG00000023902	20368	244.8880	34.6485
ENSG00000023909	128	1.7873	0.2529
ENSG00000024526	60	0.7617	0.1078
ENSG00000025800	4268	41.6436	5.8920
ENSG00000026751	14	0.2281	0.0323
ENSG00000027644	8	0.1176	0.0166
ENSG00000027869	259	7.7229	1.0927
ENSG00000028137	30794	613.2670	86.7693
ENSG00000031698	4320	84.4640	11.9505
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	958	19.6012	2.7733
ENSG00000036549	1390	11.5760	1.6379
ENSG00000037637	1693	14.1369	2.0002
ENSG00000040487	1144	31.9300	4.5177
ENSG00000041988	696	12.8274	1.8149
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	235	5.7284	0.8105
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	1763	12.9877	1.8376
ENSG00000048707	857	3.1587	0.4469
ENSG00000049089	926	16.7287	2.3669
ENSG00000049239	2364	19.4497	2.7519
ENSG00000049245	11631	316.0620	44.7187
ENSG00000049246	21	0.2217	0.0314
ENSG00000049247	0	0.0000	0.0000
ENSG00000049249	14	0.4597	0.0650
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	1108	14.1043	1.9956
ENSG00000053371	4237	178.4070	25.2423
ENSG00000053372	1187	31.5354	4.4618
ENSG00000054116	2202	49.8485	7.0529
ENSG00000054118	3612	57.1997	8.0930
ENSG00000054267	2316	15.6879	2.2196
ENSG00000054277	1625	35.0282	4.9560
