gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	313	6.1059	0.8137
ENSG00000000460	686	8.1010	1.0796
ENSG00000000938	18540	394.5700	52.5823
ENSG00000000971	0	0.0000	0.0000
ENSG00000001460	276	2.4301	0.3239
ENSG00000001461	1066	8.5054	1.1335
ENSG00000004455	7266	95.8916	12.7790
ENSG00000004487	5660	124.2600	16.5595
ENSG00000006555	10	0.1239	0.0165
ENSG00000007341	1045	9.6595	1.2873
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1787	26.0340	3.4694
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	1540	21.1591	2.8197
ENSG00000008118	30	0.8397	0.1119
ENSG00000008128	1786	28.3985	3.7845
ENSG00000008130	5382	70.3333	9.3730
ENSG00000009307	32574	424.5040	56.5714
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	11	0.1941	0.0259
ENSG00000009780	698	18.2083	2.4265
ENSG00000009790	4862	47.0337	6.2679
ENSG00000010072	1454	18.4694	2.4613
ENSG00000010165	711	13.8761	1.8492
ENSG00000010803	8870	149.5940	19.9356
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	6674	92.8457	12.3731
ENSG00000011009	3452	117.8950	15.7113
ENSG00000011021	3461	37.7061	5.0249
ENSG00000014914	7620	124.4900	16.5902
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	3	0.0357	0.0048
ENSG00000020129	1642	25.0417	3.3372
ENSG00000020633	729	11.8775	1.5829
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	718	41.4719	5.5267
ENSG00000023902	13780	165.6810	22.0794
ENSG00000023909	379	5.2830	0.7040
ENSG00000024526	100	1.2668	0.1688
ENSG00000025800	7563	73.7920	9.8339
ENSG00000026751	106	1.7268	0.2301
ENSG00000027644	45	0.6575	0.0876
ENSG00000027869	180	5.3639	0.7148
ENSG00000028137	14986	298.4540	39.7734
ENSG00000031698	5498	107.4920	14.3248
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	2143	43.8393	5.8422
ENSG00000036549	2535	21.1071	2.8128
ENSG00000037637	2555	21.3327	2.8429
ENSG00000040487	698	19.4799	2.5960
ENSG00000041988	999	18.4005	2.4522
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	773	18.8743	2.5153
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	4974	36.6472	4.8838
ENSG00000048707	2491	9.1831	1.2238
ENSG00000049089	996	17.9954	2.3982
ENSG00000049239	3764	30.9624	4.1262
ENSG00000049245	11666	317.0040	42.2454
ENSG00000049246	6	0.0642	0.0086
ENSG00000049247	10	0.4206	0.0561
ENSG00000049249	7	0.2180	0.0291
ENSG00000050628	12	0.0932	0.0124
ENSG00000052723	2446	31.1186	4.1470
ENSG00000053371	4129	173.8650	23.1700
ENSG00000053372	1639	43.5532	5.8041
ENSG00000054116	2265	51.2849	6.8345
ENSG00000054118	4087	64.7202	8.6249
ENSG00000054267	5532	37.4714	4.9936
ENSG00000054277	1846	39.7813	5.3014
ENSG00000054282	2221	31.7400	4.2298
ENSG00000054392	174	3.0375	0.4048
ENSG00000054523	2859	12.1172	1.6148
ENSG00000055070	14294	225.8360	30.0959
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	2689	28.6703	3.8207
ENSG00000057468	26	0.5971	0.0796
ENSG00000057757	6278	215.4040	28.7058
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	240	1.4689	0.1957
ENSG00000058668	6188	47.7442	6.3626
ENSG00000058673	9212	71.2240	9.4916
ENSG00000058799	1835	60.8580	8.1102
ENSG00000058804	1367	19.9706	2.6614
ENSG00000059588	4878	47.2455	6.2962
ENSG00000060642	781	17.3134	2.3073
ENSG00000060656	10	0.1119	0.0149
ENSG00000060688	2011	37.6111	5.0122
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	2225	27.7267	3.6950
ENSG00000064886	88	2.0030	0.2669
ENSG00000065135	5189	121.3930	16.1774
ENSG00000065183	460	8.2924	1.1051
ENSG00000065243	2822	30.1749	4.0213
ENSG00000065526	19489	109.9530	14.6528
ENSG00000065600	1731	44.5604	5.9383
ENSG00000065978	71542	2780.1300	370.4931
ENSG00000066027	6704	130.1500	17.3444
ENSG00000066056	2443	27.3670	3.6471
ENSG00000066135	647	9.3786	1.2498
ENSG00000066136	4695	58.8174	7.8383
ENSG00000066185	207	7.0715	0.9424
ENSG00000066279	469	3.2314	0.4306
ENSG00000066294	5466	44.2964	5.9031
ENSG00000066322	10134	309.1020	41.1924
ENSG00000066557	1274	33.1432	4.4168
ENSG00000067208	608	5.5131	0.7347
ENSG00000067334	5790	72.3206	9.6378
ENSG00000067533	749	7.1236	0.9493
ENSG00000067606	119	1.1670	0.1555
ENSG00000067704	4303	77.5435	10.3338
ENSG00000069248	1544	22.9063	3.0526
ENSG00000069275	5822	66.7036	8.8892
ENSG00000069424	25011	230.8450	30.7635
ENSG00000069702	54	0.4676	0.0623
ENSG00000069712	36	0.5840	0.0778
ENSG00000069812	8	0.1095	0.0146
ENSG00000070759	1770	38.3624	5.1124
ENSG00000070785	925	22.8002	3.0385
ENSG00000070831	29208	631.3050	84.1306
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	1111	11.9107	1.5873
ENSG00000073754	0	0.0000	0.0000
ENSG00000073756	4801	68.3321	9.1063
ENSG00000074800	145178	2657.6400	354.1689
ENSG00000074964	1816	17.3580	2.3132
ENSG00000075151	5609	49.9039	6.6504
ENSG00000075391	915	5.8084	0.7741
ENSG00000075945	766	11.4639	1.5277
ENSG00000076258	214	6.3655	0.8483
ENSG00000076321	805	14.1963	1.8919
ENSG00000076356	169	0.9194	0.1225
ENSG00000076864	80	0.9466	0.1261
ENSG00000077152	561	39.4779	5.2610
ENSG00000077157	1013	5.2736	0.7028
ENSG00000077254	2071	22.4513	2.9920
ENSG00000077522	0	0.0000	0.0000
ENSG00000077549	24307	523.8620	69.8123
ENSG00000077585	406	13.3523	1.7794
ENSG00000078369	37451	457.7610	61.0034
ENSG00000078618	8935	101.2450	13.4924
ENSG00000078808	10008	159.8050	21.2964
ENSG00000078900	99	1.3366	0.1781
ENSG00000079277	6047	56.2713	7.4990
ENSG00000079335	1986	26.0019	3.4651
ENSG00000079739	647	11.6547	1.5532
